,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,870.00","1,907.00","1,870.00","1,881.00",-1.00,592.00,"1,119,543.00"
2,2,2021-06-30,"1,902.00","1,905.00","1,864.00","1,900.00",-2.06,500.00,"946,140.00"
3,3,2021-06-29,"1,898.00","2,047.00","1,898.00","1,940.00",4.25,"2,380.00","4,670,883.00"
4,4,2021-06-28,"1,874.00","1,880.00","1,841.00","1,861.00",1.14,957.00,"1,785,980.00"
5,5,2021-06-27,"1,815.00","1,860.00","1,815.00","1,840.00",0.82,976.00,"1,800,170.00"
6,6,2021-06-24,"1,792.00","1,825.00","1,792.00","1,825.00",1.90,301.00,"545,647.00"
7,7,2021-06-23,"1,843.00","1,910.00","1,782.00","1,791.00",-0.89,487.00,"904,623.00"
8,8,2021-06-22,"1,800.00","1,909.00","1,800.00","1,807.00",0.39,"1,001.00","1,841,829.00"
9,9,2021-06-21,"1,845.00","1,845.00","1,790.00","1,800.00",-0.99,931.00,"1,680,439.00"
10,10,2021-06-20,"1,890.00","1,892.00","1,818.00","1,818.00",-5.31,"1,767.00","3,283,028.00"
11,11,2021-06-17,"1,880.00","1,935.00","1,880.00","1,920.00",0.89,549.00,"1,052,214.00"
12,12,2021-06-16,"1,895.00","2,025.00","1,895.00","1,903.00",-0.37,"2,780.00","5,455,697.00"
13,13,2021-06-15,"1,900.00","1,938.00","1,878.00","1,910.00",-1.19,"1,723.00","3,270,145.00"
14,14,2021-06-14,"1,915.00","1,950.00","1,915.00","1,933.00",-0.62,599.00,"1,156,554.00"
15,15,2021-06-13,"2,077.00","2,077.00","1,931.00","1,945.00",-1.72,841.00,"1,646,705.00"
16,16,2021-06-10,"1,970.00","2,040.00","1,960.00","1,979.00",0.66,560.00,"1,112,790.00"
17,17,2021-06-09,"1,955.00","2,033.00","1,955.00","1,966.00",-1.21,"2,343.00","4,710,289.00"
18,18,2021-06-08,"1,949.00","1,990.00","1,940.00","1,990.00",1.89,"2,218.00","4,358,338.00"
19,19,2021-06-07,"1,912.00","2,020.00","1,912.00","1,953.00",0.26,"1,524.00","3,033,648.00"
20,20,2021-06-06,"1,925.00","2,024.00","1,925.00","1,948.00",-0.61,"1,844.00","3,596,216.00"
21,21,2021-06-03,"2,010.00","2,020.00","1,951.00","1,960.00",-1.01,"2,070.00","4,088,263.00"
22,22,2021-06-02,"1,910.00","1,990.00","1,910.00","1,980.00",1.80,"2,719.00","5,304,735.00"
23,23,2021-06-01,"1,954.00","1,987.00","1,895.00","1,945.00",1.51,"2,114.00","4,073,602.00"
24,24,2021-05-31,"1,920.00","1,969.00","1,916.00","1,916.00",-1.39,"2,237.00","4,328,724.00"
25,25,2021-05-30,"1,931.00","2,007.00","1,931.00","1,943.00",-1.37,"2,715.00","5,349,565.00"
26,26,2021-05-27,"1,957.00","2,020.00","1,880.00","1,970.00",-4.37,"10,090.00","19,696,924.00"
27,27,2021-05-25,"2,050.00","2,070.00","2,050.00","2,060.00",-0.96,"1,290.00","2,663,560.00"
28,28,2021-05-24,"2,146.00","2,150.00","2,060.00","2,080.00",-1.14,"2,415.00","5,053,065.00"
29,29,2021-05-23,"2,144.00","2,197.00","2,080.00","2,104.00",-2.37,"6,194.00","13,228,339.00"
30,30,2021-05-20,"2,156.00","2,182.00","2,130.00","2,155.00",-2.05,"5,076.00","10,925,985.00"
31,31,2021-05-19,"2,245.00","2,245.00","2,000.00","2,200.00",2.85,"7,550.00","16,254,345.00"
32,32,2021-05-18,"2,035.00","2,206.00","2,000.00","2,139.00",5.79,"4,679.00","9,836,130.00"
33,33,2021-05-17,"1,870.00","2,023.00","1,860.00","2,022.00",9.89,"17,455.00","34,373,760.00"
34,34,2021-05-16,"1,818.00","1,891.00","1,798.00","1,840.00",3.20,"4,696.00","8,550,046.00"
35,35,2021-05-13,"1,805.00","1,805.00","1,783.00","1,783.00",-1.71,"1,694.00","3,040,240.00"
