,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,662.00","1,662.00","1,617.00","1,658.00",1.72,"1,781.00","2,923,072.00"
2,2,2021-06-30,"1,652.00","1,652.00","1,600.00","1,630.00",-3.26,989.00,"1,613,627.00"
3,3,2021-06-29,"1,698.00","1,731.00","1,655.00","1,685.00",1.20,"4,395.00","7,399,440.00"
4,4,2021-06-28,"1,610.00","1,698.00","1,610.00","1,665.00",1.52,"4,697.00","7,780,662.00"
5,5,2021-06-27,"1,580.00","1,674.00","1,525.00","1,640.00",4.46,"1,959.00","3,124,092.00"
6,6,2021-06-24,"1,568.00","1,571.00","1,541.00","1,570.00",-0.13,679.00,"1,055,997.00"
7,7,2021-06-23,"1,568.00","1,599.00","1,568.00","1,572.00",-1.75,"1,204.00","1,900,484.00"
8,8,2021-06-22,"1,600.00","1,664.00","1,536.00","1,600.00",0.44,"4,032.00","6,372,062.00"
9,9,2021-06-21,"1,572.00","1,600.00","1,572.00","1,593.00",-0.50,"2,211.00","3,524,453.00"
10,10,2021-06-20,"1,635.00","1,635.00","1,592.00","1,601.00",-2.26,"3,084.00","4,956,065.00"
11,11,2021-06-17,"1,683.00","1,683.00","1,610.00","1,638.00",-0.73,"4,866.00","7,958,325.00"
12,12,2021-06-16,"1,581.00","1,720.00","1,581.00","1,650.00",3.19,"4,154.00","6,960,337.00"
13,13,2021-06-15,"1,630.00","1,669.00","1,599.00","1,599.00",-0.06,"3,612.00","5,821,043.00"
14,14,2021-06-14,"1,662.00","1,662.00","1,600.00","1,600.00",-3.73,"7,555.00","12,430,016.00"
15,15,2021-06-13,"1,655.00","1,670.00","1,649.00","1,662.00",0.42,"3,948.00","6,541,380.00"
16,16,2021-06-10,"1,662.00","1,680.00","1,650.00","1,655.00",-0.30,"1,300.00","2,155,310.00"
17,17,2021-06-09,"1,671.00","1,674.00","1,660.00","1,660.00",-0.78,"2,697.00","4,494,811.00"
18,18,2021-06-08,"1,655.00","1,689.00","1,655.00","1,673.00",-0.83,"1,829.00","3,054,691.00"
19,19,2021-06-07,"1,650.00","1,725.00","1,650.00","1,687.00",-2.26,"2,743.00","4,662,898.00"
20,20,2021-06-06,"1,690.00","1,726.00","1,651.00","1,726.00",2.13,"7,857.00","13,103,696.00"
21,21,2021-06-03,"1,705.00","1,745.00","1,690.00","1,690.00",0.84,"4,294.00","7,352,719.00"
22,22,2021-06-02,"1,661.00","1,680.00","1,661.00","1,676.00",-0.83,"1,461.00","2,446,698.00"
23,23,2021-06-01,"1,698.00","1,698.00","1,657.00","1,690.00",1.50,"1,692.00","2,820,033.00"
24,24,2021-05-31,"1,668.00","1,680.00","1,652.00","1,665.00",-0.72,"5,099.00","8,501,809.00"
25,25,2021-05-30,"1,720.00","1,725.00","1,677.00","1,677.00",-2.50,"4,352.00","7,399,901.00"
26,26,2021-05-27,"1,710.00","1,754.00","1,643.00","1,720.00",-4.44,"9,627.00","16,450,234.00"
27,27,2021-05-25,"1,785.00","1,835.00","1,785.00","1,800.00",-0.61,"1,424.00","2,574,643.00"
28,28,2021-05-24,"1,849.00","1,850.00","1,806.00","1,811.00",-0.39,"4,429.00","8,038,439.00"
29,29,2021-05-23,"1,805.00","1,845.00","1,800.00","1,818.00",-1.03,"5,898.00","10,793,292.00"
30,30,2021-05-20,"1,755.00","1,875.00","1,750.00","1,837.00",3.49,"11,823.00","21,809,387.00"
31,31,2021-05-19,"1,760.00","1,881.00","1,756.00","1,775.00",1.25,"11,740.00","21,159,375.00"
32,32,2021-05-18,"1,698.00","1,785.00","1,697.00","1,753.00",2.22,"10,255.00","17,907,150.00"
33,33,2021-05-17,"1,749.00","1,749.00","1,700.00","1,715.00",0.00,"2,632.00","4,502,173.00"
34,34,2021-05-16,"1,715.00","1,723.00","1,695.00","1,715.00",0.00,"3,983.00","6,794,589.00"
35,35,2021-05-13,"1,685.00","1,720.00","1,685.00","1,715.00",0.88,"3,546.00","6,083,772.00"
36,36,2021-05-12,"1,700.00","1,720.00","1,668.00","1,700.00",1.07,"3,054.00","5,188,438.00"
37,37,2021-05-11,"1,700.00","1,720.00","1,680.00","1,682.00",0.84,"1,928.00","3,270,203.00"
38,38,2021-05-10,"1,685.00","1,700.00","1,665.00","1,668.00",-0.66,"1,453.00","2,435,300.00"
39,39,2021-05-09,"1,670.00","1,719.00","1,670.00","1,679.00",-1.24,"2,152.00","3,635,216.00"
40,40,2021-05-06,"1,705.00","1,739.00","1,700.00","1,700.00",-0.29,"4,812.00","8,254,500.00"
41,41,2021-05-05,"1,705.00","1,798.00","1,700.00","1,705.00",-1.39,"7,553.00","13,100,120.00"
42,42,2021-05-04,"1,690.00","1,734.00","1,680.00","1,729.00",2.07,"5,274.00","9,077,513.00"
43,43,2021-05-03,"1,670.00","1,700.00","1,670.00","1,694.00",-0.29,"1,910.00","3,238,314.00"
