,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,750.00","1,765.00","1,732.00","1,740.00",-0.63,"1,400.00","2,444,257.00"
2,2,2021-06-30,"1,730.00","1,760.00","1,730.00","1,751.00",-0.51,"2,392.00","4,183,369.00"
3,3,2021-06-29,"1,842.00","1,842.00","1,756.00","1,760.00",0.28,"4,972.00","8,925,361.00"
4,4,2021-06-28,"1,712.00","1,790.00","1,712.00","1,755.00",2.75,"3,384.00","5,966,443.00"
5,5,2021-06-27,"1,657.00","1,750.00","1,657.00","1,708.00",1.18,"1,537.00","2,642,687.00"
6,6,2021-06-24,"1,700.00","1,700.00","1,685.00","1,688.00",-1.23,"2,875.00","4,859,909.00"
7,7,2021-06-23,"1,770.00","1,775.00","1,705.00","1,709.00",-3.17,"2,972.00","5,112,844.00"
8,8,2021-06-22,"1,750.00","1,770.00","1,730.00","1,765.00",1.32,"5,317.00","9,300,350.00"
9,9,2021-06-21,"1,745.00","1,785.00","1,720.00","1,742.00",-1.58,"3,977.00","6,932,651.00"
10,10,2021-06-20,"1,871.00","1,900.00","1,760.00","1,770.00",-3.54,"7,059.00","12,566,538.00"
11,11,2021-06-17,"1,842.00","1,850.00","1,812.00","1,835.00",-1.87,"3,144.00","5,759,860.00"
12,12,2021-06-16,"1,800.00","1,931.00","1,800.00","1,870.00",2.24,"6,815.00","12,816,028.00"
13,13,2021-06-15,"1,950.00","1,950.00","1,800.00","1,829.00",-2.09,"7,120.00","13,102,471.00"
14,14,2021-06-14,"1,955.00","1,955.00","1,841.00","1,868.00",0.32,"19,096.00","35,646,895.00"
15,15,2021-06-13,"1,752.00","1,862.00","1,751.00","1,862.00",4.90,"9,116.00","16,461,653.00"
16,16,2021-06-10,"1,770.00","1,784.00","1,770.00","1,775.00",-1.33,"3,265.00","5,798,528.00"
17,17,2021-06-09,"1,811.00","1,815.00","1,765.00","1,799.00",1.30,"5,187.00","9,253,355.00"
18,18,2021-06-08,"1,800.00","1,825.00","1,755.00","1,776.00",-0.78,"8,352.00","14,836,021.00"
19,19,2021-06-07,"1,810.00","1,845.00","1,779.00","1,790.00",-0.61,"4,851.00","8,726,710.00"
20,20,2021-06-06,"1,825.00","1,830.00","1,796.00","1,801.00",-0.77,"3,652.00","6,615,773.00"
21,21,2021-06-03,"1,835.00","1,850.00","1,804.00","1,815.00",0.72,"4,856.00","8,877,901.00"
22,22,2021-06-02,"1,781.00","1,818.00","1,754.00","1,802.00",1.01,"4,796.00","8,625,141.00"
23,23,2021-06-01,"1,799.00","1,799.00","1,765.00","1,784.00",-0.17,"5,010.00","8,959,019.00"
24,24,2021-05-31,"1,760.00","1,805.00","1,760.00","1,787.00",-0.17,"4,382.00","7,830,996.00"
25,25,2021-05-30,"1,820.00","1,820.00","1,784.00","1,790.00",-0.83,"11,618.00","20,852,054.00"
26,26,2021-05-27,"1,767.00","1,838.00","1,740.00","1,805.00",-2.96,"18,181.00","32,680,374.00"
27,27,2021-05-25,"1,850.00","1,884.00","1,850.00","1,860.00",-1.17,"7,412.00","13,816,923.00"
28,28,2021-05-24,"1,870.00","1,897.00","1,870.00","1,882.00",-0.42,"7,246.00","13,606,287.00"
29,29,2021-05-23,"1,840.00","1,890.00","1,840.00","1,890.00",0.69,"11,385.00","21,202,806.00"
30,30,2021-05-20,"1,893.00","1,900.00","1,860.00","1,877.00",-0.05,"6,681.00","12,553,827.00"
31,31,2021-05-19,"1,930.00","1,960.00","1,862.00","1,878.00",-1.37,"12,229.00","23,189,667.00"
32,32,2021-05-18,"1,829.00","1,904.00","1,829.00","1,904.00",4.10,"15,367.00","28,735,254.00"
33,33,2021-05-17,"1,750.00","1,871.00","1,750.00","1,829.00",-0.65,"10,032.00","18,439,757.00"
34,34,2021-05-16,"1,840.00","1,850.00","1,818.00","1,841.00",1.43,"7,451.00","13,724,867.00"
35,35,2021-05-13,"1,801.00","1,836.00","1,800.00","1,815.00",-0.11,"8,875.00","16,136,155.00"
36,36,2021-05-12,"1,850.00","1,850.00","1,800.00","1,817.00",-0.82,"4,914.00","8,951,957.00"
37,37,2021-05-11,"1,824.00","1,844.00","1,805.00","1,832.00",1.66,"12,425.00","22,778,051.00"
38,38,2021-05-10,"1,756.00","1,810.00","1,749.00","1,802.00",1.01,"6,281.00","11,248,810.00"
39,39,2021-05-09,"1,798.00","1,798.00","1,732.00","1,784.00",-0.78,"9,547.00","16,948,532.00"
40,40,2021-05-06,"1,833.00","1,833.00","1,757.00","1,798.00",-1.21,"7,667.00","13,624,663.00"
41,41,2021-05-05,"1,880.00","1,890.00","1,805.00","1,820.00",-3.19,"11,270.00","20,713,808.00"
42,42,2021-05-04,"1,749.00","1,880.00","1,745.00","1,880.00",7.80,"20,031.00","36,333,656.00"
43,43,2021-05-03,"1,737.00","1,805.00","1,737.00","1,744.00",0.46,"20,627.00","36,482,213.00"
44,44,2021-05-02,"1,728.00","1,749.00","1,704.00","1,736.00",2.00,"10,330.00","17,934,077.00"
45,45,2021-04-29,"1,660.00","1,730.00","1,660.00","1,702.00",1.79,"8,192.00","13,991,501.00"
46,46,2021-04-28,"1,710.00","1,723.00","1,670.00","1,672.00",-1.53,"7,876.00","13,299,070.00"
47,47,2021-04-27,"1,656.00","1,699.00","1,639.00","1,698.00",4.56,"9,032.00","15,157,135.00"
48,48,2021-04-26,"1,623.00","1,693.00","1,623.00","1,624.00",-1.87,"4,194.00","6,913,300.00"
49,49,2021-04-25,"1,666.00","1,704.00","1,640.00","1,655.00",-2.59,"10,999.00","18,268,054.00"
50,50,2021-04-22,"1,657.00","1,705.00","1,652.00","1,699.00",2.53,"9,531.00","16,016,646.00"
51,51,2021-04-21,"1,660.00","1,700.00","1,651.00","1,657.00",-0.72,"7,800.00","13,092,366.00"
52,52,2021-04-20,"1,640.00","1,695.00","1,640.00","1,669.00",0.36,"6,716.00","11,214,814.00"
53,53,2021-04-19,"1,675.00","1,705.00","1,655.00","1,663.00",0.85,"6,685.00","11,201,499.00"
54,54,2021-04-18,"1,685.00","1,705.00","1,649.00","1,649.00",-2.43,"6,155.00","10,339,466.00"
55,55,2021-04-15,"1,710.00","1,710.00","1,680.00","1,690.00",-0.53,"8,824.00","14,922,110.00"
56,56,2021-04-13,"1,765.00","1,765.00","1,690.00","1,699.00",-3.47,"21,503.00","36,728,433.00"
57,57,2021-04-12,"1,754.00","1,785.00","1,730.00","1,760.00",2.33,"15,508.00","27,200,035.00"
58,58,2021-04-08,"1,630.00","1,722.00","1,611.00","1,720.00",5.98,"25,197.00","42,549,549.00"
59,59,2021-04-07,"1,630.00","1,637.00","1,593.00","1,623.00",0.56,"9,225.00","14,981,464.00"
60,60,2021-04-06,"1,565.00","1,620.00","1,556.00","1,614.00",2.48,"8,190.00","13,117,811.00"
61,61,2021-04-05,"1,485.00","1,587.00","1,485.00","1,575.00",1.03,"4,683.00","7,344,351.00"
62,62,2021-04-04,"1,515.00","1,575.00","1,515.00","1,559.00",-0.38,"3,112.00","4,842,964.00"
63,63,2021-04-01,"1,590.00","1,600.00","1,552.00","1,565.00",-1.57,"5,228.00","8,202,638.00"
64,64,2021-03-31,"1,640.00","1,640.00","1,590.00","1,590.00",-1.36,"5,387.00","8,630,584.00"
65,65,2021-03-30,"1,566.00","1,615.00","1,555.00","1,612.00",3.20,"10,175.00","16,296,660.00"
66,66,2021-03-29,"1,564.00","1,580.00","1,526.00","1,562.00",2.76,"7,999.00","12,439,884.00"
67,67,2021-03-25,"1,553.00","1,554.00","1,511.00","1,520.00",-1.94,"5,977.00","9,158,351.00"
68,68,2021-03-24,"1,500.00","1,563.00","1,495.00","1,550.00",2.99,"7,278.00","11,187,182.00"
69,69,2021-03-23,"1,460.00","1,509.00","1,434.00","1,505.00",3.01,"1,990.00","2,945,245.00"
70,70,2021-03-22,"1,525.00","1,560.00","1,461.00","1,461.00",-3.25,"3,758.00","5,642,917.00"
71,71,2021-03-21,"1,458.00","1,545.00","1,430.00","1,510.00",5.59,"8,561.00","12,878,445.00"
