,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"3,380.00","3,380.00","3,312.00","3,315.00",-0.15,406.00,"1,356,145.00"
2,2,2021-06-30,"3,290.00","3,340.00","3,290.00","3,320.00",-0.90,430.00,"1,422,210.00"
3,3,2021-06-29,"3,496.00","3,496.00","3,320.00","3,350.00",0.60,"1,557.00","5,295,318.00"
4,4,2021-06-28,"3,350.00","3,375.00","3,330.00","3,330.00",1.15,"1,042.00","3,490,978.00"
5,5,2021-06-27,"3,365.00","3,366.00","3,265.00","3,292.00",-0.24,"1,082.00","3,589,477.00"
6,6,2021-06-24,"3,350.00","3,350.00","3,295.00","3,300.00",-0.60,"4,050.00","13,372,108.00"
7,7,2021-06-23,"3,395.00","3,400.00","3,301.00","3,320.00",-1.34,"1,129.00","3,783,753.00"
8,8,2021-06-22,"3,376.00","3,450.00","3,300.00","3,365.00",0.30,"2,645.00","8,908,880.00"
9,9,2021-06-21,"3,365.00","3,440.00","3,350.00","3,355.00",-2.04,"1,954.00","6,593,308.00"
10,10,2021-06-20,"3,500.00","3,500.00","3,422.00","3,425.00",-2.67,"1,049.00","3,618,289.00"
11,11,2021-06-17,"3,570.00","3,570.00","3,470.00","3,519.00",-0.45,"1,265.00","4,416,138.00"
12,12,2021-06-16,"3,530.00","3,670.00","3,460.00","3,535.00",2.08,"4,934.00","17,528,328.00"
13,13,2021-06-15,"3,500.00","3,500.00","3,461.00","3,463.00",-1.03,"1,292.00","4,489,254.00"
14,14,2021-06-14,"3,499.00","3,499.00","3,431.00","3,499.00",-0.03,"1,412.00","4,893,053.00"
15,15,2021-06-13,"3,559.00","3,630.00","3,475.00","3,500.00",0.29,"1,356.00","4,759,841.00"
16,16,2021-06-10,"3,489.00","3,630.00","3,470.00","3,490.00",0.03,"3,273.00","11,515,255.00"
17,17,2021-06-09,"3,520.00","3,530.00","3,460.00","3,489.00",-0.88,639.00,"2,236,624.00"
18,18,2021-06-08,"3,597.00","3,600.00","3,505.00","3,520.00",-0.28,"1,533.00","5,416,705.00"
19,19,2021-06-07,"3,556.00","3,620.00","3,520.00","3,530.00",-0.73,"2,572.00","9,162,501.00"
20,20,2021-06-06,"3,736.00","3,736.00","3,530.00","3,556.00",-0.08,"1,384.00","4,934,050.00"
21,21,2021-06-03,"3,500.00","3,672.00","3,480.00","3,559.00",0.25,"1,997.00","7,188,511.00"
22,22,2021-06-02,"3,325.00","3,649.00","3,300.00","3,550.00",6.29,"3,049.00","10,484,931.00"
23,23,2021-06-01,"3,359.00","3,360.00","3,302.00","3,340.00",-0.74,"3,423.00","11,395,745.00"
24,24,2021-05-31,"3,400.00","3,419.00","3,338.00","3,365.00",-2.32,"4,290.00","14,496,819.00"
25,25,2021-05-30,"3,500.00","3,500.00","3,432.00","3,445.00",-1.57,"2,778.00","9,615,348.00"
26,26,2021-05-27,"3,550.00","3,600.00","3,430.00","3,500.00",-3.10,"7,193.00","25,145,785.00"
27,27,2021-05-25,"3,635.00","3,635.00","3,582.00","3,612.00",-0.63,"3,578.00","12,899,756.00"
28,28,2021-05-24,"3,665.00","3,665.00","3,625.00","3,635.00",-0.95,"2,988.00","10,871,862.00"
29,29,2021-05-23,"3,645.00","3,698.00","3,626.00","3,670.00",-0.78,"2,643.00","9,714,666.00"
30,30,2021-05-20,"3,710.00","3,765.00","3,694.00","3,699.00",-0.30,"1,776.00","6,589,794.00"
31,31,2021-05-19,"3,747.00","3,800.00","3,690.00","3,710.00",0.98,"4,612.00","17,270,882.00"
32,32,2021-05-18,"3,699.00","3,709.00","3,670.00","3,674.00",0.25,"2,300.00","8,474,814.00"
33,33,2021-05-17,"3,733.00","3,734.00","3,646.00","3,665.00",0.11,"3,853.00","14,147,706.00"
34,34,2021-05-16,"3,700.00","3,700.00","3,621.00","3,661.00",-0.52,"5,312.00","19,407,701.00"
35,35,2021-05-13,"3,730.00","3,741.00","3,670.00","3,680.00",-1.34,"6,555.00","24,215,908.00"
36,36,2021-05-12,"3,800.00","3,830.00","3,700.00","3,730.00",-1.32,"3,231.00","12,128,469.00"
37,37,2021-05-11,"3,800.00","3,829.00","3,768.00","3,780.00",0.16,"2,797.00","10,610,694.00"
38,38,2021-05-10,"3,710.00","3,774.00","3,621.00","3,774.00",0.13,"4,908.00","18,181,161.00"
39,39,2021-05-09,"4,170.00","4,338.00","3,762.00","3,769.00",-5.11,"14,033.00","54,565,710.00"
40,40,2021-05-06,"3,791.00","3,972.00","3,791.00","3,972.00",10.00,"4,531.00","17,966,591.00"
41,41,2021-05-05,"5,360.00","5,500.00","5,300.00","5,395.00",0.65,"28,025.00","152,349,516.00"
42,42,2021-05-04,"5,320.00","5,421.00","5,294.00","5,360.00",0.75,"7,728.00","41,367,879.00"
43,43,2021-05-03,"5,150.00","5,323.00","5,115.00","5,320.00",4.01,"6,262.00","32,934,418.00"
44,44,2021-05-02,"4,935.00","5,115.00","4,900.00","5,115.00",4.71,"10,609.00","53,467,951.00"
45,45,2021-04-29,"4,711.00","4,890.00","4,711.00","4,885.00",1.77,"7,306.00","35,325,316.00"
46,46,2021-04-28,"4,896.00","4,896.00","4,760.00","4,800.00",0.00,"3,504.00","16,831,817.00"
47,47,2021-04-27,"4,700.00","4,820.00","4,640.00","4,800.00",3.63,"6,009.00","28,642,441.00"
48,48,2021-04-26,"4,670.00","4,800.00","4,528.00","4,632.00",-2.77,"7,510.00","34,846,710.00"
49,49,2021-04-25,"5,050.00","5,050.00","4,764.00","4,764.00",-3.76,"8,562.00","41,313,254.00"
50,50,2021-04-22,"4,950.00","5,120.00","4,947.00","4,950.00",0.00,"8,662.00","43,202,849.00"
51,51,2021-04-21,"4,900.00","5,000.00","4,790.00","4,950.00",5.34,"16,102.00","79,391,736.00"
52,52,2021-04-20,"4,500.00","4,783.00","4,500.00","4,699.00",7.53,"19,774.00","91,519,313.00"
53,53,2021-04-19,"4,326.00","4,420.00","4,325.00","4,370.00",-0.68,"2,168.00","9,470,385.00"
54,54,2021-04-18,"4,499.00","4,500.00","4,390.00","4,400.00",-1.28,"1,581.00","6,994,072.00"
55,55,2021-04-15,"4,500.00","4,501.00","4,452.00","4,457.00",-0.49,"2,401.00","10,762,193.00"
56,56,2021-04-13,"4,549.00","4,549.00","4,450.00","4,479.00",-1.13,"2,899.00","12,962,281.00"
57,57,2021-04-12,"4,596.00","4,596.00","4,500.00","4,530.00",0.42,"4,180.00","18,915,663.00"
58,58,2021-04-08,"4,550.00","4,570.00","4,475.00","4,511.00",0.24,"5,314.00","23,971,070.00"
59,59,2021-04-07,"4,434.00","4,510.00","4,415.00","4,500.00",1.49,"6,045.00","27,135,259.00"
60,60,2021-04-06,"4,307.00","4,434.00","4,307.00","4,434.00",2.88,"6,036.00","26,494,511.00"
61,61,2021-04-05,"4,300.00","4,392.00","4,245.00","4,310.00",0.70,"3,387.00","14,645,070.00"
62,62,2021-04-04,"4,425.00","4,425.00","4,250.00","4,280.00",-1.81,"2,641.00","11,402,578.00"
63,63,2021-04-01,"4,500.00","4,600.00","4,342.00","4,359.00",-2.79,"4,715.00","20,784,449.00"
64,64,2021-03-31,"4,549.00","4,549.00","4,470.00","4,484.00",0.31,"4,467.00","20,031,004.00"
65,65,2021-03-30,"4,225.00","4,480.00","4,225.00","4,470.00",4.05,"7,238.00","31,821,439.00"
66,66,2021-03-29,"4,347.00","4,347.00","4,165.00","4,296.00",3.77,"5,774.00","24,533,734.00"
67,67,2021-03-25,"4,000.00","4,200.00","4,000.00","4,140.00",4.49,"15,829.00","65,040,569.00"
68,68,2021-03-24,"3,997.00","3,997.00","3,951.00","3,962.00",-0.28,"2,336.00","9,290,270.00"
