,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,566.00","1,627.00","1,565.00","1,600.00",1.46,707.00,"1,123,818.00"
2,2,2021-06-30,"1,605.00","1,610.00","1,577.00","1,577.00",-1.62,352.00,"560,185.00"
3,3,2021-06-29,"1,653.00","1,686.00","1,603.00","1,603.00",-1.11,"1,077.00","1,765,304.00"
4,4,2021-06-28,"1,561.00","1,660.00","1,561.00","1,621.00",3.25,"1,956.00","3,196,294.00"
5,5,2021-06-27,"1,533.00","1,601.00","1,533.00","1,570.00",0.51,304.00,"473,314.00"
6,6,2021-06-24,"1,555.00","1,589.00","1,555.00","1,562.00",-1.51,"1,105.00","1,733,860.00"
7,7,2021-06-23,"1,603.00","1,605.00","1,586.00","1,586.00",-2.58,"1,251.00","1,993,965.00"
8,8,2021-06-22,"1,590.00","1,628.00","1,590.00","1,628.00",2.39,"1,197.00","1,924,980.00"
9,9,2021-06-21,"1,650.00","1,650.00","1,590.00","1,590.00",-1.73,"2,155.00","3,449,075.00"
10,10,2021-06-20,"1,642.00","1,645.00","1,618.00","1,618.00",-2.82,"1,785.00","2,920,380.00"
11,11,2021-06-17,"1,661.00","1,692.00","1,651.00","1,665.00",-0.60,"1,416.00","2,359,052.00"
12,12,2021-06-16,"1,670.00","1,749.00","1,670.00","1,675.00",1.70,"7,144.00","12,256,211.00"
13,13,2021-06-15,"1,648.00","1,727.00","1,645.00","1,647.00",1.10,"4,556.00","7,598,835.00"
14,14,2021-06-14,"1,621.00","1,635.00","1,621.00","1,629.00",-0.37,"3,106.00","5,058,718.00"
15,15,2021-06-13,"1,631.00","1,646.00","1,630.00","1,635.00",-0.91,"1,880.00","3,082,714.00"
16,16,2021-06-10,"1,660.00","1,660.00","1,647.00","1,650.00",-1.49,"1,087.00","1,794,561.00"
17,17,2021-06-09,"1,650.00","1,688.00","1,650.00","1,675.00",1.82,"1,829.00","3,051,211.00"
18,18,2021-06-08,"1,666.00","1,680.00","1,637.00","1,645.00",-1.44,"4,227.00","6,979,079.00"
19,19,2021-06-07,"1,710.00","1,718.00","1,668.00","1,669.00",-0.95,"1,118.00","1,890,044.00"
20,20,2021-06-06,"1,700.00","1,700.00","1,680.00","1,685.00",-1.46,658.00,"1,109,168.00"
21,21,2021-06-03,"1,720.00","1,734.00","1,700.00","1,710.00",1.24,"2,074.00","3,555,125.00"
22,22,2021-06-02,"1,670.00","1,690.00","1,664.00","1,689.00",3.11,"2,381.00","3,993,537.00"
23,23,2021-06-01,"1,675.00","1,675.00","1,638.00","1,638.00",-1.03,945.00,"1,558,902.00"
