,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,338.00","1,354.00","1,321.00","1,341.00",0.15,"4,133.00","5,543,787.00"
2,2,2021-06-30,"1,350.00","1,350.00","1,324.00","1,339.00",-1.54,"3,177.00","4,220,494.00"
3,3,2021-06-29,"1,365.00","1,412.00","1,346.00","1,360.00",1.57,"10,823.00","14,894,715.00"
4,4,2021-06-28,"1,296.00","1,390.00","1,295.00","1,339.00",3.40,"11,322.00","15,195,554.00"
5,5,2021-06-27,"1,270.00","1,309.00","1,270.00","1,295.00",0.00,"2,496.00","3,240,862.00"
6,6,2021-06-24,"1,303.00","1,325.00","1,275.00","1,295.00",-0.61,"5,511.00","7,126,274.00"
7,7,2021-06-23,"1,335.00","1,340.00","1,300.00","1,303.00",-3.05,"4,293.00","5,655,185.00"
8,8,2021-06-22,"1,330.00","1,358.00","1,330.00","1,344.00",1.20,"3,349.00","4,515,592.00"
9,9,2021-06-21,"1,336.00","1,360.00","1,324.00","1,328.00",-2.42,"6,498.00","8,682,963.00"
10,10,2021-06-20,"1,401.00","1,406.00","1,345.00","1,361.00",-3.82,"14,245.00","19,352,038.00"
11,11,2021-06-17,"1,435.00","1,435.00","1,400.00","1,415.00",-1.19,"4,116.00","5,806,396.00"
12,12,2021-06-16,"1,364.00","1,471.00","1,363.00","1,432.00",5.06,"19,809.00","28,549,752.00"
13,13,2021-06-15,"1,379.00","1,380.00","1,362.00","1,363.00",-0.51,"5,436.00","7,433,580.00"
14,14,2021-06-14,"1,390.00","1,395.00","1,365.00","1,370.00",-0.36,"6,339.00","8,761,675.00"
15,15,2021-06-13,"1,395.00","1,395.00","1,366.00","1,375.00",-1.29,"9,441.00","13,025,341.00"
16,16,2021-06-10,"1,407.00","1,410.00","1,385.00","1,393.00",-0.92,"6,273.00","8,761,561.00"
17,17,2021-06-09,"1,405.00","1,459.00","1,403.00","1,406.00",0.14,"5,929.00","8,370,618.00"
18,18,2021-06-08,"1,402.00","1,428.00","1,402.00","1,404.00",-0.99,"4,678.00","6,606,078.00"
19,19,2021-06-07,"1,419.00","1,435.00","1,417.00","1,418.00",-0.98,"4,754.00","6,769,397.00"
20,20,2021-06-06,"1,441.00","1,460.00","1,422.00","1,432.00",-0.62,"3,520.00","5,054,845.00"
21,21,2021-06-03,"1,435.00","1,460.00","1,415.00","1,441.00",2.05,"6,220.00","9,016,729.00"
22,22,2021-06-02,"1,402.00","1,430.00","1,402.00","1,412.00",0.00,"7,312.00","10,355,330.00"
23,23,2021-06-01,"1,400.00","1,435.00","1,400.00","1,412.00",-0.98,"6,455.00","9,209,054.00"
24,24,2021-05-31,"1,447.00","1,447.00","1,410.00","1,426.00",0.07,"10,732.00","15,327,332.00"
