,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,212.00","2,254.00","2,209.00","2,210.00",-2.00,"4,381.00","9,710,174.00"
2,2,2021-06-30,"2,269.00","2,269.00","2,176.00","2,255.00",0.27,"2,220.00","4,903,061.00"
3,3,2021-06-29,"2,360.00","2,360.00","2,200.00","2,249.00",0.00,"6,532.00","14,761,232.00"
4,4,2021-06-28,"2,162.00","2,249.00","2,162.00","2,249.00",3.31,"4,765.00","10,576,914.00"
5,5,2021-06-27,"2,110.00","2,177.00","2,110.00","2,177.00",1.26,"1,697.00","3,618,026.00"
6,6,2021-06-24,"2,150.00","2,193.00","2,109.00","2,150.00",-1.96,"2,064.00","4,399,899.00"
7,7,2021-06-23,"2,190.00","2,193.00","2,140.00","2,193.00",-0.54,"1,957.00","4,222,062.00"
8,8,2021-06-22,"2,213.00","2,257.00","2,128.00","2,205.00",1.61,"2,590.00","5,706,478.00"
9,9,2021-06-21,"2,200.00","2,260.00","2,151.00","2,170.00",-2.34,"4,577.00","10,027,099.00"
10,10,2021-06-20,"2,210.00","2,222.00","2,165.00","2,222.00",-0.76,"4,029.00","8,793,694.00"
11,11,2021-06-17,"2,260.00","2,275.00","2,200.00","2,239.00",0.18,"3,164.00","7,043,932.00"
12,12,2021-06-16,"2,120.00","2,351.00","2,120.00","2,235.00",1.54,"10,570.00","24,055,215.00"
13,13,2021-06-15,"2,212.00","2,235.00","2,200.00","2,201.00",-0.99,"5,037.00","11,126,253.00"
14,14,2021-06-14,"2,225.00","2,250.00","2,223.00","2,223.00",-1.20,"5,240.00","11,707,332.00"
15,15,2021-06-13,"2,270.00","2,333.00","2,215.00","2,250.00",-1.66,"10,419.00","23,494,233.00"
16,16,2021-06-10,"2,200.00","2,288.00","2,200.00","2,288.00",2.79,"8,869.00","19,828,485.00"
17,17,2021-06-09,"2,378.00","2,378.00","2,215.00","2,226.00",-1.72,"10,879.00","24,586,246.00"
