,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,590.00","1,591.00","1,539.00","1,539.00",-1.35,"5,992.00","9,339,951.00"
2,2,2021-06-30,"1,550.00","1,592.00","1,530.00","1,560.00",-0.06,"5,917.00","9,200,045.00"
3,3,2021-06-29,"1,585.00","1,616.00","1,550.00","1,561.00",0.39,"16,080.00","25,620,975.00"
4,4,2021-06-28,"1,538.00","1,594.00","1,533.00","1,555.00",2.50,"15,038.00","23,516,059.00"
5,5,2021-06-27,"1,522.00","1,523.00","1,498.00","1,517.00",1.54,"5,744.00","8,650,021.00"
6,6,2021-06-24,"1,505.00","1,522.00","1,492.00","1,494.00",-2.48,"11,069.00","16,604,908.00"
7,7,2021-06-23,"1,584.00","1,590.00","1,510.00","1,532.00",-1.42,"12,604.00","19,315,575.00"
8,8,2021-06-22,"1,540.00","1,600.00","1,530.00","1,554.00",1.04,"13,307.00","20,588,106.00"
9,9,2021-06-21,"1,571.00","1,600.00","1,538.00","1,538.00",-3.27,"16,285.00","25,386,960.00"
10,10,2021-06-20,"1,650.00","1,650.00","1,576.00","1,590.00",-3.34,"19,131.00","30,652,491.00"
11,11,2021-06-17,"1,690.00","1,702.00","1,640.00","1,645.00",-1.50,"9,698.00","16,028,042.00"
12,12,2021-06-16,"1,619.00","1,740.00","1,616.00","1,670.00",2.02,"34,145.00","57,952,282.00"
13,13,2021-06-15,"1,642.00","1,655.00","1,632.00","1,637.00",-1.68,"9,989.00","16,370,447.00"
14,14,2021-06-14,"1,643.00","1,671.00","1,643.00","1,665.00",-0.60,"13,790.00","22,844,910.00"
15,15,2021-06-13,"1,614.00","1,711.00","1,614.00","1,675.00",-1.35,"19,564.00","32,832,178.00"
16,16,2021-06-10,"1,770.00","1,770.00","1,658.00","1,698.00",0.41,"22,717.00","37,861,132.00"
17,17,2021-06-09,"1,737.00","1,737.00","1,691.00","1,691.00",-2.70,"9,118.00","15,596,861.00"
18,18,2021-06-08,"1,760.00","1,760.00","1,671.00","1,738.00",-2.85,"22,400.00","38,461,930.00"
19,19,2021-06-07,"1,700.00","1,789.00","1,668.00","1,789.00",4.68,"11,943.00","20,222,882.00"
20,20,2021-06-06,"1,720.00","1,741.00","1,700.00","1,709.00",-1.84,"7,371.00","12,600,733.00"
21,21,2021-06-03,"1,771.00","1,779.00","1,730.00","1,741.00",-1.69,"21,404.00","37,608,338.00"
22,22,2021-06-02,"1,635.00","1,771.00","1,635.00","1,771.00",8.32,"16,215.00","26,943,931.00"
23,23,2021-06-01,"1,685.00","1,685.00","1,628.00","1,635.00",-1.03,"7,473.00","12,299,464.00"
24,24,2021-05-31,"1,652.00","1,700.00","1,606.00","1,652.00",1.16,"18,992.00","31,279,286.00"
25,25,2021-05-30,"1,680.00","1,710.00","1,630.00","1,633.00",-3.32,"29,080.00","48,083,052.00"
26,26,2021-05-27,"1,691.00","1,750.00","1,658.00","1,689.00",-5.06,"39,755.00","67,224,011.00"
27,27,2021-05-25,"1,752.00","1,806.00","1,752.00","1,779.00",-0.06,"12,065.00","21,510,971.00"
28,28,2021-05-24,"1,800.00","1,800.00","1,780.00","1,780.00",-1.06,"13,362.00","23,909,160.00"
29,29,2021-05-23,"1,788.00","1,809.00","1,770.00","1,799.00",-0.72,"11,285.00","20,231,103.00"
30,30,2021-05-20,"1,818.00","1,820.00","1,802.00","1,812.00",-0.60,"12,065.00","21,847,840.00"
31,31,2021-05-19,"1,853.00","1,860.00","1,810.00","1,823.00",-1.09,"23,158.00","42,500,337.00"
32,32,2021-05-18,"1,848.00","1,851.00","1,832.00","1,843.00",-0.27,"19,363.00","35,720,174.00"
33,33,2021-05-17,"1,875.00","1,882.00","1,841.00","1,848.00",-1.39,"20,427.00","38,030,651.00"
34,34,2021-05-16,"1,825.00","1,888.00","1,801.00","1,874.00",2.80,"36,432.00","67,172,688.00"
35,35,2021-05-13,"1,790.00","1,850.00","1,790.00","1,823.00",1.84,"35,860.00","65,241,236.00"
36,36,2021-05-12,"1,804.00","1,804.00","1,765.00","1,790.00",-0.17,"24,380.00","43,457,869.00"
37,37,2021-05-11,"1,787.00","1,815.00","1,760.00","1,793.00",0.22,"21,696.00","38,902,496.00"
38,38,2021-05-10,"1,805.00","1,805.00","1,769.00","1,789.00",-2.72,"17,550.00","31,402,583.00"
39,39,2021-05-09,"1,989.00","1,989.00","1,756.00","1,839.00",-2.96,"39,784.00","72,318,653.00"
40,40,2021-05-06,"1,761.00","1,940.00","1,726.00","1,895.00",5.51,"46,173.00","82,565,882.00"
41,41,2021-05-05,"1,808.00","1,808.00","1,704.00","1,796.00",4.30,"54,023.00","96,213,018.00"
