,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,220.00","2,230.00","2,178.00","2,178.00",-0.14,"1,496.00","3,296,294.00"
2,2,2021-06-30,"2,230.00","2,235.00","2,150.00","2,181.00",-1.98,"1,729.00","3,772,710.00"
3,3,2021-06-29,"2,352.00","2,352.00","2,223.00","2,225.00",-0.67,"4,386.00","10,171,684.00"
4,4,2021-06-28,"2,115.00","2,355.00","2,115.00","2,240.00",4.43,"4,095.00","8,985,912.00"
5,5,2021-06-27,"2,215.00","2,215.00","2,131.00","2,145.00",-3.07,"1,338.00","2,891,976.00"
6,6,2021-06-24,"2,200.00","2,213.00","2,157.00","2,213.00",0.59,"3,158.00","6,872,951.00"
7,7,2021-06-23,"2,236.00","2,236.00","2,149.00","2,200.00",-3.42,"1,984.00","4,338,879.00"
8,8,2021-06-22,"2,283.00","2,283.00","2,200.00","2,278.00",1.74,"2,024.00","4,534,853.00"
9,9,2021-06-21,"2,225.00","2,290.00","2,190.00","2,239.00",-1.32,"4,968.00","10,957,544.00"
10,10,2021-06-20,"2,230.00","2,360.00","2,230.00","2,269.00",-3.28,"4,115.00","9,375,875.00"
11,11,2021-06-17,"2,499.00","2,499.00","2,300.00","2,346.00",-1.43,"2,072.00","4,801,819.00"
12,12,2021-06-16,"2,317.00","2,473.00","2,294.00","2,380.00",2.59,"11,236.00","26,815,595.00"
13,13,2021-06-15,"2,277.00","2,320.00","2,195.00","2,320.00",1.89,"10,953.00","24,451,218.00"
14,14,2021-06-14,"2,260.00","2,300.00","2,260.00","2,277.00",0.26,"1,501.00","3,416,741.00"
15,15,2021-06-13,"2,309.00","2,315.00","2,271.00","2,271.00",0.04,"4,004.00","9,194,646.00"
16,16,2021-06-10,"2,300.00","2,337.00","2,260.00","2,270.00",-1.30,"3,480.00","7,924,949.00"
17,17,2021-06-09,"2,297.00","2,413.00","2,296.00","2,300.00",-0.86,"2,713.00","6,271,584.00"
18,18,2021-06-08,"2,487.00","2,487.00","2,294.00","2,320.00",-2.07,"3,556.00","8,275,010.00"
19,19,2021-06-07,"2,450.00","2,450.00","2,327.00","2,369.00",-2.11,"6,166.00","14,536,534.00"
20,20,2021-06-06,"2,310.00","2,427.00","2,276.00","2,420.00",6.84,"29,470.00","68,695,493.00"
21,21,2021-06-03,"2,205.00","2,345.00","2,205.00","2,265.00",0.67,"4,512.00","10,303,663.00"
22,22,2021-06-02,"2,210.00","2,295.00","2,169.00","2,250.00",1.81,"7,378.00","16,209,589.00"
23,23,2021-06-01,"2,341.00","2,341.00","2,176.00","2,210.00",-0.90,"6,969.00","15,399,189.00"
24,24,2021-05-31,"2,306.00","2,320.00","2,193.00","2,230.00",-3.30,"11,463.00","25,636,069.00"
25,25,2021-05-30,"2,450.00","2,450.00","2,274.00","2,306.00",-5.49,"10,174.00","23,863,328.00"
26,26,2021-05-27,"2,260.00","2,509.00","2,188.00","2,440.00",2.61,"17,274.00","39,898,748.00"
27,27,2021-05-25,"2,400.00","2,440.00","2,333.00","2,378.00",-0.96,"8,373.00","19,903,760.00"
28,28,2021-05-24,"2,534.00","2,540.00","2,400.00","2,401.00",-3.96,"16,679.00","40,620,927.00"
29,29,2021-05-23,"2,431.00","2,510.00","2,385.00","2,500.00",0.81,"14,147.00","34,835,681.00"
30,30,2021-05-20,"2,339.00","2,480.00","2,338.00","2,480.00",6.07,"33,442.00","80,814,039.00"
31,31,2021-05-19,"2,260.00","2,350.00","2,240.00","2,338.00",4.19,"25,127.00","57,923,668.00"
32,32,2021-05-18,"2,010.00","2,244.00","2,010.00","2,244.00",10.00,"24,415.00","52,856,829.00"
33,33,2021-05-17,"2,059.00","2,059.00","2,010.00","2,040.00",0.00,"10,841.00","22,045,076.00"
34,34,2021-05-16,"2,025.00","2,050.00","2,002.00","2,040.00",2.05,"8,282.00","16,775,593.00"
35,35,2021-05-13,"1,999.00","2,015.00","1,990.00","1,999.00",0.20,"8,798.00","17,621,410.00"
36,36,2021-05-12,"2,007.00","2,007.00","1,969.00","1,995.00",-0.60,"5,041.00","9,993,160.00"
37,37,2021-05-11,"1,988.00","2,015.00","1,966.00","2,007.00",0.96,"5,412.00","10,783,815.00"
38,38,2021-05-10,"1,955.00","2,000.00","1,900.00","1,988.00",1.95,"9,266.00","18,073,165.00"
39,39,2021-05-09,"1,945.00","1,950.00","1,900.00","1,950.00",-1.66,"11,857.00","22,856,176.00"
40,40,2021-05-06,"1,976.00","2,005.00","1,925.00","1,983.00",-0.10,"13,516.00","26,542,961.00"
41,41,2021-05-05,"2,100.00","2,100.00","1,970.00","1,985.00",-2.46,"19,414.00","39,351,171.00"
42,42,2021-05-04,"1,938.00","2,035.00","1,882.00","2,035.00",7.11,"23,552.00","46,175,059.00"
43,43,2021-05-03,"1,900.00","1,940.00","1,877.00","1,900.00",1.88,"16,549.00","31,567,815.00"
44,44,2021-05-02,"1,860.00","1,865.00","1,800.00","1,865.00",5.25,"19,224.00","35,329,962.00"
45,45,2021-04-29,"1,820.00","1,820.00","1,761.00","1,772.00",0.40,930.00,"1,656,661.00"
46,46,2021-04-28,"1,833.00","1,833.00","1,735.00","1,765.00",-1.84,"2,728.00","4,839,486.00"
47,47,2021-04-27,"1,769.00","1,803.00","1,725.00","1,798.00",3.63,"5,421.00","9,601,674.00"
48,48,2021-04-26,"1,749.00","1,783.00","1,711.00","1,735.00",-0.17,"7,400.00","12,780,474.00"
49,49,2021-04-25,"1,890.00","1,890.00","1,715.00","1,738.00",-3.44,"3,931.00","6,940,714.00"
50,50,2021-04-22,"1,837.00","1,837.00","1,755.00","1,800.00",2.86,"11,795.00","21,285,563.00"
51,51,2021-04-21,"1,858.00","1,858.00","1,741.00","1,750.00",-1.13,"10,464.00","18,553,574.00"
52,52,2021-04-20,"1,800.00","1,808.00","1,740.00","1,770.00",1.90,"5,699.00","10,115,576.00"
53,53,2021-04-19,"1,848.00","1,848.00","1,737.00","1,737.00",-1.31,"6,030.00","10,650,632.00"
54,54,2021-04-18,"1,869.00","1,869.00","1,737.00","1,760.00",-1.12,"3,222.00","5,692,400.00"
55,55,2021-04-15,"1,847.00","1,847.00","1,733.00","1,780.00",-0.84,"4,588.00","8,109,019.00"
56,56,2021-04-13,"1,926.00","1,970.00","1,780.00","1,795.00",-2.18,"11,609.00","21,049,431.00"
57,57,2021-04-12,"1,862.00","1,862.00","1,784.00","1,835.00",3.44,"9,907.00","18,039,687.00"
58,58,2021-04-08,"1,785.00","1,785.00","1,717.00","1,774.00",4.35,"10,286.00","18,033,536.00"
59,59,2021-04-07,"1,700.00","1,734.00","1,668.00","1,700.00",1.80,"5,185.00","8,858,433.00"
60,60,2021-04-06,"1,743.00","1,743.00","1,625.00","1,670.00",0.60,"3,232.00","5,364,250.00"
61,61,2021-04-05,"1,695.00","1,700.00","1,638.00","1,660.00",-0.12,"1,462.00","2,426,228.00"
62,62,2021-04-04,"1,737.00","1,737.00","1,660.00","1,662.00",0.42,"3,364.00","5,659,549.00"
63,63,2021-04-01,"1,730.00","1,730.00","1,655.00","1,655.00",-2.47,"2,414.00","4,054,251.00"
64,64,2021-03-31,"1,724.00","1,758.00","1,697.00","1,697.00",0.35,"3,166.00","5,485,090.00"
65,65,2021-03-30,"1,674.00","1,708.00","1,660.00","1,691.00",2.98,"6,717.00","11,338,570.00"
66,66,2021-03-29,"1,874.00","1,874.00","1,785.00","1,839.00",3.03,"20,992.00","38,380,519.00"
67,67,2021-03-25,"1,846.00","1,880.00","1,775.00","1,785.00",-1.38,"5,499.00","9,921,735.00"
68,68,2021-03-24,"1,825.00","1,860.00","1,766.00","1,810.00",2.67,"9,547.00","17,218,718.00"
69,69,2021-03-23,"1,725.00","1,782.00","1,666.00","1,763.00",3.71,"8,096.00","14,085,428.00"
70,70,2021-03-22,"1,820.00","1,824.00","1,698.00","1,700.00",-2.19,"6,266.00","10,918,836.00"
71,71,2021-03-21,"1,659.00","1,738.00","1,567.00","1,738.00",10.00,"12,014.00","20,395,982.00"
72,72,2021-03-18,"1,625.00","1,625.00","1,561.00","1,580.00",0.64,"4,648.00","7,316,071.00"
73,73,2021-03-17,"1,568.00","1,599.00","1,512.00","1,570.00",2.08,"2,986.00","4,649,214.00"
74,74,2021-03-16,"1,563.00","1,625.00","1,500.00","1,538.00",3.29,"5,518.00","8,559,364.00"
75,75,2021-03-15,"1,525.00","1,525.00","1,475.00","1,489.00",-1.06,"3,697.00","5,525,953.00"
76,76,2021-03-14,"1,555.00","1,586.00","1,500.00","1,505.00",-1.31,"3,419.00","5,193,725.00"
77,77,2021-03-10,"1,670.00","1,670.00","1,522.00","1,525.00",-4.15,"5,334.00","8,219,575.00"
78,78,2021-03-09,"1,668.00","1,701.00","1,585.00","1,591.00",-4.62,"9,252.00","14,836,190.00"
79,79,2021-03-07,"1,700.00","1,740.00","1,650.00","1,668.00",-1.88,"2,977.00","4,992,350.00"
80,80,2021-03-04,"1,640.00","1,715.00","1,640.00","1,700.00",4.36,"3,278.00","5,530,285.00"
81,81,2021-03-03,"1,620.00","1,650.00","1,617.00","1,629.00",-1.27,"3,606.00","5,858,664.00"
82,82,2021-03-02,"1,785.00","1,785.00","1,630.00","1,650.00",-2.94,"3,622.00","5,970,578.00"
83,83,2021-03-01,"1,598.00","1,726.00","1,598.00","1,700.00",1.07,"4,071.00","6,905,608.00"
84,84,2021-02-28,"1,725.00","1,725.00","1,650.00","1,682.00",-3.83,"7,666.00","12,834,949.00"
85,85,2021-02-25,"1,858.00","1,858.00","1,720.00","1,749.00",-1.19,"3,193.00","5,564,419.00"
86,86,2021-02-24,"1,888.00","1,888.00","1,760.00","1,770.00",-1.61,"5,456.00","9,850,047.00"
87,87,2021-02-23,"1,801.00","1,801.00","1,701.00","1,799.00",-0.11,"6,036.00","10,553,551.00"
88,88,2021-02-22,"1,845.00","1,855.00","1,800.00","1,801.00",-2.38,"3,150.00","5,714,234.00"
89,89,2021-02-21,"1,838.00","1,850.00","1,820.00","1,845.00",-1.55,"2,708.00","4,966,721.00"
90,90,2021-02-18,"1,993.00","1,993.00","1,830.00","1,874.00",-1.32,"2,980.00","5,509,225.00"
91,91,2021-02-17,"1,969.00","1,969.00","1,880.00","1,899.00",-1.71,"3,323.00","6,283,474.00"
92,92,2021-02-16,"2,019.00","2,050.00","1,897.00","1,932.00",-2.42,"6,218.00","12,056,386.00"
93,93,2021-02-15,"1,836.00","1,980.00","1,836.00","1,980.00",10.00,"8,665.00","16,891,365.00"
94,94,2021-02-14,"1,912.00","1,912.00","1,790.00","1,800.00",-1.15,"3,483.00","6,322,388.00"
95,95,2021-02-11,"1,920.00","1,950.00","1,800.00","1,821.00",-4.91,"11,368.00","20,953,055.00"
96,96,2021-02-10,"1,969.00","1,970.00","1,864.00","1,915.00",-0.88,"7,032.00","13,458,589.00"
97,97,2021-02-09,"2,089.00","2,089.00","1,894.00","1,932.00",-2.91,"13,454.00","25,899,726.00"
98,98,2021-02-08,"2,035.00","2,195.00","1,940.00","1,990.00",-0.30,"13,096.00","26,679,061.00"
99,99,2021-02-07,"1,851.00","1,996.00","1,851.00","1,996.00",9.97,"22,131.00","43,679,503.00"
100,100,2021-02-04,"1,740.00","1,820.00","1,740.00","1,815.00",4.91,"13,615.00","24,465,413.00"
101,101,2021-02-03,"1,764.00","1,800.00","1,707.00","1,730.00",0.00,"7,614.00","13,298,520.00"
102,102,2021-02-02,"1,674.00","1,752.00","1,674.00","1,730.00",5.36,"5,962.00","10,262,863.00"
103,103,2021-02-01,"1,678.00","1,720.00","1,618.00","1,642.00",-2.15,"7,889.00","13,084,095.00"
104,104,2021-01-31,"1,734.00","1,768.00","1,676.00","1,678.00",-1.29,"6,409.00","10,959,844.00"
105,105,2021-01-28,"1,822.00","1,822.00","1,700.00","1,700.00",-5.82,"9,313.00","16,307,245.00"
106,106,2021-01-27,"1,775.00","1,810.00","1,775.00","1,805.00",2.56,"5,935.00","10,642,333.00"
107,107,2021-01-26,"1,772.00","1,800.00","1,739.00","1,760.00",-2.22,"4,023.00","7,070,229.00"
108,108,2021-01-25,"1,783.00","1,800.00","1,682.00","1,800.00",2.92,"11,274.00","19,980,433.00"
109,109,2021-01-24,"1,621.00","1,749.00","1,621.00","1,749.00",10.00,"10,514.00","17,965,522.00"
110,110,2021-01-21,"1,510.00","1,618.00","1,510.00","1,590.00",5.44,"4,436.00","7,022,336.00"
111,111,2021-01-20,"1,445.00","1,550.00","1,445.00","1,508.00",2.59,"5,510.00","8,246,926.00"
112,112,2021-01-19,"1,530.00","1,532.00","1,465.00","1,470.00",-2.13,"6,735.00","10,065,394.00"
113,113,2021-01-18,"1,480.00","1,504.00","1,471.00","1,502.00",2.11,"7,024.00","10,491,479.00"
114,114,2021-01-17,"1,413.00","1,471.00","1,373.00","1,471.00",6.13,"9,709.00","13,601,188.00"
