,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"4,700.00","4,750.00","4,650.00","4,699.00",-1.49,"1,644.00","7,738,796.00"
2,2,2021-06-30,"4,700.00","4,784.00","4,660.00","4,770.00",0.85,"1,270.00","5,977,236.00"
3,3,2021-06-29,"5,040.00","5,040.00","4,721.00","4,730.00",-1.46,"2,746.00","13,335,134.00"
4,4,2021-06-28,"4,601.00","4,810.00","4,601.00","4,800.00",3.00,"3,633.00","17,271,655.00"
5,5,2021-06-27,"4,750.00","4,763.00","4,585.00","4,660.00",-0.21,"1,252.00","5,813,735.00"
6,6,2021-06-24,"4,670.00","4,814.00","4,640.00","4,670.00",0.00,"2,422.00","11,417,707.00"
7,7,2021-06-23,"4,720.00","4,814.00","4,635.00","4,670.00",-2.71,"2,396.00","11,269,137.00"
8,8,2021-06-22,"4,800.00","4,840.00","4,705.00","4,800.00",1.48,"3,538.00","16,943,480.00"
9,9,2021-06-21,"4,765.00","4,936.00","4,704.00","4,730.00",-2.27,"4,168.00","19,922,822.00"
10,10,2021-06-20,"5,100.00","5,100.00","4,750.00","4,840.00",-3.28,"7,297.00","35,528,752.00"
11,11,2021-06-17,"5,135.00","5,237.00","5,000.00","5,004.00",-0.62,"3,842.00","19,352,095.00"
12,12,2021-06-16,"5,030.00","5,304.00","4,875.00","5,035.00",0.10,"7,023.00","35,651,030.00"
13,13,2021-06-15,"5,100.00","5,300.00","5,002.00","5,030.00",-0.40,"4,994.00","25,312,697.00"
14,14,2021-06-14,"5,170.00","5,170.00","5,050.00","5,050.00",-1.02,"5,019.00","25,433,879.00"
15,15,2021-06-13,"5,188.00","5,400.00","5,101.00","5,102.00",-1.66,"4,948.00","25,485,265.00"
16,16,2021-06-10,"5,250.00","5,330.00","5,150.00","5,188.00",-0.84,"5,106.00","26,571,331.00"
17,17,2021-06-09,"5,560.00","5,560.00","5,050.00","5,232.00",-1.26,"5,274.00","27,925,821.00"
18,18,2021-06-08,"5,500.00","5,600.00","5,250.00","5,299.00",-1.69,"7,851.00","42,046,732.00"
19,19,2021-06-07,"5,488.00","5,749.00","4,999.00","5,390.00",3.12,"39,897.00","222,177,513.00"
20,20,2021-06-06,"4,989.00","5,227.00","4,989.00","5,227.00",10.00,"19,299.00","100,573,063.00"
21,21,2021-06-03,"4,320.00","4,752.00","4,320.00","4,752.00",10.00,"13,953.00","64,960,892.00"
22,22,2021-06-02,"4,280.00","4,330.00","4,273.00","4,320.00",0.35,"3,588.00","15,408,101.00"
23,23,2021-06-01,"4,300.00","4,350.00","4,290.00","4,305.00",-0.39,"3,375.00","14,574,648.00"
24,24,2021-05-31,"4,315.00","4,400.00","4,314.00","4,322.00",-0.39,"4,288.00","18,639,343.00"
25,25,2021-05-30,"4,400.00","4,484.00","4,303.00","4,339.00",-1.39,"5,070.00","22,197,084.00"
26,26,2021-05-27,"4,500.00","4,504.00","4,388.00","4,400.00",-3.74,"12,727.00","56,644,787.00"
27,27,2021-05-25,"4,580.00","4,600.00","4,561.00","4,571.00",-0.26,"3,725.00","17,050,637.00"
28,28,2021-05-24,"4,565.00","4,620.00","4,565.00","4,583.00",-0.15,"5,060.00","23,225,345.00"
29,29,2021-05-23,"4,525.00","4,618.00","4,525.00","4,590.00",-0.54,"4,561.00","20,951,809.00"
30,30,2021-05-20,"4,530.00","4,650.00","4,530.00","4,615.00",0.33,"8,460.00","39,013,187.00"
31,31,2021-05-19,"4,673.00","4,674.00","4,578.00","4,600.00",-0.97,"6,930.00","32,045,519.00"
32,32,2021-05-18,"4,620.00","4,665.00","4,620.00","4,645.00",0.15,"8,135.00","37,748,055.00"
33,33,2021-05-17,"4,650.00","4,664.00","4,605.00","4,638.00",-0.41,"7,610.00","35,339,630.00"
34,34,2021-05-16,"4,570.00","4,660.00","4,560.00","4,657.00",1.57,"11,595.00","53,522,330.00"
35,35,2021-05-13,"4,670.00","4,670.00","4,584.00","4,585.00",-1.82,"9,166.00","42,227,030.00"
36,36,2021-05-12,"4,700.00","4,700.00","4,651.00","4,670.00",-1.16,"6,316.00","29,518,167.00"
37,37,2021-05-11,"4,700.00","4,800.00","4,650.00","4,725.00",0.53,"6,971.00","32,935,938.00"
38,38,2021-05-10,"4,400.00","4,845.00","4,263.00","4,700.00",3.82,"28,160.00","125,312,004.00"
39,39,2021-05-09,"5,281.00","5,493.00","4,527.00","4,527.00",-10.00,"51,088.00","236,773,164.00"
40,40,2021-05-06,"4,801.00","5,030.00","4,801.00","5,030.00",9.99,"12,843.00","64,582,500.00"
41,41,2021-05-05,"4,365.00","4,573.00","4,365.00","4,573.00",9.98,"2,245.00","10,248,945.00"
42,42,2021-05-04,"3,969.00","4,158.00","3,969.00","4,158.00",10.00,"2,430.00","10,096,790.00"
43,43,2021-05-03,"3,608.00","3,780.00","3,608.00","3,780.00",9.98,"2,420.00","9,139,450.00"
44,44,2021-05-02,"3,281.00","3,437.00","3,281.00","3,437.00",9.98,"1,810.00","6,201,555.00"
45,45,2021-04-29,"2,979.00","3,125.00","2,979.00","3,125.00",10.00,"1,850.00","5,778,640.00"
46,46,2021-04-28,"2,712.00","2,841.00","2,712.00","2,841.00",9.99,"1,280.00","3,632,950.00"
47,47,2021-04-27,"2,466.00","2,583.00","2,466.00","2,583.00",9.96,"1,390.00","3,586,890.00"
48,48,2021-04-26,"2,178.00","2,349.00","2,178.00","2,349.00",9.97,"1,231.00","2,887,399.00"
49,49,2021-04-25,"1,980.00","2,136.00","1,980.00","2,136.00",9.99,"1,025.00","2,185,405.00"
50,50,2021-04-22,"1,801.00","1,942.00","1,801.00","1,942.00",9.97,370.00,"715,070.00"
