,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,641.00","1,705.00","1,630.00","1,666.00",1.90,"12,208.00","20,483,278.00"
2,2,2021-06-30,"1,687.00","1,688.00","1,600.00","1,635.00",-1.21,"4,640.00","7,522,845.00"
3,3,2021-06-29,"1,655.00","1,730.00","1,622.00","1,655.00",0.61,"7,267.00","12,260,482.00"
4,4,2021-06-28,"1,624.00","1,683.00","1,609.00","1,645.00",3.20,"8,572.00","14,007,878.00"
5,5,2021-06-27,"1,602.00","1,626.00","1,594.00","1,594.00",-0.19,"3,624.00","5,836,351.00"
6,6,2021-06-24,"1,600.00","1,615.00","1,576.00","1,597.00",-0.19,"7,823.00","12,372,747.00"
7,7,2021-06-23,"1,650.00","1,660.00","1,600.00","1,600.00",-3.85,"8,436.00","13,687,393.00"
8,8,2021-06-22,"1,660.00","1,678.00","1,610.00","1,664.00",1.09,"3,489.00","5,740,184.00"
9,9,2021-06-21,"1,675.00","1,683.00","1,645.00","1,646.00",-0.90,"4,701.00","7,796,766.00"
10,10,2021-06-20,"1,687.00","1,719.00","1,661.00","1,661.00",-2.92,"4,963.00","8,336,524.00"
11,11,2021-06-17,"1,769.00","1,769.00","1,711.00","1,711.00",-1.38,"2,584.00","4,452,734.00"
12,12,2021-06-16,"1,678.00","1,786.00","1,678.00","1,735.00",3.03,"13,818.00","24,122,850.00"
13,13,2021-06-15,"1,700.00","1,734.00","1,684.00","1,684.00",-2.15,"8,835.00","15,016,674.00"
14,14,2021-06-14,"1,720.00","1,749.00","1,711.00","1,721.00",-0.52,"6,293.00","10,854,767.00"
15,15,2021-06-13,"1,770.00","1,775.00","1,717.00","1,730.00",-2.26,"12,096.00","20,956,429.00"
16,16,2021-06-10,"1,849.00","1,849.00","1,730.00","1,770.00",0.51,"12,485.00","21,883,082.00"
17,17,2021-06-09,"1,824.00","1,830.00","1,735.00","1,761.00",1.32,"19,832.00","35,391,687.00"
18,18,2021-06-08,"1,739.00","1,760.00","1,728.00","1,738.00",-1.14,"7,439.00","12,913,724.00"
19,19,2021-06-07,"1,760.00","1,791.00","1,758.00","1,758.00",-1.79,"7,150.00","12,667,108.00"
20,20,2021-06-06,"1,759.00","1,798.00","1,710.00","1,790.00",3.77,"26,637.00","46,922,670.00"
21,21,2021-06-03,"1,698.00","1,744.00","1,685.00","1,725.00",3.60,"12,762.00","21,945,806.00"
22,22,2021-06-02,"1,660.00","1,675.00","1,655.00","1,665.00",0.54,"3,799.00","6,321,377.00"
23,23,2021-06-01,"1,675.00","1,695.00","1,643.00","1,656.00",-0.42,"5,251.00","8,723,804.00"
24,24,2021-05-31,"1,657.00","1,688.00","1,650.00","1,663.00",-0.36,"6,935.00","11,537,785.00"
25,25,2021-05-30,"1,700.00","1,700.00","1,650.00","1,669.00",-0.12,"10,580.00","17,637,695.00"
26,26,2021-05-27,"1,660.00","1,715.00","1,655.00","1,671.00",-4.35,"31,218.00","52,238,991.00"
27,27,2021-05-25,"1,740.00","1,775.00","1,738.00","1,747.00",-1.02,"8,535.00","14,971,970.00"
28,28,2021-05-24,"1,761.00","1,785.00","1,746.00","1,765.00",0.00,"15,684.00","27,628,576.00"
29,29,2021-05-23,"1,741.00","1,773.00","1,731.00","1,765.00",-0.45,"8,687.00","15,261,877.00"
