,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,170.00","2,170.00","2,095.00","2,100.00",-1.41,515.00,"1,088,785.00"
2,2,2021-06-30,"2,130.00","2,130.00","2,050.00","2,130.00",0.00,455.00,"956,225.00"
3,3,2021-06-29,"2,190.00","2,250.00","2,130.00","2,130.00",-0.93,"1,393.00","3,049,227.00"
4,4,2021-06-28,"2,085.00","2,182.00","2,085.00","2,150.00",3.12,"1,269.00","2,726,250.00"
5,5,2021-06-27,"2,100.00","2,100.00","2,075.00","2,085.00",0.97,"1,101.00","2,291,782.00"
6,6,2021-06-24,"2,051.00","2,065.00","2,051.00","2,065.00",-0.72,382.00,"785,426.00"
7,7,2021-06-23,"2,060.00","2,090.00","2,060.00","2,080.00",-0.95,493.00,"1,025,034.00"
8,8,2021-06-22,"2,074.00","2,110.00","2,049.00","2,100.00",0.48,"1,069.00","2,218,845.00"
9,9,2021-06-21,"2,100.00","2,105.00","2,066.00","2,090.00",-0.90,"1,000.00","2,085,409.00"
10,10,2021-06-20,"2,155.00","2,155.00","2,109.00","2,109.00",-3.92,751.00,"1,590,796.00"
11,11,2021-06-17,"2,200.00","2,224.00","2,192.00","2,195.00",-0.23,636.00,"1,400,720.00"
12,12,2021-06-16,"2,156.00","2,297.00","2,156.00","2,200.00",2.04,"3,101.00","6,874,966.00"
13,13,2021-06-15,"2,165.00","2,183.00","2,140.00","2,156.00",-1.24,"1,551.00","3,344,743.00"
14,14,2021-06-14,"2,165.00","2,190.00","2,165.00","2,183.00",0.46,619.00,"1,344,922.00"
15,15,2021-06-13,"2,200.00","2,221.00","2,172.00","2,173.00",-1.09,"1,935.00","4,229,785.00"
16,16,2021-06-10,"2,223.00","2,223.00","2,181.00","2,197.00",0.78,948.00,"2,081,683.00"
17,17,2021-06-09,"2,200.00","2,219.00","2,180.00","2,180.00",0.18,936.00,"2,056,768.00"
18,18,2021-06-08,"2,223.00","2,223.00","2,176.00","2,176.00",-0.18,"2,386.00","5,213,131.00"
19,19,2021-06-07,"2,210.00","2,210.00","2,180.00","2,180.00",-1.36,"1,979.00","4,339,008.00"
20,20,2021-06-06,"2,222.00","2,223.00","2,180.00","2,210.00",-0.45,"1,852.00","4,078,575.00"
21,21,2021-06-03,"2,166.00","2,250.00","2,166.00","2,220.00",0.63,"1,336.00","2,953,086.00"
22,22,2021-06-02,"2,205.00","2,210.00","2,185.00","2,206.00",0.05,"1,573.00","3,453,513.00"
23,23,2021-06-01,"2,203.00","2,235.00","2,193.00","2,205.00",-1.39,706.00,"1,558,481.00"
24,24,2021-05-31,"2,225.00","2,240.00","2,200.00","2,236.00",-0.93,"1,405.00","3,132,555.00"
25,25,2021-05-30,"2,290.00","2,290.00","2,240.00","2,257.00",-0.97,"1,267.00","2,855,372.00"
