,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,524.00","1,538.00","1,510.00","1,516.00",0.00,"15,784.00","23,981,906.00"
2,2,2021-06-30,"1,520.00","1,555.00","1,515.00","1,516.00",-2.07,"12,917.00","19,685,637.00"
3,3,2021-06-29,"1,570.00","1,610.00","1,546.00","1,548.00",0.26,"24,360.00","38,278,161.00"
4,4,2021-06-28,"1,525.00","1,566.00","1,510.00","1,544.00",2.46,"25,558.00","39,398,538.00"
5,5,2021-06-27,"1,520.00","1,540.00","1,499.00","1,507.00",-0.59,"20,011.00","30,205,233.00"
6,6,2021-06-24,"1,500.00","1,566.00","1,500.00","1,516.00",-1.49,"23,509.00","35,712,348.00"
7,7,2021-06-23,"1,589.00","1,589.00","1,539.00","1,539.00",-2.16,"20,286.00","31,506,527.00"
8,8,2021-06-22,"1,580.00","1,598.00","1,550.00","1,573.00",0.45,"23,267.00","36,538,558.00"
9,9,2021-06-21,"1,520.00","1,620.00","1,520.00","1,566.00",-2.06,"27,217.00","42,897,180.00"
10,10,2021-06-20,"1,628.00","1,640.00","1,595.00","1,599.00",-1.84,"27,748.00","44,567,447.00"
11,11,2021-06-17,"1,690.00","1,723.00","1,619.00","1,629.00",-1.87,"24,410.00","40,068,621.00"
12,12,2021-06-16,"1,603.00","1,709.00","1,595.00","1,660.00",3.56,"61,567.00","102,540,870.00"
13,13,2021-06-15,"1,606.00","1,622.00","1,600.00","1,603.00",-0.80,"29,455.00","47,286,247.00"
14,14,2021-06-14,"1,620.00","1,635.00","1,605.00","1,616.00",0.44,"28,333.00","45,797,248.00"
15,15,2021-06-13,"1,625.00","1,628.00","1,605.00","1,609.00",-0.49,"36,522.00","58,978,353.00"
16,16,2021-06-10,"1,650.00","1,650.00","1,614.00","1,617.00",-0.74,"29,349.00","47,569,564.00"
17,17,2021-06-09,"1,628.00","1,651.00","1,625.00","1,629.00",0.06,"34,825.00","56,779,964.00"
18,18,2021-06-08,"1,705.00","1,705.00","1,626.00","1,628.00",-0.37,"34,635.00","56,525,182.00"
19,19,2021-06-07,"1,644.00","1,660.00","1,634.00","1,634.00",-0.61,"21,195.00","34,798,306.00"
20,20,2021-06-06,"1,650.00","1,681.00","1,641.00","1,644.00",-0.30,"25,578.00","42,154,787.00"
21,21,2021-06-03,"1,725.00","1,725.00","1,649.00","1,649.00",0.37,"25,530.00","42,426,662.00"
22,22,2021-06-02,"1,670.00","1,670.00","1,631.00","1,643.00",0.61,"20,574.00","33,661,845.00"
23,23,2021-06-01,"1,650.00","1,666.00","1,622.00","1,633.00",-1.03,"26,567.00","43,599,744.00"
24,24,2021-05-31,"1,655.00","1,683.00","1,644.00","1,650.00",-0.48,"43,055.00","71,223,032.00"
25,25,2021-05-30,"1,670.00","1,700.00","1,655.00","1,658.00",-0.90,"41,047.00","68,517,318.00"
