,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,570.00","1,598.00","1,565.00","1,571.00",1.03,"2,960.00","4,684,045.00"
2,2,2021-06-30,"1,542.00","1,575.00","1,542.00","1,555.00",-1.02,"1,781.00","2,770,601.00"
3,3,2021-06-29,"1,599.00","1,625.00","1,570.00","1,571.00",0.00,"20,520.00","32,820,327.00"
4,4,2021-06-28,"1,549.00","1,610.00","1,545.00","1,571.00",3.15,"10,372.00","16,191,856.00"
5,5,2021-06-27,"1,532.00","1,558.00","1,515.00","1,523.00",-0.59,"4,551.00","6,986,755.00"
6,6,2021-06-24,"1,535.00","1,545.00","1,505.00","1,532.00",-0.78,"8,506.00","12,964,654.00"
7,7,2021-06-23,"1,609.00","1,609.00","1,535.00","1,544.00",-2.46,"10,108.00","15,753,834.00"
8,8,2021-06-22,"1,615.00","1,640.00","1,561.00","1,583.00",-0.06,"10,765.00","17,138,847.00"
9,9,2021-06-21,"1,600.00","1,615.00","1,574.00","1,584.00",-2.04,"5,267.00","8,379,462.00"
10,10,2021-06-20,"1,675.00","1,675.00","1,600.00","1,617.00",-2.59,"7,044.00","11,393,209.00"
11,11,2021-06-17,"1,712.00","1,712.00","1,631.00","1,660.00",-1.19,"6,437.00","10,640,315.00"
12,12,2021-06-16,"1,622.00","1,760.00","1,622.00","1,680.00",2.00,"17,867.00","30,062,129.00"
13,13,2021-06-15,"1,650.00","1,659.00","1,625.00","1,647.00",0.12,"21,005.00","34,400,027.00"
14,14,2021-06-14,"1,695.00","1,695.00","1,640.00","1,645.00",-1.50,"4,783.00","7,894,685.00"
15,15,2021-06-13,"1,699.00","1,725.00","1,645.00","1,670.00",-0.77,"12,834.00","21,352,101.00"
16,16,2021-06-10,"1,677.00","1,713.00","1,670.00","1,683.00",1.51,"53,594.00","90,287,330.00"
17,17,2021-06-09,"1,679.00","1,680.00","1,642.00","1,658.00",0.55,"13,288.00","21,988,799.00"
18,18,2021-06-08,"1,683.00","1,683.00","1,630.00","1,649.00",-0.06,"10,632.00","17,459,400.00"
19,19,2021-06-07,"1,690.00","1,699.00","1,640.00","1,650.00",-1.43,"9,839.00","16,258,464.00"
20,20,2021-06-06,"1,680.00","1,713.00","1,665.00","1,674.00",0.42,"7,999.00","13,369,570.00"
21,21,2021-06-03,"1,695.00","1,723.00","1,667.00","1,667.00",-0.18,"28,185.00","47,631,318.00"
22,22,2021-06-02,"1,680.00","1,680.00","1,667.00","1,670.00",0.00,"7,240.00","12,108,956.00"
23,23,2021-06-01,"1,670.00","1,684.00","1,642.00","1,670.00",0.60,"12,376.00","20,655,839.00"
24,24,2021-05-31,"1,750.00","1,750.00","1,650.00","1,660.00",-0.66,"20,576.00","34,297,346.00"
25,25,2021-05-30,"1,789.00","1,789.00","1,660.00","1,671.00",-2.45,"22,689.00","38,307,024.00"
26,26,2021-05-27,"1,709.00","1,755.00","1,675.00","1,713.00",-4.73,"48,780.00","83,846,384.00"
27,27,2021-05-25,"1,800.00","1,810.00","1,785.00","1,798.00",-1.15,"10,013.00","18,000,578.00"
28,28,2021-05-24,"1,885.00","1,885.00","1,790.00","1,819.00",-0.71,"27,754.00","50,695,697.00"
29,29,2021-05-23,"1,775.00","1,855.00","1,775.00","1,832.00",1.22,"14,122.00","25,751,498.00"
30,30,2021-05-20,"1,805.00","1,825.00","1,804.00","1,810.00",-0.93,"17,158.00","31,049,641.00"
31,31,2021-05-19,"1,860.00","1,870.00","1,815.00","1,827.00",-0.81,"22,979.00","42,456,343.00"
32,32,2021-05-18,"1,848.00","1,848.00","1,800.00","1,842.00",1.32,"41,225.00","74,947,522.00"
33,33,2021-05-17,"1,854.00","1,854.00","1,810.00","1,818.00",-0.38,"24,078.00","43,864,679.00"
34,34,2021-05-16,"1,848.00","1,848.00","1,800.00","1,825.00",0.27,"20,984.00","38,092,729.00"
35,35,2021-05-13,"1,855.00","1,855.00","1,816.00","1,820.00",-1.62,"24,162.00","44,102,287.00"
36,36,2021-05-12,"1,828.00","1,850.00","1,816.00","1,850.00",0.54,"26,262.00","48,049,337.00"
37,37,2021-05-11,"1,800.00","1,860.00","1,800.00","1,840.00",2.17,"38,756.00","71,087,568.00"
38,38,2021-05-10,"1,731.00","1,810.00","1,731.00","1,801.00",2.33,"34,749.00","62,205,018.00"
39,39,2021-05-09,"1,732.00","1,786.00","1,720.00","1,760.00",0.46,"38,449.00","67,890,292.00"
40,40,2021-05-06,"1,770.00","1,810.00","1,720.00","1,752.00",0.40,"31,248.00","54,482,120.00"
41,41,2021-05-05,"1,750.00","1,779.00","1,715.00","1,745.00",1.16,"50,818.00","89,115,616.00"
42,42,2021-05-04,"1,690.00","1,725.00","1,640.00","1,725.00",3.92,"54,971.00","93,131,590.00"
43,43,2021-05-03,"1,730.00","1,730.00","1,630.00","1,660.00",0.73,"18,315.00","30,387,051.00"
44,44,2021-05-02,"1,667.00","1,667.00","1,623.00","1,648.00",0.61,"15,018.00","24,747,025.00"
45,45,2021-04-29,"1,701.00","1,701.00","1,590.00","1,638.00",1.11,"15,057.00","24,527,212.00"
46,46,2021-04-28,"1,633.00","1,660.00","1,592.00","1,620.00",-0.25,"6,070.00","9,858,107.00"
47,47,2021-04-27,"1,596.00","1,625.00","1,560.00","1,624.00",3.77,"17,682.00","28,301,726.00"
48,48,2021-04-26,"1,550.00","1,601.00","1,542.00","1,565.00",0.00,"15,636.00","24,491,661.00"
49,49,2021-04-25,"1,620.00","1,625.00","1,556.00","1,565.00",-5.09,"42,970.00","67,715,767.00"
50,50,2021-04-22,"1,630.00","1,700.00","1,616.00","1,649.00",0.24,"20,463.00","33,518,602.00"
51,51,2021-04-21,"1,663.00","1,663.00","1,620.00","1,645.00",-1.20,"9,537.00","15,651,992.00"
52,52,2021-04-20,"1,670.00","1,689.00","1,641.00","1,665.00",0.00,"13,259.00","22,035,925.00"
53,53,2021-04-19,"1,690.00","1,700.00","1,654.00","1,665.00",-1.25,"17,630.00","29,558,968.00"
54,54,2021-04-18,"1,745.00","1,745.00","1,680.00","1,686.00",-2.15,"20,249.00","34,464,686.00"
55,55,2021-04-15,"1,750.00","1,750.00","1,700.00","1,723.00",-0.40,"24,485.00","41,928,627.00"
56,56,2021-04-13,"1,738.00","1,807.00","1,690.00","1,730.00",-0.46,"15,267.00","26,322,420.00"
