,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,415.00","1,415.00","1,390.00","1,392.00",-0.50,"5,637.00","7,869,967.00"
2,2,2021-06-30,"1,440.00","1,461.00","1,380.00","1,399.00",-1.20,"3,823.00","5,322,305.00"
3,3,2021-06-29,"1,416.00","1,472.00","1,410.00","1,416.00",1.94,"10,183.00","14,593,698.00"
4,4,2021-06-28,"1,372.00","1,415.00","1,350.00","1,389.00",3.12,"8,608.00","11,968,098.00"
5,5,2021-06-27,"1,349.00","1,371.00","1,332.00","1,347.00",0.07,"4,153.00","5,617,035.00"
6,6,2021-06-24,"1,360.00","1,369.00","1,331.00","1,346.00",-1.46,"8,865.00","11,945,861.00"
7,7,2021-06-23,"1,420.00","1,420.00","1,365.00","1,366.00",-2.98,"3,593.00","4,963,338.00"
8,8,2021-06-22,"1,405.00","1,430.00","1,395.00","1,408.00",1.29,"3,570.00","5,028,454.00"
9,9,2021-06-21,"1,413.00","1,430.00","1,388.00","1,390.00",-1.77,"7,182.00","10,038,676.00"
10,10,2021-06-20,"1,432.00","1,435.00","1,410.00","1,415.00",-1.74,"6,650.00","9,423,225.00"
11,11,2021-06-17,"1,489.00","1,518.00","1,440.00","1,440.00",-1.37,"5,785.00","8,405,195.00"
12,12,2021-06-16,"1,430.00","1,530.00","1,420.00","1,460.00",2.96,"25,675.00","37,845,082.00"
13,13,2021-06-15,"1,425.00","1,448.00","1,417.00","1,418.00",-0.49,"8,263.00","11,773,920.00"
14,14,2021-06-14,"1,441.00","1,450.00","1,425.00","1,425.00",-0.97,"13,562.00","19,492,298.00"
15,15,2021-06-13,"1,451.00","1,468.00","1,420.00","1,439.00",-0.07,"14,007.00","20,061,140.00"
16,16,2021-06-10,"1,444.00","1,450.00","1,431.00","1,440.00",-0.28,"7,635.00","10,986,268.00"
17,17,2021-06-09,"1,442.00","1,460.00","1,435.00","1,444.00",0.28,"10,439.00","15,063,163.00"
18,18,2021-06-08,"1,527.00","1,527.00","1,430.00","1,440.00",-1.03,"17,085.00","24,673,129.00"
19,19,2021-06-07,"1,472.00","1,475.00","1,446.00","1,455.00",-1.15,"6,002.00","8,738,392.00"
20,20,2021-06-06,"1,437.00","1,505.00","1,437.00","1,472.00",-1.80,"9,579.00","14,164,622.00"
21,21,2021-06-03,"1,502.00","1,521.00","1,480.00","1,499.00",1.63,"16,499.00","24,785,299.00"
