,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"3,575.00","3,580.00","3,500.00","3,549.00",0.68,"2,511.00","8,848,833.00"
2,2,2021-06-30,"3,560.00","3,631.00","3,490.00","3,525.00",-0.98,865.00,"3,057,807.00"
3,3,2021-06-29,"3,748.00","3,748.00","3,550.00","3,560.00",-0.28,"5,734.00","20,948,072.00"
4,4,2021-06-28,"3,565.00","3,619.00","3,498.00","3,570.00",2.03,"5,211.00","18,440,174.00"
5,5,2021-06-27,"3,420.00","3,499.00","3,420.00","3,499.00",1.42,864.00,"2,999,741.00"
6,6,2021-06-24,"3,480.00","3,482.00","3,450.00","3,450.00",-0.72,"2,243.00","7,751,833.00"
7,7,2021-06-23,"3,580.00","3,580.00","3,455.00","3,475.00",-1.84,"2,926.00","10,171,694.00"
8,8,2021-06-22,"3,550.00","3,570.00","3,486.00","3,540.00",1.69,"3,419.00","12,053,426.00"
9,9,2021-06-21,"3,551.00","3,600.00","3,480.00","3,481.00",-1.97,"4,424.00","15,503,684.00"
10,10,2021-06-20,"3,576.00","3,580.00","3,535.00","3,551.00",-1.14,"3,278.00","11,669,343.00"
11,11,2021-06-17,"3,801.00","3,801.00","3,590.00","3,592.00",-0.77,"2,567.00","9,299,499.00"
12,12,2021-06-16,"3,650.00","3,774.00","3,588.00","3,620.00",0.98,"7,222.00","26,563,986.00"
13,13,2021-06-15,"3,590.00","3,600.00","3,567.00","3,585.00",-0.42,"2,628.00","9,427,791.00"
14,14,2021-06-14,"3,582.00","3,697.00","3,582.00","3,600.00",-1.37,"2,251.00","8,134,148.00"
15,15,2021-06-13,"3,740.00","3,740.00","3,600.00","3,650.00",-0.46,"2,475.00","8,986,606.00"
16,16,2021-06-10,"3,572.00","3,672.00","3,571.00","3,667.00",1.33,"3,288.00","11,884,021.00"
17,17,2021-06-09,"3,698.00","3,700.00","3,600.00","3,619.00",-1.52,"1,744.00","6,315,766.00"
18,18,2021-06-08,"3,735.00","3,749.00","3,533.00","3,675.00",-0.03,"5,010.00","18,053,777.00"
19,19,2021-06-07,"3,700.00","3,714.00","3,676.00","3,676.00",-0.78,891.00,"3,289,011.00"
20,20,2021-06-06,"3,720.00","3,743.00","3,681.00","3,705.00",0.95,"2,786.00","10,343,221.00"
21,21,2021-06-03,"3,590.00","3,700.00","3,590.00","3,670.00",2.92,"5,083.00","18,647,347.00"
22,22,2021-06-02,"3,569.00","3,569.00","3,510.00","3,566.00",1.83,"1,690.00","5,994,635.00"
23,23,2021-06-01,"3,545.00","3,550.00","3,480.00","3,502.00",-0.23,"4,383.00","15,370,619.00"
24,24,2021-05-31,"3,561.00","3,571.00","3,510.00","3,510.00",-1.63,"3,229.00","11,473,164.00"
25,25,2021-05-30,"3,600.00","3,600.00","3,556.00","3,568.00",0.14,"2,921.00","10,412,275.00"
26,26,2021-05-27,"3,502.00","3,680.00","3,432.00","3,563.00",-3.34,"11,626.00","41,557,961.00"
27,27,2021-05-25,"3,701.00","3,738.00","3,665.00","3,686.00",-1.05,"2,495.00","9,241,140.00"
28,28,2021-05-24,"3,755.00","3,800.00","3,670.00","3,725.00",-0.67,"5,261.00","19,543,219.00"
29,29,2021-05-23,"3,706.00","3,800.00","3,705.00","3,750.00",0.64,"7,009.00","26,095,127.00"
30,30,2021-05-20,"3,741.00","3,750.00","3,726.00","3,726.00",-1.40,"2,642.00","9,860,066.00"
31,31,2021-05-19,"3,800.00","3,839.00","3,752.00","3,779.00",-0.37,"3,812.00","14,394,514.00"
32,32,2021-05-18,"3,779.00","3,795.00","3,745.00","3,793.00",0.37,"7,288.00","27,444,650.00"
33,33,2021-05-17,"3,795.00","3,850.00","3,760.00","3,779.00",-0.42,"4,813.00","18,184,545.00"
34,34,2021-05-16,"3,775.00","3,818.00","3,773.00","3,795.00",0.66,"3,136.00","11,903,104.00"
35,35,2021-05-13,"3,771.00","3,808.00","3,765.00","3,770.00",-0.79,"4,046.00","15,309,708.00"
36,36,2021-05-12,"3,880.00","3,900.00","3,780.00","3,800.00",-1.30,"2,795.00","10,640,102.00"
37,37,2021-05-11,"3,744.00","3,860.00","3,744.00","3,850.00",4.76,"9,824.00","37,287,794.00"
38,38,2021-05-10,"3,560.00","3,700.00","3,560.00","3,675.00",1.80,"4,652.00","16,977,607.00"
39,39,2021-05-09,"3,690.00","3,690.00","3,610.00","3,610.00",-2.17,"7,335.00","26,676,287.00"
40,40,2021-05-06,"3,774.00","3,774.00","3,690.00","3,690.00",-2.84,"10,677.00","39,642,408.00"
41,41,2021-05-05,"4,080.00","4,080.00","3,765.00","3,798.00",-2.62,"9,009.00","34,274,585.00"
42,42,2021-05-04,"3,885.00","4,025.00","3,803.00","3,900.00",5.41,"17,147.00","67,476,525.00"
43,43,2021-05-03,"3,532.00","3,700.00","3,507.00","3,700.00",9.99,"37,199.00","134,836,187.00"
44,44,2021-05-02,"3,260.00","3,365.00","3,259.00","3,364.00",3.19,"7,062.00","23,335,871.00"
45,45,2021-04-29,"3,150.00","3,260.00","3,150.00","3,260.00",1.97,"3,370.00","10,833,673.00"
46,46,2021-04-28,"3,289.00","3,350.00","3,161.00","3,197.00",-0.87,"6,504.00","20,754,831.00"
47,47,2021-04-27,"3,100.00","3,225.00","3,050.00","3,225.00",5.12,"3,962.00","12,504,554.00"
48,48,2021-04-26,"3,042.00","3,160.00","3,042.00","3,068.00",-1.00,"4,056.00","12,468,329.00"
49,49,2021-04-25,"3,101.00","3,145.00","3,045.00","3,099.00",-0.06,"5,606.00","17,369,797.00"
50,50,2021-04-22,"3,100.00","3,200.00","3,100.00","3,101.00",-1.56,"4,915.00","15,436,013.00"
51,51,2021-04-21,"3,269.00","3,270.00","3,093.00","3,150.00",-1.84,"8,363.00","26,117,626.00"
52,52,2021-04-20,"3,150.00","3,274.00","3,150.00","3,209.00",1.87,"1,995.00","6,373,763.00"
53,53,2021-04-19,"3,150.00","3,209.00","3,147.00","3,150.00",-1.56,"3,357.00","10,646,140.00"
54,54,2021-04-18,"3,294.00","3,294.00","3,155.00","3,200.00",-0.93,"2,117.00","6,734,762.00"
55,55,2021-04-15,"3,284.00","3,335.00","3,216.00","3,230.00",-3.52,"3,587.00","11,702,510.00"
56,56,2021-04-13,"3,400.00","3,435.00","3,238.00","3,348.00",0.00,"3,229.00","10,773,665.00"
57,57,2021-04-12,"3,279.00","3,433.00","3,240.00","3,348.00",3.94,"7,268.00","24,386,814.00"
58,58,2021-04-08,"3,115.00","3,300.00","3,115.00","3,221.00",1.51,"4,803.00","15,491,221.00"
59,59,2021-04-07,"3,202.00","3,260.00","3,085.00","3,173.00",1.05,"2,920.00","9,313,276.00"
60,60,2021-04-06,"3,091.00","3,150.00","3,090.00","3,140.00",1.62,"4,200.00","13,145,570.00"
61,61,2021-04-05,"3,113.00","3,120.00","3,090.00","3,090.00",-1.84,"6,203.00","19,258,715.00"
62,62,2021-04-04,"3,250.00","3,250.00","3,112.00","3,148.00",0.90,"7,166.00","22,394,289.00"
63,63,2021-04-01,"3,100.00","3,200.00","3,090.00","3,120.00",-1.27,"5,748.00","17,885,835.00"
64,64,2021-03-31,"3,280.00","3,300.00","3,130.00","3,160.00",0.16,"5,141.00","16,304,836.00"
65,65,2021-03-30,"3,200.00","3,250.00","3,101.00","3,155.00",2.77,"6,878.00","21,690,712.00"
66,66,2021-03-29,"3,100.00","3,100.00","3,000.00","3,070.00",0.99,"4,652.00","14,185,923.00"
67,67,2021-03-25,"3,147.00","3,147.00","3,000.00","3,040.00",-0.52,"7,189.00","21,831,119.00"
68,68,2021-03-24,"3,020.00","3,099.00","2,960.00","3,056.00",3.95,"9,827.00","29,707,927.00"
69,69,2021-03-23,"2,991.00","2,991.00","2,765.00","2,940.00",3.19,"5,613.00","16,247,429.00"
70,70,2021-03-22,"2,948.00","2,948.00","2,745.00","2,849.00",1.46,"4,475.00","12,456,992.00"
71,71,2021-03-21,"2,782.00","2,820.00","2,678.00","2,808.00",5.96,"5,601.00","15,512,796.00"
72,72,2021-03-18,"2,730.00","2,730.00","2,573.00","2,650.00",1.92,"3,396.00","9,032,893.00"
73,73,2021-03-17,"2,623.00","2,623.00","2,450.00","2,600.00",4.04,"2,677.00","6,889,802.00"
74,74,2021-03-16,"2,425.00","2,499.00","2,425.00","2,499.00",3.05,"2,890.00","7,079,358.00"
75,75,2021-03-15,"2,397.00","2,440.00","2,397.00","2,425.00",-0.82,"1,038.00","2,515,880.00"
76,76,2021-03-14,"2,475.00","2,485.00","2,360.00","2,445.00",-2.71,"2,470.00","6,036,600.00"
77,77,2021-03-10,"2,480.00","2,520.00","2,460.00","2,513.00",0.56,"2,617.00","6,533,147.00"
78,78,2021-03-09,"2,471.00","2,518.00","2,471.00","2,499.00",-0.75,"1,298.00","3,242,102.00"
79,79,2021-03-07,"2,560.00","2,598.00","2,505.00","2,518.00",-1.33,"1,200.00","3,039,976.00"
80,80,2021-03-04,"2,500.00","2,601.00","2,500.00","2,552.00",3.74,"2,599.00","6,622,731.00"
81,81,2021-03-03,"2,456.00","2,539.00","2,412.00","2,460.00",-1.80,"6,323.00","15,544,441.00"
82,82,2021-03-02,"2,600.00","2,600.00","2,496.00","2,505.00",-4.32,"3,304.00","8,372,180.00"
83,83,2021-03-01,"2,550.00","2,652.00","2,502.00","2,618.00",0.69,"2,915.00","7,545,369.00"
84,84,2021-02-28,"2,800.00","2,800.00","2,581.00","2,600.00",-5.39,"4,799.00","12,556,932.00"
85,85,2021-02-25,"3,385.00","3,420.00","3,301.00","3,325.00",-1.48,"13,478.00","45,126,323.00"
86,86,2021-02-24,"3,420.00","3,450.00","3,325.00","3,375.00",0.66,"3,609.00","12,209,804.00"
87,87,2021-02-23,"3,256.00","3,353.00","3,206.00","3,353.00",1.15,"6,084.00","19,869,769.00"
88,88,2021-02-22,"3,425.00","3,440.00","3,310.00","3,315.00",-3.21,"4,548.00","15,300,794.00"
89,89,2021-02-21,"3,520.00","3,520.00","3,400.00","3,425.00",-2.00,"5,973.00","20,564,426.00"
90,90,2021-02-18,"3,500.00","3,595.00","3,400.00","3,495.00",1.10,"7,821.00","27,315,496.00"
91,91,2021-02-17,"3,520.00","3,592.00","3,340.00","3,457.00",3.04,"10,954.00","37,445,612.00"
92,92,2021-02-16,"3,400.00","3,415.00","3,271.00","3,355.00",0.15,"3,940.00","13,156,980.00"
93,93,2021-02-15,"3,199.00","3,393.00","3,199.00","3,350.00",6.79,"14,456.00","48,282,378.00"
94,94,2021-02-14,"3,295.00","3,295.00","3,112.00","3,137.00",-4.80,"5,955.00","18,821,788.00"
95,95,2021-02-11,"3,534.00","3,702.00","3,196.00","3,295.00",-2.11,"20,491.00","71,671,341.00"
96,96,2021-02-08,"3,234.00","3,366.00","3,110.00","3,366.00",2.00,"10,335.00","32,857,467.00"
97,97,2021-02-07,"3,451.00","3,451.00","3,237.00","3,300.00",0.40,"6,875.00","22,526,938.00"
98,98,2021-02-04,"2,930.00","3,287.00","2,930.00","3,287.00",9.97,"10,934.00","33,747,440.00"
99,99,2021-02-03,"2,978.00","3,096.00","2,915.00","2,989.00",2.36,"7,130.00","21,291,598.00"
100,100,2021-02-02,"2,754.00","2,920.00","2,754.00","2,920.00",8.15,"9,575.00","27,604,106.00"
101,101,2021-02-01,"2,698.00","2,779.00","2,661.00","2,700.00",1.50,"4,078.00","10,986,343.00"
102,102,2021-01-31,"2,710.00","2,720.00","2,640.00","2,660.00",-2.96,"3,826.00","10,220,291.00"
103,103,2021-01-28,"2,740.00","2,920.00","2,699.00","2,741.00",1.59,"7,476.00","20,636,960.00"
104,104,2021-01-27,"2,586.00","2,699.00","2,585.00","2,698.00",2.31,"3,374.00","8,943,893.00"
105,105,2021-01-26,"2,725.00","2,750.00","2,637.00","2,637.00",-2.33,"2,757.00","7,319,381.00"
106,106,2021-01-25,"2,646.00","2,708.00","2,622.00","2,700.00",0.04,"5,694.00","15,195,253.00"
107,107,2021-01-24,"2,743.00","2,750.00","2,637.00","2,699.00",0.33,"2,766.00","7,429,244.00"
108,108,2021-01-21,"2,623.00","2,748.00","2,450.00","2,690.00",7.64,"6,439.00","16,997,117.00"
109,109,2021-01-20,"2,479.00","2,499.00","2,392.00","2,499.00",2.67,"4,395.00","10,783,316.00"
110,110,2021-01-19,"2,498.00","2,515.00","2,421.00","2,434.00",-1.38,"2,506.00","6,170,930.00"
111,111,2021-01-18,"2,480.00","2,485.00","2,420.00","2,468.00",0.33,"1,857.00","4,562,027.00"
112,112,2021-01-17,"2,420.00","2,460.00","2,372.00","2,460.00",1.99,"5,550.00","13,470,115.00"
113,113,2021-01-13,"2,345.00","2,412.00","2,331.00","2,412.00",1.60,"3,119.00","7,441,302.00"
114,114,2021-01-12,"2,316.00","2,379.00","2,315.00","2,374.00",0.64,"2,085.00","4,888,531.00"
115,115,2021-01-11,"2,350.00","2,360.00","2,301.00","2,359.00",0.81,"3,637.00","8,508,355.00"
116,116,2021-01-10,"2,335.00","2,350.00","2,301.00","2,340.00",1.74,"3,369.00","7,824,092.00"
117,117,2021-01-07,"2,304.00","2,305.00","2,258.00","2,300.00",1.77,"3,187.00","7,236,203.00"
118,118,2021-01-06,"2,275.00","2,275.00","2,240.00","2,260.00",1.30,"2,379.00","5,363,017.00"
119,119,2021-01-05,"2,290.00","2,290.00","2,210.00","2,231.00",-2.58,"6,156.00","13,766,025.00"
120,120,2021-01-04,"2,450.00","2,550.00","2,250.00","2,290.00",-5.84,"11,184.00","25,861,210.00"
121,121,2021-01-03,"2,272.00","2,441.00","2,272.00","2,432.00",9.11,"8,371.00","19,687,918.00"
122,122,2020-12-31,"2,263.00","2,300.00","2,200.00","2,229.00",0.45,"2,605.00","5,812,099.00"
123,123,2020-12-30,"2,110.00","2,222.00","2,100.00","2,219.00",5.37,"4,939.00","10,664,896.00"
124,124,2020-12-29,"2,100.00","2,132.00","2,090.00","2,106.00",0.67,"1,707.00","3,606,726.00"
125,125,2020-12-28,"2,000.00","2,121.00","2,000.00","2,092.00",-0.38,"2,562.00","5,316,541.00"
126,126,2020-12-27,"2,132.00","2,173.00","2,089.00","2,100.00",-3.40,"1,863.00","3,948,156.00"
127,127,2020-12-24,"2,176.00","2,176.00","2,124.00","2,174.00",-1.63,"1,999.00","4,278,705.00"
128,128,2020-12-23,"2,235.00","2,323.00","2,181.00","2,210.00",0.82,"3,976.00","8,828,166.00"
129,129,2020-12-22,"2,100.00","2,267.00","2,100.00","2,192.00",5.89,"6,093.00","13,342,209.00"
130,130,2020-12-21,"1,990.00","2,080.00","1,951.00","2,070.00",3.14,"4,494.00","8,991,213.00"
131,131,2020-12-20,"2,146.00","2,230.00","2,001.00","2,007.00",-8.31,"6,351.00","13,228,573.00"
132,132,2020-12-17,"2,300.00","2,310.00","2,153.00","2,189.00",-3.78,"2,923.00","6,519,692.00"
133,133,2020-12-16,"2,240.00","2,280.00","2,110.00","2,275.00",3.41,"7,816.00","17,183,303.00"
134,134,2020-12-15,"2,049.00","2,200.00","2,049.00","2,200.00",9.51,"8,161.00","17,334,574.00"
135,135,2020-12-14,"1,850.00","2,009.00","1,850.00","2,009.00",9.96,"7,016.00","13,699,519.00"
136,136,2020-12-13,"1,800.00","1,830.00","1,774.00","1,827.00",1.95,"1,720.00","3,088,003.00"
137,137,2020-12-10,"1,838.00","1,838.00","1,790.00","1,792.00",-0.99,"2,007.00","3,618,056.00"
138,138,2020-12-09,"1,856.00","1,856.00","1,790.00","1,810.00",-3.83,"1,497.00","2,695,707.00"
139,139,2020-12-08,"1,893.00","1,905.00","1,880.00","1,882.00",-0.58,"1,969.00","3,714,261.00"
140,140,2020-12-07,"1,820.00","1,893.00","1,775.00","1,893.00",3.73,"2,039.00","3,719,999.00"
141,141,2020-12-06,"1,897.00","1,897.00","1,825.00","1,825.00",-5.68,"1,888.00","3,476,282.00"
142,142,2020-12-03,"2,052.00","2,052.00","1,921.00","1,935.00",-1.02,"7,406.00","14,458,960.00"
143,143,2020-12-02,"1,995.00","1,995.00","1,781.00","1,955.00",2.89,"6,960.00","13,426,822.00"
144,144,2020-12-01,"1,900.00","1,915.00","1,877.00","1,900.00",0.00,"3,756.00","7,075,310.00"
145,145,2020-11-30,"1,890.00","1,918.00","1,826.00","1,900.00",0.26,"5,602.00","10,494,833.00"
146,146,2020-11-29,"1,890.00","1,895.00","1,824.00","1,895.00",1.88,"2,419.00","4,473,402.00"
147,147,2020-11-26,"1,973.00","1,999.00","1,848.00","1,860.00",-3.88,"3,946.00","7,477,796.00"
148,148,2020-11-25,"1,886.00","1,950.00","1,850.00","1,935.00",4.59,"4,677.00","8,934,494.00"
149,149,2020-11-24,"1,700.00","1,851.00","1,686.00","1,850.00",8.82,"3,735.00","6,710,762.00"
150,150,2020-11-23,"1,760.00","1,760.00","1,700.00","1,700.00",-3.85,"1,107.00","1,905,825.00"
151,151,2020-11-22,"1,750.00","1,785.00","1,683.00","1,768.00",1.03,"2,050.00","3,552,908.00"
152,152,2020-11-19,"1,728.00","1,800.00","1,700.00","1,750.00",3.00,"3,164.00","5,490,488.00"
153,153,2020-11-18,"1,665.00","1,710.00","1,656.00","1,699.00",0.59,"2,019.00","3,381,345.00"
154,154,2020-11-12,"1,690.00","1,723.00","1,652.00","1,689.00",0.84,"2,267.00","3,791,881.00"
155,155,2020-11-11,"1,661.00","1,699.00","1,661.00","1,675.00",2.13,"5,110.00","8,586,088.00"
156,156,2020-11-10,"1,633.00","1,640.00","1,625.00","1,640.00",0.43,986.00,"1,607,533.00"
157,157,2020-11-09,"1,620.00","1,670.00","1,620.00","1,633.00",-0.06,860.00,"1,415,766.00"
158,158,2020-11-08,"1,650.00","1,659.00","1,634.00","1,634.00",-0.97,"2,447.00","4,032,149.00"
159,159,2020-11-05,"1,610.00","1,650.00","1,610.00","1,650.00",2.55,"3,804.00","6,167,269.00"
160,160,2020-11-04,"1,590.00","1,610.00","1,590.00","1,609.00",-0.31,607.00,"973,941.00"
161,161,2020-11-03,"1,635.00","1,635.00","1,590.00","1,614.00",0.31,"2,818.00","4,536,276.00"
162,162,2020-11-02,"1,620.00","1,620.00","1,588.00","1,609.00",0.69,"1,625.00","2,596,839.00"
163,163,2020-11-01,"1,550.00","1,605.00","1,550.00","1,598.00",1.14,840.00,"1,333,570.00"
164,164,2020-10-29,"1,548.00","1,585.00","1,548.00","1,580.00",0.06,830.00,"1,295,912.00"
165,165,2020-10-28,"1,550.00","1,579.00","1,550.00","1,579.00",1.87,526.00,"818,717.00"
166,166,2020-10-22,"1,505.00","1,579.00","1,505.00","1,550.00",2.04,444.00,"684,923.00"
167,167,2020-10-21,"1,544.00","1,545.00","1,512.00","1,519.00",-1.04,174.00,"266,178.00"
168,168,2020-10-20,"1,500.00","1,555.00","1,500.00","1,535.00",0.66,735.00,"1,128,970.00"
169,169,2020-10-19,"1,525.00","1,525.00","1,525.00","1,525.00",1.73,10.00,"15,250.00"
170,170,2020-10-18,"1,515.00","1,515.00","1,499.00","1,499.00",-1.06,634.00,"953,001.00"
171,171,2020-10-15,"1,500.00","1,515.00","1,499.00","1,515.00",0.87,119.00,"178,858.00"
172,172,2020-10-14,"1,500.00","1,510.00","1,500.00","1,502.00",-0.53,518.00,"778,238.00"
173,173,2020-10-13,"1,511.00","1,525.00","1,509.00","1,510.00",-1.31,735.00,"1,113,006.00"
174,174,2020-10-12,"1,520.00","1,535.00","1,510.00","1,530.00",1.32,645.00,"979,921.00"
175,175,2020-10-11,"1,530.00","1,548.00","1,510.00","1,510.00",-2.58,"1,354.00","2,059,203.00"
176,176,2020-10-08,"1,540.00","1,561.00","1,510.00","1,550.00",-0.83,"1,253.00","1,928,819.00"
177,177,2020-10-07,"1,506.00","1,594.00","1,504.00","1,563.00",1.96,840.00,"1,282,884.00"
178,178,2020-10-06,"1,511.00","1,534.00","1,511.00","1,533.00",0.86,992.00,"1,506,356.00"
179,179,2020-10-05,"1,550.00","1,550.00","1,517.00","1,520.00",-2.50,295.00,"449,485.00"
180,180,2020-10-04,"1,565.00","1,565.00","1,529.00","1,559.00",-0.70,711.00,"1,102,981.00"
181,181,2020-10-01,"1,515.00","1,570.00","1,515.00","1,570.00",1.68,"1,440.00","2,222,985.00"
182,182,2020-09-30,"1,512.00","1,575.00","1,512.00","1,544.00",0.13,985.00,"1,519,380.00"
183,183,2020-09-29,"1,490.00","1,542.00","1,489.00","1,542.00",1.92,805.00,"1,214,484.00"
184,184,2020-09-28,"1,510.00","1,535.00","1,510.00","1,513.00",-1.69,520.00,"788,582.00"
185,185,2020-09-27,"1,515.00","1,542.00","1,514.00","1,539.00",-0.19,408.00,"621,670.00"
186,186,2020-09-24,"1,487.00","1,542.00","1,487.00","1,542.00",1.98,"1,573.00","2,373,357.00"
187,187,2020-09-23,"1,530.00","1,530.00","1,500.00","1,512.00",0.00,999.00,"1,508,581.00"
188,188,2020-09-22,"1,510.00","1,520.00","1,506.00","1,512.00",-0.53,"1,444.00","2,187,633.00"
189,189,2020-09-21,"1,550.00","1,550.00","1,520.00","1,520.00",-2.56,"2,212.00","3,393,279.00"
190,190,2020-09-20,"1,565.00","1,565.00","1,551.00","1,560.00",-1.02,172.00,"267,676.00"
191,191,2020-09-17,"1,561.00","1,584.00","1,550.00","1,576.00",-0.51,"1,410.00","2,198,920.00"
192,192,2020-09-16,"1,555.00","1,584.00","1,555.00","1,584.00",0.25,"2,267.00","3,567,793.00"
193,193,2020-09-15,"1,558.00","1,580.00","1,556.00","1,580.00",-0.38,"1,681.00","2,646,857.00"
194,194,2020-09-14,"1,580.00","1,599.00","1,580.00","1,586.00",0.38,"1,948.00","3,082,010.00"
195,195,2020-09-13,"1,603.00","1,603.00","1,572.00","1,580.00",0.51,825.00,"1,304,769.00"
196,196,2020-09-10,"1,566.00","1,589.00","1,566.00","1,572.00",1.16,"1,455.00","2,293,345.00"
197,197,2020-09-09,"1,526.00","1,583.00","1,526.00","1,554.00",1.44,"1,194.00","1,860,806.00"
198,198,2020-09-08,"1,525.00","1,545.00","1,516.00","1,532.00",-0.20,895.00,"1,366,072.00"
199,199,2020-09-07,"1,545.00","1,545.00","1,535.00","1,535.00",0.33,"1,479.00","2,275,977.00"
200,200,2020-09-06,"1,538.00","1,545.00","1,503.00","1,530.00",-1.99,713.00,"1,092,396.00"
201,201,2020-09-03,"1,560.00","1,576.00","1,560.00","1,561.00",0.06,"3,300.00","5,151,049.00"
202,202,2020-09-02,"1,565.00","1,588.00","1,556.00","1,560.00",0.13,453.00,"708,044.00"
203,203,2020-08-31,"1,540.00","1,558.00","1,540.00","1,558.00",-0.32,767.00,"1,188,665.00"
204,204,2020-08-30,"1,563.00","1,563.00","1,550.00","1,563.00",0.00,"1,533.00","2,382,973.00"
205,205,2020-08-27,"1,580.00","1,580.00","1,556.00","1,563.00",-1.45,591.00,"925,300.00"
206,206,2020-08-26,"1,544.00","1,604.00","1,544.00","1,586.00",2.72,"1,346.00","2,122,648.00"
207,207,2020-08-25,"1,545.00","1,565.00","1,530.00","1,544.00",-0.06,553.00,"849,407.00"
208,208,2020-08-24,"1,515.00","1,565.00","1,510.00","1,545.00",1.98,"1,995.00","3,048,296.00"
209,209,2020-08-23,"1,506.00","1,524.00","1,505.00","1,515.00",-0.59,221.00,"334,079.00"
210,210,2020-08-20,"1,500.00","1,524.00","1,500.00","1,524.00",1.26,94.00,"141,820.00"
211,211,2020-08-19,"1,515.00","1,527.00","1,500.00","1,505.00",-0.99,441.00,"665,159.00"
212,212,2020-08-18,"1,506.00","1,520.00","1,506.00","1,520.00",0.00,230.00,"347,912.00"
213,213,2020-08-17,"1,500.00","1,530.00","1,500.00","1,520.00",-0.52,467.00,"707,988.00"
214,214,2020-08-16,"1,570.00","1,570.00","1,480.00","1,528.00",-4.62,"2,441.00","3,716,326.00"
215,215,2020-08-13,"1,584.00","1,602.00","1,584.00","1,602.00",0.13,"1,403.00","2,232,002.00"
216,216,2020-08-12,"1,605.00","1,610.00","1,590.00","1,600.00",-0.19,"1,927.00","3,074,458.00"
217,217,2020-08-11,"1,620.00","1,620.00","1,592.00","1,603.00",-1.84,517.00,"829,556.00"
218,218,2020-08-10,"1,625.00","1,635.00","1,593.00","1,633.00",2.25,"2,140.00","3,461,948.00"
219,219,2020-08-09,"1,536.00","1,597.00","1,536.00","1,597.00",1.98,"1,142.00","1,788,728.00"
220,220,2020-08-06,"1,539.00","1,575.00","1,530.00","1,566.00",0.45,971.00,"1,514,442.00"
221,221,2020-08-05,"1,510.00","1,559.00","1,480.00","1,559.00",1.23,"3,700.00","5,570,583.00"
222,222,2020-08-03,"1,575.00","1,575.00","1,523.00","1,540.00",-0.84,"1,702.00","2,628,388.00"
223,223,2020-08-02,"1,610.00","1,610.00","1,550.00","1,553.00",-4.84,"1,549.00","2,428,889.00"
224,224,2020-07-30,"1,640.00","1,660.00","1,585.00","1,632.00",-0.79,857.00,"1,387,094.00"
225,225,2020-07-29,"1,661.00","1,662.00","1,573.00","1,645.00",-2.89,"2,389.00","3,862,428.00"
226,226,2020-07-28,"1,686.00","1,716.00","1,675.00","1,694.00",-1.51,772.00,"1,303,345.00"
227,227,2020-07-27,"1,730.00","1,730.00","1,690.00","1,720.00",0.70,"1,393.00","2,376,975.00"
228,228,2020-07-26,"1,713.00","1,714.00","1,663.00","1,708.00",1.67,"1,362.00","2,307,731.00"
229,229,2020-07-23,"1,606.00","1,680.00","1,606.00","1,680.00",3.64,"2,196.00","3,621,364.00"
230,230,2020-07-22,"1,650.00","1,653.00","1,605.00","1,621.00",0.06,856.00,"1,401,826.00"
231,231,2020-07-21,"1,635.00","1,665.00","1,580.00","1,620.00",-2.76,"2,141.00","3,474,834.00"
232,232,2020-07-20,"1,800.00","1,800.00","1,666.00","1,666.00",-6.61,"1,837.00","3,130,636.00"
233,233,2020-07-19,"1,820.00","1,820.00","1,784.00","1,784.00",2.88,160.00,"285,800.00"
234,234,2020-07-16,"1,618.00","1,734.00","1,618.00","1,734.00",5.09,"1,878.00","3,118,602.00"
235,235,2020-07-15,"1,650.00","1,682.00","1,618.00","1,650.00",-1.14,"1,413.00","2,326,700.00"
