,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,706.00","1,706.00","1,619.00","1,627.00",0.12,"7,227.00","11,776,172.00"
2,2,2021-06-30,"1,630.00","1,630.00","1,616.00","1,625.00",-1.63,"3,649.00","5,922,229.00"
3,3,2021-06-29,"1,645.00","1,677.00","1,616.00","1,652.00",2.29,"27,687.00","45,341,817.00"
4,4,2021-06-28,"1,600.00","1,638.00","1,600.00","1,615.00",1.57,"10,164.00","16,409,341.00"
5,5,2021-06-27,"1,611.00","1,611.00","1,580.00","1,590.00",0.63,"6,044.00","9,603,866.00"
6,6,2021-06-24,"1,633.00","1,633.00","1,578.00","1,580.00",-1.43,"13,223.00","21,003,019.00"
7,7,2021-06-23,"1,645.00","1,645.00","1,601.00","1,603.00",-2.32,"13,809.00","22,301,731.00"
8,8,2021-06-22,"1,640.00","1,650.00","1,593.00","1,641.00",0.98,"18,121.00","29,385,581.00"
9,9,2021-06-21,"1,650.00","1,680.00","1,625.00","1,625.00",-1.52,"17,095.00","27,969,513.00"
10,10,2021-06-20,"1,662.00","1,700.00","1,640.00","1,650.00",-1.96,"11,649.00","19,328,277.00"
11,11,2021-06-17,"1,735.00","1,765.00","1,680.00","1,683.00",-1.23,"12,244.00","20,739,697.00"
12,12,2021-06-16,"1,662.00","1,789.00","1,660.00","1,704.00",2.65,"37,238.00","64,134,043.00"
13,13,2021-06-15,"1,670.00","1,670.00","1,650.00","1,660.00",-0.54,"20,388.00","33,764,054.00"
14,14,2021-06-14,"1,665.00","1,680.00","1,660.00","1,669.00",-0.12,"19,314.00","32,189,137.00"
15,15,2021-06-13,"1,689.00","1,690.00","1,665.00","1,671.00",0.06,"20,801.00","34,793,359.00"
16,16,2021-06-10,"1,690.00","1,700.00","1,665.00","1,670.00",-1.36,"16,617.00","27,854,767.00"
17,17,2021-06-09,"1,700.00","1,710.00","1,691.00","1,693.00",-0.24,"18,444.00","31,355,982.00"
18,18,2021-06-08,"1,731.00","1,735.00","1,690.00","1,697.00",-1.85,"36,353.00","61,879,530.00"
19,19,2021-06-07,"1,790.00","1,790.00","1,705.00","1,729.00",0.58,"23,600.00","40,627,623.00"
20,20,2021-06-06,"1,734.00","1,768.00","1,696.00","1,719.00",1.12,"36,065.00","62,183,872.00"
21,21,2021-06-03,"1,605.00","1,742.00","1,605.00","1,700.00",1.49,"38,646.00","66,548,948.00"
22,22,2021-06-02,"1,684.00","1,700.00","1,644.00","1,675.00",-0.53,"202,427.00","334,584,840.00"
23,23,2021-06-01,"1,680.00","1,695.00","1,672.00","1,684.00",0.48,"15,691.00","26,364,174.00"
24,24,2021-05-31,"1,655.00","1,695.00","1,655.00","1,676.00",1.27,"17,276.00","28,999,462.00"
25,25,2021-05-30,"1,683.00","1,683.00","1,651.00","1,655.00",-1.66,"13,909.00","23,206,206.00"
26,26,2021-05-27,"1,705.00","1,705.00","1,634.00","1,683.00",-3.22,"33,199.00","55,780,789.00"
27,27,2021-05-25,"1,740.00","1,759.00","1,726.00","1,739.00",-0.40,"12,017.00","20,906,954.00"
28,28,2021-05-24,"1,750.00","1,768.00","1,745.00","1,746.00",-0.06,"14,227.00","24,939,667.00"
