,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,282.00","1,358.00","1,282.00","1,350.00",5.47,"52,489.00","69,866,913.00"
2,2,2021-06-30,"1,290.00","1,300.00","1,255.00","1,280.00",0.39,"20,217.00","25,522,874.00"
3,3,2021-06-29,"1,305.00","1,331.00","1,265.00","1,275.00",-0.39,"15,085.00","19,506,913.00"
4,4,2021-06-28,"1,265.00","1,304.00","1,265.00","1,280.00",1.67,"11,000.00","14,153,265.00"
5,5,2021-06-27,"1,260.00","1,270.00","1,248.00","1,259.00",0.00,"3,137.00","3,953,343.00"
6,6,2021-06-24,"1,250.00","1,283.00","1,247.00","1,259.00",-0.40,"11,201.00","14,157,271.00"
7,7,2021-06-23,"1,300.00","1,319.00","1,260.00","1,264.00",-2.84,"17,356.00","22,170,400.00"
8,8,2021-06-22,"1,300.00","1,325.00","1,280.00","1,301.00",0.85,"14,269.00","18,580,021.00"
9,9,2021-06-21,"1,318.00","1,330.00","1,273.00","1,290.00",-1.90,"32,396.00","41,927,843.00"
10,10,2021-06-20,"1,360.00","1,365.00","1,290.00","1,315.00",-3.52,"25,181.00","33,664,045.00"
11,11,2021-06-17,"1,415.00","1,416.00","1,358.00","1,363.00",-1.87,"20,180.00","27,795,917.00"
12,12,2021-06-16,"1,350.00","1,427.00","1,350.00","1,389.00",1.98,"56,079.00","78,100,865.00"
13,13,2021-06-15,"1,390.00","1,430.00","1,360.00","1,362.00",-1.66,"46,617.00","64,821,877.00"
14,14,2021-06-14,"1,399.00","1,457.00","1,380.00","1,385.00",-1.00,"60,793.00","84,975,421.00"
15,15,2021-06-13,"1,340.00","1,418.00","1,340.00","1,399.00",5.98,"89,743.00","123,232,177.00"
16,16,2021-06-10,"1,366.00","1,366.00","1,315.00","1,320.00",1.46,"38,002.00","50,508,377.00"
17,17,2021-06-09,"1,339.00","1,366.00","1,300.00","1,301.00",-1.06,"26,895.00","35,499,573.00"
18,18,2021-06-08,"1,309.00","1,346.00","1,304.00","1,315.00",1.15,"39,866.00","52,579,496.00"
19,19,2021-06-07,"1,317.00","1,320.00","1,290.00","1,300.00",-1.29,"24,240.00","31,588,961.00"
20,20,2021-06-06,"1,333.00","1,359.00","1,314.00","1,317.00",-1.20,"32,370.00","42,874,794.00"
21,21,2021-06-03,"1,367.00","1,380.00","1,330.00","1,333.00",-0.89,"33,245.00","44,886,415.00"
22,22,2021-06-02,"1,318.00","1,378.00","1,300.00","1,345.00",2.20,"35,447.00","46,843,376.00"
23,23,2021-06-01,"1,260.00","1,355.00","1,260.00","1,316.00",-0.68,"27,995.00","36,946,646.00"
24,24,2021-05-31,"1,350.00","1,350.00","1,317.00","1,325.00",0.08,"57,968.00","76,761,851.00"
25,25,2021-05-30,"1,364.00","1,400.00","1,324.00","1,324.00",-2.93,"99,048.00","133,484,249.00"
26,26,2021-05-27,"1,337.00","1,388.00","1,299.00","1,364.00",-3.06,"132,379.00","177,917,627.00"
27,27,2021-05-25,"1,351.00","1,440.00","1,340.00","1,407.00",5.39,"108,220.00","151,760,769.00"
28,28,2021-05-24,"1,310.00","1,365.00","1,288.00","1,335.00",2.69,"86,147.00","114,508,650.00"
29,29,2021-05-23,"1,250.00","1,305.00","1,248.00","1,300.00",1.17,"50,246.00","65,042,460.00"
30,30,2021-05-20,"1,260.00","1,318.00","1,260.00","1,285.00",1.34,"36,430.00","47,058,584.00"
31,31,2021-05-19,"1,294.00","1,310.00","1,262.00","1,268.00",-1.25,"53,349.00","68,567,393.00"
32,32,2021-05-18,"1,272.00","1,290.00","1,259.00","1,284.00",0.94,"43,263.00","54,970,173.00"
33,33,2021-05-17,"1,252.00","1,297.00","1,252.00","1,272.00",1.60,"86,049.00","109,630,668.00"
34,34,2021-05-16,"1,239.00","1,255.00","1,186.00","1,252.00",6.10,"50,531.00","61,763,651.00"
35,35,2021-05-13,"1,182.00","1,189.00","1,160.00","1,180.00",-0.51,"8,740.00","10,256,213.00"
36,36,2021-05-12,"1,195.00","1,205.00","1,180.00","1,186.00",-0.25,"21,278.00","25,255,238.00"
37,37,2021-05-11,"1,175.00","1,190.00","1,160.00","1,189.00",3.12,"22,804.00","26,796,566.00"
38,38,2021-05-10,"1,142.00","1,165.00","1,142.00","1,153.00",1.14,"5,538.00","6,393,989.00"
39,39,2021-05-09,"1,140.00","1,158.00","1,138.00","1,140.00",-1.38,"14,593.00","16,763,000.00"
40,40,2021-05-06,"1,179.00","1,179.00","1,155.00","1,156.00",-1.95,"8,945.00","10,388,840.00"
41,41,2021-05-05,"1,175.00","1,200.00","1,170.00","1,179.00",0.34,"18,754.00","22,271,023.00"
42,42,2021-05-04,"1,156.00","1,178.00","1,150.00","1,175.00",0.86,"14,512.00","16,912,592.00"
43,43,2021-05-03,"1,196.00","1,215.00","1,165.00","1,165.00",-0.77,"18,242.00","21,549,181.00"
44,44,2021-05-02,"1,126.00","1,174.00","1,125.00","1,174.00",3.53,"7,076.00","8,167,512.00"
45,45,2021-04-29,"1,143.00","1,145.00","1,125.00","1,134.00",0.80,"4,426.00","5,006,323.00"
46,46,2021-04-28,"1,150.00","1,165.00","1,125.00","1,125.00",-1.32,"12,706.00","14,458,932.00"
47,47,2021-04-27,"1,100.00","1,160.00","1,100.00","1,140.00",3.64,"15,876.00","18,072,518.00"
48,48,2021-04-26,"1,109.00","1,140.00","1,084.00","1,100.00",-2.48,"16,185.00","17,876,511.00"
49,49,2021-04-25,"1,175.00","1,176.00","1,125.00","1,128.00",-4.00,"14,058.00","15,970,183.00"
50,50,2021-04-22,"1,150.00","1,184.00","1,150.00","1,175.00",0.69,"12,961.00","15,126,731.00"
51,51,2021-04-21,"1,200.00","1,205.00","1,162.00","1,167.00",-1.77,"11,785.00","13,884,907.00"
52,52,2021-04-20,"1,183.00","1,199.00","1,174.00","1,188.00",0.42,"9,390.00","11,131,420.00"
