,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,851.00,863.00,846.00,849.00,-0.12,"7,459.00","6,355,092.00"
2,2,2021-06-30,860.00,864.00,846.00,850.00,-1.51,"7,609.00","6,479,679.00"
3,3,2021-06-29,877.00,894.00,862.00,863.00,0.35,"16,330.00","14,238,676.00"
4,4,2021-06-28,830.00,890.00,830.00,860.00,1.90,"12,576.00","10,768,254.00"
5,5,2021-06-27,850.00,850.00,840.00,844.00,-0.47,"11,898.00","10,031,994.00"
6,6,2021-06-24,856.00,865.00,848.00,848.00,-0.93,"21,177.00","18,130,633.00"
7,7,2021-06-23,882.00,884.00,856.00,856.00,-2.95,"18,381.00","15,898,559.00"
8,8,2021-06-22,868.00,892.00,858.00,882.00,2.92,"15,014.00","13,170,077.00"
9,9,2021-06-21,900.00,900.00,857.00,857.00,-2.61,"16,484.00","14,360,759.00"
10,10,2021-06-20,901.00,925.00,868.00,880.00,-1.01,"68,951.00","61,954,580.00"
11,11,2021-06-17,915.00,932.00,880.00,889.00,-1.22,"28,781.00","25,943,031.00"
12,12,2021-06-16,896.00,928.00,850.00,900.00,5.39,"106,362.00","95,843,978.00"
13,13,2021-06-15,903.00,903.00,853.00,854.00,-0.70,"25,152.00","21,623,348.00"
14,14,2021-06-14,856.00,870.00,854.00,860.00,0.47,"22,201.00","19,124,273.00"
15,15,2021-06-13,880.00,880.00,850.00,856.00,-0.35,"20,449.00","17,487,474.00"
16,16,2021-06-10,902.00,902.00,857.00,859.00,-0.12,"15,349.00","13,257,747.00"
17,17,2021-06-09,860.00,889.00,856.00,860.00,0.82,"13,669.00","11,833,761.00"
18,18,2021-06-08,853.00,859.00,848.00,853.00,0.12,"25,923.00","22,032,435.00"
19,19,2021-06-07,855.00,865.00,850.00,852.00,-0.93,"21,304.00","18,223,200.00"
20,20,2021-06-06,870.00,875.00,853.00,860.00,-1.15,"18,286.00","15,687,052.00"
21,21,2021-06-03,866.00,880.00,866.00,870.00,0.46,"15,379.00","13,434,449.00"
22,22,2021-06-02,870.00,873.00,858.00,866.00,0.12,"15,343.00","13,280,682.00"
23,23,2021-06-01,870.00,878.00,860.00,865.00,-1.03,"11,375.00","9,854,987.00"
24,24,2021-05-31,860.00,885.00,851.00,874.00,1.51,"21,524.00","18,774,362.00"
25,25,2021-05-30,876.00,876.00,860.00,861.00,-1.71,"29,905.00","25,884,389.00"
26,26,2021-05-27,909.00,909.00,830.00,876.00,-3.63,"51,882.00","45,230,775.00"
27,27,2021-05-25,905.00,917.00,903.00,909.00,0.78,"20,715.00","18,851,379.00"
28,28,2021-05-24,918.00,918.00,900.00,902.00,-0.22,"17,801.00","16,152,020.00"
29,29,2021-05-23,912.00,912.00,879.00,904.00,-0.88,"23,878.00","21,549,704.00"
30,30,2021-05-20,920.00,928.00,910.00,912.00,-0.87,"18,127.00","16,604,613.00"
31,31,2021-05-19,920.00,938.00,911.00,920.00,1.55,"61,909.00","57,178,348.00"
32,32,2021-05-18,930.00,930.00,890.00,906.00,1.57,"33,405.00","30,085,221.00"
33,33,2021-05-17,902.00,908.00,892.00,892.00,0.00,"31,500.00","28,305,360.00"
34,34,2021-05-16,916.00,916.00,881.00,892.00,2.18,"27,536.00","24,541,172.00"
35,35,2021-05-13,873.00,880.00,872.00,873.00,0.00,"10,970.00","9,600,430.00"
36,36,2021-05-12,870.00,895.00,870.00,873.00,-0.80,"6,949.00","6,101,577.00"
37,37,2021-05-11,875.00,892.00,873.00,880.00,0.23,"8,298.00","7,302,155.00"
38,38,2021-05-10,870.00,882.00,860.00,878.00,1.27,"8,751.00","7,654,995.00"
39,39,2021-05-09,879.00,879.00,862.00,867.00,-1.37,"9,551.00","8,279,757.00"
40,40,2021-05-06,899.00,899.00,876.00,879.00,-2.12,"13,623.00","12,022,041.00"
41,41,2021-05-05,930.00,930.00,890.00,898.00,0.90,"29,837.00","26,952,560.00"
42,42,2021-05-04,881.00,894.00,881.00,890.00,1.14,"19,762.00","17,554,795.00"
43,43,2021-05-03,880.00,895.00,870.00,880.00,0.00,"20,823.00","18,400,664.00"
44,44,2021-05-02,860.00,882.00,855.00,880.00,2.33,"15,366.00","13,425,105.00"
45,45,2021-04-29,852.00,865.00,850.00,860.00,0.12,"5,462.00","4,696,257.00"
46,46,2021-04-28,870.00,870.00,843.00,859.00,-0.58,"9,792.00","8,423,427.00"
47,47,2021-04-27,825.00,869.00,825.00,864.00,5.24,"16,651.00","14,186,297.00"
48,48,2021-04-26,840.00,865.00,805.00,821.00,-3.30,"23,195.00","19,160,292.00"
49,49,2021-04-25,880.00,880.00,845.00,849.00,-3.52,"16,225.00","13,861,946.00"
50,50,2021-04-22,861.00,880.00,851.00,880.00,1.50,"14,052.00","12,257,716.00"
51,51,2021-04-21,885.00,893.00,859.00,867.00,-1.48,"20,405.00","17,778,326.00"
52,52,2021-04-20,866.00,896.00,866.00,880.00,0.11,"11,816.00","10,426,557.00"
53,53,2021-04-19,894.00,895.00,875.00,879.00,-1.68,"15,780.00","13,942,536.00"
54,54,2021-04-18,902.00,905.00,890.00,894.00,-0.78,"21,284.00","19,089,469.00"
55,55,2021-04-15,929.00,929.00,898.00,901.00,-1.31,"19,076.00","17,230,723.00"
56,56,2021-04-13,869.00,939.00,869.00,913.00,-0.11,"32,268.00","29,705,005.00"
57,57,2021-04-12,892.00,937.00,892.00,914.00,2.47,"46,086.00","42,142,117.00"
58,58,2021-04-08,891.00,905.00,889.00,892.00,0.22,"21,779.00","19,444,887.00"
59,59,2021-04-07,885.00,910.00,885.00,890.00,-0.22,"21,377.00","19,245,285.00"
60,60,2021-04-06,885.00,895.00,878.00,892.00,0.79,"20,913.00","18,582,440.00"
61,61,2021-04-05,899.00,899.00,880.00,885.00,-0.90,"20,728.00","18,384,589.00"
62,62,2021-04-04,921.00,921.00,886.00,893.00,-1.11,"23,049.00","20,549,484.00"
63,63,2021-04-01,940.00,940.00,900.00,903.00,-1.85,"21,440.00","19,449,612.00"
64,64,2021-03-31,920.00,938.00,920.00,920.00,0.44,"38,358.00","35,656,737.00"
65,65,2021-03-30,908.00,919.00,894.00,916.00,1.78,"28,917.00","26,316,087.00"
66,66,2021-03-29,887.00,900.00,870.00,900.00,0.11,"19,719.00","17,556,683.00"
67,67,2021-03-25,963.00,963.00,895.00,899.00,-2.07,"55,869.00","51,257,652.00"
68,68,2021-03-24,876.00,918.00,860.00,918.00,9.94,"94,656.00","85,242,311.00"
69,69,2021-03-23,816.00,843.00,816.00,835.00,0.48,"8,440.00","7,062,792.00"
70,70,2021-03-22,857.00,878.00,828.00,831.00,-3.15,"23,369.00","19,840,034.00"
71,71,2021-03-21,816.00,868.00,816.00,858.00,7.25,"27,575.00","23,379,299.00"
72,72,2021-03-18,800.00,825.00,777.00,800.00,1.78,"14,220.00","11,479,268.00"
73,73,2021-03-17,794.00,800.00,779.00,786.00,0.90,"6,877.00","5,428,648.00"
74,74,2021-03-16,752.00,790.00,752.00,779.00,3.87,"14,090.00","10,955,113.00"
75,75,2021-03-15,765.00,785.00,730.00,750.00,-3.10,"12,003.00","9,075,911.00"
76,76,2021-03-14,807.00,807.00,770.00,774.00,-3.85,"13,536.00","10,603,954.00"
77,77,2021-03-10,800.00,813.00,800.00,805.00,-0.98,"6,308.00","5,088,154.00"
78,78,2021-03-09,807.00,819.00,806.00,813.00,-0.97,"5,390.00","4,377,087.00"
79,79,2021-03-07,842.00,845.00,817.00,821.00,-2.26,"8,028.00","6,623,159.00"
80,80,2021-03-04,823.00,841.00,812.00,840.00,4.09,"20,815.00","17,344,889.00"
81,81,2021-03-03,808.00,816.00,795.00,807.00,0.12,"25,324.00","20,346,548.00"
82,82,2021-03-02,796.00,842.00,796.00,806.00,-3.70,"18,780.00","15,333,828.00"
83,83,2021-03-01,798.00,856.00,798.00,837.00,3.08,"19,648.00","16,213,603.00"
84,84,2021-02-28,850.00,851.00,804.00,812.00,-4.47,"24,100.00","19,652,742.00"
85,85,2021-02-25,840.00,890.00,840.00,850.00,-1.73,"7,603.00","6,535,309.00"
86,86,2021-02-24,882.00,886.00,846.00,865.00,2.98,"17,923.00","15,577,184.00"
87,87,2021-02-23,845.00,846.00,797.00,840.00,-0.59,"29,208.00","24,120,930.00"
88,88,2021-02-22,870.00,870.00,835.00,845.00,-2.31,"24,832.00","21,000,167.00"
89,89,2021-02-21,870.00,875.00,850.00,865.00,-1.14,"18,895.00","16,304,230.00"
90,90,2021-02-18,899.00,899.00,868.00,875.00,-0.91,"14,267.00","12,487,756.00"
91,91,2021-02-17,901.00,920.00,878.00,883.00,-1.45,"28,778.00","25,567,278.00"
92,92,2021-02-16,947.00,992.00,888.00,896.00,-0.67,"84,307.00","78,462,481.00"
93,93,2021-02-15,836.00,902.00,836.00,902.00,10.00,"20,897.00","18,669,318.00"
94,94,2021-02-14,870.00,870.00,800.00,820.00,-3.87,"30,684.00","25,233,838.00"
95,95,2021-02-11,866.00,895.00,853.00,853.00,-3.07,"28,589.00","24,763,171.00"
96,96,2021-02-10,925.00,925.00,878.00,880.00,-0.11,"35,505.00","31,679,792.00"
97,97,2021-02-09,945.00,945.00,861.00,881.00,-4.55,"69,284.00","61,286,131.00"
98,98,2021-02-08,993.00,"1,040.00",885.00,923.00,-2.43,"130,728.00","126,522,037.00"
99,99,2021-02-07,877.00,946.00,860.00,946.00,10.00,"57,746.00","53,446,517.00"
100,100,2021-02-04,800.00,868.00,785.00,860.00,7.50,"84,356.00","71,197,125.00"
101,101,2021-02-03,795.00,858.00,770.00,800.00,2.56,"68,535.00","55,381,711.00"
102,102,2021-02-02,704.00,783.00,704.00,780.00,8.79,"58,613.00","43,662,002.00"
103,103,2021-02-01,720.00,735.00,708.00,717.00,-0.42,"42,845.00","30,889,358.00"
104,104,2021-01-31,760.00,760.00,706.00,720.00,-0.69,"37,783.00","27,231,420.00"
105,105,2021-01-28,719.00,744.00,706.00,725.00,2.84,"71,997.00","52,212,022.00"
106,106,2021-01-27,700.00,707.00,687.00,705.00,1.44,"24,096.00","16,888,088.00"
107,107,2021-01-26,701.00,707.00,694.00,695.00,-0.71,"29,538.00","20,651,939.00"
108,108,2021-01-25,720.00,720.00,697.00,700.00,-1.82,"33,948.00","24,019,013.00"
109,109,2021-01-24,746.00,746.00,709.00,713.00,0.28,"49,309.00","35,357,764.00"
110,110,2021-01-21,675.00,718.00,668.00,711.00,4.71,"55,051.00","38,899,783.00"
111,111,2021-01-20,690.00,690.00,667.00,679.00,-0.44,"17,264.00","11,616,043.00"
112,112,2021-01-19,700.00,700.00,673.00,682.00,-2.85,"42,624.00","29,201,307.00"
113,113,2021-01-18,710.00,710.00,693.00,702.00,-1.13,"32,420.00","22,698,419.00"
114,114,2021-01-17,715.00,715.00,691.00,710.00,0.71,"26,950.00","18,956,372.00"
115,115,2021-01-13,690.00,720.00,690.00,705.00,4.14,"76,509.00","54,030,451.00"
116,116,2021-01-12,631.00,694.00,631.00,677.00,7.29,"86,749.00","57,462,078.00"
117,117,2021-01-11,633.00,635.00,625.00,631.00,1.61,"25,823.00","16,280,065.00"
118,118,2021-01-10,615.00,629.00,613.00,621.00,2.31,"40,125.00","24,793,449.00"
119,119,2021-01-07,620.00,620.00,596.00,607.00,2.71,"23,550.00","14,277,616.00"
120,120,2021-01-06,576.00,591.00,576.00,591.00,0.85,"9,297.00","5,463,003.00"
121,121,2021-01-05,614.00,614.00,580.00,586.00,0.17,"7,520.00","4,395,132.00"
122,122,2021-01-04,615.00,615.00,580.00,585.00,-0.17,"9,843.00","5,818,745.00"
123,123,2021-01-03,566.00,590.00,566.00,586.00,3.35,"13,072.00","7,622,853.00"
124,124,2020-12-31,564.00,585.00,564.00,567.00,-1.22,"7,438.00","4,276,313.00"
125,125,2020-12-30,575.00,575.00,562.00,574.00,1.23,"7,669.00","4,370,974.00"
126,126,2020-12-29,581.00,581.00,567.00,567.00,-0.87,"8,005.00","4,568,707.00"
