,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,730.00","1,740.00","1,711.00","1,739.00",-0.34,"2,965.00","5,110,877.00"
2,2,2021-06-30,"1,763.00","1,779.00","1,732.00","1,745.00",-2.95,"1,304.00","2,295,973.00"
3,3,2021-06-29,"1,805.00","1,846.00","1,760.00","1,798.00",1.30,"5,104.00","9,242,339.00"
4,4,2021-06-28,"1,641.00","1,783.00","1,641.00","1,775.00",8.17,"3,861.00","6,600,751.00"
5,5,2021-06-27,"1,636.00","1,672.00","1,616.00","1,641.00",0.31,"2,045.00","3,329,140.00"
6,6,2021-06-24,"1,614.00","1,695.00","1,614.00","1,636.00",-0.30,913.00,"1,499,007.00"
7,7,2021-06-23,"1,690.00","1,700.00","1,638.00","1,641.00",-2.61,"3,032.00","5,024,658.00"
8,8,2021-06-22,"1,715.00","1,720.00","1,681.00","1,685.00",-0.06,"2,849.00","4,863,083.00"
9,9,2021-06-21,"1,730.00","1,765.00","1,681.00","1,686.00",-3.66,"3,384.00","5,777,060.00"
10,10,2021-06-20,"1,777.00","1,810.00","1,720.00","1,750.00",-2.78,"3,964.00","6,944,630.00"
11,11,2021-06-17,"1,800.00","1,836.00","1,800.00","1,800.00",-1.21,"2,675.00","4,855,728.00"
12,12,2021-06-16,"1,755.00","1,870.00","1,755.00","1,822.00",2.36,"10,103.00","18,521,922.00"
13,13,2021-06-15,"1,780.00","1,799.00","1,751.00","1,780.00",0.00,"2,094.00","3,696,063.00"
14,14,2021-06-14,"1,770.00","1,815.00","1,752.00","1,780.00",0.00,"3,665.00","6,496,649.00"
15,15,2021-06-13,"1,731.00","1,809.00","1,730.00","1,780.00",0.91,"6,272.00","11,239,419.00"
16,16,2021-06-10,"1,777.00","1,785.00","1,753.00","1,764.00",-0.73,"3,687.00","6,496,180.00"
17,17,2021-06-09,"1,800.00","1,839.00","1,764.00","1,777.00",-1.93,"2,502.00","4,490,240.00"
18,18,2021-06-08,"1,761.00","1,819.00","1,761.00","1,812.00",1.57,"6,767.00","12,175,529.00"
19,19,2021-06-07,"1,795.00","1,809.00","1,781.00","1,784.00",-1.49,"2,402.00","4,303,910.00"
20,20,2021-06-06,"1,771.00","1,828.00","1,771.00","1,811.00",0.39,"3,504.00","6,362,573.00"
21,21,2021-06-03,"1,798.00","1,840.00","1,795.00","1,804.00",0.33,"5,343.00","9,670,885.00"
22,22,2021-06-02,"1,799.00","1,800.00","1,745.00","1,798.00",1.58,"5,276.00","9,398,820.00"
23,23,2021-06-01,"1,770.00","1,800.00","1,755.00","1,770.00",0.28,"2,347.00","4,155,502.00"
24,24,2021-05-31,"1,789.00","1,800.00","1,761.00","1,765.00",-1.29,"5,080.00","9,014,703.00"
25,25,2021-05-30,"1,830.00","1,830.00","1,785.00","1,788.00",-2.03,"6,950.00","12,493,139.00"
26,26,2021-05-27,"1,786.00","1,856.00","1,751.00","1,825.00",-2.93,"14,458.00","25,976,050.00"
27,27,2021-05-25,"1,880.00","1,910.00","1,880.00","1,880.00",-1.05,"2,208.00","4,164,879.00"
28,28,2021-05-24,"1,896.00","1,910.00","1,893.00","1,900.00",0.21,"7,838.00","14,896,846.00"
29,29,2021-05-23,"1,890.00","1,910.00","1,855.00","1,896.00",-0.58,"3,594.00","6,801,087.00"
30,30,2021-05-20,"1,900.00","1,918.00","1,883.00","1,907.00",0.10,"8,400.00","16,005,934.00"
31,31,2021-05-19,"1,940.00","2,002.00","1,903.00","1,905.00",-3.00,"8,873.00","17,245,530.00"
32,32,2021-05-18,"1,910.00","1,974.00","1,901.00","1,964.00",3.10,"17,049.00","32,868,180.00"
33,33,2021-05-17,"1,903.00","1,930.00","1,865.00","1,905.00",1.06,"21,967.00","41,749,233.00"
34,34,2021-05-16,"1,882.00","1,900.00","1,830.00","1,885.00",2.11,"10,877.00","20,310,239.00"
35,35,2021-05-13,"1,783.00","1,862.00","1,783.00","1,846.00",3.53,"30,932.00","56,559,516.00"
36,36,2021-05-12,"1,808.00","1,808.00","1,765.00","1,783.00",0.45,"11,973.00","21,373,112.00"
37,37,2021-05-11,"1,770.00","1,810.00","1,758.00","1,775.00",1.49,"13,149.00","23,448,465.00"
38,38,2021-05-10,"1,710.00","1,750.00","1,700.00","1,749.00",2.34,"7,210.00","12,412,924.00"
39,39,2021-05-09,"1,720.00","1,768.00","1,704.00","1,709.00",-2.62,"18,111.00","31,300,438.00"
40,40,2021-05-06,"1,770.00","1,770.00","1,721.00","1,755.00",-2.55,"14,095.00","24,527,748.00"
41,41,2021-05-05,"1,860.00","1,865.00","1,791.00","1,801.00",-3.12,"10,425.00","18,950,364.00"
42,42,2021-05-04,"1,687.00","1,884.00","1,687.00","1,859.00",4.73,"21,220.00","38,538,247.00"
43,43,2021-05-03,"1,720.00","1,789.00","1,700.00","1,775.00",4.53,"27,985.00","48,886,512.00"
44,44,2021-05-02,"1,657.00","1,713.00","1,628.00","1,698.00",4.30,"29,080.00","48,163,720.00"
45,45,2021-04-29,"1,575.00","1,637.00","1,575.00","1,628.00",2.07,"9,795.00","15,880,532.00"
46,46,2021-04-28,"1,681.00","1,681.00","1,580.00","1,595.00",-0.99,"2,501.00","3,997,216.00"
47,47,2021-04-27,"1,550.00","1,611.00","1,550.00","1,611.00",4.61,"9,791.00","15,634,018.00"
48,48,2021-04-26,"1,544.00","1,638.00","1,525.00","1,540.00",-2.22,"6,159.00","9,570,453.00"
49,49,2021-04-25,"1,626.00","1,635.00","1,565.00","1,575.00",-1.81,"6,842.00","10,899,508.00"
50,50,2021-04-22,"1,560.00","1,615.00","1,553.00","1,604.00",1.52,"8,371.00","13,300,922.00"
51,51,2021-04-21,"1,574.00","1,597.00","1,574.00","1,580.00",-1.56,"4,143.00","6,551,985.00"
52,52,2021-04-20,"1,520.00","1,613.00","1,520.00","1,605.00",3.55,"2,713.00","4,318,006.00"
53,53,2021-04-19,"1,585.00","1,613.00","1,549.00","1,550.00",-2.21,"2,814.00","4,434,773.00"
54,54,2021-04-18,"1,619.00","1,659.00","1,570.00","1,585.00",-2.10,"11,324.00","18,406,462.00"
55,55,2021-04-15,"1,566.00","1,619.00","1,560.00","1,619.00",1.82,"12,950.00","20,466,957.00"
