,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,605.00","1,662.00","1,602.00","1,629.00",-0.06,"3,378.00","5,502,940.00"
2,2,2021-06-30,"1,639.00","1,639.00","1,593.00","1,630.00",-0.91,"1,529.00","2,463,805.00"
3,3,2021-06-29,"1,652.00","1,700.00","1,627.00","1,645.00",1.54,"4,273.00","7,092,643.00"
4,4,2021-06-28,"1,575.00","1,650.00","1,575.00","1,620.00",1.89,"3,480.00","5,659,455.00"
5,5,2021-06-27,"1,531.00","1,620.00","1,531.00","1,590.00",1.86,"4,201.00","6,690,451.00"
6,6,2021-06-24,"1,565.00","1,595.00","1,560.00","1,561.00",-0.83,"8,834.00","13,848,817.00"
7,7,2021-06-23,"1,595.00","1,622.00","1,570.00","1,574.00",-2.96,"3,227.00","5,105,092.00"
8,8,2021-06-22,"1,580.00","1,630.00","1,580.00","1,622.00",3.44,"3,992.00","6,398,909.00"
9,9,2021-06-21,"1,617.00","1,635.00","1,539.00","1,568.00",-2.61,"10,857.00","17,088,195.00"
10,10,2021-06-20,"1,680.00","1,710.00","1,575.00","1,610.00",-5.13,"21,443.00","34,867,396.00"
11,11,2021-06-17,"1,730.00","1,731.00","1,692.00","1,697.00",-1.96,"5,240.00","8,978,918.00"
12,12,2021-06-16,"1,709.00","1,850.00","1,682.00","1,731.00",1.29,"9,821.00","17,286,605.00"
13,13,2021-06-15,"1,750.00","1,750.00","1,702.00","1,709.00",-1.78,"3,713.00","6,375,606.00"
14,14,2021-06-14,"1,740.00","1,803.00","1,738.00","1,740.00",-1.58,"4,958.00","8,674,260.00"
15,15,2021-06-13,"1,825.00","1,825.00","1,766.00","1,768.00",-2.80,"6,585.00","11,711,189.00"
16,16,2021-06-10,"1,812.00","1,883.00","1,776.00","1,819.00",5.39,"40,047.00","72,455,916.00"
17,17,2021-06-09,"1,700.00","1,750.00","1,700.00","1,726.00",2.13,"3,802.00","6,586,533.00"
18,18,2021-06-08,"1,700.00","1,725.00","1,680.00","1,690.00",-0.24,"8,090.00","13,658,569.00"
19,19,2021-06-07,"1,722.00","1,723.00","1,690.00","1,694.00",-0.99,"6,424.00","10,931,290.00"
20,20,2021-06-06,"1,774.00","1,790.00","1,707.00","1,711.00",-1.67,"7,563.00","13,055,327.00"
21,21,2021-06-03,"1,814.00","1,819.00","1,735.00","1,740.00",-2.25,"10,585.00","18,682,379.00"
22,22,2021-06-02,"1,747.00","1,900.00","1,730.00","1,780.00",0.00,"7,353.00","13,106,899.00"
23,23,2021-06-01,"1,756.00","1,824.00","1,756.00","1,780.00",-0.61,"5,069.00","9,085,218.00"
24,24,2021-05-31,"1,998.00","1,998.00","1,791.00","1,791.00",-5.89,"8,598.00","15,621,167.00"
25,25,2021-05-30,"2,079.00","2,079.00","1,850.00","1,903.00",-3.89,"26,605.00","50,377,418.00"
26,26,2021-05-27,"1,830.00","1,983.00","1,725.00","1,980.00",4.27,"39,662.00","72,230,972.00"
27,27,2021-05-25,"1,769.00","1,899.00","1,769.00","1,899.00",8.39,"54,777.00","99,362,728.00"
28,28,2021-05-24,"1,690.00","1,752.00","1,685.00","1,752.00",2.76,"24,268.00","41,479,830.00"
29,29,2021-05-23,"1,680.00","1,705.00","1,650.00","1,705.00",1.19,"12,016.00","20,222,767.00"
30,30,2021-05-20,"1,690.00","1,690.00","1,670.00","1,685.00",-0.82,"4,583.00","7,691,123.00"
31,31,2021-05-19,"1,750.00","1,750.00","1,673.00","1,699.00",-0.12,"14,955.00","25,636,689.00"
32,32,2021-05-18,"1,675.00","1,713.00","1,669.00","1,701.00",1.67,"12,685.00","21,500,897.00"
33,33,2021-05-17,"1,700.00","1,731.00","1,660.00","1,673.00",1.46,"14,973.00","25,126,752.00"
