,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,619.00","1,619.00","1,592.00","1,592.00",0.06,"11,348.00","18,138,453.00"
2,2,2021-06-30,"1,600.00","1,605.00","1,590.00","1,591.00",-1.61,"9,581.00","15,284,715.00"
3,3,2021-06-29,"1,561.00","1,663.00","1,561.00","1,617.00",0.37,"12,206.00","19,983,484.00"
4,4,2021-06-28,"1,600.00","1,620.00","1,600.00","1,611.00",1.51,"7,904.00","12,716,746.00"
5,5,2021-06-27,"1,614.00","1,614.00","1,565.00","1,587.00",-0.19,"6,888.00","10,908,842.00"
6,6,2021-06-24,"1,583.00","1,605.00","1,580.00","1,590.00",-0.31,"16,487.00","26,267,937.00"
7,7,2021-06-23,"1,703.00","1,703.00","1,595.00","1,595.00",-1.66,"19,570.00","31,424,099.00"
8,8,2021-06-22,"1,639.00","1,639.00","1,610.00","1,622.00",0.93,"13,704.00","22,287,951.00"
9,9,2021-06-21,"1,625.00","1,650.00","1,606.00","1,607.00",-1.11,"19,533.00","31,604,292.00"
10,10,2021-06-20,"1,685.00","1,720.00","1,625.00","1,625.00",-2.11,"18,242.00","29,983,514.00"
11,11,2021-06-17,"1,718.00","1,720.00","1,657.00","1,660.00",-1.48,"17,562.00","29,443,863.00"
12,12,2021-06-16,"1,600.00","1,730.00","1,600.00","1,685.00",3.44,"48,111.00","80,802,735.00"
13,13,2021-06-15,"1,650.00","1,676.00","1,626.00","1,629.00",-0.91,"20,819.00","34,027,094.00"
14,14,2021-06-14,"1,638.00","1,646.00","1,633.00","1,644.00",0.55,"15,444.00","25,318,569.00"
15,15,2021-06-13,"1,636.00","1,650.00","1,630.00","1,635.00",-0.06,"22,890.00","37,539,042.00"
16,16,2021-06-10,"1,645.00","1,646.00","1,629.00","1,636.00",-0.12,"10,541.00","17,218,636.00"
17,17,2021-06-09,"1,633.00","1,667.00","1,630.00","1,638.00",-0.12,"10,538.00","17,370,532.00"
18,18,2021-06-08,"1,643.00","1,650.00","1,631.00","1,640.00",-0.18,"13,535.00","22,169,912.00"
19,19,2021-06-07,"1,650.00","1,677.00","1,633.00","1,643.00",-0.18,"11,302.00","18,583,706.00"
20,20,2021-06-06,"1,660.00","1,665.00","1,635.00","1,646.00",-0.18,"10,415.00","17,141,771.00"
21,21,2021-06-03,"1,644.00","1,680.00","1,644.00","1,649.00",0.30,"18,813.00","31,255,605.00"
22,22,2021-06-02,"1,625.00","1,645.00","1,621.00","1,644.00",1.17,"7,927.00","12,997,820.00"
23,23,2021-06-01,"1,650.00","1,650.00","1,620.00","1,625.00",-0.67,"13,933.00","22,731,902.00"
24,24,2021-05-31,"1,640.00","1,660.00","1,630.00","1,636.00",0.06,"18,245.00","29,997,967.00"
25,25,2021-05-30,"1,634.00","1,670.00","1,629.00","1,635.00",-1.45,"26,707.00","43,837,300.00"
26,26,2021-05-27,"1,639.00","1,680.00","1,598.00","1,659.00",-2.98,"58,138.00","95,258,426.00"
27,27,2021-05-25,"1,795.00","1,795.00","1,705.00","1,710.00",-0.35,"17,141.00","29,432,531.00"
28,28,2021-05-24,"1,781.00","1,781.00","1,702.00","1,716.00",1.12,"25,844.00","44,280,646.00"
29,29,2021-05-23,"1,786.00","1,786.00","1,671.00","1,697.00",-0.24,"14,384.00","24,427,485.00"
30,30,2021-05-20,"1,715.00","1,715.00","1,692.00","1,701.00",-0.12,"14,187.00","24,195,125.00"
31,31,2021-05-19,"1,734.00","1,735.00","1,701.00","1,703.00",-0.12,"32,546.00","55,885,852.00"
32,32,2021-05-18,"1,689.00","1,716.00","1,689.00","1,705.00",0.41,"14,955.00","25,453,859.00"
33,33,2021-05-17,"1,721.00","1,725.00","1,695.00","1,698.00",-0.59,"13,217.00","22,510,696.00"
34,34,2021-05-16,"1,678.00","1,711.00","1,678.00","1,708.00",1.79,"20,820.00","35,344,367.00"
35,35,2021-05-13,"1,673.00","1,681.00","1,673.00","1,678.00",0.06,"10,963.00","18,388,177.00"
36,36,2021-05-12,"1,680.00","1,685.00","1,671.00","1,677.00",-0.42,"9,718.00","16,309,213.00"
37,37,2021-05-11,"1,675.00","1,685.00","1,667.00","1,684.00",0.84,"15,218.00","25,507,182.00"
38,38,2021-05-10,"1,648.00","1,672.00","1,647.00","1,670.00",0.48,"6,421.00","10,674,676.00"
39,39,2021-05-09,"1,675.00","1,675.00","1,652.00","1,662.00",-0.78,"12,320.00","20,474,419.00"
40,40,2021-05-06,"1,699.00","1,700.00","1,665.00","1,675.00",-1.18,"19,726.00","33,070,602.00"
41,41,2021-05-05,"1,730.00","1,744.00","1,690.00","1,695.00",-0.88,"32,977.00","56,175,074.00"
42,42,2021-05-04,"1,723.00","1,724.00","1,691.00","1,710.00",1.12,"16,144.00","27,562,535.00"
43,43,2021-05-03,"1,718.00","1,740.00","1,685.00","1,691.00",0.36,"24,207.00","41,329,312.00"
44,44,2021-05-02,"1,651.00","1,689.00","1,640.00","1,685.00",2.12,"18,841.00","31,531,791.00"
45,45,2021-04-29,"1,638.00","1,660.00","1,628.00","1,650.00",0.73,"5,309.00","8,740,876.00"
46,46,2021-04-28,"1,666.00","1,666.00","1,633.00","1,638.00",-1.03,"5,720.00","9,410,561.00"
47,47,2021-04-27,"1,594.00","1,656.00","1,590.00","1,655.00",3.83,"17,912.00","29,168,739.00"
48,48,2021-04-26,"1,601.00","1,640.00","1,571.00","1,594.00",-1.85,"27,005.00","43,095,646.00"
49,49,2021-04-25,"1,670.00","1,670.00","1,608.00","1,624.00",-2.46,"16,781.00","27,330,057.00"
50,50,2021-04-22,"1,650.00","1,690.00","1,648.00","1,665.00",-0.36,"18,649.00","31,053,201.00"
51,51,2021-04-21,"1,696.00","1,719.00","1,670.00","1,671.00",-1.94,"13,458.00","22,654,613.00"
52,52,2021-04-20,"1,686.00","1,719.00","1,686.00","1,704.00",-0.18,"15,633.00","26,651,706.00"
53,53,2021-04-19,"1,733.00","1,750.00","1,700.00","1,707.00",-1.50,"18,260.00","31,296,856.00"
54,54,2021-04-18,"1,740.00","1,759.00","1,720.00","1,733.00",-0.69,"12,211.00","21,241,179.00"
55,55,2021-04-15,"1,760.00","1,760.00","1,735.00","1,745.00",-0.51,"8,405.00","14,658,188.00"
56,56,2021-04-13,"1,790.00","1,790.00","1,737.00","1,754.00",-0.34,"22,422.00","39,420,114.00"
57,57,2021-04-12,"1,725.00","1,805.00","1,705.00","1,760.00",3.23,"44,063.00","77,515,237.00"
58,58,2021-04-08,"1,720.00","1,738.00","1,699.00","1,705.00",-0.29,"16,587.00","28,511,064.00"
59,59,2021-04-07,"1,680.00","1,715.00","1,657.00","1,710.00",2.89,"25,176.00","42,633,304.00"
60,60,2021-04-06,"1,660.00","1,670.00","1,655.00","1,662.00",-0.48,"5,851.00","9,726,457.00"
61,61,2021-04-05,"1,690.00","1,690.00","1,656.00","1,670.00",-0.42,"5,953.00","9,902,497.00"
62,62,2021-04-04,"1,690.00","1,690.00","1,655.00","1,677.00",-0.18,"11,532.00","19,243,538.00"
63,63,2021-04-01,"1,686.00","1,690.00","1,671.00","1,680.00",-0.36,"8,545.00","14,395,026.00"
64,64,2021-03-31,"1,700.00","1,710.00","1,685.00","1,686.00",0.36,"8,663.00","14,692,500.00"
65,65,2021-03-30,"1,680.00","1,699.00","1,651.00","1,680.00",1.45,"22,641.00","37,925,818.00"
66,66,2021-03-29,"1,651.00","1,670.00","1,651.00","1,656.00",0.30,"8,996.00","14,932,839.00"
67,67,2021-03-25,"1,679.00","1,698.00","1,650.00","1,651.00",-1.26,"13,466.00","22,501,071.00"
68,68,2021-03-24,"1,650.00","1,680.00","1,620.00","1,672.00",2.45,"19,428.00","32,289,035.00"
69,69,2021-03-23,"1,595.00","1,632.00","1,575.00","1,632.00",0.43,"6,122.00","9,902,754.00"
70,70,2021-03-22,"1,672.00","1,672.00","1,615.00","1,625.00",-2.23,"9,979.00","16,260,517.00"
71,71,2021-03-21,"1,615.00","1,668.00","1,600.00","1,662.00",4.79,"29,484.00","47,965,802.00"
72,72,2021-03-18,"1,560.00","1,600.00","1,545.00","1,586.00",1.99,"7,099.00","11,250,848.00"
73,73,2021-03-17,"1,530.00","1,560.00","1,515.00","1,555.00",3.32,"4,668.00","7,190,153.00"
74,74,2021-03-16,"1,490.00","1,530.00","1,486.00","1,505.00",0.33,"11,843.00","17,824,739.00"
75,75,2021-03-15,"1,501.00","1,530.00","1,493.00","1,500.00",-1.32,"7,126.00","10,731,136.00"
76,76,2021-03-14,"1,511.00","1,529.00","1,506.00","1,520.00",-0.52,"11,064.00","16,742,107.00"
77,77,2021-03-10,"1,530.00","1,548.00","1,510.00","1,528.00",-0.78,"5,220.00","7,972,830.00"
78,78,2021-03-09,"1,561.00","1,578.00","1,530.00","1,540.00",-2.41,"5,373.00","8,326,605.00"
79,79,2021-03-07,"1,575.00","1,620.00","1,575.00","1,578.00",-1.13,"7,717.00","12,327,092.00"
80,80,2021-03-04,"1,570.00","1,600.00","1,550.00","1,596.00",3.50,"12,258.00","19,470,685.00"
81,81,2021-03-03,"1,550.00","1,550.00","1,512.00","1,542.00",-1.34,"14,062.00","21,530,004.00"
82,82,2021-03-02,"1,605.00","1,605.00","1,560.00","1,563.00",-2.92,"16,576.00","26,258,861.00"
83,83,2021-03-01,"1,555.00","1,630.00","1,555.00","1,610.00",1.58,"13,799.00","22,089,660.00"
84,84,2021-02-28,"1,600.00","1,614.00","1,584.00","1,585.00",-2.16,"17,420.00","27,731,418.00"
85,85,2021-02-25,"1,645.00","1,660.00","1,612.00","1,620.00",-1.40,"6,612.00","10,737,815.00"
86,86,2021-02-24,"1,660.00","1,672.00","1,632.00","1,643.00",0.18,"7,940.00","13,123,640.00"
87,87,2021-02-23,"1,630.00","1,640.00","1,570.00","1,640.00",0.61,"18,081.00","28,794,487.00"
88,88,2021-02-22,"1,631.00","1,643.00","1,620.00","1,630.00",-0.61,"11,140.00","18,123,631.00"
89,89,2021-02-21,"1,686.00","1,687.00","1,633.00","1,640.00",-0.85,"12,821.00","21,163,296.00"
90,90,2021-02-18,"1,679.00","1,684.00","1,652.00","1,654.00",-1.55,"6,969.00","11,567,841.00"
91,91,2021-02-17,"1,730.00","1,730.00","1,669.00","1,680.00",-1.23,"10,366.00","17,465,091.00"
92,92,2021-02-16,"1,800.00","1,800.00","1,687.00","1,701.00",-3.63,"16,014.00","27,613,610.00"
93,93,2021-02-15,"1,652.00","1,780.00","1,652.00","1,765.00",8.95,"45,558.00","78,791,286.00"
94,94,2021-02-14,"1,670.00","1,670.00","1,620.00","1,620.00",-1.76,"11,484.00","18,859,586.00"
95,95,2021-02-11,"1,700.00","1,700.00","1,640.00","1,649.00",-1.61,"14,795.00","24,474,034.00"
96,96,2021-02-10,"1,670.00","1,700.00","1,641.00","1,676.00",0.72,"26,502.00","44,315,206.00"
97,97,2021-02-09,"1,715.00","1,715.00","1,650.00","1,664.00",-2.69,"19,757.00","33,128,841.00"
98,98,2021-02-08,"1,860.00","1,860.00","1,700.00","1,710.00",-3.55,"35,218.00","61,283,785.00"
99,99,2021-02-07,"1,700.00","1,818.00","1,695.00","1,773.00",4.73,"52,823.00","93,677,306.00"
100,100,2021-02-04,"1,680.00","1,705.00","1,666.00","1,693.00",0.47,"27,213.00","46,110,991.00"
101,101,2021-02-03,"1,725.00","1,733.00","1,650.00","1,685.00",-1.35,"19,993.00","33,850,336.00"
102,102,2021-02-02,"1,635.00","1,713.00","1,635.00","1,708.00",4.79,"29,476.00","49,933,223.00"
103,103,2021-02-01,"1,630.00","1,655.00","1,620.00","1,630.00",0.00,"26,762.00","43,662,377.00"
104,104,2021-01-31,"1,700.00","1,700.00","1,602.00","1,630.00",-4.68,"36,757.00","60,373,462.00"
105,105,2021-01-28,"1,720.00","1,754.00","1,663.00","1,710.00",0.59,"41,602.00","71,662,754.00"
106,106,2021-01-27,"1,690.00","1,710.00","1,675.00","1,700.00",0.77,"62,590.00","105,823,260.00"
107,107,2021-01-26,"1,705.00","1,720.00","1,680.00","1,687.00",-2.09,"32,650.00","55,408,172.00"
108,108,2021-01-25,"1,756.00","1,756.00","1,700.00","1,723.00",0.06,"39,173.00","67,432,294.00"
109,109,2021-01-24,"1,750.00","1,778.00","1,715.00","1,722.00",-0.86,"45,435.00","79,128,299.00"
110,110,2021-01-21,"1,725.00","1,794.00","1,700.00","1,737.00",1.28,"50,210.00","87,986,696.00"
111,111,2021-01-20,"1,699.00","1,725.00","1,662.00","1,715.00",2.69,"22,615.00","38,154,723.00"
112,112,2021-01-19,"1,630.00","1,683.00","1,580.00","1,670.00",3.09,"33,025.00","53,770,035.00"
113,113,2021-01-18,"1,630.00","1,663.00","1,600.00","1,620.00",1.06,"12,347.00","19,925,628.00"
114,114,2021-01-17,"1,620.00","1,650.00","1,580.00","1,603.00",0.19,"10,712.00","17,135,262.00"
