,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,433.00","1,433.00","1,390.00","1,390.00",-1.35,"4,251.00","5,942,398.00"
2,2,2021-06-30,"1,382.00","1,410.00","1,382.00","1,409.00",-0.07,"6,917.00","9,686,595.00"
3,3,2021-06-29,"1,478.00","1,505.00","1,400.00","1,410.00",0.14,"13,872.00","19,935,513.00"
4,4,2021-06-28,"1,368.00","1,430.00","1,368.00","1,408.00",3.15,"14,687.00","20,676,728.00"
5,5,2021-06-27,"1,358.00","1,375.00","1,346.00","1,365.00",-0.15,"9,403.00","12,810,984.00"
6,6,2021-06-24,"1,373.00","1,384.00","1,357.00","1,367.00",-2.29,"8,232.00","11,279,726.00"
7,7,2021-06-23,"1,501.00","1,501.00","1,380.00","1,399.00",-2.17,"14,649.00","20,393,467.00"
8,8,2021-06-22,"1,417.00","1,430.00","1,371.00","1,430.00",2.88,"16,839.00","23,683,726.00"
9,9,2021-06-21,"1,471.00","1,471.00","1,380.00","1,390.00",-3.67,"16,374.00","23,057,978.00"
10,10,2021-06-20,"1,460.00","1,482.00","1,415.00","1,443.00",-2.17,"12,401.00","17,808,499.00"
11,11,2021-06-17,"1,510.00","1,510.00","1,458.00","1,475.00",-1.34,"9,165.00","13,501,908.00"
12,12,2021-06-16,"1,443.00","1,565.00","1,436.00","1,495.00",3.53,"36,575.00","54,863,390.00"
13,13,2021-06-15,"1,435.00","1,463.00","1,428.00","1,444.00",0.00,"12,642.00","18,218,195.00"
14,14,2021-06-14,"1,465.00","1,465.00","1,440.00","1,444.00",0.00,"8,380.00","12,174,531.00"
15,15,2021-06-13,"1,457.00","1,468.00","1,442.00","1,444.00",-0.48,"13,360.00","19,414,348.00"
16,16,2021-06-10,"1,480.00","1,480.00","1,451.00","1,451.00",-1.83,"10,622.00","15,518,952.00"
17,17,2021-06-09,"1,491.00","1,500.00","1,460.00","1,478.00",1.03,"8,101.00","11,942,331.00"
18,18,2021-06-08,"1,548.00","1,548.00","1,459.00","1,463.00",-0.81,"15,220.00","22,319,262.00"
19,19,2021-06-07,"1,494.00","1,499.00","1,470.00","1,475.00",-1.01,"9,655.00","14,276,163.00"
20,20,2021-06-06,"1,540.00","1,544.00","1,485.00","1,490.00",-1.65,"13,425.00","20,306,731.00"
21,21,2021-06-03,"1,513.00","1,545.00","1,503.00","1,515.00",0.13,"21,549.00","32,749,832.00"
22,22,2021-06-02,"1,455.00","1,513.00","1,455.00","1,513.00",3.56,"28,201.00","42,195,517.00"
23,23,2021-06-01,"1,500.00","1,500.00","1,458.00","1,461.00",-0.68,"9,197.00","13,490,429.00"
24,24,2021-05-31,"1,510.00","1,519.00","1,464.00","1,471.00",-2.00,"15,207.00","22,597,310.00"
25,25,2021-05-30,"1,490.00","1,569.00","1,471.00","1,501.00",0.13,"39,542.00","59,236,235.00"
26,26,2021-05-27,"1,463.00","1,519.00","1,463.00","1,499.00",-2.60,"45,911.00","67,995,576.00"
27,27,2021-05-25,"1,532.00","1,568.00","1,522.00","1,539.00",-0.13,"21,103.00","32,446,584.00"
28,28,2021-05-24,"1,560.00","1,578.00","1,525.00","1,541.00",0.13,"15,888.00","24,591,340.00"
29,29,2021-05-23,"1,510.00","1,550.00","1,508.00","1,539.00",0.07,"25,844.00","39,661,664.00"
30,30,2021-05-20,"1,550.00","1,560.00","1,523.00","1,538.00",0.20,"15,632.00","24,180,706.00"
31,31,2021-05-19,"1,580.00","1,595.00","1,530.00","1,535.00",-1.85,"28,674.00","44,730,213.00"
32,32,2021-05-18,"1,512.00","1,577.00","1,510.00","1,564.00",3.58,"32,637.00","50,566,656.00"
33,33,2021-05-17,"1,576.00","1,576.00","1,505.00","1,510.00",0.60,"22,267.00","33,709,641.00"
34,34,2021-05-16,"1,510.00","1,529.00","1,491.00","1,501.00",1.21,"16,199.00","24,386,207.00"
35,35,2021-05-13,"1,496.00","1,496.00","1,480.00","1,483.00",0.14,"13,768.00","20,503,828.00"
36,36,2021-05-12,"1,490.00","1,501.00","1,478.00","1,481.00",-0.60,"8,468.00","12,599,306.00"
37,37,2021-05-11,"1,445.00","1,504.00","1,445.00","1,490.00",2.76,"27,408.00","40,774,105.00"
38,38,2021-05-10,"1,413.00","1,463.00","1,413.00","1,450.00",1.40,"12,261.00","17,675,601.00"
39,39,2021-05-09,"1,460.00","1,470.00","1,428.00","1,430.00",-1.65,"10,451.00","15,061,375.00"
40,40,2021-05-06,"1,494.00","1,494.00","1,437.00","1,454.00",-2.55,"23,246.00","33,841,740.00"
