,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,682.00","1,682.00","1,635.00","1,645.00",-2.37,"2,552.00","4,208,633.00"
2,2,2021-06-30,"1,679.00","1,711.00","1,651.00","1,685.00",1.51,955.00,"1,606,269.00"
3,3,2021-06-29,"1,732.00","1,768.00","1,660.00","1,660.00",0.61,"1,699.00","2,936,634.00"
4,4,2021-06-28,"1,627.00","1,680.00","1,627.00","1,650.00",1.41,"2,450.00","4,050,612.00"
5,5,2021-06-27,"1,642.00","1,650.00","1,626.00","1,627.00",-0.91,672.00,"1,100,311.00"
6,6,2021-06-24,"1,627.00","1,654.00","1,627.00","1,642.00",-0.91,946.00,"1,556,602.00"
7,7,2021-06-23,"1,701.00","1,701.00","1,603.00","1,657.00",-0.66,"1,615.00","2,634,174.00"
8,8,2021-06-22,"1,675.00","1,700.00","1,666.00","1,668.00",-0.06,"1,295.00","2,175,124.00"
9,9,2021-06-21,"1,701.00","1,702.00","1,633.00","1,669.00",-2.63,"3,551.00","5,891,233.00"
10,10,2021-06-20,"1,750.00","1,750.00","1,700.00","1,714.00",-2.06,"2,262.00","3,897,138.00"
11,11,2021-06-17,"1,760.00","1,760.00","1,728.00","1,750.00",-0.57,798.00,"1,389,967.00"
12,12,2021-06-16,"1,700.00","1,836.00","1,690.00","1,760.00",3.23,"3,910.00","6,925,356.00"
13,13,2021-06-15,"1,681.00","1,720.00","1,681.00","1,705.00",-0.06,"1,248.00","2,126,248.00"
14,14,2021-06-14,"1,720.00","1,730.00","1,701.00","1,706.00",-0.23,"1,901.00","3,250,568.00"
15,15,2021-06-13,"1,728.00","1,740.00","1,701.00","1,710.00",-0.98,"2,877.00","4,930,334.00"
16,16,2021-06-10,"1,750.00","1,756.00","1,720.00","1,727.00",-0.75,"1,655.00","2,867,412.00"
17,17,2021-06-09,"1,760.00","1,765.00","1,735.00","1,740.00",-1.14,"2,723.00","4,750,264.00"
18,18,2021-06-08,"1,750.00","1,770.00","1,740.00","1,760.00",-0.56,"1,692.00","2,971,310.00"
19,19,2021-06-07,"1,790.00","1,790.00","1,745.00","1,770.00",-0.56,"1,910.00","3,349,110.00"
20,20,2021-06-06,"1,780.00","1,820.00","1,762.00","1,780.00",1.71,"1,863.00","3,333,301.00"
21,21,2021-06-03,"1,810.00","1,810.00","1,750.00","1,750.00",-1.41,"2,870.00","5,090,449.00"
22,22,2021-06-02,"1,734.00","1,775.00","1,733.00","1,775.00",1.95,765.00,"1,344,398.00"
23,23,2021-06-01,"1,737.00","1,769.00","1,735.00","1,741.00",0.29,"1,430.00","2,502,879.00"
24,24,2021-05-31,"1,704.00","1,809.00","1,704.00","1,736.00",1.88,"3,810.00","6,709,613.00"
25,25,2021-05-30,"1,783.00","1,783.00","1,704.00","1,704.00",-2.57,"2,604.00","4,538,543.00"
26,26,2021-05-27,"1,926.00","1,926.00","1,749.00","1,749.00",-4.69,"7,886.00","13,931,388.00"
27,27,2021-05-25,"1,876.00","1,876.00","1,835.00","1,835.00",-0.27,"1,180.00","2,172,684.00"
28,28,2021-05-24,"1,862.00","1,889.00","1,840.00","1,840.00",-1.08,"4,484.00","8,375,486.00"
29,29,2021-05-23,"1,869.00","1,879.00","1,845.00","1,860.00",0.43,"2,041.00","3,802,759.00"
30,30,2021-05-20,"1,865.00","1,870.00","1,845.00","1,852.00",-0.80,"2,111.00","3,940,727.00"
31,31,2021-05-19,"1,900.00","1,964.00","1,861.00","1,867.00",0.05,"4,384.00","8,256,236.00"
32,32,2021-05-18,"1,846.00","1,876.00","1,824.00","1,866.00",1.14,"4,838.00","8,993,904.00"
33,33,2021-05-17,"1,878.00","1,880.00","1,831.00","1,845.00",0.16,"2,965.00","5,493,900.00"
34,34,2021-05-16,"1,853.00","1,889.00","1,823.00","1,842.00",1.38,"1,144.00","2,104,687.00"
35,35,2021-05-13,"1,802.00","1,885.00","1,802.00","1,817.00",-0.16,"1,833.00","3,385,059.00"
36,36,2021-05-12,"1,880.00","1,880.00","1,790.00","1,820.00",-1.89,"5,452.00","9,891,462.00"
37,37,2021-05-11,"1,820.00","1,855.00","1,804.00","1,855.00",2.49,"2,621.00","4,794,943.00"
38,38,2021-05-10,"1,810.00","1,815.00","1,790.00","1,810.00",1.12,883.00,"1,596,782.00"
39,39,2021-05-09,"1,800.00","1,825.00","1,789.00","1,790.00",-1.92,"1,526.00","2,756,130.00"
40,40,2021-05-06,"1,850.00","1,885.00","1,825.00","1,825.00",-2.93,"1,084.00","2,001,645.00"
41,41,2021-05-05,"1,922.00","1,922.00","1,876.00","1,880.00",-2.08,"3,664.00","6,946,155.00"
42,42,2021-05-04,"1,840.00","1,958.00","1,825.00","1,920.00",2.56,"6,127.00","11,645,115.00"
43,43,2021-05-03,"1,894.00","1,900.00","1,855.00","1,872.00",-0.95,"1,841.00","3,455,438.00"
44,44,2021-05-02,"1,857.00","1,890.00","1,839.00","1,890.00",1.78,"2,456.00","4,600,746.00"
45,45,2021-04-29,"1,830.00","1,857.00","1,801.00","1,857.00",0.65,"1,297.00","2,377,732.00"
