,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,470.00","1,475.00","1,448.00","1,474.00",-0.14,"1,493.00","2,178,716.00"
2,2,2021-06-30,"1,500.00","1,500.00","1,476.00","1,476.00",-1.80,599.00,"888,211.00"
3,3,2021-06-29,"1,500.00","1,550.00","1,497.00","1,503.00",3.66,"6,474.00","9,840,115.00"
4,4,2021-06-28,"1,400.00","1,500.00","1,400.00","1,450.00",4.69,"3,820.00","5,625,209.00"
5,5,2021-06-27,"1,382.00","1,400.00","1,375.00","1,385.00",-0.36,388.00,"538,844.00"
6,6,2021-06-24,"1,400.00","1,404.00","1,385.00","1,390.00",0.58,654.00,"911,210.00"
7,7,2021-06-23,"1,390.00","1,437.00","1,382.00","1,382.00",-1.92,"1,195.00","1,666,250.00"
8,8,2021-06-22,"1,382.00","1,465.00","1,382.00","1,409.00",0.21,"1,541.00","2,195,003.00"
9,9,2021-06-21,"1,426.00","1,429.00","1,400.00","1,406.00",-1.40,"3,007.00","4,235,231.00"
10,10,2021-06-20,"1,480.00","1,480.00","1,426.00","1,426.00",-3.65,822.00,"1,200,808.00"
11,11,2021-06-17,"1,530.00","1,530.00","1,478.00","1,480.00",-1.99,"1,162.00","1,738,988.00"
12,12,2021-06-16,"1,410.00","1,578.00","1,410.00","1,510.00",5.23,"6,502.00","9,848,771.00"
13,13,2021-06-15,"1,522.00","1,522.00","1,435.00","1,435.00",-1.03,"2,573.00","3,734,836.00"
14,14,2021-06-14,"1,440.00","1,485.00","1,440.00","1,450.00",-0.89,"2,326.00","3,388,326.00"
15,15,2021-06-13,"1,482.00","1,490.00","1,463.00","1,463.00",-1.28,"1,560.00","2,292,979.00"
16,16,2021-06-10,"1,490.00","1,509.00","1,463.00","1,482.00",-0.54,"2,419.00","3,574,371.00"
17,17,2021-06-09,"1,500.00","1,539.00","1,490.00","1,490.00",0.00,"1,482.00","2,235,742.00"
18,18,2021-06-08,"1,500.00","1,530.00","1,485.00","1,490.00",-2.61,"3,641.00","5,458,828.00"
19,19,2021-06-07,"1,515.00","1,530.00","1,515.00","1,530.00",-0.84,"1,364.00","2,076,786.00"
20,20,2021-06-06,"1,600.00","1,600.00","1,537.00","1,543.00",0.52,"1,554.00","2,403,356.00"
21,21,2021-06-03,"1,545.00","1,606.00","1,529.00","1,535.00",1.32,"2,978.00","4,635,964.00"
22,22,2021-06-02,"1,519.00","1,519.00","1,475.00","1,515.00",1.68,"1,427.00","2,142,405.00"
23,23,2021-06-01,"1,475.00","1,500.00","1,475.00","1,490.00",-0.53,"4,279.00","6,360,892.00"
24,24,2021-05-31,"1,481.00","1,519.00","1,481.00","1,498.00",0.54,"2,653.00","3,982,490.00"
25,25,2021-05-30,"1,525.00","1,527.00","1,480.00","1,490.00",-2.61,"6,707.00","10,061,152.00"
26,26,2021-05-27,"1,520.00","1,581.00","1,490.00","1,530.00",-4.38,"6,124.00","9,309,023.00"
27,27,2021-05-25,"1,600.00","1,664.00","1,600.00","1,600.00",-1.84,"8,586.00","13,848,495.00"
28,28,2021-05-24,"1,700.00","1,734.00","1,620.00","1,630.00",-2.74,"3,571.00","5,869,459.00"
29,29,2021-05-23,"1,660.00","1,693.00","1,630.00","1,676.00",-1.00,"7,015.00","11,750,230.00"
30,30,2021-05-20,"1,617.00","1,695.00","1,600.00","1,693.00",4.70,"20,225.00","33,637,185.00"
31,31,2021-05-19,"1,558.00","1,685.00","1,558.00","1,617.00",3.99,"15,544.00","24,775,499.00"
32,32,2021-05-18,"1,480.00","1,625.00","1,460.00","1,555.00",5.21,"11,790.00","18,141,916.00"
33,33,2021-05-17,"1,445.00","1,479.00","1,445.00","1,478.00",1.79,"8,414.00","12,345,490.00"
34,34,2021-05-16,"1,453.00","1,464.00","1,425.00","1,452.00",1.89,"4,420.00","6,434,355.00"
35,35,2021-05-13,"1,440.00","1,445.00","1,423.00","1,425.00",0.14,"2,371.00","3,392,893.00"
36,36,2021-05-12,"1,436.00","1,436.00","1,412.00","1,423.00",1.07,"1,592.00","2,260,861.00"
37,37,2021-05-11,"1,395.00","1,416.00","1,395.00","1,408.00",1.29,"2,130.00","3,002,275.00"
38,38,2021-05-10,"1,390.00","1,403.00","1,381.00","1,390.00",0.65,"1,017.00","1,415,969.00"
39,39,2021-05-09,"1,405.00","1,405.00","1,381.00","1,381.00",-1.71,"1,883.00","2,621,095.00"
40,40,2021-05-06,"1,417.00","1,430.00","1,400.00","1,405.00",-2.77,"1,811.00","2,564,716.00"
41,41,2021-05-05,"1,517.00","1,517.00","1,440.00","1,445.00",0.00,"10,849.00","15,717,925.00"
42,42,2021-05-04,"1,375.00","1,450.00","1,375.00","1,445.00",3.36,"13,310.00","18,941,550.00"
43,43,2021-05-03,"1,395.00","1,407.00","1,385.00","1,398.00",0.22,"5,630.00","7,873,932.00"
44,44,2021-05-02,"1,370.00","1,405.00","1,360.00","1,395.00",1.45,"7,369.00","10,191,929.00"
45,45,2021-04-29,"1,379.00","1,392.00","1,350.00","1,375.00",1.63,"2,461.00","3,399,119.00"
46,46,2021-04-28,"1,360.00","1,407.00","1,353.00","1,353.00",-0.51,520.00,"709,614.00"
47,47,2021-04-27,"1,315.00","1,360.00","1,312.00","1,360.00",4.37,"1,576.00","2,099,687.00"
48,48,2021-04-26,"1,305.00","1,331.00","1,303.00","1,303.00",-1.96,"2,498.00","3,281,702.00"
49,49,2021-04-25,"1,364.00","1,366.00","1,329.00","1,329.00",-4.46,"2,332.00","3,122,710.00"
