,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,600.00","1,632.00","1,586.00","1,595.00",-1.42,"3,657.00","5,861,106.00"
2,2,2021-06-30,"1,615.00","1,618.00","1,597.00","1,618.00",-1.58,"2,075.00","3,329,014.00"
3,3,2021-06-29,"1,655.00","1,692.00","1,632.00","1,644.00",-0.48,"4,659.00","7,751,719.00"
4,4,2021-06-28,"1,611.00","1,665.00","1,611.00","1,652.00",1.16,"5,479.00","9,015,406.00"
5,5,2021-06-27,"1,666.00","1,666.00","1,620.00","1,633.00",-0.67,"2,106.00","3,431,153.00"
6,6,2021-06-24,"1,630.00","1,675.00","1,620.00","1,644.00",0.49,"9,287.00","15,194,807.00"
7,7,2021-06-23,"1,630.00","1,662.00","1,618.00","1,636.00",1.80,"21,713.00","35,508,768.00"
8,8,2021-06-22,"1,600.00","1,614.00","1,580.00","1,607.00",1.71,"4,119.00","6,592,005.00"
9,9,2021-06-21,"1,610.00","1,633.00","1,571.00","1,580.00",0.00,"8,998.00","14,238,825.00"
10,10,2021-06-20,"1,601.00","1,633.00","1,571.00","1,580.00",-3.07,"4,737.00","7,564,532.00"
11,11,2021-06-17,"1,640.00","1,672.00","1,617.00","1,630.00",-0.61,"5,041.00","8,243,770.00"
12,12,2021-06-16,"1,616.00","1,730.00","1,570.00","1,640.00",3.47,"14,867.00","24,610,514.00"
13,13,2021-06-15,"1,570.00","1,620.00","1,570.00","1,585.00",-0.81,"7,898.00","12,595,035.00"
14,14,2021-06-14,"1,600.00","1,613.00","1,593.00","1,598.00",-1.05,"3,283.00","5,260,542.00"
15,15,2021-06-13,"1,620.00","1,620.00","1,600.00","1,615.00",-0.12,"4,971.00","7,987,820.00"
16,16,2021-06-10,"1,680.00","1,680.00","1,603.00","1,617.00",1.06,"1,857.00","2,992,890.00"
17,17,2021-06-09,"1,575.00","1,635.00","1,575.00","1,600.00",-0.74,"3,861.00","6,225,486.00"
18,18,2021-06-08,"1,640.00","1,640.00","1,600.00","1,612.00",-0.62,"3,587.00","5,777,764.00"
19,19,2021-06-07,"1,680.00","1,680.00","1,600.00","1,622.00",-1.10,"4,774.00","7,744,461.00"
20,20,2021-06-06,"1,664.00","1,680.00","1,611.00","1,640.00",0.49,"3,974.00","6,456,952.00"
21,21,2021-06-03,"1,620.00","1,660.00","1,620.00","1,632.00",0.74,"6,131.00","10,088,429.00"
22,22,2021-06-02,"1,630.00","1,640.00","1,600.00","1,620.00",-0.18,"4,496.00","7,257,954.00"
23,23,2021-06-01,"1,631.00","1,650.00","1,601.00","1,623.00",-0.43,"6,836.00","11,052,162.00"
24,24,2021-05-31,"1,637.00","1,665.00","1,630.00","1,630.00",-0.37,"3,767.00","6,198,908.00"
25,25,2021-05-30,"1,651.00","1,667.00","1,620.00","1,636.00",-1.92,"23,009.00","37,781,556.00"
26,26,2021-05-27,"1,672.00","1,725.00","1,639.00","1,668.00",-5.23,"19,550.00","32,840,178.00"
27,27,2021-05-25,"1,800.00","1,800.00","1,758.00","1,760.00",-1.01,"9,167.00","16,220,008.00"
28,28,2021-05-24,"1,810.00","1,832.00","1,769.00","1,778.00",-1.60,"18,996.00","33,842,695.00"
29,29,2021-05-23,"1,969.00","2,048.00","1,770.00","1,807.00",-3.68,"61,131.00","114,199,922.00"
30,30,2021-05-20,"1,791.00","1,876.00","1,791.00","1,876.00",9.96,"23,101.00","43,331,566.00"
31,31,2021-05-19,"1,582.00","1,706.00","1,582.00","1,706.00",9.99,634.00,"1,064,177.00"
32,32,2021-05-18,"1,480.00","1,551.00","1,480.00","1,551.00",10.00,626.00,"968,889.00"
33,33,2021-05-17,"1,307.00","1,410.00","1,307.00","1,410.00",9.98,67.00,"90,714.00"
34,34,2021-05-16,"1,224.00","1,282.00","1,224.00","1,282.00",9.95,134.00,"170,768.00"
35,35,2021-05-13,"1,081.00","1,166.00","1,081.00","1,166.00",10.00,374.00,"422,586.00"
36,36,2021-05-12,"1,012.00","1,060.00","1,012.00","1,060.00",9.96,55.00,"57,380.00"
37,37,2021-05-11,928.00,964.00,928.00,964.00,9.05,30.00,"28,380.00"
38,38,2021-05-10,844.00,884.00,844.00,884.00,9.95,119.00,"103,957.00"
39,39,2021-05-09,745.00,804.00,745.00,804.00,9.99,116.00,"88,762.00"
40,40,2021-05-06,678.00,731.00,678.00,731.00,9.92,51.00,"35,951.00"
