,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,450.00","2,450.00","2,436.00","2,440.00",-0.81,426.00,"1,041,535.00"
2,2,2021-06-30,"2,519.00","2,519.00","2,422.00","2,460.00",-0.40,249.00,"610,184.00"
3,3,2021-06-29,"2,457.00","2,655.00","2,450.00","2,470.00",2.19,"2,201.00","5,530,305.00"
4,4,2021-06-28,"2,398.00","2,417.00","2,364.00","2,417.00",2.81,257.00,"616,119.00"
5,5,2021-06-27,"2,342.00","2,438.00","2,333.00","2,351.00",-0.04,"1,146.00","2,729,933.00"
6,6,2021-06-24,"2,350.00","2,380.00","2,350.00","2,352.00",-0.76,411.00,"970,290.00"
7,7,2021-06-23,"2,380.00","2,408.00","2,370.00","2,370.00",-1.70,581.00,"1,384,637.00"
8,8,2021-06-22,"2,355.00","2,460.00","2,351.00","2,411.00",0.88,402.00,"964,526.00"
9,9,2021-06-21,"2,400.00","2,430.00","2,352.00","2,390.00",-0.83,"1,007.00","2,397,172.00"
10,10,2021-06-20,"2,495.00","2,495.00","2,399.00","2,410.00",-2.63,846.00,"2,054,346.00"
11,11,2021-06-17,"2,544.00","2,544.00","2,460.00","2,475.00",-0.80,806.00,"2,003,720.00"
12,12,2021-06-16,"2,471.00","2,600.00","2,430.00","2,495.00",2.97,"2,584.00","6,500,074.00"
13,13,2021-06-15,"2,400.00","2,465.00","2,400.00","2,423.00",-0.53,"1,520.00","3,711,708.00"
14,14,2021-06-14,"2,480.00","2,480.00","2,431.00","2,436.00",0.16,984.00,"2,401,724.00"
15,15,2021-06-13,"2,436.00","2,530.00","2,415.00","2,432.00",-0.16,662.00,"1,618,802.00"
16,16,2021-06-10,"2,499.00","2,525.00","2,385.00","2,436.00",-1.77,762.00,"1,868,907.00"
17,17,2021-06-09,"2,507.00","2,507.00","2,451.00","2,480.00",0.90,510.00,"1,258,922.00"
18,18,2021-06-08,"2,455.00","2,490.00","2,455.00","2,458.00",0.12,983.00,"2,422,758.00"
19,19,2021-06-07,"2,476.00","2,500.00","2,452.00","2,455.00",-0.81,"1,783.00","4,398,912.00"
20,20,2021-06-06,"2,525.00","2,550.00","2,475.00","2,475.00",-0.80,"1,872.00","4,690,178.00"
21,21,2021-06-03,"2,535.00","2,535.00","2,450.00","2,495.00",0.00,"1,344.00","3,352,330.00"
22,22,2021-06-02,"2,449.00","2,510.00","2,449.00","2,495.00",2.25,718.00,"1,774,993.00"
23,23,2021-06-01,"2,425.00","2,444.00","2,412.00","2,440.00",0.21,989.00,"2,393,739.00"
24,24,2021-05-31,"2,425.00","2,520.00","2,425.00","2,435.00",0.54,"2,418.00","5,978,714.00"
25,25,2021-05-30,"2,400.00","2,530.00","2,396.00","2,422.00",-0.49,"1,553.00","3,797,289.00"
26,26,2021-05-27,"2,400.00","2,455.00","2,352.00","2,434.00",-3.60,"5,967.00","14,502,383.00"
27,27,2021-05-25,"2,465.00","2,528.00","2,465.00","2,525.00",0.96,"3,073.00","7,696,252.00"
28,28,2021-05-24,"2,520.00","2,550.00","2,486.00","2,501.00",-1.22,"2,468.00","6,212,792.00"
29,29,2021-05-23,"2,510.00","2,620.00","2,420.00","2,532.00",0.88,"3,685.00","9,381,331.00"
30,30,2021-05-20,"2,435.00","2,532.00","2,435.00","2,510.00",1.62,"2,229.00","5,594,462.00"
31,31,2021-05-19,"2,560.00","2,589.00","2,465.00","2,470.00",-2.76,"2,464.00","6,153,913.00"
32,32,2021-05-18,"2,430.00","2,540.00","2,430.00","2,540.00",3.97,"4,275.00","10,705,211.00"
33,33,2021-05-17,"2,420.00","2,450.00","2,409.00","2,443.00",1.29,"3,045.00","7,394,303.00"
34,34,2021-05-16,"2,445.00","2,446.00","2,392.00","2,412.00",0.54,"2,269.00","5,481,607.00"
35,35,2021-05-13,"2,401.00","2,420.00","2,360.00","2,399.00",-0.04,"2,488.00","5,902,693.00"
36,36,2021-05-12,"2,451.00","2,466.00","2,373.00","2,400.00",-0.79,"2,315.00","5,553,014.00"
37,37,2021-05-11,"2,390.00","2,422.00","2,381.00","2,419.00",1.68,"3,302.00","7,906,174.00"
38,38,2021-05-10,"2,397.00","2,398.00","2,310.00","2,379.00",1.19,"1,270.00","3,011,147.00"
39,39,2021-05-09,"2,540.00","2,540.00","2,350.00","2,351.00",-7.44,"7,575.00","18,083,497.00"
40,40,2021-05-06,"2,492.00","2,550.00","2,450.00","2,540.00",0.00,"3,686.00","9,237,953.00"
41,41,2021-05-05,"2,696.00","2,696.00","2,485.00","2,540.00",-1.09,"5,391.00","13,845,766.00"
42,42,2021-05-04,"2,335.00","2,568.00","2,335.00","2,568.00",9.98,"16,497.00","40,644,800.00"
43,43,2021-05-03,"2,340.00","2,413.00","2,286.00","2,335.00",0.65,"4,270.00","9,968,220.00"
44,44,2021-05-02,"2,269.00","2,361.00","2,269.00","2,320.00",0.22,"3,025.00","7,023,773.00"
45,45,2021-04-29,"2,276.00","2,320.00","2,250.00","2,315.00",1.71,"1,379.00","3,162,341.00"
46,46,2021-04-28,"2,323.00","2,323.00","2,276.00","2,276.00",-2.86,656.00,"1,503,617.00"
47,47,2021-04-27,"2,170.00","2,343.00","2,170.00","2,343.00",7.63,"1,586.00","3,616,540.00"
48,48,2021-04-26,"2,261.00","2,261.00","2,150.00","2,177.00",-3.72,"1,823.00","3,999,947.00"
49,49,2021-04-25,"2,290.00","2,300.00","2,250.00","2,261.00",-3.13,"3,895.00","8,814,921.00"
50,50,2021-04-22,"2,285.00","2,340.00","2,265.00","2,334.00",1.88,"2,710.00","6,248,383.00"
51,51,2021-04-21,"2,390.00","2,390.00","2,290.00","2,291.00",-2.39,564.00,"1,309,835.00"
52,52,2021-04-20,"2,260.00","2,392.00","2,260.00","2,347.00",2.67,"2,697.00","6,258,111.00"
53,53,2021-04-19,"2,313.00","2,330.00","2,285.00","2,286.00",-3.14,"1,326.00","3,054,065.00"
54,54,2021-04-18,"2,389.00","2,389.00","2,360.00","2,360.00",-1.67,806.00,"1,912,869.00"
55,55,2021-04-15,"2,360.00","2,415.00","2,360.00","2,400.00",1.69,"4,294.00","10,243,182.00"
56,56,2021-04-13,"2,407.00","2,407.00","2,300.00","2,360.00",-0.34,"3,262.00","7,614,914.00"
57,57,2021-04-12,"2,280.00","2,420.00","2,280.00","2,368.00",3.54,"2,182.00","5,157,169.00"
58,58,2021-04-08,"2,254.00","2,301.00","2,209.00","2,287.00",-0.57,"1,268.00","2,904,259.00"
59,59,2021-04-07,"2,300.00","2,339.00","2,274.00","2,300.00",-0.86,984.00,"2,257,884.00"
60,60,2021-04-06,"2,302.00","2,348.00","2,279.00","2,320.00",-1.19,"1,256.00","2,876,122.00"
61,61,2021-04-05,"2,300.00","2,392.00","2,290.00","2,348.00",2.09,683.00,"1,602,324.00"
62,62,2021-04-04,"2,446.00","2,490.00","2,286.00","2,300.00",-4.13,"2,220.00","5,157,592.00"
63,63,2021-04-01,"2,318.00","2,480.00","2,318.00","2,399.00",1.44,"2,590.00","6,271,607.00"
64,64,2021-03-31,"2,365.00","2,460.00","2,360.00","2,365.00",-1.34,"3,724.00","8,929,756.00"
65,65,2021-03-30,"2,319.00","2,450.00","2,319.00","2,397.00",5.41,"2,792.00","6,671,867.00"
66,66,2021-03-29,"2,230.00","2,274.00","2,186.00","2,274.00",2.02,"3,151.00","7,040,344.00"
67,67,2021-03-25,"2,050.00","2,229.00","2,009.00","2,229.00",9.97,"9,622.00","21,105,229.00"
68,68,2021-03-24,"2,065.00","2,065.00","2,000.00","2,027.00",-0.54,"1,676.00","3,409,628.00"
69,69,2021-03-23,"2,030.00","2,050.00","1,991.00","2,038.00",0.39,"1,035.00","2,084,872.00"
70,70,2021-03-22,"2,165.00","2,167.00","2,024.00","2,030.00",-4.47,"1,534.00","3,178,834.00"
