,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,480.00","2,498.00","2,455.00","2,465.00",-0.60,353.00,"871,869.00"
2,2,2021-06-30,"2,529.00","2,529.00","2,411.00","2,480.00",0.00,581.00,"1,414,532.00"
3,3,2021-06-29,"2,499.00","2,598.00","2,427.00","2,480.00",1.22,"1,119.00","2,814,995.00"
4,4,2021-06-28,"2,418.00","2,465.00","2,400.00","2,450.00",2.00,"2,849.00","6,921,912.00"
5,5,2021-06-27,"2,400.00","2,458.00","2,400.00","2,402.00",-0.33,"1,525.00","3,687,026.00"
6,6,2021-06-24,"2,356.00","2,420.00","2,356.00","2,410.00",0.33,561.00,"1,347,532.00"
7,7,2021-06-23,"2,470.00","2,519.00","2,401.00","2,402.00",-2.75,634.00,"1,563,377.00"
8,8,2021-06-22,"2,400.00","2,477.00","2,386.00","2,470.00",3.61,583.00,"1,415,997.00"
9,9,2021-06-21,"2,425.00","2,450.00","2,378.00","2,384.00",-1.97,"1,515.00","3,634,260.00"
10,10,2021-06-20,"2,470.00","2,470.00","2,425.00","2,432.00",-2.60,846.00,"2,067,012.00"
11,11,2021-06-17,"2,501.00","2,510.00","2,497.00","2,497.00",-1.89,382.00,"955,994.00"
12,12,2021-06-16,"2,460.00","2,635.00","2,420.00","2,545.00",2.41,"1,577.00","3,958,299.00"
13,13,2021-06-15,"2,460.00","2,485.00","2,440.00","2,485.00",1.02,"1,319.00","3,236,263.00"
14,14,2021-06-14,"2,475.00","2,480.00","2,454.00","2,460.00",0.37,503.00,"1,238,833.00"
15,15,2021-06-13,"2,545.00","2,545.00","2,450.00","2,451.00",-1.96,"1,280.00","3,177,437.00"
16,16,2021-06-10,"2,530.00","2,539.00","2,466.00","2,500.00",0.32,"2,911.00","7,223,580.00"
17,17,2021-06-09,"2,506.00","2,530.00","2,456.00","2,492.00",-0.80,971.00,"2,419,696.00"
18,18,2021-06-08,"2,550.00","2,552.00","2,507.00","2,512.00",-0.16,"1,601.00","4,031,588.00"
19,19,2021-06-07,"2,599.00","2,600.00","2,511.00","2,516.00",-1.37,"1,192.00","3,026,992.00"
20,20,2021-06-06,"2,600.00","2,650.00","2,550.00","2,551.00",-0.62,"1,399.00","3,589,024.00"
21,21,2021-06-03,"2,558.00","2,663.00","2,558.00","2,567.00",2.07,"3,226.00","8,397,613.00"
22,22,2021-06-02,"2,480.00","2,630.00","2,480.00","2,515.00",1.41,"1,542.00","3,927,287.00"
23,23,2021-06-01,"2,456.00","2,514.00","2,452.00","2,480.00",0.61,"1,125.00","2,794,707.00"
24,24,2021-05-31,"2,445.00","2,500.00","2,445.00","2,465.00",0.82,"5,012.00","12,402,263.00"
25,25,2021-05-30,"2,495.00","2,500.00","2,440.00","2,445.00",-1.29,"2,906.00","7,122,545.00"
