,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,671.00","1,671.00","1,600.00","1,627.00",-0.73,"1,129.00","1,815,857.00"
2,2,2021-06-30,"1,650.00","1,650.00","1,593.00","1,639.00",-1.97,"2,380.00","3,839,990.00"
3,3,2021-06-29,"1,736.00","1,736.00","1,630.00","1,672.00",1.09,"3,842.00","6,430,594.00"
4,4,2021-06-28,"1,630.00","1,663.00","1,571.00","1,654.00",3.44,"2,448.00","3,965,109.00"
5,5,2021-06-27,"1,626.00","1,690.00","1,571.00","1,599.00",0.25,"1,710.00","2,726,544.00"
6,6,2021-06-24,"1,643.00","1,643.00","1,558.00","1,595.00",-0.99,"3,123.00","4,950,066.00"
7,7,2021-06-23,"1,743.00","1,743.00","1,611.00","1,611.00",-2.95,"4,637.00","7,583,910.00"
8,8,2021-06-22,"1,630.00","1,665.00","1,621.00","1,660.00",1.84,"3,492.00","5,764,530.00"
9,9,2021-06-21,"1,695.00","1,695.00","1,626.00","1,630.00",-5.07,"6,916.00","11,416,892.00"
10,10,2021-06-20,"1,790.00","1,790.00","1,700.00","1,717.00",-2.39,"1,918.00","3,287,317.00"
11,11,2021-06-17,"1,780.00","1,815.00","1,725.00","1,759.00",-0.06,"2,584.00","4,531,472.00"
12,12,2021-06-16,"1,744.00","1,850.00","1,735.00","1,760.00",0.92,"10,630.00","19,106,924.00"
13,13,2021-06-15,"1,800.00","1,800.00","1,744.00","1,744.00",-1.25,"8,934.00","15,756,658.00"
14,14,2021-06-14,"1,809.00","1,811.00","1,759.00","1,766.00",-0.56,"2,482.00","4,405,388.00"
15,15,2021-06-13,"1,825.00","1,825.00","1,776.00","1,776.00",-2.68,"7,782.00","13,966,414.00"
16,16,2021-06-10,"1,882.00","1,900.00","1,825.00","1,825.00",-2.67,"5,360.00","9,915,725.00"
17,17,2021-06-09,"1,850.00","1,887.00","1,820.00","1,875.00",-0.21,"13,887.00","25,785,945.00"
18,18,2021-06-08,"1,850.00","1,887.00","1,849.00","1,879.00",0.48,"11,668.00","21,745,881.00"
19,19,2021-06-07,"1,868.00","1,878.00","1,845.00","1,870.00",0.00,"10,792.00","20,049,912.00"
20,20,2021-06-06,"1,900.00","1,900.00","1,853.00","1,870.00",0.43,"28,324.00","52,943,816.00"
21,21,2021-06-03,"1,900.00","1,938.00","1,860.00","1,862.00",-2.26,"19,832.00","37,352,544.00"
22,22,2021-06-02,"1,850.00","1,934.00","1,750.00","1,905.00",2.97,"46,298.00","85,199,838.00"
23,23,2021-06-01,"1,744.00","1,850.00","1,685.00","1,850.00",7.87,"15,210.00","26,165,025.00"
24,24,2021-05-31,"1,732.00","1,770.00","1,700.00","1,715.00",-2.83,"11,303.00","19,524,629.00"
25,25,2021-05-30,"1,781.00","1,781.00","1,714.00","1,765.00",-1.34,"9,237.00","16,107,239.00"
26,26,2021-05-27,"1,745.00","1,805.00","1,720.00","1,789.00",-2.56,"25,874.00","45,658,504.00"
27,27,2021-05-25,"1,776.00","1,872.00","1,752.00","1,836.00",3.44,"20,932.00","37,745,538.00"
28,28,2021-05-24,"1,836.00","1,870.00","1,775.00","1,775.00",-1.39,"8,025.00","14,347,524.00"
29,29,2021-05-23,"1,753.00","1,830.00","1,720.00","1,800.00",0.67,"22,439.00","40,291,875.00"
30,30,2021-05-20,"1,845.00","1,845.00","1,760.00","1,788.00",-1.49,"10,773.00","19,271,502.00"
31,31,2021-05-19,"1,800.00","1,824.00","1,754.00","1,815.00",2.83,"32,748.00","58,734,944.00"
32,32,2021-05-18,"1,650.00","1,787.00","1,630.00","1,765.00",8.62,"33,776.00","57,943,226.00"
33,33,2021-05-17,"1,630.00","1,631.00","1,598.00","1,625.00",2.91,"31,371.00","50,745,502.00"
34,34,2021-05-16,"1,575.00","1,600.00","1,560.00","1,579.00",2.20,"12,773.00","20,078,861.00"
35,35,2021-05-13,"1,537.00","1,546.00","1,513.00","1,545.00",0.13,"2,609.00","4,004,930.00"
36,36,2021-05-12,"1,544.00","1,560.00","1,536.00","1,543.00",-0.45,"2,442.00","3,767,482.00"
37,37,2021-05-11,"1,607.00","1,607.00","1,538.00","1,550.00",1.24,"5,138.00","7,993,439.00"
38,38,2021-05-10,"1,517.00","1,550.00","1,517.00","1,531.00",0.99,621.00,"958,343.00"
39,39,2021-05-09,"1,540.00","1,540.00","1,511.00","1,516.00",-1.56,"3,967.00","6,036,984.00"
40,40,2021-05-06,"1,614.00","1,614.00","1,531.00","1,540.00",-2.72,"4,388.00","6,805,207.00"
41,41,2021-05-05,"1,570.00","1,604.00","1,565.00","1,583.00",0.57,"9,454.00","14,995,228.00"
42,42,2021-05-04,"1,529.00","1,590.00","1,529.00","1,574.00",2.94,"11,168.00","17,423,951.00"
43,43,2021-05-03,"1,565.00","1,569.00","1,529.00","1,529.00",-0.71,"3,967.00","6,154,594.00"
44,44,2021-05-02,"1,534.00","1,548.00","1,529.00","1,540.00",0.79,"3,950.00","6,061,580.00"
45,45,2021-04-29,"1,534.00","1,540.00","1,504.00","1,528.00",1.26,"2,494.00","3,806,890.00"
46,46,2021-04-28,"1,560.00","1,560.00","1,497.00","1,509.00",-2.83,"5,493.00","8,385,420.00"
47,47,2021-04-27,"1,443.00","1,553.00","1,443.00","1,553.00",9.75,"6,164.00","9,201,148.00"
48,48,2021-04-26,"1,430.00","1,484.00","1,410.00","1,415.00",-2.82,"6,065.00","8,704,826.00"
49,49,2021-04-25,"1,496.00","1,504.00","1,450.00","1,456.00",-2.93,"6,961.00","10,272,677.00"
50,50,2021-04-22,"1,508.00","1,508.00","1,484.00","1,500.00",0.60,"3,803.00","5,690,433.00"
51,51,2021-04-21,"1,500.00","1,520.00","1,491.00","1,491.00",-1.39,"4,138.00","6,222,060.00"
52,52,2021-04-20,"1,520.00","1,524.00","1,510.00","1,512.00",-0.40,"4,051.00","6,145,339.00"
53,53,2021-04-19,"1,535.00","1,551.00","1,518.00","1,518.00",-1.43,"5,301.00","8,151,216.00"
54,54,2021-04-18,"1,567.00","1,567.00","1,540.00","1,540.00",-1.72,"6,649.00","10,284,390.00"
55,55,2021-04-15,"1,664.00","1,664.00","1,555.00","1,567.00",-1.14,"5,357.00","8,392,760.00"
56,56,2021-04-13,"1,625.00","1,627.00","1,565.00","1,585.00",-0.69,"9,326.00","14,913,478.00"
57,57,2021-04-12,"1,638.00","1,670.00","1,570.00","1,596.00",2.31,"12,859.00","20,610,919.00"
58,58,2021-04-08,"1,557.00","1,568.00","1,531.00","1,560.00",2.16,"7,251.00","11,248,531.00"
59,59,2021-04-07,"1,550.00","1,574.00","1,527.00","1,527.00",-0.78,"6,860.00","10,643,145.00"
60,60,2021-04-06,"1,508.00","1,544.00","1,500.00","1,539.00",2.06,"10,422.00","15,871,144.00"
61,61,2021-04-05,"1,540.00","1,550.00","1,508.00","1,508.00",-2.08,"7,254.00","11,057,405.00"
62,62,2021-04-04,"1,549.00","1,560.00","1,502.00","1,540.00",-0.58,"12,812.00","19,612,824.00"
63,63,2021-04-01,"1,678.00","1,678.00","1,532.00","1,549.00",-3.13,"25,551.00","39,737,786.00"
64,64,2021-03-31,"1,650.00","1,690.00","1,588.00","1,599.00",-1.72,"35,782.00","58,902,855.00"
65,65,2021-03-30,"1,559.00","1,633.00","1,554.00","1,627.00",9.56,"56,266.00","90,294,907.00"
66,66,2021-03-29,"1,370.00","1,489.00","1,370.00","1,485.00",9.43,"41,837.00","60,277,893.00"
67,67,2021-03-25,"1,364.00","1,375.00","1,330.00","1,357.00",-0.51,"11,316.00","15,310,431.00"
68,68,2021-03-24,"1,335.00","1,377.00","1,329.00","1,364.00",2.71,"6,492.00","8,801,787.00"
69,69,2021-03-23,"1,330.00","1,337.00","1,282.00","1,328.00",0.84,"6,450.00","8,527,171.00"
70,70,2021-03-22,"1,400.00","1,400.00","1,300.00","1,317.00",-1.27,"12,232.00","16,359,735.00"
71,71,2021-03-21,"1,237.00","1,334.00","1,237.00","1,334.00",9.98,"13,687.00","17,896,592.00"
72,72,2021-03-18,"1,192.00","1,213.00","1,150.00","1,213.00",3.59,"6,269.00","7,444,249.00"
73,73,2021-03-17,"1,127.00","1,171.00","1,127.00","1,171.00",5.97,"2,247.00","2,571,886.00"
74,74,2021-03-16,"1,120.00","1,125.00","1,100.00","1,105.00",0.45,"2,226.00","2,472,052.00"
75,75,2021-03-15,"1,142.00","1,150.00","1,100.00","1,100.00",-2.83,"6,244.00","6,995,310.00"
76,76,2021-03-14,"1,165.00","1,184.00","1,131.00","1,132.00",-2.41,"4,571.00","5,270,218.00"
77,77,2021-03-10,"1,197.00","1,197.00","1,155.00","1,160.00",-1.53,"1,510.00","1,751,850.00"
78,78,2021-03-09,"1,176.00","1,188.00","1,153.00","1,178.00",-1.75,"3,558.00","4,148,785.00"
79,79,2021-03-07,"1,168.00","1,199.00","1,168.00","1,199.00",0.76,"4,241.00","5,000,938.00"
80,80,2021-03-04,"1,178.00","1,215.00","1,178.00","1,190.00",3.03,"3,772.00","4,521,783.00"
81,81,2021-03-03,"1,158.00","1,200.00","1,155.00","1,155.00",-2.12,"5,018.00","5,858,161.00"
82,82,2021-03-02,"1,231.00","1,235.00","1,157.00","1,180.00",-4.84,"4,963.00","5,932,381.00"
83,83,2021-03-01,"1,175.00","1,250.00","1,160.00","1,240.00",3.59,"6,284.00","7,591,501.00"
84,84,2021-02-28,"1,212.00","1,220.00","1,187.00","1,197.00",-3.00,"6,230.00","7,466,279.00"
85,85,2021-02-25,"1,264.00","1,264.00","1,234.00","1,234.00",-0.48,"1,368.00","1,701,146.00"
86,86,2021-02-24,"1,264.00","1,294.00","1,240.00","1,240.00",0.00,"6,674.00","8,492,335.00"
87,87,2021-02-23,"1,250.00","1,250.00","1,219.00","1,240.00",-0.80,"3,189.00","3,924,921.00"
88,88,2021-02-22,"1,280.00","1,280.00","1,230.00","1,250.00",-2.72,"9,653.00","12,063,906.00"
89,89,2021-02-21,"1,305.00","1,305.00","1,280.00","1,285.00",-3.24,"7,307.00","9,393,262.00"
90,90,2021-02-18,"1,320.00","1,348.00","1,315.00","1,328.00",-0.97,"4,634.00","6,144,343.00"
91,91,2021-02-17,"1,345.00","1,350.00","1,321.00","1,341.00",-1.03,"3,418.00","4,565,300.00"
92,92,2021-02-16,"1,394.00","1,431.00","1,325.00","1,355.00",-1.74,"11,503.00","15,837,317.00"
93,93,2021-02-15,"1,279.00","1,379.00","1,279.00","1,379.00",9.97,"8,383.00","11,449,147.00"
94,94,2021-02-14,"1,262.00","1,265.00","1,230.00","1,254.00",-2.34,"9,112.00","11,372,571.00"
95,95,2021-02-11,"1,325.00","1,343.00","1,235.00","1,284.00",-2.58,"13,808.00","17,566,783.00"
96,96,2021-02-10,"1,400.00","1,400.00","1,295.00","1,318.00",-1.72,"11,065.00","14,568,087.00"
97,97,2021-02-09,"1,420.00","1,420.00","1,330.00","1,341.00",-4.15,"12,993.00","17,526,218.00"
98,98,2021-02-08,"1,525.00","1,555.00","1,372.00","1,399.00",-3.72,"22,539.00","32,347,733.00"
99,99,2021-02-07,"1,387.00","1,453.00","1,387.00","1,453.00",9.99,"45,141.00","65,131,243.00"
100,100,2021-02-04,"1,202.00","1,321.00","1,181.00","1,321.00",9.99,"31,422.00","39,348,701.00"
101,101,2021-02-03,"1,238.00","1,238.00","1,178.00","1,201.00",-1.07,"14,613.00","17,454,632.00"
102,102,2021-02-02,"1,203.00","1,227.00","1,200.00","1,214.00",2.88,"5,660.00","6,865,245.00"
103,103,2021-02-01,"1,200.00","1,226.00","1,180.00","1,180.00",-1.58,"5,715.00","6,870,760.00"
104,104,2021-01-31,"1,260.00","1,260.00","1,125.00","1,199.00",-3.23,"19,211.00","23,289,717.00"
105,105,2021-01-28,"1,237.00","1,274.00","1,198.00","1,239.00",5.09,"26,525.00","32,646,276.00"
106,106,2021-01-27,"1,162.00","1,190.00","1,162.00","1,179.00",0.34,"11,453.00","13,501,470.00"
107,107,2021-01-26,"1,209.00","1,209.00","1,167.00","1,175.00",-1.18,"6,085.00","7,163,126.00"
108,108,2021-01-25,"1,249.00","1,250.00","1,160.00","1,189.00",-0.08,"12,032.00","14,423,073.00"
109,109,2021-01-24,"1,208.00","1,248.00","1,175.00","1,190.00",3.39,"20,266.00","24,162,989.00"
110,110,2021-01-21,"1,135.00","1,178.00","1,133.00","1,151.00",3.14,"21,476.00","24,666,463.00"
111,111,2021-01-20,"1,127.00","1,140.00","1,064.00","1,116.00",-2.79,"9,813.00","10,866,558.00"
112,112,2021-01-19,"1,183.00","1,200.00","1,129.00","1,148.00",-1.03,"8,735.00","10,146,138.00"
113,113,2021-01-18,"1,075.00","1,160.00","1,075.00","1,160.00",9.95,"17,869.00","20,245,221.00"
114,114,2021-01-17,"1,048.00","1,074.00","1,034.00","1,055.00",2.63,"15,162.00","15,934,750.00"
115,115,2021-01-13,"1,025.00","1,041.00","1,020.00","1,028.00",-0.19,"7,280.00","7,489,781.00"
116,116,2021-01-12,"1,016.00","1,035.00","1,016.00","1,030.00",0.00,"1,597.00","1,638,974.00"
117,117,2021-01-11,"1,050.00","1,050.00","1,025.00","1,030.00",-1.72,"5,793.00","6,007,347.00"
118,118,2021-01-10,"1,066.00","1,067.00","1,032.00","1,048.00",-0.10,"5,467.00","5,684,922.00"
119,119,2021-01-07,"1,007.00","1,058.00","1,000.00","1,049.00",6.17,"23,958.00","24,934,949.00"
120,120,2021-01-06,950.00,"1,001.00",950.00,988.00,4.55,"10,273.00","10,146,620.00"
121,121,2021-01-05,945.00,955.00,938.00,945.00,-0.11,"1,157.00","1,094,315.00"
122,122,2021-01-04,940.00,965.00,940.00,946.00,-1.25,"1,802.00","1,719,435.00"
123,123,2021-01-03,940.00,958.00,925.00,958.00,0.84,"3,132.00","2,937,023.00"
124,124,2020-12-31,944.00,960.00,941.00,950.00,0.64,"2,672.00","2,525,450.00"
125,125,2020-12-30,950.00,950.00,935.00,944.00,0.96,"2,399.00","2,260,430.00"
126,126,2020-12-29,964.00,964.00,920.00,935.00,1.74,"1,384.00","1,284,472.00"
127,127,2020-12-28,975.00,975.00,919.00,919.00,-3.87,"2,715.00","2,542,797.00"
128,128,2020-12-27,919.00,956.00,910.00,956.00,2.25,"2,289.00","2,112,030.00"
129,129,2020-12-24,950.00,969.00,935.00,935.00,-1.58,"2,414.00","2,278,132.00"
130,130,2020-12-23,"1,020.00","1,020.00",950.00,950.00,-5.00,742.00,"717,004.00"
131,131,2020-12-22,995.00,"1,010.00",958.00,"1,000.00",2.35,"5,063.00","5,009,906.00"
132,132,2020-12-21,945.00,996.00,909.00,977.00,1.56,"3,931.00","3,712,883.00"
133,133,2020-12-20,"1,020.00","1,029.00",962.00,962.00,-7.23,"7,737.00","7,702,781.00"
134,134,2020-12-17,"1,000.00","1,065.00","1,000.00","1,037.00",3.49,"39,062.00","40,587,282.00"
135,135,2020-12-16,900.00,"1,002.00",900.00,"1,002.00",9.99,"24,318.00","23,890,981.00"
136,136,2020-12-15,915.00,930.00,907.00,911.00,-2.04,"3,065.00","2,815,820.00"
137,137,2020-12-14,889.00,953.00,889.00,930.00,6.65,"5,757.00","5,272,416.00"
138,138,2020-12-13,895.00,905.00,872.00,872.00,-1.80,"4,704.00","4,157,799.00"
139,139,2020-12-10,905.00,919.00,888.00,888.00,0.00,"3,737.00","3,366,662.00"
140,140,2020-12-09,930.00,938.00,888.00,888.00,-3.48,"3,569.00","3,226,970.00"
141,141,2020-12-08,920.00,935.00,910.00,920.00,0.00,"6,631.00","6,069,636.00"
142,142,2020-12-07,897.00,928.00,870.00,920.00,4.55,"4,905.00","4,381,988.00"
143,143,2020-12-06,936.00,936.00,880.00,880.00,-7.85,"5,581.00","4,994,107.00"
144,144,2020-12-03,992.00,"1,010.00",925.00,955.00,-1.85,"3,506.00","3,347,506.00"
145,145,2020-12-02,920.00,"1,006.00",915.00,973.00,6.34,"14,352.00","13,924,403.00"
146,146,2020-12-01,930.00,930.00,913.00,915.00,-2.56,"4,481.00","4,119,940.00"
147,147,2020-11-30,930.00,940.00,909.00,939.00,1.95,"5,123.00","4,771,337.00"
148,148,2020-11-29,910.00,925.00,903.00,921.00,-0.75,"3,351.00","3,066,880.00"
149,149,2020-11-26,970.00,975.00,918.00,928.00,-3.63,"5,715.00","5,383,042.00"
150,150,2020-11-25,906.00,963.00,875.00,963.00,8.32,"27,891.00","25,498,426.00"
151,151,2020-11-24,879.00,905.00,875.00,889.00,-0.34,"11,312.00","10,025,835.00"
152,152,2020-11-23,886.00,900.00,883.00,892.00,-1.00,"4,894.00","4,338,236.00"
153,153,2020-11-22,910.00,916.00,884.00,901.00,-0.88,"2,880.00","2,585,798.00"
154,154,2020-11-19,900.00,915.00,890.00,909.00,2.36,"8,377.00","7,577,029.00"
155,155,2020-11-18,893.00,900.00,881.00,888.00,-2.52,"6,437.00","5,721,363.00"
156,156,2020-11-12,905.00,912.00,885.00,911.00,2.59,"16,661.00","14,927,600.00"
157,157,2020-11-11,892.00,892.00,875.00,888.00,-0.78,"8,085.00","7,138,834.00"
158,158,2020-11-10,905.00,910.00,882.00,895.00,0.00,"7,514.00","6,695,794.00"
159,159,2020-11-09,870.00,905.00,870.00,895.00,1.82,"8,266.00","7,420,506.00"
160,160,2020-11-08,884.00,895.00,866.00,879.00,-1.68,"13,073.00","11,453,998.00"
161,161,2020-11-05,932.00,932.00,886.00,894.00,-2.40,"6,325.00","5,649,850.00"
162,162,2020-11-04,940.00,940.00,903.00,916.00,-2.76,"12,064.00","11,059,996.00"
163,163,2020-11-03,870.00,942.00,870.00,942.00,9.92,"27,945.00","25,840,801.00"
164,164,2020-11-02,808.00,877.00,800.00,857.00,7.39,"16,903.00","14,292,026.00"
165,165,2020-11-01,800.00,800.00,776.00,798.00,0.88,"5,499.00","4,345,627.00"
166,166,2020-10-29,790.00,810.00,780.00,791.00,0.13,"9,257.00","7,321,744.00"
167,167,2020-10-28,737.00,790.00,737.00,790.00,5.33,"5,182.00","3,964,412.00"
168,168,2020-10-22,798.00,798.00,738.00,750.00,-1.32,"8,557.00","6,397,038.00"
169,169,2020-10-21,801.00,801.00,758.00,760.00,-3.31,"7,067.00","5,475,140.00"
170,170,2020-10-20,790.00,851.00,785.00,786.00,1.42,"9,328.00","7,516,156.00"
171,171,2020-02-05,770.00,785.00,767.00,775.00,1.71,"1,603.00","1,241,600.00"
172,172,2020-02-04,772.00,775.00,757.00,762.00,-3.05,"11,269.00","8,616,475.00"
173,173,2020-02-03,785.00,801.00,772.00,786.00,-1.75,"2,199.00","1,724,935.00"
174,174,2020-02-02,782.00,825.00,767.00,800.00,4.30,"8,433.00","6,753,750.00"
175,175,2020-01-30,749.00,791.00,749.00,767.00,4.35,"7,331.00","5,673,558.00"
176,176,2020-01-29,700.00,749.00,695.00,735.00,5.00,"6,192.00","4,495,444.00"
177,177,2020-01-28,720.00,720.00,700.00,700.00,-0.85,"2,453.00","1,744,316.00"
178,178,2020-01-27,645.00,706.00,645.00,706.00,7.79,"3,033.00","2,069,937.00"
179,179,2020-01-26,660.00,665.00,654.00,655.00,-2.53,"1,580.00","1,041,515.00"
180,180,2020-01-23,671.00,697.00,671.00,672.00,0.00,"2,411.00","1,654,811.00"
181,181,2020-01-22,680.00,683.00,668.00,672.00,-2.61,"1,296.00","875,932.00"
182,182,2020-01-21,690.00,714.00,677.00,690.00,0.00,"3,844.00","2,650,862.00"
183,183,2020-01-20,715.00,729.00,690.00,690.00,-4.83,"4,093.00","2,895,158.00"
184,184,2020-01-19,727.00,741.00,717.00,725.00,1.68,"7,371.00","5,358,858.00"
185,185,2020-01-16,692.00,729.00,672.00,713.00,5.01,"5,897.00","4,128,427.00"
186,186,2020-01-15,656.00,685.00,656.00,679.00,3.51,"1,025.00","698,835.00"
187,187,2020-01-14,660.00,668.00,655.00,656.00,-2.09,"1,273.00","840,866.00"
188,188,2020-01-13,719.00,719.00,670.00,670.00,-4.96,"3,241.00","2,236,614.00"
189,189,2020-01-12,670.00,710.00,652.00,705.00,5.54,"2,951.00","2,023,643.00"
190,190,2020-01-09,625.00,673.00,624.00,668.00,7.05,"7,207.00","4,661,992.00"
191,191,2020-01-08,603.00,630.00,591.00,624.00,3.48,"2,776.00","1,698,569.00"
192,192,2020-01-07,587.00,603.00,580.00,603.00,4.15,"4,893.00","2,906,687.00"
193,193,2020-01-06,584.00,591.00,572.00,579.00,1.05,"3,665.00","2,131,790.00"
