,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,607.00","1,630.00","1,594.00","1,630.00",0.62,"3,533.00","5,686,313.00"
2,2,2021-06-30,"1,600.00","1,620.00","1,600.00","1,620.00",-0.74,546.00,"879,826.00"
3,3,2021-06-29,"1,657.00","1,688.00","1,600.00","1,632.00",0.31,"3,284.00","5,387,747.00"
4,4,2021-06-28,"1,629.00","1,665.00","1,625.00","1,627.00",1.50,"2,951.00","4,835,820.00"
5,5,2021-06-27,"1,600.00","1,618.00","1,582.00","1,603.00",0.50,"1,264.00","2,015,475.00"
6,6,2021-06-24,"1,565.00","1,595.00","1,564.00","1,595.00",0.00,676.00,"1,060,784.00"
7,7,2021-06-23,"1,652.00","1,652.00","1,565.00","1,595.00",-1.54,"4,339.00","6,863,842.00"
8,8,2021-06-22,"1,626.00","1,626.00","1,590.00","1,620.00",1.57,"1,210.00","1,938,840.00"
9,9,2021-06-21,"1,634.00","1,665.00","1,573.00","1,595.00",-0.44,"2,704.00","4,318,935.00"
10,10,2021-06-20,"1,734.00","1,734.00","1,595.00","1,602.00",-5.76,"3,379.00","5,530,014.00"
11,11,2021-06-17,"1,715.00","1,748.00","1,675.00","1,700.00",-0.82,"7,249.00","12,181,969.00"
12,12,2021-06-16,"1,690.00","1,824.00","1,690.00","1,714.00",1.84,"12,180.00","21,218,354.00"
13,13,2021-06-15,"1,732.00","1,732.00","1,650.00","1,683.00",-1.00,"4,522.00","7,638,780.00"
14,14,2021-06-14,"1,741.00","1,741.00","1,681.00","1,700.00",-0.41,"2,070.00","3,525,209.00"
15,15,2021-06-13,"1,715.00","1,715.00","1,666.00","1,707.00",-1.04,"3,907.00","6,615,104.00"
16,16,2021-06-10,"1,700.00","1,729.00","1,691.00","1,725.00",1.47,"2,311.00","3,930,029.00"
17,17,2021-06-09,"1,693.00","1,730.00","1,692.00","1,700.00",-0.87,"1,990.00","3,398,040.00"
18,18,2021-06-08,"1,754.00","1,770.00","1,691.00","1,715.00",-0.29,"3,023.00","5,127,851.00"
19,19,2021-06-07,"1,739.00","1,739.00","1,720.00","1,720.00",-0.92,"1,743.00","3,004,073.00"
20,20,2021-06-06,"1,730.00","1,764.00","1,730.00","1,736.00",0.35,"4,350.00","7,591,928.00"
21,21,2021-06-03,"1,734.00","1,765.00","1,730.00","1,730.00",1.76,"4,609.00","8,025,673.00"
22,22,2021-06-02,"1,660.00","1,700.00","1,650.00","1,700.00",1.80,"2,937.00","4,918,549.00"
23,23,2021-06-01,"1,681.00","1,700.00","1,668.00","1,670.00",-0.65,"1,809.00","3,041,854.00"
24,24,2021-05-31,"1,699.00","1,701.00","1,681.00","1,681.00",-0.83,"6,403.00","10,813,830.00"
25,25,2021-05-30,"1,730.00","1,755.00","1,690.00","1,695.00",-0.99,"6,469.00","10,979,516.00"
26,26,2021-05-27,"1,694.00","1,754.00","1,670.00","1,712.00",-3.98,"11,563.00","19,647,218.00"
27,27,2021-05-25,"1,795.00","1,800.00","1,770.00","1,783.00",-0.67,"3,199.00","5,719,518.00"
28,28,2021-05-24,"1,741.00","1,815.00","1,741.00","1,795.00",3.04,"21,264.00","38,059,993.00"
29,29,2021-05-23,"1,828.00","1,828.00","1,715.00","1,742.00",0.06,"5,746.00","10,019,648.00"
30,30,2021-05-20,"1,785.00","1,785.00","1,735.00","1,741.00",-0.97,"7,773.00","13,553,491.00"
31,31,2021-05-19,"1,883.00","1,883.00","1,737.00","1,758.00",-2.01,"8,830.00","15,632,631.00"
32,32,2021-05-18,"1,749.00","1,800.00","1,732.00","1,794.00",2.57,"8,754.00","15,526,256.00"
33,33,2021-05-17,"1,751.00","1,782.00","1,745.00","1,749.00",1.86,"10,564.00","18,577,729.00"
34,34,2021-05-16,"1,699.00","1,725.00","1,699.00","1,717.00",2.32,"19,419.00","33,287,016.00"
35,35,2021-05-13,"1,664.00","1,690.00","1,661.00","1,678.00",-0.12,"2,115.00","3,532,056.00"
36,36,2021-05-12,"1,697.00","1,697.00","1,658.00","1,680.00",0.30,"7,175.00","12,089,551.00"
37,37,2021-05-11,"1,670.00","1,683.00","1,670.00","1,675.00",1.52,"5,054.00","8,486,747.00"
38,38,2021-05-10,"1,660.00","1,660.00","1,620.00","1,650.00",1.35,"1,350.00","2,214,750.00"
39,39,2021-05-09,"1,638.00","1,641.00","1,628.00","1,628.00",-1.33,"1,522.00","2,493,130.00"
40,40,2021-05-06,"1,715.00","1,715.00","1,650.00","1,650.00",-2.37,"3,375.00","5,604,724.00"
41,41,2021-05-05,"1,683.00","1,701.00","1,625.00","1,690.00",2.36,"18,226.00","30,691,834.00"
42,42,2021-05-04,"1,622.00","1,670.00","1,622.00","1,651.00",1.85,"7,809.00","12,915,715.00"
43,43,2021-05-03,"1,655.00","1,670.00","1,621.00","1,621.00",-1.28,"5,874.00","9,707,948.00"
44,44,2021-05-02,"1,605.00","1,645.00","1,605.00","1,642.00",1.48,"4,263.00","6,925,298.00"
45,45,2021-04-29,"1,591.00","1,634.00","1,590.00","1,618.00",0.19,"1,287.00","2,076,189.00"
46,46,2021-04-28,"1,625.00","1,647.00","1,593.00","1,615.00",-0.12,"3,460.00","5,584,850.00"
47,47,2021-04-27,"1,545.00","1,650.00","1,545.00","1,617.00",5.14,"2,863.00","4,533,191.00"
48,48,2021-04-26,"1,564.00","1,581.00","1,535.00","1,538.00",-3.57,"3,483.00","5,409,094.00"
49,49,2021-04-25,"1,670.00","1,698.00","1,570.00","1,595.00",-2.98,"3,518.00","5,634,506.00"
50,50,2021-04-22,"1,650.00","1,650.00","1,606.00","1,644.00",0.55,"1,975.00","3,226,878.00"
51,51,2021-04-21,"1,711.00","1,711.00","1,612.00","1,635.00",0.31,"3,025.00","4,933,500.00"
52,52,2021-04-20,"1,640.00","1,641.00","1,620.00","1,630.00",-0.61,"4,226.00","6,883,483.00"
53,53,2021-04-19,"1,610.00","1,672.00","1,610.00","1,640.00",0.00,"5,725.00","9,389,792.00"
54,54,2021-04-18,"1,684.00","1,684.00","1,621.00","1,640.00",-2.61,"4,896.00","8,040,565.00"
55,55,2021-04-15,"1,670.00","1,685.00","1,670.00","1,684.00",0.84,"3,446.00","5,787,515.00"
56,56,2021-04-13,"1,710.00","1,710.00","1,666.00","1,670.00",-1.76,"4,091.00","6,856,583.00"
57,57,2021-04-12,"1,669.00","1,727.00","1,669.00","1,700.00",3.72,"8,524.00","14,535,220.00"
58,58,2021-04-08,"1,620.00","1,640.00","1,613.00","1,639.00",2.69,"5,750.00","9,352,116.00"
59,59,2021-04-07,"1,570.00","1,610.00","1,565.00","1,596.00",1.20,"4,142.00","6,609,759.00"
60,60,2021-04-06,"1,550.00","1,594.00","1,550.00","1,577.00",2.20,"1,644.00","2,584,189.00"
61,61,2021-04-05,"1,585.00","1,585.00","1,540.00","1,543.00",-1.09,"2,952.00","4,590,595.00"
62,62,2021-04-04,"1,618.00","1,622.00","1,530.00","1,560.00",-1.70,"2,193.00","3,452,372.00"
63,63,2021-04-01,"1,596.00","1,659.00","1,587.00","1,587.00",-0.56,"4,178.00","6,723,688.00"
64,64,2021-03-31,"1,750.00","1,784.00","1,726.00","1,726.00",0.35,"20,868.00","36,694,360.00"
65,65,2021-03-30,"1,720.00","1,730.00","1,676.00","1,720.00",1.18,"6,429.00","10,989,164.00"
66,66,2021-03-29,"1,620.00","1,719.00","1,620.00","1,700.00",6.99,"10,975.00","18,349,281.00"
67,67,2021-03-25,"1,655.00","1,675.00","1,589.00","1,589.00",-3.40,"4,230.00","6,903,685.00"
68,68,2021-03-24,"1,634.00","1,693.00","1,624.00","1,645.00",2.68,"7,083.00","11,666,388.00"
69,69,2021-03-23,"1,547.00","1,602.00","1,547.00","1,602.00",1.52,"2,636.00","4,199,485.00"
70,70,2021-03-22,"1,580.00","1,640.00","1,575.00","1,578.00",-1.93,"5,884.00","9,378,448.00"
71,71,2021-03-21,"1,544.00","1,627.00","1,544.00","1,609.00",6.20,"5,941.00","9,461,115.00"
72,72,2021-03-18,"1,468.00","1,519.00","1,468.00","1,515.00",1.20,"4,411.00","6,572,171.00"
73,73,2021-03-17,"1,416.00","1,517.00","1,416.00","1,497.00",5.05,"2,870.00","4,164,572.00"
74,74,2021-03-16,"1,448.00","1,449.00","1,406.00","1,425.00",0.28,"1,188.00","1,693,887.00"
75,75,2021-03-15,"1,405.00","1,440.00","1,405.00","1,421.00",-0.28,"2,091.00","2,971,476.00"
76,76,2021-03-14,"1,425.00","1,440.00","1,410.00","1,425.00",0.00,"2,932.00","4,190,998.00"
77,77,2021-03-10,"1,411.00","1,425.00","1,410.00","1,425.00",-0.35,"1,698.00","2,412,383.00"
78,78,2021-03-09,"1,440.00","1,440.00","1,417.00","1,430.00",-0.69,914.00,"1,299,247.00"
79,79,2021-03-07,"1,435.00","1,485.00","1,435.00","1,440.00",-1.37,"1,962.00","2,868,910.00"
80,80,2021-03-04,"1,437.00","1,501.00","1,416.00","1,460.00",3.62,"1,871.00","2,714,574.00"
81,81,2021-03-03,"1,430.00","1,430.00","1,400.00","1,409.00",-3.16,"5,372.00","7,589,246.00"
82,82,2021-03-02,"1,490.00","1,490.00","1,450.00","1,455.00",-3.00,"2,740.00","4,027,283.00"
83,83,2021-03-01,"1,429.00","1,539.00","1,429.00","1,500.00",3.52,"3,635.00","5,412,215.00"
84,84,2021-02-28,"1,505.00","1,505.00","1,441.00","1,449.00",-5.42,"5,733.00","8,376,078.00"
85,85,2021-02-25,"1,653.00","1,653.00","1,530.00","1,532.00",-2.73,"2,906.00","4,523,523.00"
86,86,2021-02-24,"1,612.00","1,612.00","1,522.00","1,575.00",-2.30,"9,141.00","14,463,786.00"
87,87,2021-02-23,"1,608.00","1,612.00","1,555.00","1,612.00",-1.71,"6,806.00","10,727,685.00"
88,88,2021-02-22,"1,705.00","1,705.00","1,638.00","1,640.00",-2.09,"2,431.00","4,002,041.00"
