,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,701.00","1,701.00","1,602.00","1,618.00",-0.12,"6,173.00","10,008,405.00"
2,2,2021-06-30,"1,614.00","1,620.00","1,601.00","1,620.00",-0.31,"2,661.00","4,283,114.00"
3,3,2021-06-29,"1,630.00","1,660.00","1,616.00","1,625.00",0.93,"7,466.00","12,266,436.00"
4,4,2021-06-28,"1,625.00","1,630.00","1,590.00","1,610.00",0.75,"10,417.00","16,765,056.00"
5,5,2021-06-27,"1,583.00","1,614.00","1,581.00","1,598.00",0.13,"3,830.00","6,093,788.00"
6,6,2021-06-24,"1,630.00","1,630.00","1,590.00","1,596.00",-1.36,"6,259.00","10,002,808.00"
7,7,2021-06-23,"1,656.00","1,664.00","1,618.00","1,618.00",-2.59,"6,231.00","10,189,945.00"
8,8,2021-06-22,"1,676.00","1,680.00","1,645.00","1,661.00",0.91,"8,614.00","14,280,501.00"
9,9,2021-06-21,"1,671.00","1,690.00","1,646.00","1,646.00",-2.02,"6,201.00","10,327,178.00"
10,10,2021-06-20,"1,720.00","1,754.00","1,670.00","1,680.00",-0.88,"12,247.00","20,737,541.00"
11,11,2021-06-17,"1,745.00","1,745.00","1,666.00","1,695.00",-1.22,"8,904.00","15,138,453.00"
12,12,2021-06-16,"1,577.00","1,770.00","1,577.00","1,716.00",3.44,"25,488.00","44,122,788.00"
13,13,2021-06-15,"1,660.00","1,675.00","1,655.00","1,659.00",-0.54,"10,704.00","17,818,492.00"
14,14,2021-06-14,"1,691.00","1,699.00","1,663.00","1,668.00",-0.71,"13,272.00","22,195,382.00"
15,15,2021-06-13,"1,717.00","1,717.00","1,673.00","1,680.00",-0.77,"15,968.00","26,866,556.00"
16,16,2021-06-10,"1,707.00","1,739.00","1,692.00","1,693.00",-1.63,"10,159.00","17,263,264.00"
17,17,2021-06-09,"1,740.00","1,740.00","1,715.00","1,721.00",0.41,"6,300.00","10,836,103.00"
18,18,2021-06-08,"1,710.00","1,725.00","1,709.00","1,714.00",-0.64,"10,034.00","17,190,724.00"
19,19,2021-06-07,"1,730.00","1,735.00","1,723.00","1,725.00",-0.17,"15,906.00","27,460,118.00"
20,20,2021-06-06,"1,735.00","1,750.00","1,722.00","1,728.00",-0.40,"9,159.00","15,851,901.00"
21,21,2021-06-03,"1,752.00","1,775.00","1,730.00","1,735.00",-0.34,"8,843.00","15,540,139.00"
22,22,2021-06-02,"1,730.00","1,750.00","1,708.00","1,741.00",1.63,"6,417.00","11,159,582.00"
23,23,2021-06-01,"1,710.00","1,740.00","1,710.00","1,713.00",-0.98,"9,769.00","16,832,475.00"
24,24,2021-05-31,"1,741.00","1,760.00","1,730.00","1,730.00",-0.57,"34,635.00","60,321,212.00"
25,25,2021-05-30,"1,758.00","1,793.00","1,726.00","1,740.00",-1.02,"17,694.00","30,836,186.00"
26,26,2021-05-27,"1,723.00","1,785.00","1,690.00","1,758.00",-3.03,"31,998.00","55,767,037.00"
27,27,2021-05-25,"1,820.00","1,830.00","1,810.00","1,813.00",-0.82,"9,755.00","17,727,644.00"
28,28,2021-05-24,"1,805.00","1,854.00","1,805.00","1,828.00",0.44,"19,546.00","35,823,202.00"
29,29,2021-05-23,"1,800.00","1,820.00","1,762.00","1,820.00",0.00,"21,230.00","38,283,932.00"
30,30,2021-05-20,"1,895.00","1,895.00","1,801.00","1,820.00",0.83,"25,138.00","45,540,046.00"
