,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"2,223.00","2,230.00","2,186.00","2,220.00",1.83,908.00,"2,002,251.00"
2,2,2021-06-30,"2,133.00","2,180.00","2,133.00","2,180.00",0.60,428.00,"918,384.00"
3,3,2021-06-29,"2,289.00","2,329.00","2,167.00","2,167.00",-0.60,873.00,"1,960,091.00"
4,4,2021-06-28,"2,170.00","2,235.00","2,150.00","2,180.00",1.96,"2,961.00","6,467,735.00"
5,5,2021-06-27,"2,100.00","2,142.00","2,100.00","2,138.00",1.33,795.00,"1,694,153.00"
6,6,2021-06-24,"2,193.00","2,193.00","2,110.00","2,110.00",-1.86,451.00,"956,159.00"
7,7,2021-06-23,"2,214.00","2,214.00","2,109.00","2,150.00",-1.29,710.00,"1,517,915.00"
8,8,2021-06-22,"2,205.00","2,249.00","2,137.00","2,178.00",0.23,"5,648.00","12,154,056.00"
9,9,2021-06-21,"2,267.00","2,267.00","2,160.00","2,173.00",-2.34,"1,065.00","2,324,583.00"
10,10,2021-06-20,"2,270.00","2,270.00","2,196.00","2,225.00",-1.98,"2,111.00","4,727,971.00"
11,11,2021-06-17,"2,232.00","2,275.00","2,232.00","2,270.00",0.22,684.00,"1,537,211.00"
12,12,2021-06-16,"2,256.00","2,391.00","2,205.00","2,265.00",2.40,"3,756.00","8,563,128.00"
13,13,2021-06-15,"2,225.00","2,250.00","2,206.00","2,212.00",-0.58,"1,627.00","3,602,392.00"
14,14,2021-06-14,"2,287.00","2,287.00","2,225.00","2,225.00",-0.80,"2,493.00","5,594,124.00"
15,15,2021-06-13,"2,236.00","2,285.00","2,235.00","2,243.00",0.54,"2,099.00","4,754,660.00"
16,16,2021-06-10,"2,242.00","2,251.00","2,225.00","2,231.00",-1.93,"6,837.00","15,309,604.00"
17,17,2021-06-09,"2,309.00","2,345.00","2,275.00","2,275.00",-1.47,"1,022.00","2,350,602.00"
18,18,2021-06-08,"2,283.00","2,309.00","2,282.00","2,309.00",-0.82,917.00,"2,099,618.00"
19,19,2021-06-07,"2,303.00","2,328.00","2,284.00","2,328.00",0.22,"1,311.00","3,013,586.00"
20,20,2021-06-06,"2,299.00","2,400.00","2,298.00","2,323.00",1.93,"2,363.00","5,506,949.00"
21,21,2021-06-03,"2,330.00","2,330.00","2,279.00","2,279.00",-0.31,"1,154.00","2,649,631.00"
22,22,2021-06-02,"2,253.00","2,286.00","2,253.00","2,286.00",1.92,621.00,"1,413,214.00"
23,23,2021-06-01,"2,250.00","2,280.00","2,241.00","2,243.00",-0.31,"1,309.00","2,956,663.00"
24,24,2021-05-31,"2,314.00","2,314.00","2,250.00","2,250.00",-0.84,"2,354.00","5,339,666.00"
25,25,2021-05-30,"2,350.00","2,350.00","2,246.00","2,269.00",-1.99,"2,996.00","6,829,565.00"
26,26,2021-05-27,"2,300.00","2,399.00","2,290.00","2,315.00",-2.61,"4,532.00","10,498,226.00"
27,27,2021-05-25,"2,460.00","2,465.00","2,374.00","2,377.00",-1.78,"1,900.00","4,549,908.00"
28,28,2021-05-24,"2,420.00","2,421.00","2,400.00","2,420.00",-0.82,"2,893.00","6,962,867.00"
29,29,2021-05-23,"2,470.00","2,470.00","2,392.00","2,440.00",-1.21,"2,207.00","5,398,106.00"
30,30,2021-05-20,"2,453.00","2,487.00","2,442.00","2,470.00",-0.20,"4,550.00","11,269,819.00"
31,31,2021-05-19,"2,540.00","2,540.00","2,452.00","2,475.00",-1.04,"1,034.00","2,554,688.00"
32,32,2021-05-18,"2,457.00","2,510.00","2,457.00","2,501.00",0.08,"1,631.00","4,065,901.00"
33,33,2021-05-17,"2,538.00","2,538.00","2,460.00","2,499.00",0.04,"1,121.00","2,789,551.00"
34,34,2021-05-16,"2,520.00","2,550.00","2,451.00","2,498.00",0.40,"4,625.00","11,612,847.00"
35,35,2021-05-13,"2,510.00","2,510.00","2,420.00","2,488.00",-0.28,"1,888.00","4,630,066.00"
36,36,2021-05-12,"2,515.00","2,530.00","2,470.00","2,495.00",0.60,"1,226.00","3,066,637.00"
37,37,2021-05-11,"2,480.00","2,530.00","2,460.00","2,480.00",1.64,"3,272.00","8,194,446.00"
38,38,2021-05-10,"2,400.00","2,499.00","2,400.00","2,440.00",2.52,"2,437.00","5,969,680.00"
39,39,2021-05-09,"2,460.00","2,467.00","2,366.00","2,380.00",-4.76,"7,102.00","17,051,226.00"
40,40,2021-05-06,"2,530.00","2,530.00","2,461.00","2,499.00",-2.34,"3,191.00","7,947,841.00"
41,41,2021-05-05,"2,600.00","2,635.00","2,505.00","2,559.00",0.12,"1,307.00","3,343,889.00"
42,42,2021-05-04,"2,447.00","2,600.00","2,400.00","2,556.00",6.28,"15,122.00","37,469,050.00"
43,43,2021-05-03,"2,437.00","2,437.00","2,372.00","2,405.00",0.63,"3,178.00","7,627,134.00"
44,44,2021-05-02,"2,394.00","2,405.00","2,301.00","2,390.00",-0.17,"4,313.00","10,187,805.00"
45,45,2021-04-29,"2,310.00","2,394.00","2,310.00","2,394.00",1.87,747.00,"1,769,898.00"
46,46,2021-04-28,"2,420.00","2,495.00","2,344.00","2,350.00",-2.08,"1,711.00","4,182,707.00"
47,47,2021-04-27,"2,200.00","2,419.00","2,200.00","2,400.00",9.09,"1,076.00","2,471,533.00"
48,48,2021-04-26,"2,275.00","2,345.00","2,200.00","2,200.00",-4.35,"1,867.00","4,201,713.00"
49,49,2021-04-25,"2,345.00","2,385.00","2,289.00","2,300.00",-3.77,"1,149.00","2,647,661.00"
50,50,2021-04-22,"2,379.00","2,390.00","2,350.00","2,390.00",0.00,"1,116.00","2,644,052.00"
51,51,2021-04-21,"2,439.00","2,455.00","2,271.00","2,390.00",-0.83,"1,159.00","2,748,008.00"
52,52,2021-04-20,"2,340.00","2,410.00","2,340.00","2,410.00",1.90,"1,525.00","3,641,158.00"
53,53,2021-04-19,"2,410.00","2,410.00","2,335.00","2,365.00",-2.43,"1,015.00","2,391,590.00"
54,54,2021-04-18,"2,410.00","2,424.00","2,377.00","2,424.00",-0.04,"1,223.00","2,934,098.00"
55,55,2021-04-15,"2,400.00","2,433.00","2,384.00","2,425.00",-0.29,"1,601.00","3,862,684.00"
56,56,2021-04-13,"2,435.00","2,436.00","2,390.00","2,432.00",-1.94,"1,353.00","3,272,620.00"
57,57,2021-04-12,"2,375.00","2,499.00","2,345.00","2,480.00",3.94,"2,385.00","5,810,563.00"
58,58,2021-04-08,"2,347.00","2,387.00","2,340.00","2,386.00",1.79,"2,156.00","5,123,697.00"
59,59,2021-04-07,"2,321.00","2,354.00","2,307.00","2,344.00",0.99,"1,860.00","4,331,624.00"
60,60,2021-04-06,"2,275.00","2,338.00","2,275.00","2,321.00",0.04,990.00,"2,265,854.00"
61,61,2021-04-05,"2,320.00","2,330.00","2,280.00","2,320.00",-1.61,"1,597.00","3,674,879.00"
62,62,2021-04-04,"2,400.00","2,400.00","2,311.00","2,358.00",-0.92,"2,216.00","5,178,011.00"
63,63,2021-04-01,"2,505.00","2,505.00","2,345.00","2,380.00",-0.25,"1,991.00","4,709,672.00"
64,64,2021-03-31,"2,432.00","2,432.00","2,384.00","2,386.00",2.98,"3,727.00","8,970,736.00"
65,65,2021-03-30,"2,812.00","2,868.00","2,605.00","2,730.00",-1.12,"11,536.00","31,469,266.00"
66,66,2021-03-29,"2,524.00","2,761.00","2,523.00","2,761.00",10.00,"13,151.00","35,805,258.00"
67,67,2021-03-25,"2,520.00","2,545.00","2,485.00","2,510.00",0.60,"6,287.00","15,824,589.00"
68,68,2021-03-24,"2,431.00","2,539.00","2,395.00","2,495.00",4.66,"6,094.00","15,016,565.00"
69,69,2021-03-23,"2,385.00","2,385.00","2,272.00","2,384.00",4.93,"4,723.00","11,019,687.00"
70,70,2021-03-22,"2,310.00","2,339.00","2,266.00","2,272.00",-1.65,"3,360.00","7,681,216.00"
71,71,2021-03-21,"2,189.00","2,317.00","2,189.00","2,310.00",6.50,"4,051.00","9,248,868.00"
72,72,2021-03-18,"2,189.00","2,201.00","2,150.00","2,169.00",0.46,"1,795.00","3,918,887.00"
73,73,2021-03-17,"2,039.00","2,160.00","2,039.00","2,159.00",3.80,"1,774.00","3,782,448.00"
74,74,2021-03-16,"2,120.00","2,126.00","2,066.00","2,080.00",-0.29,"1,206.00","2,523,523.00"
75,75,2021-03-15,"2,075.00","2,114.00","2,058.00","2,086.00",0.53,815.00,"1,696,205.00"
76,76,2021-03-14,"2,140.00","2,140.00","2,058.00","2,075.00",-3.22,"3,161.00","6,581,162.00"
77,77,2021-03-10,"2,180.00","2,180.00","2,109.00","2,144.00",-0.92,"1,024.00","2,178,867.00"
78,78,2021-03-09,"2,318.00","2,318.00","2,140.00","2,164.00",-1.99,"5,819.00","12,667,924.00"
79,79,2021-03-07,"2,150.00","2,211.00","2,150.00","2,208.00",1.85,"1,649.00","3,602,930.00"
80,80,2021-03-04,"2,100.00","2,168.00","2,085.00","2,168.00",4.99,"2,210.00","4,740,150.00"
81,81,2021-03-03,"2,065.00","2,108.00","2,040.00","2,065.00",-1.85,"2,410.00","4,982,509.00"
82,82,2021-03-02,"2,176.00","2,176.00","2,099.00","2,104.00",-5.23,"1,569.00","3,317,773.00"
83,83,2021-03-01,"2,140.00","2,220.00","2,091.00","2,220.00",2.02,"4,018.00","8,669,997.00"
84,84,2021-02-28,"2,225.00","2,225.00","2,176.00","2,176.00",-3.76,"2,982.00","6,520,553.00"
85,85,2021-02-25,"2,271.00","2,300.00","2,230.00","2,261.00",-2.29,"1,799.00","4,067,865.00"
86,86,2021-02-24,"2,400.00","2,408.00","2,300.00","2,314.00",-1.99,"2,104.00","4,926,248.00"
87,87,2021-02-23,"2,247.00","2,361.00","2,161.00","2,361.00",5.07,"4,068.00","8,940,457.00"
88,88,2021-02-22,"2,461.00","2,461.00","2,236.00","2,247.00",-4.14,"3,468.00","7,850,558.00"
89,89,2021-02-21,"2,345.00","2,345.00","2,283.00","2,344.00",-0.85,"1,560.00","3,595,549.00"
90,90,2021-02-18,"2,355.00","2,364.00","2,249.00","2,364.00",0.38,"3,101.00","7,208,508.00"
91,91,2021-02-17,"2,366.00","2,376.00","2,335.00","2,355.00",1.51,"2,105.00","4,954,415.00"
92,92,2021-02-16,"2,412.00","2,449.00","2,300.00","2,320.00",-1.90,"4,002.00","9,398,257.00"
