,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,735.00","1,760.00","1,700.00","1,700.00",-0.29,"4,122.00","7,102,229.00"
2,2,2021-06-30,"1,738.00","1,741.00","1,695.00","1,705.00",-1.90,"2,677.00","4,584,552.00"
3,3,2021-06-29,"1,748.00","1,800.00","1,736.00","1,738.00",1.40,"7,282.00","12,866,755.00"
4,4,2021-06-28,"1,680.00","1,760.00","1,676.00","1,714.00",3.07,"3,512.00","6,046,071.00"
5,5,2021-06-27,"1,679.00","1,712.00","1,660.00","1,663.00",0.18,"2,576.00","4,318,304.00"
6,6,2021-06-24,"1,675.00","1,680.00","1,651.00","1,660.00",-0.90,"2,079.00","3,450,139.00"
7,7,2021-06-23,"1,708.00","1,741.00","1,670.00","1,675.00",-1.93,"2,754.00","4,622,841.00"
8,8,2021-06-22,"1,720.00","1,734.00","1,660.00","1,708.00",0.00,"7,626.00","12,989,970.00"
9,9,2021-06-21,"1,730.00","1,745.00","1,699.00","1,708.00",-2.90,"4,982.00","8,540,441.00"
10,10,2021-06-20,"1,760.00","1,781.00","1,697.00","1,759.00",-1.18,"7,303.00","12,627,563.00"
11,11,2021-06-17,"1,834.00","1,834.00","1,779.00","1,780.00",-1.39,"1,895.00","3,399,366.00"
12,12,2021-06-16,"1,659.00","1,888.00","1,659.00","1,805.00",3.38,"11,869.00","21,659,249.00"
13,13,2021-06-15,"1,805.00","1,805.00","1,745.00","1,746.00",-1.91,"6,967.00","12,286,520.00"
14,14,2021-06-14,"1,751.00","1,786.00","1,751.00","1,780.00",0.85,"6,413.00","11,375,872.00"
15,15,2021-06-13,"1,750.00","1,820.00","1,750.00","1,765.00",-0.40,"5,485.00","9,759,259.00"
16,16,2021-06-10,"1,771.00","1,782.00","1,760.00","1,772.00",0.11,"2,447.00","4,328,902.00"
17,17,2021-06-09,"1,800.00","1,802.00","1,770.00","1,770.00",-0.56,"2,993.00","5,346,981.00"
18,18,2021-06-08,"1,800.00","1,800.00","1,768.00","1,780.00",-0.50,"3,445.00","6,117,729.00"
19,19,2021-06-07,"1,760.00","1,814.00","1,760.00","1,789.00",-0.33,"2,484.00","4,442,955.00"
20,20,2021-06-06,"1,807.00","1,825.00","1,791.00","1,795.00",-0.66,"5,331.00","9,617,583.00"
21,21,2021-06-03,"1,800.00","1,835.00","1,795.00","1,807.00",0.67,"3,512.00","6,393,415.00"
22,22,2021-06-02,"1,767.00","1,795.00","1,767.00","1,795.00",1.58,"3,791.00","6,760,017.00"
23,23,2021-06-01,"1,825.00","1,825.00","1,765.00","1,767.00",-1.28,"3,456.00","6,158,339.00"
24,24,2021-05-31,"1,801.00","1,818.00","1,786.00","1,790.00",-0.56,"5,572.00","10,034,387.00"
25,25,2021-05-30,"1,820.00","1,820.00","1,788.00","1,800.00",-0.88,"8,437.00","15,166,231.00"
