,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,820.00,833.00,813.00,815.00,1.24,"6,255.00","5,097,899.00"
2,2,2021-06-30,815.00,820.00,795.00,805.00,-1.23,"12,229.00","9,800,630.00"
3,3,2021-06-29,820.00,835.00,804.00,815.00,-0.49,"12,327.00","10,013,985.00"
4,4,2021-06-28,815.00,833.00,814.00,819.00,0.49,"11,543.00","9,464,900.00"
5,5,2021-06-27,815.00,840.00,812.00,815.00,-1.45,"17,131.00","14,011,931.00"
6,6,2021-06-24,809.00,835.00,809.00,827.00,0.24,"8,641.00","7,134,874.00"
7,7,2021-06-23,850.00,856.00,820.00,825.00,-2.94,"11,222.00","9,351,868.00"
8,8,2021-06-22,820.00,850.00,817.00,850.00,3.03,"18,074.00","15,157,736.00"
9,9,2021-06-21,850.00,860.00,812.00,825.00,-2.60,"29,762.00","24,824,884.00"
10,10,2021-06-20,867.00,880.00,847.00,847.00,-3.09,"23,545.00","20,210,535.00"
11,11,2021-06-17,883.00,898.00,869.00,874.00,-1.02,"21,221.00","18,619,953.00"
12,12,2021-06-16,870.00,901.00,870.00,883.00,-2.65,"43,647.00","38,524,616.00"
13,13,2021-06-15,925.00,930.00,905.00,907.00,-0.87,"28,455.00","26,046,149.00"
14,14,2021-06-14,906.00,931.00,906.00,915.00,1.10,"24,523.00","22,357,801.00"
15,15,2021-06-13,915.00,918.00,903.00,905.00,-1.09,"26,827.00","24,401,010.00"
16,16,2021-06-10,930.00,936.00,912.00,915.00,-1.19,"19,056.00","17,593,093.00"
17,17,2021-06-09,950.00,955.00,924.00,926.00,-1.28,"34,885.00","32,623,590.00"
18,18,2021-06-08,895.00,942.00,895.00,938.00,3.88,"66,729.00","61,438,340.00"
19,19,2021-06-07,930.00,930.00,897.00,903.00,-1.31,"21,336.00","19,317,486.00"
20,20,2021-06-06,920.00,920.00,900.00,915.00,0.66,"26,294.00","23,772,072.00"
21,21,2021-06-03,921.00,944.00,903.00,909.00,-1.30,"22,799.00","20,839,788.00"
22,22,2021-06-02,874.00,929.00,874.00,921.00,0.11,"24,182.00","22,336,328.00"
23,23,2021-06-01,976.00,976.00,901.00,920.00,-1.08,"35,680.00","32,931,406.00"
