,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,760.00,768.00,753.00,755.00,0.27,"13,226.00","10,050,055.00"
2,2,2021-06-30,740.00,755.00,733.00,753.00,1.48,"21,584.00","16,050,296.00"
3,3,2021-06-29,768.00,770.00,742.00,742.00,-2.88,"27,439.00","20,647,005.00"
4,4,2021-06-28,775.00,790.00,760.00,764.00,-1.04,"26,334.00","20,349,169.00"
5,5,2021-06-27,766.00,788.00,766.00,772.00,0.78,"18,269.00","14,158,295.00"
6,6,2021-06-24,780.00,781.00,762.00,766.00,-1.54,"22,718.00","17,534,945.00"
7,7,2021-06-23,805.00,805.00,772.00,778.00,-2.51,"24,706.00","19,337,942.00"
8,8,2021-06-22,775.00,805.00,770.00,798.00,2.97,"36,230.00","28,682,848.00"
9,9,2021-06-21,808.00,825.00,773.00,775.00,-4.08,"56,787.00","44,736,180.00"
10,10,2021-06-20,819.00,835.00,792.00,808.00,-1.34,"51,143.00","41,378,799.00"
11,11,2021-06-17,866.00,866.00,805.00,819.00,-0.73,"39,698.00","32,695,321.00"
12,12,2021-06-16,853.00,853.00,814.00,825.00,-3.28,"43,249.00","35,868,752.00"
13,13,2021-06-15,860.00,876.00,850.00,853.00,0.59,"113,353.00","97,738,672.00"
14,14,2021-06-14,820.00,849.00,820.00,848.00,3.79,"71,912.00","59,905,133.00"
15,15,2021-06-13,826.00,826.00,805.00,817.00,-1.09,"73,073.00","59,481,636.00"
16,16,2021-06-10,859.00,869.00,820.00,826.00,-2.48,"79,673.00","67,191,231.00"
17,17,2021-06-09,830.00,880.00,825.00,847.00,4.05,"121,561.00","102,858,417.00"
18,18,2021-06-08,770.00,820.00,760.00,814.00,7.53,"152,611.00","120,418,401.00"
19,19,2021-06-07,760.00,776.00,752.00,757.00,-0.13,"24,521.00","18,570,269.00"
20,20,2021-06-06,755.00,758.00,747.00,758.00,0.53,"29,873.00","22,463,849.00"
21,21,2021-06-03,760.00,765.00,748.00,754.00,-0.79,"25,967.00","19,616,187.00"
22,22,2021-06-02,738.00,765.00,738.00,760.00,1.47,"24,287.00","18,438,857.00"
23,23,2021-06-01,798.00,798.00,746.00,749.00,-1.45,"30,267.00","22,778,687.00"
24,24,2021-05-31,780.00,787.00,756.00,760.00,-1.43,"51,850.00","39,973,900.00"
25,25,2021-05-30,772.00,787.00,757.00,771.00,1.85,"77,881.00","60,204,042.00"
26,26,2021-05-27,750.00,768.00,745.00,757.00,-0.39,"28,329.00","21,433,931.00"
27,27,2021-05-25,741.00,789.00,741.00,760.00,2.70,"94,854.00","71,964,025.00"
28,28,2021-05-24,740.00,759.00,736.00,740.00,0.00,"24,362.00","18,156,752.00"
29,29,2021-05-23,740.00,749.00,727.00,740.00,0.27,"20,670.00","15,296,735.00"
30,30,2021-05-20,743.00,750.00,736.00,738.00,-1.34,"18,392.00","13,618,503.00"
31,31,2021-05-19,767.00,771.00,742.00,748.00,-1.32,"32,881.00","24,858,299.00"
32,32,2021-05-18,759.00,760.00,745.00,758.00,0.53,"21,919.00","16,459,452.00"
33,33,2021-05-17,770.00,774.00,747.00,754.00,-0.66,"34,524.00","26,175,040.00"
34,34,2021-05-16,730.00,763.00,727.00,759.00,4.98,"56,031.00","41,936,338.00"
35,35,2021-05-13,735.00,735.00,721.00,723.00,-0.69,"14,683.00","10,634,000.00"
36,36,2021-05-12,756.00,756.00,727.00,728.00,1.11,"22,462.00","16,459,144.00"
37,37,2021-05-11,775.00,784.00,775.00,778.00,0.78,"51,533.00","40,146,336.00"
38,38,2021-05-10,753.00,779.00,753.00,772.00,0.65,"20,357.00","15,708,854.00"
39,39,2021-05-09,774.00,780.00,763.00,767.00,-0.90,"26,324.00","20,259,764.00"
40,40,2021-05-06,798.00,798.00,771.00,774.00,-2.03,"19,532.00","15,154,622.00"
41,41,2021-05-05,805.00,810.00,780.00,790.00,-1.00,"46,479.00","36,626,640.00"
42,42,2021-05-04,819.00,819.00,770.00,798.00,2.31,"48,227.00","37,938,977.00"
43,43,2021-05-03,800.00,800.00,772.00,780.00,1.83,"100,408.00","79,166,635.00"
44,44,2021-05-02,745.00,769.00,737.00,766.00,4.08,"57,819.00","43,936,887.00"
45,45,2021-04-29,715.00,742.00,715.00,736.00,1.52,"15,639.00","11,505,336.00"
46,46,2021-04-28,725.00,750.00,708.00,725.00,0.14,"20,085.00","14,749,125.00"
47,47,2021-04-27,681.00,725.00,681.00,724.00,6.16,"22,855.00","16,171,150.00"
48,48,2021-04-26,710.00,714.00,674.00,682.00,-3.94,"21,659.00","15,043,725.00"
49,49,2021-04-25,736.00,736.00,705.00,710.00,-3.53,"33,352.00","23,868,773.00"
50,50,2021-04-22,732.00,740.00,720.00,736.00,0.14,"13,732.00","10,061,506.00"
51,51,2021-04-21,750.00,760.00,732.00,735.00,-1.34,"23,122.00","17,155,253.00"
52,52,2021-04-20,740.00,755.00,726.00,745.00,0.00,"16,449.00","12,212,991.00"
53,53,2021-04-19,755.00,760.00,743.00,745.00,-1.59,"17,317.00","12,961,486.00"
54,54,2021-04-18,775.00,775.00,753.00,757.00,-1.82,"24,604.00","18,720,579.00"
55,55,2021-04-15,774.00,779.00,770.00,771.00,-0.39,"15,723.00","12,152,613.00"
56,56,2021-04-13,783.00,792.00,772.00,774.00,-0.77,"21,972.00","17,122,527.00"
57,57,2021-04-12,784.00,798.00,775.00,780.00,1.43,"51,804.00","40,610,228.00"
58,58,2021-04-08,760.00,783.00,754.00,769.00,1.18,"35,812.00","27,578,732.00"
59,59,2021-04-07,788.00,788.00,758.00,760.00,-1.81,"20,163.00","15,480,377.00"
60,60,2021-04-06,778.00,788.00,756.00,774.00,-0.51,"43,492.00","33,502,235.00"
61,61,2021-04-05,805.00,839.00,777.00,778.00,-2.02,"69,398.00","55,246,305.00"
62,62,2021-04-04,760.00,805.00,750.00,794.00,6.58,"130,112.00","102,572,676.00"
63,63,2021-04-01,793.00,793.00,745.00,745.00,-1.59,"51,666.00","39,441,913.00"
64,64,2021-03-31,730.00,779.00,728.00,757.00,4.99,"63,476.00","48,129,051.00"
65,65,2021-03-30,713.00,728.00,705.00,721.00,2.85,"45,679.00","32,833,190.00"
66,66,2021-03-29,707.00,709.00,700.00,701.00,-0.14,"12,220.00","8,571,612.00"
67,67,2021-03-25,713.00,722.00,700.00,702.00,-1.54,"18,851.00","13,278,940.00"
68,68,2021-03-24,709.00,714.00,696.00,713.00,2.30,"20,082.00","14,121,184.00"
69,69,2021-03-23,713.00,713.00,686.00,697.00,-0.43,"9,770.00","6,783,244.00"
70,70,2021-03-22,748.00,748.00,688.00,700.00,-1.82,"23,635.00","16,649,984.00"
71,71,2021-03-21,701.00,715.00,693.00,713.00,3.63,"20,010.00","14,067,358.00"
72,72,2021-03-18,695.00,705.00,682.00,688.00,0.88,"20,470.00","14,261,645.00"
73,73,2021-03-17,669.00,685.00,658.00,682.00,2.87,"14,467.00","9,786,362.00"
74,74,2021-03-16,680.00,680.00,656.00,663.00,-0.60,"9,262.00","6,170,956.00"
75,75,2021-03-15,659.00,681.00,655.00,667.00,-0.45,"12,700.00","8,519,776.00"
76,76,2021-03-14,690.00,690.00,663.00,670.00,-3.18,"17,741.00","11,962,766.00"
77,77,2021-03-10,692.00,705.00,691.00,692.00,-1.00,"17,121.00","11,895,236.00"
78,78,2021-03-09,695.00,715.00,695.00,699.00,-0.99,"14,499.00","10,170,645.00"
79,79,2021-03-07,721.00,739.00,701.00,706.00,2.77,"45,949.00","32,741,332.00"
80,80,2021-03-04,675.00,700.00,675.00,687.00,2.84,"31,204.00","21,537,866.00"
81,81,2021-03-03,667.00,679.00,657.00,668.00,-1.62,"23,177.00","15,423,761.00"
82,82,2021-03-02,695.00,701.00,670.00,679.00,-2.30,"21,996.00","14,919,627.00"
83,83,2021-03-01,668.00,700.00,660.00,695.00,3.27,"25,389.00","17,474,928.00"
84,84,2021-02-28,696.00,700.00,665.00,673.00,-4.13,"24,460.00","16,633,407.00"
85,85,2021-02-25,716.00,716.00,700.00,702.00,-1.96,"17,508.00","12,333,524.00"
86,86,2021-02-24,710.00,729.00,696.00,716.00,1.99,"12,516.00","8,995,952.00"
87,87,2021-02-23,700.00,709.00,686.00,702.00,-0.85,"28,033.00","19,533,897.00"
88,88,2021-02-22,725.00,725.00,696.00,708.00,-2.34,"32,857.00","23,218,297.00"
89,89,2021-02-21,730.00,730.00,720.00,725.00,-1.23,"20,394.00","14,760,110.00"
90,90,2021-02-18,725.00,744.00,725.00,734.00,0.41,"16,678.00","12,237,136.00"
91,91,2021-02-17,747.00,747.00,721.00,731.00,-2.14,"18,298.00","13,376,793.00"
92,92,2021-02-16,767.00,768.00,733.00,747.00,-0.93,"28,816.00","21,541,438.00"
93,93,2021-02-15,737.00,760.00,731.00,754.00,4.29,"45,563.00","34,224,026.00"
94,94,2021-02-14,777.00,777.00,707.00,723.00,-2.30,"40,161.00","28,990,737.00"
95,95,2021-02-11,740.00,765.00,736.00,740.00,-1.20,"28,955.00","21,550,153.00"
96,96,2021-02-10,750.00,766.00,743.00,749.00,-1.06,"36,110.00","27,141,599.00"
97,97,2021-02-09,816.00,816.00,740.00,757.00,-2.70,"60,291.00","45,508,778.00"
98,98,2021-02-08,824.00,824.00,764.00,778.00,-0.89,"65,496.00","51,050,274.00"
99,99,2021-02-07,760.00,785.00,744.00,785.00,5.23,"65,567.00","50,071,444.00"
100,100,2021-02-04,750.00,755.00,728.00,746.00,-0.27,"46,755.00","34,900,703.00"
101,101,2021-02-03,783.00,790.00,735.00,748.00,-2.60,"66,520.00","50,536,145.00"
102,102,2021-02-02,706.00,771.00,704.00,768.00,9.40,"116,550.00","86,042,126.00"
103,103,2021-02-01,698.00,710.00,682.00,702.00,2.48,"79,898.00","55,725,030.00"
104,104,2021-01-31,712.00,712.00,682.00,685.00,-3.79,"58,746.00","40,669,832.00"
105,105,2021-01-28,686.00,729.00,680.00,712.00,5.17,"98,645.00","69,755,330.00"
106,106,2021-01-27,665.00,680.00,652.00,677.00,2.58,"41,336.00","27,807,508.00"
107,107,2021-01-26,661.00,665.00,649.00,660.00,-0.15,"22,564.00","14,859,405.00"
108,108,2021-01-25,679.00,679.00,655.00,661.00,-2.94,"62,239.00","41,319,668.00"
109,109,2021-01-24,700.00,703.00,677.00,681.00,0.89,"43,904.00","30,199,859.00"
110,110,2021-01-21,640.00,690.00,640.00,675.00,5.47,"72,255.00","48,109,011.00"
111,111,2021-01-20,650.00,650.00,636.00,640.00,-0.31,"31,092.00","19,988,139.00"
112,112,2021-01-19,650.00,650.00,635.00,642.00,-1.23,"36,375.00","23,395,858.00"
113,113,2021-01-18,662.00,662.00,642.00,650.00,0.00,"45,295.00","29,352,788.00"
114,114,2021-01-17,654.00,659.00,632.00,650.00,0.15,"69,033.00","44,612,810.00"
115,115,2021-01-13,636.00,675.00,634.00,649.00,0.46,"54,557.00","35,326,238.00"
116,116,2021-01-12,628.00,651.00,617.00,646.00,4.03,"67,618.00","43,172,180.00"
117,117,2021-01-11,615.00,622.00,606.00,621.00,1.80,"84,338.00","52,112,349.00"
118,118,2021-01-10,619.00,629.00,590.00,610.00,0.49,"51,816.00","31,627,358.00"
119,119,2021-01-07,578.00,614.00,575.00,607.00,7.05,"190,855.00","114,844,089.00"
120,120,2021-01-06,555.00,597.00,550.00,567.00,3.85,"37,134.00","20,937,142.00"
121,121,2021-01-05,553.00,555.00,540.00,546.00,0.55,"12,973.00","7,121,894.00"
122,122,2021-01-04,545.00,554.00,543.00,543.00,0.00,"35,531.00","19,480,827.00"
123,123,2021-01-03,536.00,555.00,525.00,543.00,1.50,"15,758.00","8,587,257.00"
124,124,2020-12-31,537.00,541.00,525.00,535.00,1.52,"16,853.00","9,038,297.00"
125,125,2020-12-30,530.00,532.00,527.00,527.00,-0.19,"12,635.00","6,696,081.00"
126,126,2020-12-29,524.00,538.00,522.00,528.00,0.76,"17,426.00","9,249,822.00"
127,127,2020-12-28,519.00,533.00,519.00,524.00,0.00,"11,845.00","6,226,751.00"
128,128,2020-12-27,540.00,542.00,523.00,524.00,-2.24,"13,387.00","7,077,928.00"
129,129,2020-12-24,555.00,555.00,535.00,536.00,-2.19,"10,919.00","5,881,028.00"
130,130,2020-12-23,561.00,561.00,545.00,548.00,-0.36,"12,421.00","6,817,464.00"
131,131,2020-12-22,541.00,562.00,530.00,550.00,3.58,"18,029.00","9,852,492.00"
132,132,2020-12-21,514.00,540.00,501.00,531.00,1.34,"27,870.00","14,436,779.00"
133,133,2020-12-20,545.00,555.00,516.00,524.00,-4.73,"42,315.00","22,560,088.00"
134,134,2020-12-17,554.00,556.00,546.00,550.00,-1.61,"15,337.00","8,453,331.00"
135,135,2020-12-16,550.00,566.00,550.00,559.00,-0.18,"14,973.00","8,384,455.00"
136,136,2020-12-15,570.00,578.00,557.00,560.00,-0.88,"17,801.00","10,043,053.00"
137,137,2020-12-14,560.00,573.00,555.00,565.00,1.25,"34,990.00","19,731,166.00"
138,138,2020-12-13,564.00,564.00,546.00,558.00,0.72,"10,995.00","6,088,176.00"
139,139,2020-12-10,540.00,560.00,538.00,554.00,1.09,"13,579.00","7,454,626.00"
140,140,2020-12-09,558.00,558.00,543.00,548.00,-1.79,"17,682.00","9,690,107.00"
141,141,2020-12-08,575.00,580.00,557.00,558.00,-2.96,"25,028.00","14,120,376.00"
142,142,2020-12-07,548.00,579.00,531.00,575.00,6.28,"34,996.00","19,619,653.00"
143,143,2020-12-06,570.00,570.00,541.00,541.00,-5.58,"35,842.00","19,837,890.00"
144,144,2020-12-03,600.00,605.00,570.00,573.00,-2.88,"40,538.00","23,672,345.00"
145,145,2020-12-02,560.00,610.00,560.00,590.00,4.42,"76,362.00","44,632,293.00"
146,146,2020-12-01,576.00,576.00,565.00,565.00,-1.57,"27,274.00","15,514,883.00"
147,147,2020-11-30,570.00,595.00,557.00,574.00,2.50,"40,349.00","22,954,061.00"
148,148,2020-11-29,570.00,570.00,554.00,560.00,-0.53,"42,917.00","23,990,578.00"
149,149,2020-11-26,575.00,584.00,560.00,563.00,-2.09,"46,244.00","26,424,106.00"
150,150,2020-11-25,583.00,586.00,570.00,575.00,0.52,"49,567.00","28,637,164.00"
