,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,680.00,702.00,680.00,696.00,1.46,"5,638.00","3,935,732.00"
2,2,2021-06-30,690.00,690.00,671.00,686.00,-1.15,"9,170.00","6,230,493.00"
3,3,2021-06-29,707.00,712.00,693.00,694.00,-1.84,"8,893.00","6,214,485.00"
4,4,2021-06-28,705.00,712.00,700.00,707.00,0.57,"6,633.00","4,682,024.00"
5,5,2021-06-27,691.00,716.00,691.00,703.00,0.14,"13,442.00","9,435,489.00"
6,6,2021-06-24,700.00,709.00,700.00,702.00,-1.40,"10,440.00","7,345,042.00"
7,7,2021-06-23,715.00,729.00,707.00,712.00,-2.06,"8,296.00","5,922,442.00"
8,8,2021-06-22,705.00,729.00,701.00,727.00,3.56,"8,827.00","6,336,333.00"
9,9,2021-06-21,727.00,736.00,695.00,702.00,-3.44,"24,407.00","17,293,515.00"
10,10,2021-06-20,756.00,756.00,724.00,727.00,-3.20,"18,702.00","13,771,731.00"
11,11,2021-06-17,747.00,764.00,743.00,751.00,0.54,"14,051.00","10,549,399.00"
12,12,2021-06-16,753.00,765.00,739.00,747.00,-2.73,"18,352.00","13,745,130.00"
13,13,2021-06-15,800.00,800.00,765.00,768.00,-1.41,"29,580.00","22,986,898.00"
14,14,2021-06-14,765.00,780.00,762.00,779.00,1.83,"28,068.00","21,669,214.00"
15,15,2021-06-13,800.00,800.00,762.00,765.00,-1.54,"27,191.00","20,854,669.00"
16,16,2021-06-10,780.00,802.00,773.00,777.00,-1.52,"35,672.00","27,909,003.00"
17,17,2021-06-09,815.00,820.00,770.00,789.00,0.38,"65,139.00","51,943,177.00"
18,18,2021-06-08,734.00,804.00,731.00,786.00,7.08,"54,980.00","41,940,467.00"
19,19,2021-06-07,740.00,750.00,730.00,734.00,-0.41,"17,718.00","13,054,018.00"
20,20,2021-06-06,731.00,739.00,731.00,737.00,-0.41,"20,825.00","15,292,247.00"
21,21,2021-06-03,750.00,760.00,737.00,740.00,-0.80,"19,150.00","14,280,360.00"
22,22,2021-06-02,741.00,750.00,733.00,746.00,0.67,"14,119.00","10,518,364.00"
23,23,2021-06-01,750.00,759.00,735.00,741.00,-1.72,"20,275.00","15,062,685.00"
24,24,2021-05-31,780.00,792.00,751.00,754.00,-1.18,"61,264.00","47,650,411.00"
25,25,2021-05-30,750.00,779.00,750.00,763.00,2.83,"77,080.00","58,958,385.00"
26,26,2021-05-27,726.00,749.00,724.00,742.00,0.54,"34,579.00","25,633,976.00"
27,27,2021-05-25,724.00,744.00,710.00,738.00,3.51,"46,033.00","33,775,160.00"
28,28,2021-05-24,721.00,721.00,710.00,713.00,-0.28,"17,748.00","12,677,671.00"
29,29,2021-05-23,706.00,725.00,699.00,715.00,0.14,"11,900.00","8,473,147.00"
30,30,2021-05-20,725.00,725.00,713.00,714.00,-0.83,"10,444.00","7,482,151.00"
31,31,2021-05-19,738.00,740.00,718.00,720.00,-0.96,"12,523.00","9,089,909.00"
32,32,2021-05-18,710.00,730.00,710.00,727.00,0.69,"13,402.00","9,731,587.00"
33,33,2021-05-17,740.00,750.00,721.00,722.00,-0.55,"18,914.00","13,830,031.00"
34,34,2021-05-16,710.00,732.00,710.00,726.00,2.40,"23,689.00","17,175,526.00"
35,35,2021-05-13,710.00,710.00,697.00,709.00,-0.14,"9,822.00","6,932,787.00"
36,36,2021-05-12,708.00,715.00,705.00,710.00,0.28,"7,215.00","5,118,265.00"
37,37,2021-05-11,700.00,710.00,700.00,708.00,0.28,"6,964.00","4,925,397.00"
38,38,2021-05-10,680.00,707.00,680.00,706.00,2.32,"7,494.00","5,229,995.00"
39,39,2021-05-09,735.00,735.00,689.00,690.00,-1.43,"8,004.00","5,584,028.00"
