,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,775.00,790.00,765.00,774.00,0.78,"14,379.00","11,185,560.00"
2,2,2021-06-30,750.00,774.00,750.00,768.00,1.19,"24,992.00","19,065,765.00"
3,3,2021-06-29,795.00,795.00,755.00,759.00,-2.69,"21,620.00","16,573,684.00"
4,4,2021-06-28,785.00,793.00,778.00,780.00,-0.64,"15,943.00","12,467,836.00"
5,5,2021-06-27,780.00,793.00,777.00,785.00,0.00,"17,210.00","13,502,693.00"
6,6,2021-06-24,785.00,805.00,775.00,785.00,-1.63,"23,265.00","18,294,380.00"
7,7,2021-06-23,816.00,824.00,790.00,798.00,-3.27,"41,315.00","33,131,211.00"
8,8,2021-06-22,811.00,827.00,780.00,825.00,3.64,"41,809.00","33,805,213.00"
9,9,2021-06-21,835.00,844.00,791.00,796.00,-3.86,"52,883.00","42,802,082.00"
10,10,2021-06-20,899.00,899.00,815.00,828.00,-3.38,"46,024.00","38,439,604.00"
11,11,2021-06-17,876.00,893.00,849.00,857.00,-0.23,"73,101.00","62,505,304.00"
12,12,2021-06-16,871.00,881.00,840.00,859.00,-2.61,"52,232.00","44,998,784.00"
13,13,2021-06-15,910.00,915.00,881.00,882.00,-2.00,"103,149.00","92,288,766.00"
14,14,2021-06-14,875.00,928.00,848.00,900.00,2.86,"109,468.00","95,527,084.00"
15,15,2021-06-13,900.00,900.00,841.00,875.00,-0.57,"181,047.00","156,287,155.00"
16,16,2021-06-10,945.00,945.00,867.00,880.00,-3.19,"276,609.00","248,339,755.00"
17,17,2021-06-09,915.00,956.00,905.00,909.00,3.30,"217,931.00","201,916,552.00"
18,18,2021-06-08,804.00,880.00,804.00,880.00,10.00,"270,826.00","231,574,586.00"
19,19,2021-06-07,820.00,822.00,793.00,800.00,-0.25,"174,115.00","139,584,083.00"
20,20,2021-06-06,763.00,802.00,753.00,802.00,6.93,"235,506.00","183,792,602.00"
