,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,200.00","1,220.00","1,200.00","1,216.00",2.10,"66,861.00","80,597,054.00"
2,2,2021-06-30,"1,209.00","1,209.00","1,173.00","1,191.00",0.08,"14,731.00","17,416,623.00"
3,3,2021-06-29,"1,238.00","1,238.00","1,189.00","1,190.00",-1.98,"20,458.00","24,610,767.00"
4,4,2021-06-28,"1,230.00","1,244.00","1,214.00","1,214.00",-0.82,"9,976.00","12,218,223.00"
5,5,2021-06-27,"1,230.00","1,250.00","1,222.00","1,224.00",-1.45,"14,892.00","18,330,329.00"
6,6,2021-06-24,"1,220.00","1,277.00","1,220.00","1,242.00",-1.82,"9,259.00","11,548,401.00"
7,7,2021-06-23,"1,305.00","1,305.00","1,244.00","1,265.00",-1.17,"25,570.00","32,134,579.00"
8,8,2021-06-22,"1,267.00","1,298.00","1,250.00","1,280.00",1.03,"25,544.00","32,708,209.00"
9,9,2021-06-21,"1,300.00","1,300.00","1,262.00","1,267.00",-1.40,"25,478.00","32,492,782.00"
10,10,2021-06-20,"1,345.00","1,345.00","1,275.00","1,285.00",-3.02,"64,056.00","83,498,935.00"
11,11,2021-06-17,"1,365.00","1,365.00","1,295.00","1,325.00",1.92,"159,186.00","208,914,703.00"
12,12,2021-06-16,"1,299.00","1,324.00","1,275.00","1,300.00",-1.89,"50,296.00","65,484,616.00"
13,13,2021-06-15,"1,358.00","1,358.00","1,320.00","1,325.00",-0.53,"44,049.00","58,844,146.00"
14,14,2021-06-14,"1,325.00","1,350.00","1,325.00","1,332.00",0.53,"31,921.00","42,524,874.00"
15,15,2021-06-13,"1,375.00","1,375.00","1,300.00","1,325.00",1.15,"168,008.00","220,530,934.00"
16,16,2021-06-10,"1,333.00","1,348.00","1,310.00","1,310.00",-1.73,"31,688.00","41,946,753.00"
17,17,2021-06-09,"1,377.00","1,390.00","1,330.00","1,333.00",-2.34,"40,138.00","54,416,856.00"
18,18,2021-06-08,"1,300.00","1,380.00","1,290.00","1,365.00",5.49,"67,852.00","90,080,962.00"
19,19,2021-06-07,"1,295.00","1,313.00","1,292.00","1,294.00",-0.31,"41,432.00","53,797,928.00"
20,20,2021-06-06,"1,315.00","1,317.00","1,296.00","1,298.00",-0.92,"35,304.00","46,010,193.00"
21,21,2021-06-03,"1,350.00","1,350.00","1,301.00","1,310.00",-1.06,"47,922.00","63,533,561.00"
22,22,2021-06-02,"1,320.00","1,345.00","1,305.00","1,324.00",0.68,"40,559.00","53,892,128.00"
23,23,2021-06-01,"1,334.00","1,335.00","1,294.00","1,315.00",-0.23,"32,241.00","42,180,368.00"
24,24,2021-05-31,"1,420.00","1,420.00","1,313.00","1,318.00",-2.59,"62,738.00","83,394,304.00"
25,25,2021-05-30,"1,410.00","1,410.00","1,345.00","1,353.00",-2.52,"71,239.00","97,349,429.00"
26,26,2021-05-27,"1,450.00","1,465.00","1,383.00","1,388.00",-1.98,"113,538.00","160,035,089.00"
27,27,2021-05-25,"1,440.00","1,440.00","1,391.00","1,416.00",1.29,"145,239.00","205,692,718.00"
28,28,2021-05-24,"1,360.00","1,410.00","1,334.00","1,398.00",4.64,"186,970.00","257,071,842.00"
29,29,2021-05-23,"1,300.00","1,342.00","1,274.00","1,336.00",1.14,"93,537.00","123,865,444.00"
30,30,2021-05-20,"1,345.00","1,345.00","1,313.00","1,321.00",-1.78,"65,314.00","86,337,851.00"
31,31,2021-05-19,"1,400.00","1,400.00","1,325.00","1,345.00",-1.82,"117,826.00","158,450,801.00"
32,32,2021-05-18,"1,280.00","1,390.00","1,275.00","1,370.00",7.45,"231,078.00","308,446,399.00"
33,33,2021-05-17,"1,300.00","1,310.00","1,265.00","1,275.00",1.19,"104,169.00","133,176,424.00"
34,34,2021-05-16,"1,195.00","1,260.00","1,169.00","1,260.00",9.76,"191,365.00","232,409,829.00"
35,35,2021-05-13,"1,140.00","1,175.00","1,140.00","1,148.00",1.77,"27,672.00","31,921,890.00"
36,36,2021-05-12,"1,143.00","1,143.00","1,125.00","1,128.00",-0.62,"13,460.00","15,229,447.00"
37,37,2021-05-11,"1,140.00","1,150.00","1,130.00","1,135.00",-0.44,"13,221.00","15,038,719.00"
38,38,2021-05-10,"1,100.00","1,140.00","1,100.00","1,140.00",2.06,"23,378.00","26,410,458.00"
39,39,2021-05-09,"1,144.00","1,145.00","1,100.00","1,117.00",-2.27,"32,809.00","36,776,516.00"
40,40,2021-05-06,"1,165.00","1,165.00","1,140.00","1,143.00",-1.04,"13,331.00","15,305,452.00"
41,41,2021-05-05,"1,155.00","1,170.00","1,150.00","1,155.00",0.17,"17,180.00","19,865,671.00"
42,42,2021-05-04,"1,155.00","1,156.00","1,140.00","1,153.00",-0.26,"5,255.00","6,054,827.00"
43,43,2021-05-03,"1,198.00","1,198.00","1,155.00","1,156.00",-1.78,"23,494.00","27,363,168.00"
44,44,2021-05-02,"1,150.00","1,200.00","1,150.00","1,177.00",0.60,"21,423.00","25,149,728.00"
45,45,2021-04-29,"1,078.00","1,200.00","1,078.00","1,170.00",3.17,"25,224.00","29,274,036.00"
46,46,2021-04-28,"1,179.00","1,180.00","1,134.00","1,134.00",-2.07,"8,182.00","9,403,986.00"
47,47,2021-04-27,"1,100.00","1,161.00","1,100.00","1,158.00",3.39,"19,747.00","22,484,693.00"
48,48,2021-04-26,"1,144.00","1,150.00","1,101.00","1,120.00",-2.10,"36,013.00","40,211,973.00"
49,49,2021-04-25,"1,240.00","1,240.00","1,128.00","1,144.00",-4.11,"36,004.00","41,697,017.00"
50,50,2021-04-22,"1,140.00","1,203.00","1,130.00","1,193.00",5.58,"30,943.00","35,865,943.00"
51,51,2021-04-21,"1,157.00","1,157.00","1,125.00","1,130.00",-0.44,"12,380.00","14,121,116.00"
52,52,2021-04-20,"1,115.00","1,159.00","1,115.00","1,135.00",1.34,"20,805.00","23,657,321.00"
53,53,2021-04-19,"1,175.00","1,175.00","1,119.00","1,120.00",-3.95,"36,332.00","41,302,814.00"
54,54,2021-04-18,"1,196.00","1,200.00","1,165.00","1,166.00",-2.10,"34,844.00","40,958,175.00"
55,55,2021-04-15,"1,230.00","1,230.00","1,182.00","1,191.00",1.36,"42,019.00","50,006,160.00"
56,56,2021-04-13,"1,285.00","1,285.00","1,242.00","1,257.00",0.24,"71,605.00","89,946,084.00"
57,57,2021-04-12,"1,270.00","1,274.00","1,243.00","1,254.00",0.72,"52,235.00","65,443,431.00"
58,58,2021-04-08,"1,218.00","1,270.00","1,218.00","1,245.00",2.22,"40,892.00","50,669,831.00"
59,59,2021-04-07,"1,240.00","1,240.00","1,207.00","1,218.00",-1.77,"48,988.00","59,844,899.00"
60,60,2021-04-06,"1,361.00","1,361.00","1,236.00","1,240.00",-4.39,"101,825.00","127,574,512.00"
61,61,2021-04-05,"1,378.00","1,444.00","1,290.00","1,297.00",-1.22,"234,165.00","313,496,174.00"
62,62,2021-04-04,"1,253.00","1,313.00","1,253.00","1,313.00",9.97,"27,922.00","36,338,496.00"
63,63,2021-04-01,"1,252.00","1,252.00","1,190.00","1,194.00",0.08,"91,115.00","109,626,940.00"
64,64,2021-03-31,"1,218.00","1,218.00","1,161.00","1,193.00",2.84,"71,823.00","85,352,535.00"
65,65,2021-03-30,"1,096.00","1,170.00","1,092.00","1,160.00",7.91,"101,389.00","114,828,245.00"
66,66,2021-03-29,"1,075.00","1,098.00","1,075.00","1,075.00",-0.37,"29,079.00","31,634,974.00"
67,67,2021-03-25,"1,100.00","1,110.00","1,078.00","1,079.00",-1.28,"31,770.00","34,692,474.00"
68,68,2021-03-24,"1,100.00","1,105.00","1,076.00","1,093.00",0.28,"48,644.00","53,205,805.00"
69,69,2021-03-23,"1,073.00","1,105.00","1,072.00","1,090.00",-0.27,"46,366.00","50,835,606.00"
70,70,2021-03-22,"1,120.00","1,135.00","1,080.00","1,093.00",-1.97,"47,679.00","52,366,822.00"
71,71,2021-03-21,"1,092.00","1,115.00","1,071.00","1,115.00",3.72,"60,630.00","66,547,735.00"
72,72,2021-03-18,"1,050.00","1,090.00","1,018.00","1,075.00",3.76,"58,137.00","61,097,927.00"
73,73,2021-03-17,"1,030.00","1,040.00",999.00,"1,036.00",3.39,"26,418.00","26,943,729.00"
74,74,2021-03-16,"1,047.00","1,047.00",998.00,"1,002.00",0.40,"18,196.00","18,381,691.00"
75,75,2021-03-15,981.00,"1,020.00",980.00,998.00,-0.30,"21,674.00","21,465,312.00"
76,76,2021-03-14,"1,034.00","1,034.00",995.00,"1,001.00",-3.19,"40,923.00","41,260,680.00"
77,77,2021-03-10,"1,041.00","1,062.00","1,012.00","1,034.00",1.27,"43,326.00","45,201,155.00"
78,78,2021-03-09,"1,081.00","1,081.00","1,020.00","1,021.00",-0.87,"22,409.00","22,999,796.00"
79,79,2021-03-07,"1,060.00","1,081.00","1,021.00","1,030.00",-0.96,"42,252.00","43,816,583.00"
80,80,2021-03-04,"1,038.00","1,051.00","1,001.00","1,040.00",2.16,"34,468.00","35,662,860.00"
81,81,2021-03-03,973.00,"1,029.00",960.00,"1,018.00",2.83,"40,943.00","40,170,391.00"
82,82,2021-03-02,"1,057.00","1,057.00",972.00,990.00,-4.53,"36,136.00","35,913,842.00"
83,83,2021-03-01,"1,009.00","1,039.00",991.00,"1,037.00",2.98,"26,669.00","27,023,488.00"
84,84,2021-02-28,"1,059.00","1,059.00",993.00,"1,007.00",-3.17,"44,572.00","45,126,068.00"
85,85,2021-02-25,"1,130.00","1,130.00","1,035.00","1,040.00",-5.45,"36,539.00","38,373,014.00"
86,86,2021-02-24,"1,020.00","1,100.00",990.00,"1,100.00",10.00,"68,800.00","72,310,814.00"
87,87,2021-02-23,"1,050.00","1,050.00",966.00,"1,000.00",0.00,"42,526.00","41,816,510.00"
88,88,2021-02-22,"1,070.00","1,070.00",991.00,"1,000.00",-1.96,"33,055.00","33,358,590.00"
89,89,2021-02-21,"1,045.00","1,045.00","1,011.00","1,020.00",-2.39,"55,781.00","57,092,983.00"
90,90,2021-02-18,"1,079.00","1,079.00","1,037.00","1,045.00",-2.61,"56,305.00","59,201,809.00"
91,91,2021-02-17,"1,100.00","1,100.00","1,068.00","1,073.00",-2.45,"44,568.00","48,103,533.00"
92,92,2021-02-16,"1,135.00","1,137.00","1,095.00","1,100.00",-2.83,"44,595.00","49,645,525.00"
93,93,2021-02-15,"1,130.00","1,170.00","1,095.00","1,132.00",2.17,"61,727.00","70,411,361.00"
94,94,2021-02-14,"1,104.00","1,161.00","1,091.00","1,108.00",-0.89,"48,717.00","53,697,251.00"
95,95,2021-02-11,"1,220.00","1,220.00","1,106.00","1,118.00",-7.60,"78,181.00","88,599,017.00"
96,96,2021-02-10,"1,133.00","1,222.00","1,098.00","1,210.00",4.94,"68,915.00","77,501,697.00"
97,97,2021-02-09,"1,093.00","1,178.00","1,093.00","1,153.00",0.26,"87,931.00","99,722,197.00"
98,98,2021-02-08,"1,223.00","1,223.00","1,128.00","1,150.00",-1.29,"52,021.00","59,618,252.00"
99,99,2021-02-07,"1,200.00","1,200.00","1,155.00","1,165.00",-1.27,"66,466.00","77,351,874.00"
100,100,2021-02-04,"1,160.00","1,221.00","1,091.00","1,180.00",2.43,"96,162.00","110,160,075.00"
101,101,2021-02-03,"1,131.00","1,152.00","1,039.00","1,152.00",5.69,"118,536.00","128,510,630.00"
102,102,2021-02-02,"1,124.00","1,124.00","1,060.00","1,090.00",1.77,"88,448.00","96,383,901.00"
103,103,2021-02-01,"1,097.00","1,102.00","1,057.00","1,071.00",2.49,"64,999.00","70,036,072.00"
104,104,2021-01-31,"1,055.00","1,139.00","1,021.00","1,045.00",-5.86,"84,901.00","89,657,165.00"
105,105,2021-01-28,"1,165.00","1,165.00","1,057.00","1,110.00",0.00,"128,490.00","142,562,350.00"
106,106,2021-01-27,"1,094.00","1,113.00",995.00,"1,110.00",6.53,"120,986.00","127,744,485.00"
