,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,799.00,804.00,777.00,782.00,-0.64,"25,547.00","20,224,060.00"
2,2,2021-06-30,730.00,790.00,730.00,787.00,2.47,"30,920.00","23,917,652.00"
3,3,2021-06-29,775.00,799.00,765.00,768.00,-2.04,"35,782.00","27,828,161.00"
4,4,2021-06-28,796.00,808.00,784.00,784.00,-1.13,"22,838.00","18,168,744.00"
5,5,2021-06-27,818.00,818.00,789.00,793.00,-1.25,"38,885.00","30,820,266.00"
6,6,2021-06-24,805.00,812.00,795.00,803.00,-1.59,"33,861.00","27,202,548.00"
7,7,2021-06-23,832.00,835.00,799.00,816.00,-1.09,"62,782.00","51,123,908.00"
8,8,2021-06-22,833.00,851.00,801.00,825.00,0.98,"83,047.00","68,340,310.00"
9,9,2021-06-21,840.00,858.00,816.00,817.00,-3.20,"63,555.00","52,652,088.00"
10,10,2021-06-20,874.00,890.00,834.00,844.00,-1.63,"118,402.00","101,143,338.00"
11,11,2021-06-17,893.00,893.00,845.00,858.00,0.82,"70,809.00","60,664,323.00"
12,12,2021-06-16,860.00,889.00,845.00,851.00,-3.08,"74,083.00","63,610,546.00"
13,13,2021-06-15,890.00,910.00,864.00,878.00,0.69,"215,877.00","191,117,442.00"
14,14,2021-06-14,838.00,880.00,826.00,872.00,4.06,"143,269.00","123,088,540.00"
15,15,2021-06-13,890.00,890.00,830.00,838.00,-1.87,"98,693.00","82,786,867.00"
16,16,2021-06-10,870.00,887.00,845.00,854.00,-0.70,"126,440.00","109,204,072.00"
17,17,2021-06-09,860.00,889.00,850.00,860.00,2.38,"250,892.00","216,869,946.00"
18,18,2021-06-08,819.00,847.00,787.00,840.00,7.69,"145,055.00","118,954,488.00"
19,19,2021-06-07,798.00,798.00,778.00,780.00,-0.38,"51,047.00","40,031,183.00"
20,20,2021-06-06,781.00,800.00,777.00,783.00,0.26,"51,003.00","40,001,733.00"
21,21,2021-06-03,800.00,800.00,781.00,781.00,-1.39,"29,538.00","23,296,809.00"
22,22,2021-06-02,790.00,800.00,783.00,792.00,0.38,"21,109.00","16,682,666.00"
23,23,2021-06-01,809.00,809.00,778.00,789.00,-1.50,"27,097.00","21,396,218.00"
24,24,2021-05-31,824.00,826.00,800.00,801.00,-1.48,"46,627.00","37,749,461.00"
25,25,2021-05-30,806.00,829.00,791.00,813.00,2.78,"72,514.00","58,586,952.00"
26,26,2021-05-27,835.00,835.00,820.00,831.00,-0.48,"95,183.00","79,015,347.00"
27,27,2021-05-25,825.00,839.00,811.00,835.00,1.46,"84,165.00","70,077,143.00"
28,28,2021-05-24,826.00,833.00,819.00,823.00,-0.12,"48,215.00","39,707,410.00"
29,29,2021-05-23,827.00,829.00,802.00,824.00,-0.36,"62,295.00","51,121,514.00"
30,30,2021-05-20,850.00,850.00,821.00,827.00,-0.24,"29,780.00","24,605,898.00"
31,31,2021-05-19,876.00,876.00,820.00,829.00,-0.72,"87,603.00","73,467,694.00"
32,32,2021-05-18,850.00,850.00,830.00,835.00,0.60,"47,294.00","39,534,434.00"
33,33,2021-05-17,820.00,852.00,818.00,830.00,1.22,"102,719.00","85,104,985.00"
34,34,2021-05-16,799.00,824.00,785.00,820.00,4.59,"71,436.00","58,061,161.00"
35,35,2021-05-13,788.00,788.00,773.00,784.00,1.42,"19,310.00","15,002,356.00"
36,36,2021-05-12,798.00,798.00,773.00,773.00,-1.40,"17,298.00","13,457,327.00"
37,37,2021-05-11,790.00,792.00,780.00,784.00,0.51,"18,001.00","14,174,102.00"
38,38,2021-05-10,735.00,790.00,735.00,780.00,0.91,"17,199.00","13,409,245.00"
39,39,2021-05-09,765.00,784.00,764.00,773.00,-0.77,"14,382.00","11,167,967.00"
40,40,2021-05-06,784.00,796.00,779.00,779.00,-1.39,"18,808.00","14,733,727.00"
41,41,2021-05-05,791.00,803.00,787.00,790.00,-0.13,"22,555.00","17,918,036.00"
42,42,2021-05-04,790.00,801.00,786.00,791.00,0.13,"18,657.00","14,793,326.00"
43,43,2021-05-03,805.00,823.00,790.00,790.00,-1.50,"24,986.00","20,018,538.00"
44,44,2021-05-02,770.00,805.00,764.00,802.00,3.48,"47,085.00","37,438,161.00"
45,45,2021-04-29,740.00,784.00,740.00,775.00,1.97,"13,731.00","10,529,348.00"
46,46,2021-04-28,741.00,784.00,741.00,760.00,-2.56,"15,403.00","11,814,653.00"
47,47,2021-04-27,744.00,780.00,721.00,780.00,6.85,"29,302.00","21,912,063.00"
48,48,2021-04-26,740.00,768.00,728.00,730.00,-3.18,"35,281.00","26,267,433.00"
49,49,2021-04-25,779.00,780.00,750.00,754.00,-3.58,"31,031.00","23,566,545.00"
50,50,2021-04-22,771.00,791.00,765.00,782.00,0.39,"25,291.00","19,777,063.00"
51,51,2021-04-21,796.00,796.00,779.00,779.00,-1.89,"29,938.00","23,466,988.00"
52,52,2021-04-20,781.00,800.00,781.00,794.00,0.89,"14,683.00","11,640,743.00"
53,53,2021-04-19,803.00,814.00,787.00,787.00,-2.24,"31,295.00","24,922,305.00"
54,54,2021-04-18,820.00,826.00,804.00,805.00,-3.59,"67,344.00","54,741,727.00"
55,55,2021-04-15,847.00,848.00,825.00,835.00,0.36,"49,676.00","41,581,901.00"
56,56,2021-04-13,850.00,854.00,830.00,832.00,-0.72,"42,939.00","36,067,908.00"
57,57,2021-04-12,827.00,856.00,818.00,838.00,1.58,"49,412.00","41,332,570.00"
58,58,2021-04-08,835.00,835.00,817.00,825.00,0.36,"32,869.00","27,044,785.00"
59,59,2021-04-07,835.00,841.00,820.00,822.00,-1.56,"43,191.00","35,689,896.00"
60,60,2021-04-06,850.00,862.00,831.00,835.00,-2.91,"55,548.00","46,820,533.00"
61,61,2021-04-05,929.00,929.00,858.00,860.00,-2.82,"113,163.00","98,184,001.00"
62,62,2021-04-04,852.00,893.00,826.00,885.00,8.99,"230,921.00","199,480,011.00"
63,63,2021-04-01,865.00,865.00,808.00,812.00,-1.46,"79,932.00","65,633,226.00"
64,64,2021-03-31,825.00,846.00,810.00,824.00,1.35,"90,373.00","74,730,184.00"
65,65,2021-03-30,775.00,816.00,775.00,813.00,6.00,"145,632.00","116,005,309.00"
66,66,2021-03-29,788.00,788.00,760.00,767.00,-0.78,"19,018.00","14,567,136.00"
67,67,2021-03-25,778.00,789.00,766.00,773.00,1.18,"63,812.00","49,497,839.00"
68,68,2021-03-24,747.00,774.00,747.00,764.00,1.46,"63,460.00","47,982,052.00"
69,69,2021-03-23,759.00,759.00,740.00,753.00,0.80,"14,089.00","10,558,459.00"
70,70,2021-03-22,760.00,775.00,741.00,747.00,-2.23,"43,403.00","32,700,441.00"
71,71,2021-03-21,744.00,765.00,726.00,764.00,4.66,"32,064.00","24,087,414.00"
72,72,2021-03-18,700.00,740.00,700.00,730.00,0.97,"21,654.00","15,816,189.00"
73,73,2021-03-17,727.00,727.00,699.00,723.00,1.12,"14,058.00","10,034,450.00"
74,74,2021-03-16,710.00,719.00,703.00,715.00,1.42,"26,291.00","18,665,964.00"
75,75,2021-03-15,701.00,739.00,700.00,705.00,-0.98,"41,845.00","29,760,083.00"
76,76,2021-03-14,746.00,746.00,707.00,712.00,-2.73,"28,148.00","20,218,263.00"
77,77,2021-03-10,734.00,741.00,729.00,732.00,-0.54,"16,483.00","12,119,849.00"
78,78,2021-03-09,747.00,747.00,732.00,736.00,-1.21,"26,175.00","19,239,850.00"
79,79,2021-03-07,764.00,765.00,735.00,745.00,-1.59,"16,490.00","12,331,275.00"
