,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,210.00","1,210.00","1,154.00","1,163.00",-1.44,"104,430.00","122,903,208.00"
2,2,2021-06-30,"1,199.00","1,208.00","1,128.00","1,180.00",3.33,"257,282.00","304,258,192.00"
3,3,2021-06-29,"1,177.00","1,294.00","1,139.00","1,142.00",-2.97,"203,646.00","239,968,360.00"
4,4,2021-06-28,"1,170.00","1,226.00","1,170.00","1,177.00",1.12,"435,865.00","522,484,359.00"
5,5,2021-06-27,"1,195.00","1,195.00","1,137.00","1,164.00",-2.10,"197,248.00","228,098,553.00"
6,6,2021-06-24,"1,250.00","1,250.00","1,176.00","1,189.00",-4.19,"290,880.00","352,398,046.00"
7,7,2021-06-23,"1,175.00","1,254.00","1,129.00","1,241.00",6.16,"355,674.00","420,048,735.00"
8,8,2021-06-22,"1,110.00","1,169.00","1,069.00","1,169.00",5.32,"151,212.00","169,744,546.00"
9,9,2021-06-21,"1,120.00","1,145.00","1,095.00","1,110.00",-0.45,"185,901.00","207,071,508.00"
10,10,2021-06-20,"1,150.00","1,166.00","1,097.00","1,115.00",-0.18,"379,760.00","430,255,770.00"
11,11,2021-06-17,"1,126.00","1,153.00","1,085.00","1,117.00",-0.80,"244,851.00","273,929,531.00"
12,12,2021-06-16,"1,200.00","1,223.00","1,100.00","1,126.00",-6.17,"165,242.00","188,252,048.00"
13,13,2021-06-15,"1,201.00","1,249.00","1,157.00","1,200.00",4.90,"233,680.00","280,758,828.00"
14,14,2021-06-14,"1,092.00","1,144.00","1,050.00","1,144.00",10.00,"289,260.00","319,562,437.00"
15,15,2021-06-13,"1,100.00","1,122.00","1,005.00","1,040.00",-4.15,"284,491.00","296,735,058.00"
16,16,2021-06-10,"1,056.00","1,105.00","1,041.00","1,085.00",7.85,"360,801.00","389,679,568.00"
17,17,2021-06-09,950.00,"1,006.00",925.00,"1,006.00",9.95,"520,276.00","510,671,152.00"
18,18,2021-06-08,856.00,922.00,842.00,915.00,9.06,"254,531.00","225,677,241.00"
19,19,2021-06-07,840.00,856.00,830.00,839.00,1.08,"32,542.00","27,300,034.00"
20,20,2021-06-06,850.00,850.00,829.00,830.00,-1.19,"46,543.00","38,819,458.00"
21,21,2021-06-03,814.00,868.00,814.00,840.00,-1.64,"51,605.00","43,894,311.00"
22,22,2021-06-02,845.00,854.00,840.00,854.00,1.07,"38,579.00","32,740,807.00"
23,23,2021-06-01,842.00,853.00,825.00,845.00,0.00,"44,284.00","37,090,190.00"
24,24,2021-05-31,880.00,884.00,840.00,845.00,-1.74,"120,305.00","104,265,454.00"
25,25,2021-05-30,853.00,872.00,840.00,860.00,2.75,"207,207.00","177,950,298.00"
26,26,2021-05-27,830.00,860.00,813.00,837.00,-0.36,"81,089.00","67,978,401.00"
27,27,2021-05-25,835.00,846.00,826.00,840.00,2.19,"96,187.00","80,519,560.00"
28,28,2021-05-24,820.00,834.00,816.00,822.00,1.11,"66,357.00","54,850,110.00"
29,29,2021-05-23,859.00,859.00,805.00,813.00,-0.73,"43,266.00","35,264,692.00"
30,30,2021-05-20,820.00,838.00,816.00,819.00,-0.61,"18,061.00","14,855,494.00"
31,31,2021-05-19,846.00,846.00,820.00,824.00,-1.32,"49,541.00","41,339,503.00"
32,32,2021-05-18,823.00,835.00,823.00,835.00,1.46,"54,217.00","45,022,086.00"
33,33,2021-05-17,842.00,845.00,810.00,823.00,-0.36,"66,897.00","55,257,941.00"
34,34,2021-05-16,807.00,826.00,800.00,826.00,3.90,"83,548.00","68,392,049.00"
35,35,2021-05-13,799.00,803.00,785.00,795.00,0.89,"42,010.00","33,336,998.00"
36,36,2021-05-12,800.00,800.00,787.00,788.00,-0.51,"11,756.00","9,286,686.00"
37,37,2021-05-11,791.00,803.00,788.00,792.00,1.02,"24,362.00","19,319,927.00"
