,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,675.00","1,675.00","1,646.00","1,650.00",0.36,"185,698.00","307,249,513.00"
2,2,2021-06-30,"1,658.00","1,660.00","1,625.00","1,644.00",-0.24,"42,150.00","69,049,463.00"
3,3,2021-06-29,"1,687.00","1,687.00","1,645.00","1,648.00",-0.60,"27,816.00","45,989,744.00"
4,4,2021-06-28,"1,678.00","1,689.00","1,647.00","1,658.00",-0.60,"36,665.00","60,937,156.00"
5,5,2021-06-27,"1,692.00","1,692.00","1,630.00","1,668.00",3.47,"72,399.00","120,375,893.00"
6,6,2021-06-24,"1,619.00","1,625.00","1,600.00","1,612.00",-0.43,"36,817.00","59,258,202.00"
7,7,2021-06-23,"1,650.00","1,650.00","1,610.00","1,619.00",-1.34,"34,843.00","56,548,381.00"
8,8,2021-06-22,"1,630.00","1,661.00","1,601.00","1,641.00",1.61,"37,863.00","61,674,941.00"
9,9,2021-06-21,"1,670.00","1,680.00","1,607.00","1,615.00",-2.00,"55,325.00","89,792,703.00"
10,10,2021-06-20,"1,630.00","1,730.00","1,630.00","1,648.00",-1.20,"52,021.00","86,530,690.00"
11,11,2021-06-17,"1,640.00","1,725.00","1,640.00","1,668.00",-0.66,"39,536.00","66,128,324.00"
12,12,2021-06-16,"1,690.00","1,705.00","1,665.00","1,679.00",-0.65,"40,056.00","67,254,299.00"
13,13,2021-06-15,"1,695.00","1,719.00","1,682.00","1,690.00",-0.18,"35,970.00","60,923,692.00"
14,14,2021-06-14,"1,700.00","1,710.00","1,687.00","1,693.00",0.06,"45,479.00","77,170,196.00"
15,15,2021-06-13,"1,737.00","1,737.00","1,690.00","1,692.00",-0.65,"51,887.00","88,187,895.00"
16,16,2021-06-10,"1,719.00","1,750.00","1,700.00","1,703.00",-0.82,"35,946.00","61,533,275.00"
17,17,2021-06-09,"1,725.00","1,785.00","1,710.00","1,717.00",0.00,"107,299.00","187,036,266.00"
18,18,2021-06-08,"1,680.00","1,732.00","1,670.00","1,717.00",2.75,"65,514.00","111,115,830.00"
