,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,388.00","1,388.00","1,286.00","1,290.00",-2.42,"96,732.00","126,026,076.00"
2,2,2021-06-30,"1,254.00","1,344.00","1,253.00","1,322.00",3.61,"165,923.00","216,994,802.00"
3,3,2021-06-29,"1,306.00","1,318.00","1,275.00","1,276.00",-2.82,"39,907.00","51,530,399.00"
4,4,2021-06-28,"1,344.00","1,344.00","1,305.00","1,313.00",-0.76,"29,108.00","38,237,337.00"
5,5,2021-06-27,"1,327.00","1,334.00","1,315.00","1,323.00",-0.75,"31,558.00","41,716,494.00"
6,6,2021-06-24,"1,320.00","1,347.00","1,310.00","1,333.00",0.98,"99,864.00","132,908,958.00"
7,7,2021-06-23,"1,272.00","1,356.00","1,272.00","1,320.00",-1.35,"63,622.00","84,006,538.00"
8,8,2021-06-22,"1,320.00","1,350.00","1,301.00","1,338.00",1.59,"82,564.00","110,049,806.00"
9,9,2021-06-21,"1,380.00","1,387.00","1,307.00","1,317.00",-3.16,"126,967.00","170,112,654.00"
10,10,2021-06-20,"1,400.00","1,400.00","1,338.00","1,360.00",0.00,"204,740.00","280,292,618.00"
11,11,2021-06-17,"1,326.00","1,372.00","1,294.00","1,360.00",4.62,"177,025.00","238,189,847.00"
12,12,2021-06-16,"1,300.00","1,325.00","1,280.00","1,300.00",-1.29,"79,868.00","104,100,100.00"
13,13,2021-06-15,"1,371.00","1,390.00","1,315.00","1,317.00",-2.08,"61,051.00","81,351,853.00"
14,14,2021-06-14,"1,325.00","1,372.00","1,299.00","1,345.00",2.67,"90,783.00","120,746,728.00"
15,15,2021-06-13,"1,292.00","1,345.00","1,283.00","1,310.00",-0.61,"83,853.00","109,906,562.00"
16,16,2021-06-10,"1,370.00","1,370.00","1,316.00","1,318.00",-2.44,"96,543.00","128,467,573.00"
17,17,2021-06-09,"1,380.00","1,422.00","1,351.00","1,351.00",-1.24,"128,863.00","178,166,502.00"
18,18,2021-06-08,"1,360.00","1,368.00","1,305.00","1,368.00",2.32,"165,304.00","223,112,713.00"
19,19,2021-06-07,"1,300.00","1,348.00","1,285.00","1,337.00",3.72,"209,016.00","274,557,018.00"
20,20,2021-06-06,"1,250.00","1,310.00","1,224.00","1,289.00",5.31,"239,755.00","306,009,956.00"
21,21,2021-06-03,"1,210.00","1,238.00","1,197.00","1,224.00",2.86,"159,195.00","192,925,835.00"
22,22,2021-06-02,"1,200.00","1,200.00","1,165.00","1,190.00",0.51,"39,275.00","46,536,679.00"
23,23,2021-06-01,"1,210.00","1,220.00","1,168.00","1,184.00",-0.75,"77,916.00","92,811,934.00"
24,24,2021-05-31,"1,242.00","1,258.00","1,189.00","1,193.00",-3.24,"65,150.00","79,523,197.00"
25,25,2021-05-30,"1,210.00","1,250.00","1,205.00","1,233.00",2.92,"134,745.00","165,576,282.00"
26,26,2021-05-27,"1,189.00","1,200.00","1,150.00","1,198.00",0.76,"68,919.00","81,852,622.00"
27,27,2021-05-25,"1,200.00","1,210.00","1,180.00","1,189.00",-0.34,"53,755.00","64,344,490.00"
28,28,2021-05-24,"1,183.00","1,203.00","1,176.00","1,193.00",1.36,"57,948.00","68,953,270.00"
29,29,2021-05-23,"1,153.00","1,180.00","1,150.00","1,177.00",0.34,"24,510.00","28,720,775.00"
30,30,2021-05-20,"1,190.00","1,195.00","1,171.00","1,173.00",-0.59,"34,152.00","40,264,572.00"
31,31,2021-05-19,"1,220.00","1,220.00","1,175.00","1,180.00",-1.34,"52,854.00","62,918,483.00"
32,32,2021-05-18,"1,257.00","1,257.00","1,185.00","1,196.00",-0.17,"59,273.00","70,746,022.00"
33,33,2021-05-17,"1,154.00","1,260.00","1,154.00","1,198.00",-0.58,"63,334.00","77,177,745.00"
34,34,2021-05-16,"1,170.00","1,211.00","1,163.00","1,205.00",4.78,"120,728.00","143,825,372.00"
35,35,2021-05-13,"1,150.00","1,150.00","1,137.00","1,150.00",0.61,"30,481.00","34,941,058.00"
36,36,2021-05-12,"1,160.00","1,169.00","1,138.00","1,143.00",-1.04,"13,890.00","15,948,108.00"
37,37,2021-05-11,"1,165.00","1,165.00","1,150.00","1,155.00",0.52,"34,529.00","39,930,616.00"
38,38,2021-05-10,"1,142.00","1,160.00","1,142.00","1,149.00",0.61,"20,330.00","23,401,086.00"
39,39,2021-05-09,"1,134.00","1,165.00","1,124.00","1,142.00",0.88,"42,744.00","49,017,083.00"
40,40,2021-05-06,"1,150.00","1,158.00","1,130.00","1,132.00",-1.22,"22,334.00","25,434,128.00"
41,41,2021-05-05,"1,079.00","1,166.00","1,079.00","1,146.00",0.97,"21,604.00","24,819,297.00"
42,42,2021-05-04,"1,150.00","1,152.00","1,134.00","1,135.00",-1.73,"14,933.00","17,009,009.00"
43,43,2021-05-03,"1,181.00","1,182.00","1,140.00","1,155.00",-0.35,"25,408.00","29,285,785.00"
44,44,2021-05-02,"1,095.00","1,159.00","1,095.00","1,159.00",3.85,"27,848.00","31,733,283.00"
45,45,2021-04-29,"1,107.00","1,125.00","1,098.00","1,116.00",0.81,"28,572.00","31,684,204.00"
46,46,2021-04-28,"1,090.00","1,128.00","1,090.00","1,107.00",-0.27,"15,035.00","16,720,500.00"
47,47,2021-04-27,"1,082.00","1,122.00","1,062.00","1,110.00",4.62,"14,988.00","16,338,457.00"
48,48,2021-04-26,"1,080.00","1,120.00","1,060.00","1,061.00",-3.46,"33,503.00","35,977,586.00"
49,49,2021-04-25,"1,148.00","1,148.00","1,095.00","1,099.00",-4.52,"42,351.00","46,771,152.00"
50,50,2021-04-22,"1,114.00","1,151.00","1,100.00","1,151.00",2.40,"31,997.00","35,841,063.00"
51,51,2021-04-21,"1,139.00","1,139.00","1,110.00","1,124.00",-1.58,"31,251.00","34,983,981.00"
52,52,2021-04-20,"1,115.00","1,150.00","1,101.00","1,142.00",2.42,"35,285.00","39,920,240.00"
53,53,2021-04-19,"1,120.00","1,146.00","1,114.00","1,115.00",-1.85,"19,247.00","21,735,984.00"
54,54,2021-04-18,"1,176.00","1,180.00","1,135.00","1,136.00",-2.82,"19,817.00","22,789,160.00"
55,55,2021-04-15,"1,160.00","1,183.00","1,153.00","1,169.00",0.52,"26,074.00","30,557,975.00"
56,56,2021-04-13,"1,189.00","1,189.00","1,153.00","1,163.00",-1.02,"47,834.00","55,727,123.00"
57,57,2021-04-12,"1,150.00","1,188.00","1,150.00","1,175.00",3.07,"54,163.00","63,491,995.00"
58,58,2021-04-08,"1,111.00","1,181.00","1,111.00","1,140.00",-0.26,"53,303.00","61,062,814.00"
59,59,2021-04-07,"1,180.00","1,180.00","1,143.00","1,143.00",-2.64,"48,986.00","56,756,396.00"
60,60,2021-04-06,"1,256.00","1,256.00","1,168.00","1,174.00",-1.92,"65,290.00","76,943,050.00"
61,61,2021-04-05,"1,265.00","1,272.00","1,195.00","1,197.00",-1.24,"112,436.00","136,911,320.00"
62,62,2021-04-04,"1,130.00","1,241.00","1,130.00","1,212.00",5.39,"179,379.00","216,377,203.00"
63,63,2021-04-01,"1,200.00","1,200.00","1,142.00","1,150.00",-0.35,"67,496.00","78,340,580.00"
64,64,2021-03-31,"1,198.00","1,198.00","1,150.00","1,154.00",1.14,"45,447.00","52,675,044.00"
65,65,2021-03-30,"1,074.00","1,180.00","1,070.00","1,141.00",4.20,"297,150.00","331,650,703.00"
66,66,2021-03-29,"1,099.00","1,105.00","1,083.00","1,095.00",0.46,"15,299.00","16,649,437.00"
67,67,2021-03-25,"1,112.00","1,120.00","1,085.00","1,090.00",-0.09,"39,354.00","43,286,465.00"
68,68,2021-03-24,"1,100.00","1,110.00","1,091.00","1,091.00",0.09,"20,502.00","22,552,810.00"
69,69,2021-03-23,"1,080.00","1,106.00","1,061.00","1,090.00",0.93,"32,149.00","35,021,141.00"
70,70,2021-03-22,"1,110.00","1,110.00","1,075.00","1,080.00",-0.83,"53,360.00","58,285,962.00"
71,71,2021-03-21,"1,070.00","1,117.00","1,040.00","1,089.00",2.64,"25,684.00","27,911,635.00"
72,72,2021-03-18,"1,040.00","1,076.00","1,040.00","1,061.00",2.12,"11,666.00","12,402,330.00"
73,73,2021-03-17,"1,025.00","1,043.00","1,011.00","1,039.00",2.87,"13,233.00","13,620,589.00"
74,74,2021-03-16,"1,001.00","1,047.00",995.00,"1,010.00",-0.49,"29,336.00","29,832,237.00"
75,75,2021-03-15,"1,039.00","1,060.00","1,011.00","1,015.00",-1.55,"19,738.00","20,292,793.00"
76,76,2021-03-14,"1,072.00","1,081.00","1,030.00","1,031.00",-4.63,"16,806.00","17,646,478.00"
77,77,2021-03-10,"1,031.00","1,105.00","1,031.00","1,081.00",-0.37,"22,242.00","24,365,333.00"
78,78,2021-03-09,"1,100.00","1,109.00","1,076.00","1,085.00",-2.08,"29,066.00","31,531,731.00"
79,79,2021-03-07,"1,066.00","1,145.00","1,066.00","1,108.00",-1.25,"24,512.00","27,324,336.00"
80,80,2021-03-04,"1,124.00","1,138.00","1,102.00","1,122.00",1.81,"52,028.00","58,197,712.00"
81,81,2021-03-03,"1,098.00","1,129.00","1,079.00","1,102.00",-1.61,"85,546.00","93,359,898.00"
82,82,2021-03-02,"1,147.00","1,158.00","1,096.00","1,120.00",-3.28,"31,049.00","34,926,411.00"
83,83,2021-03-01,"1,122.00","1,161.00","1,106.00","1,158.00",3.30,"46,851.00","53,475,527.00"
84,84,2021-02-28,"1,100.00","1,170.00","1,089.00","1,121.00",0.99,"79,759.00","89,684,361.00"
