,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,180.00","1,223.00","1,180.00","1,205.00",0.84,"6,958.00","8,421,018.00"
2,2,2021-06-30,"1,190.00","1,200.00","1,180.00","1,195.00",-0.42,"13,536.00","16,099,784.00"
3,3,2021-06-29,"1,220.00","1,240.00","1,200.00","1,200.00",-1.80,"7,817.00","9,456,662.00"
4,4,2021-06-28,"1,244.00","1,244.00","1,220.00","1,222.00",0.16,"3,695.00","4,527,172.00"
5,5,2021-06-27,"1,236.00","1,236.00","1,207.00","1,220.00",0.66,"11,191.00","13,645,454.00"
6,6,2021-06-24,"1,201.00","1,245.00","1,201.00","1,212.00",-0.74,"20,552.00","24,919,033.00"
7,7,2021-06-23,"1,270.00","1,270.00","1,219.00","1,221.00",-3.40,"23,139.00","28,491,324.00"
8,8,2021-06-22,"1,241.00","1,275.00","1,225.00","1,264.00",2.43,"11,540.00","14,465,809.00"
9,9,2021-06-21,"1,325.00","1,325.00","1,229.00","1,234.00",-3.44,"20,817.00","25,904,251.00"
10,10,2021-06-20,"1,290.00","1,320.00","1,262.00","1,278.00",-0.70,"35,543.00","45,706,888.00"
11,11,2021-06-17,"1,320.00","1,330.00","1,285.00","1,287.00",-0.62,"17,978.00","23,282,871.00"
12,12,2021-06-16,"1,305.00","1,328.00","1,280.00","1,295.00",-1.07,"18,059.00","23,379,103.00"
13,13,2021-06-15,"1,320.00","1,345.00","1,308.00","1,309.00",-0.83,"37,136.00","49,383,910.00"
14,14,2021-06-14,"1,340.00","1,340.00","1,300.00","1,320.00",0.15,"23,395.00","30,757,146.00"
15,15,2021-06-13,"1,365.00","1,365.00","1,311.00","1,318.00",-1.72,"39,572.00","52,423,751.00"
16,16,2021-06-10,"1,346.00","1,360.00","1,324.00","1,341.00",1.59,"105,322.00","141,463,594.00"
17,17,2021-06-09,"1,370.00","1,370.00","1,305.00","1,320.00",1.15,"59,131.00","78,544,860.00"
18,18,2021-06-08,"1,290.00","1,315.00","1,262.00","1,305.00",2.35,"48,913.00","63,411,090.00"
19,19,2021-06-07,"1,280.00","1,280.00","1,260.00","1,275.00",0.47,"33,985.00","43,110,785.00"
20,20,2021-06-06,"1,347.00","1,347.00","1,256.00","1,269.00",-1.09,"31,053.00","39,282,780.00"
21,21,2021-06-03,"1,298.00","1,298.00","1,275.00","1,283.00",-0.54,"15,269.00","19,546,384.00"
22,22,2021-06-02,"1,267.00","1,299.00","1,260.00","1,290.00",1.82,"12,418.00","15,938,222.00"
23,23,2021-06-01,"1,265.00","1,280.00","1,263.00","1,267.00",-1.02,"15,912.00","20,193,868.00"
24,24,2021-05-31,"1,325.00","1,336.00","1,275.00","1,280.00",-2.29,"26,137.00","34,059,764.00"
25,25,2021-05-30,"1,300.00","1,330.00","1,300.00","1,310.00",1.24,"66,684.00","87,921,527.00"
26,26,2021-05-27,"1,275.00","1,300.00","1,270.00","1,294.00",0.47,"39,312.00","50,772,111.00"
27,27,2021-05-25,"1,281.00","1,301.00","1,270.00","1,288.00",0.55,"41,972.00","53,956,125.00"
28,28,2021-05-24,"1,280.00","1,299.00","1,278.00","1,281.00",-0.54,"17,412.00","22,419,838.00"
29,29,2021-05-23,"1,260.00","1,295.00","1,250.00","1,288.00",0.23,"13,904.00","17,785,781.00"
30,30,2021-05-20,"1,290.00","1,301.00","1,271.00","1,285.00",-0.39,"22,180.00","28,637,963.00"
31,31,2021-05-19,"1,303.00","1,309.00","1,282.00","1,290.00",-1.00,"33,084.00","42,828,576.00"
32,32,2021-05-18,"1,302.00","1,308.00","1,290.00","1,303.00",0.23,"34,039.00","44,290,960.00"
33,33,2021-05-17,"1,320.00","1,320.00","1,284.00","1,300.00",0.08,"38,955.00","50,475,182.00"
34,34,2021-05-16,"1,250.00","1,306.00","1,250.00","1,299.00",4.76,"73,810.00","94,906,639.00"
35,35,2021-05-13,"1,250.00","1,250.00","1,237.00","1,240.00",0.00,"14,811.00","18,409,704.00"
36,36,2021-05-12,"1,250.00","1,253.00","1,230.00","1,240.00",0.90,"8,586.00","10,645,235.00"
37,37,2021-05-11,"1,230.00","1,236.00","1,225.00","1,229.00",0.74,"6,121.00","7,534,498.00"
38,38,2021-05-10,"1,215.00","1,225.00","1,201.00","1,220.00",0.83,"6,007.00","7,333,050.00"
