,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,827.00,827.00,811.00,814.00,0.25,"18,313.00","14,959,117.00"
2,2,2021-06-30,806.00,819.00,800.00,812.00,0.25,"16,932.00","13,672,969.00"
3,3,2021-06-29,835.00,835.00,810.00,810.00,-2.06,"14,907.00","12,229,640.00"
4,4,2021-06-28,828.00,844.00,820.00,827.00,-0.12,"10,773.00","8,928,493.00"
5,5,2021-06-27,845.00,845.00,822.00,828.00,-0.24,"18,884.00","15,671,953.00"
6,6,2021-06-24,827.00,856.00,826.00,830.00,-1.19,"28,624.00","23,946,460.00"
7,7,2021-06-23,864.00,864.00,830.00,840.00,-2.78,"36,223.00","30,510,115.00"
8,8,2021-06-22,841.00,868.00,840.00,864.00,3.23,"29,442.00","25,142,462.00"
9,9,2021-06-21,893.00,893.00,833.00,837.00,-4.34,"42,857.00","36,473,245.00"
10,10,2021-06-20,925.00,930.00,870.00,875.00,-4.68,"80,577.00","71,560,365.00"
11,11,2021-06-17,920.00,936.00,891.00,918.00,0.33,"74,666.00","67,754,723.00"
12,12,2021-06-16,980.00,980.00,897.00,915.00,-4.89,"71,902.00","66,235,368.00"
13,13,2021-06-15,974.00,979.00,931.00,962.00,3.66,"218,807.00","209,534,893.00"
14,14,2021-06-14,894.00,928.00,879.00,928.00,4.50,"136,916.00","123,595,126.00"
15,15,2021-06-13,870.00,897.00,854.00,888.00,2.07,"70,705.00","61,247,316.00"
16,16,2021-06-10,885.00,903.00,864.00,870.00,-0.57,"89,663.00","79,102,512.00"
17,17,2021-06-09,875.00,918.00,865.00,875.00,0.92,"91,364.00","80,822,223.00"
18,18,2021-06-08,820.00,880.00,814.00,867.00,6.12,"84,651.00","71,665,693.00"
19,19,2021-06-07,813.00,830.00,813.00,817.00,0.25,"22,830.00","18,704,689.00"
20,20,2021-06-06,823.00,823.00,810.00,815.00,0.25,"39,558.00","32,160,860.00"
21,21,2021-06-03,828.00,828.00,812.00,813.00,-0.73,"26,733.00","21,876,403.00"
22,22,2021-06-02,812.00,822.00,804.00,819.00,-0.12,"48,801.00","39,870,434.00"
23,23,2021-06-01,825.00,840.00,809.00,820.00,-0.61,"22,836.00","18,671,105.00"
24,24,2021-05-31,840.00,860.00,818.00,825.00,-1.55,"53,013.00","44,667,630.00"
25,25,2021-05-30,835.00,850.00,829.00,838.00,2.20,"50,109.00","42,005,258.00"
26,26,2021-05-27,820.00,827.00,810.00,820.00,-0.12,"26,708.00","21,964,737.00"
27,27,2021-05-25,828.00,832.00,811.00,821.00,0.98,"46,313.00","38,212,797.00"
28,28,2021-05-24,820.00,824.00,809.00,813.00,-0.37,"25,894.00","21,064,377.00"
29,29,2021-05-23,797.00,828.00,797.00,816.00,0.49,"24,818.00","20,189,818.00"
30,30,2021-05-20,823.00,829.00,811.00,812.00,-1.46,"16,353.00","13,360,497.00"
31,31,2021-05-19,876.00,876.00,823.00,824.00,-1.32,"35,831.00","29,850,843.00"
32,32,2021-05-18,871.00,871.00,821.00,835.00,0.60,"41,533.00","34,671,590.00"
33,33,2021-05-17,850.00,866.00,825.00,830.00,-1.07,"43,398.00","36,264,309.00"
34,34,2021-05-16,789.00,845.00,789.00,839.00,7.56,"65,375.00","53,693,386.00"
35,35,2021-05-13,793.00,793.00,773.00,780.00,0.00,"14,678.00","11,445,383.00"
36,36,2021-05-12,796.00,797.00,775.00,780.00,-0.26,"19,580.00","15,286,354.00"
37,37,2021-05-11,724.00,797.00,724.00,782.00,2.62,"22,521.00","17,725,718.00"
38,38,2021-05-10,770.00,777.00,762.00,762.00,-0.65,"17,227.00","13,277,992.00"
39,39,2021-05-09,770.00,776.00,758.00,767.00,-0.65,"19,141.00","14,724,916.00"
40,40,2021-05-06,785.00,785.00,763.00,772.00,-1.15,"16,208.00","12,495,178.00"
41,41,2021-05-05,785.00,789.00,780.00,781.00,0.00,"14,442.00","11,316,517.00"
42,42,2021-05-04,785.00,797.00,780.00,781.00,-1.51,"14,802.00","11,674,324.00"
43,43,2021-05-03,802.00,810.00,789.00,793.00,0.13,"23,909.00","19,080,328.00"
44,44,2021-05-02,780.00,816.00,780.00,792.00,2.72,"39,919.00","31,825,942.00"
45,45,2021-04-29,830.00,841.00,825.00,833.00,0.97,"35,133.00","29,272,790.00"
46,46,2021-04-28,849.00,849.00,815.00,825.00,-0.96,"10,094.00","8,379,045.00"
47,47,2021-04-27,790.00,836.00,790.00,833.00,4.39,"24,966.00","20,386,690.00"
48,48,2021-04-26,825.00,831.00,797.00,798.00,-3.27,"38,070.00","30,824,032.00"
