,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,944.00,981.00,944.00,960.00,1.37,"17,508.00","16,900,446.00"
2,2,2021-06-30,943.00,964.00,941.00,947.00,-1.46,"21,973.00","20,890,148.00"
3,3,2021-06-29,989.00,989.00,948.00,961.00,-1.13,"16,949.00","16,256,660.00"
4,4,2021-06-28,996.00,996.00,970.00,972.00,-0.72,"13,707.00","13,409,130.00"
5,5,2021-06-27,989.00,989.00,968.00,979.00,0.82,"11,367.00","11,088,554.00"
6,6,2021-06-24,"1,010.00","1,010.00",963.00,971.00,-2.41,"27,285.00","26,689,143.00"
7,7,2021-06-23,"1,020.00","1,020.00",963.00,995.00,-0.50,"47,457.00","46,704,228.00"
8,8,2021-06-22,980.00,"1,018.00",961.00,"1,000.00",2.04,"47,584.00","47,321,260.00"
9,9,2021-06-21,"1,022.00","1,022.00",967.00,980.00,-3.64,"86,905.00","85,572,054.00"
10,10,2021-06-20,"1,060.00","1,071.00",992.00,"1,017.00",-2.96,"95,442.00","97,346,712.00"
11,11,2021-06-17,"1,050.00","1,085.00","1,029.00","1,048.00",-0.19,"63,797.00","67,115,871.00"
12,12,2021-06-16,"1,110.00","1,110.00","1,036.00","1,050.00",-4.72,"81,888.00","87,177,937.00"
13,13,2021-06-15,"1,100.00","1,162.00","1,100.00","1,102.00",-1.61,"103,955.00","116,748,398.00"
14,14,2021-06-14,"1,041.00","1,120.00","1,025.00","1,120.00",7.80,"175,369.00","187,855,579.00"
15,15,2021-06-13,"1,050.00","1,050.00",991.00,"1,039.00",-0.10,"137,681.00","140,507,084.00"
16,16,2021-06-10,"1,089.00","1,091.00","1,038.00","1,040.00",0.19,"140,224.00","148,415,992.00"
17,17,2021-06-09,994.00,"1,041.00",960.00,"1,038.00",9.61,"352,311.00","356,198,695.00"
18,18,2021-06-08,899.00,952.00,888.00,947.00,6.40,"107,055.00","99,049,384.00"
19,19,2021-06-07,845.00,905.00,845.00,890.00,0.23,"20,458.00","18,236,301.00"
20,20,2021-06-06,910.00,910.00,888.00,888.00,-1.11,"37,982.00","33,928,584.00"
21,21,2021-06-03,920.00,921.00,889.00,898.00,-0.11,"37,840.00","34,026,620.00"
22,22,2021-06-02,877.00,913.00,877.00,899.00,2.51,"45,017.00","40,481,939.00"
23,23,2021-06-01,866.00,891.00,865.00,877.00,-0.57,"17,889.00","15,633,895.00"
24,24,2021-05-31,914.00,914.00,881.00,882.00,-1.89,"31,603.00","28,486,925.00"
25,25,2021-05-30,902.00,920.00,890.00,899.00,1.58,"28,041.00","25,255,473.00"
26,26,2021-05-27,880.00,915.00,875.00,885.00,-1.78,"28,254.00","25,190,303.00"
27,27,2021-05-25,877.00,902.00,875.00,901.00,1.69,"31,614.00","28,330,138.00"
28,28,2021-05-24,892.00,898.00,883.00,886.00,-0.45,"21,208.00","18,794,076.00"
29,29,2021-05-23,871.00,900.00,869.00,890.00,0.45,"24,356.00","21,724,124.00"
30,30,2021-05-20,905.00,905.00,884.00,886.00,-1.66,"16,295.00","14,504,489.00"
31,31,2021-05-19,900.00,915.00,898.00,901.00,0.33,"45,356.00","40,969,111.00"
32,32,2021-05-18,885.00,900.00,880.00,898.00,2.05,"28,996.00","25,890,645.00"
33,33,2021-05-17,894.00,903.00,877.00,880.00,-1.01,"22,905.00","20,421,976.00"
34,34,2021-05-16,870.00,892.00,869.00,889.00,3.13,"34,799.00","30,822,744.00"
35,35,2021-05-13,860.00,868.00,855.00,862.00,0.12,"12,845.00","11,079,475.00"
36,36,2021-05-12,900.00,900.00,861.00,861.00,-1.03,"13,696.00","11,847,954.00"
37,37,2021-05-11,883.00,890.00,860.00,870.00,-0.68,"11,399.00","10,005,113.00"
38,38,2021-05-10,860.00,878.00,856.00,876.00,0.69,"14,664.00","12,754,123.00"
39,39,2021-05-09,884.00,885.00,868.00,870.00,-1.58,"24,532.00","21,465,589.00"
40,40,2021-05-06,970.00,987.00,963.00,972.00,0.21,"153,690.00","149,509,340.00"
41,41,2021-05-05,968.00,980.00,959.00,970.00,0.21,"25,487.00","24,693,897.00"
42,42,2021-05-04,980.00,980.00,962.00,968.00,-0.72,"24,214.00","23,455,772.00"
43,43,2021-05-03,"1,000.00","1,010.00",970.00,975.00,-1.32,"37,056.00","36,356,117.00"
44,44,2021-05-02,980.00,994.00,947.00,988.00,4.55,"57,632.00","56,388,166.00"
