,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"20,320.00","20,736.00","20,320.00","20,350.00",-0.73,659.00,"13,526,019.00"
2,2,2021-06-30,"20,700.00","20,700.00","20,250.00","20,500.00",-1.32,958.00,"19,528,184.00"
3,3,2021-06-29,"21,000.00","21,001.00","20,601.00","20,775.00",-2.00,550.00,"11,476,390.00"
4,4,2021-06-28,"21,220.00","21,450.00","21,025.00","21,200.00",0.00,771.00,"16,265,147.00"
5,5,2021-06-27,"21,700.00","21,700.00","21,057.00","21,200.00",-0.69,230.00,"4,900,320.00"
6,6,2021-06-24,"21,550.00","21,550.00","21,155.00","21,348.00",-1.01,645.00,"13,742,622.00"
7,7,2021-06-23,"22,195.00","22,399.00","21,250.00","21,565.00",-1.30,"1,618.00","34,789,589.00"
8,8,2021-06-22,"21,675.00","22,000.00","21,283.00","21,850.00",2.82,"1,147.00","24,811,895.00"
9,9,2021-06-21,"21,603.00","21,615.00","21,205.00","21,250.00",-2.96,"2,444.00","52,122,527.00"
10,10,2021-06-20,"22,714.00","22,714.00","21,465.00","21,899.00",-1.67,"1,533.00","33,358,102.00"
11,11,2021-06-17,"21,706.00","22,329.00","21,500.00","22,270.00",1.69,"1,671.00","36,589,973.00"
12,12,2021-06-16,"21,537.00","22,500.00","21,129.00","21,900.00",-3.40,"3,054.00","67,226,122.00"
13,13,2021-06-15,"22,750.00","23,000.00","22,600.00","22,670.00",1.00,"2,693.00","61,258,665.00"
14,14,2021-06-14,"22,200.00","22,750.00","22,200.00","22,445.00",1.56,"2,199.00","49,453,400.00"
15,15,2021-06-13,"22,000.00","22,725.00","22,000.00","22,100.00",-0.81,"1,956.00","43,452,905.00"
16,16,2021-06-10,"22,440.00","22,850.00","21,854.00","22,280.00",1.27,"1,557.00","34,544,167.00"
17,17,2021-06-09,"22,800.00","22,998.00","22,000.00","22,000.00",-2.83,"1,171.00","26,225,265.00"
18,18,2021-06-08,"22,401.00","22,640.00","22,140.00","22,640.00",1.25,"1,549.00","34,564,881.00"
19,19,2021-06-07,"22,611.00","22,633.00","22,099.00","22,360.00",-1.06,"1,397.00","31,208,728.00"
20,20,2021-06-06,"21,850.00","23,299.00","21,850.00","22,600.00",-1.74,"1,353.00","30,826,690.00"
21,21,2021-06-03,"23,899.00","24,370.00","23,000.00","23,000.00",-2.52,"1,679.00","39,306,569.00"
22,22,2021-06-02,"21,879.00","23,595.00","21,879.00","23,594.00",10.00,"3,541.00","82,291,638.00"
23,23,2021-06-01,"21,500.00","21,850.00","20,890.00","21,450.00",-0.23,"1,970.00","41,799,145.00"
24,24,2021-05-31,"23,000.00","23,256.00","21,455.00","21,500.00",-6.40,"2,974.00","65,709,886.00"
25,25,2021-05-30,"23,664.00","24,000.00","22,155.00","22,970.00",-0.99,"3,041.00","71,370,267.00"
26,26,2021-05-27,"20,999.00","23,648.00","20,999.00","23,200.00",7.91,"5,033.00","116,052,715.00"
27,27,2021-05-25,"20,798.00","21,928.00","20,035.00","21,499.00",5.18,"7,896.00","165,416,779.00"
28,28,2021-05-24,"19,660.00","20,988.00","19,560.00","20,440.00",4.29,"4,370.00","88,091,272.00"
29,29,2021-05-23,"20,000.00","20,000.00","19,208.00","19,600.00",-0.76,"1,830.00","35,895,710.00"
30,30,2021-05-20,"19,787.00","19,891.00","19,500.00","19,750.00",1.28,"1,637.00","32,157,345.00"
31,31,2021-05-19,"20,100.00","20,100.00","19,500.00","19,500.00",-1.27,"1,321.00","25,982,813.00"
32,32,2021-05-18,"19,671.00","20,063.00","19,671.00","19,750.00",-0.11,"1,606.00","31,868,794.00"
33,33,2021-05-17,"20,000.00","20,000.00","19,750.00","19,772.00",-1.07,"1,006.00","19,943,351.00"
34,34,2021-05-16,"18,950.00","20,100.00","18,950.00","19,985.00",0.20,"1,185.00","23,572,506.00"
35,35,2021-05-13,"19,945.00","20,343.00","19,945.00","19,945.00",-1.99,"1,259.00","25,174,000.00"
36,36,2021-05-12,"19,600.00","20,350.00","19,150.00","20,350.00",2.26,"3,184.00","63,521,202.00"
37,37,2021-05-11,"20,212.00","21,175.00","19,501.00","19,900.00",3.38,"5,305.00","108,592,303.00"
38,38,2021-05-10,"17,599.00","19,250.00","17,599.00","19,250.00",10.00,"4,385.00","82,732,568.00"
39,39,2021-05-09,"16,900.00","17,850.00","16,900.00","17,500.00",3.55,"1,480.00","25,727,360.00"
40,40,2021-05-06,"17,194.00","17,194.00","16,780.00","16,900.00",-0.01,645.00,"10,987,780.00"
41,41,2021-05-05,"16,963.00","17,190.00","16,901.00","16,901.00",-0.58,250.00,"4,251,645.00"
42,42,2021-05-04,"17,249.00","17,340.00","17,000.00","17,000.00",0.53,445.00,"7,628,340.00"
43,43,2021-05-03,"17,495.00","17,495.00","16,911.00","16,911.00",-1.68,325.00,"5,564,965.00"
44,44,2021-05-02,"17,198.00","17,340.00","16,920.00","17,200.00",1.84,495.00,"8,477,260.00"
45,45,2021-04-29,"17,299.00","17,299.00","16,885.00","16,890.00",-0.64,160.00,"2,713,010.00"
46,46,2021-04-28,"17,338.00","17,338.00","16,800.00","16,999.00",-0.01,260.00,"4,407,430.00"
47,47,2021-04-27,"16,753.00","17,000.00","16,660.00","17,000.00",3.50,960.00,"16,254,940.00"
48,48,2021-04-26,"16,700.00","17,300.00","16,406.00","16,425.00",-3.33,511.00,"8,559,390.00"
49,49,2021-04-25,"17,248.00","17,491.00","16,701.00","16,990.00",-3.47,"1,351.00","22,968,550.00"
50,50,2021-04-22,"17,126.00","18,102.00","17,105.00","17,600.00",1.72,923.00,"16,166,464.00"
51,51,2021-04-21,"17,301.00","17,740.00","17,250.00","17,303.00",-0.56,789.00,"13,673,316.00"
52,52,2021-04-20,"17,600.00","17,900.00","17,400.00","17,400.00",-1.81,"1,504.00","26,357,644.00"
53,53,2021-04-19,"17,836.00","18,000.00","17,621.00","17,721.00",-2.63,669.00,"11,896,970.00"
54,54,2021-04-18,"18,250.00","18,499.00","17,900.00","18,199.00",-0.28,908.00,"16,517,128.00"
55,55,2021-04-15,"18,300.00","18,730.00","18,001.00","18,250.00",1.33,"1,011.00","18,702,466.00"
56,56,2021-04-13,"18,005.00","18,449.00","17,900.00","18,010.00",-0.69,350.00,"6,325,070.00"
57,57,2021-04-12,"18,411.00","18,779.00","18,135.00","18,135.00",0.47,350.00,"6,405,100.00"
58,58,2021-04-08,"18,450.00","18,492.00","17,640.00","18,050.00",-2.43,885.00,"16,048,515.00"
59,59,2021-04-07,"18,500.00","19,145.00","18,301.00","18,500.00",0.53,"2,555.00","47,491,430.00"
60,60,2021-04-06,"18,700.00","18,700.00","18,402.00","18,402.00",-1.14,997.00,"18,448,045.00"
61,61,2021-04-05,"19,200.00","19,200.00","18,500.00","18,615.00",-1.19,619.00,"11,610,845.00"
62,62,2021-04-04,"18,920.00","19,320.00","18,490.00","18,840.00",1.56,"1,323.00","24,918,560.00"
63,63,2021-04-01,"18,887.00","19,275.00","18,550.00","18,550.00",0.11,795.00,"14,933,833.00"
64,64,2021-03-31,"18,600.00","18,885.00","18,400.00","18,530.00",-0.32,"1,049.00","19,453,943.00"
65,65,2021-03-30,"18,649.00","18,949.00","18,455.00","18,590.00",0.49,287.00,"5,344,518.00"
66,66,2021-03-29,"18,700.00","19,400.00","18,326.00","18,500.00",-1.07,"1,584.00","29,526,341.00"
67,67,2021-03-25,"19,368.00","19,756.00","18,490.00","18,700.00",-1.53,"3,029.00","58,020,646.00"
68,68,2021-03-24,"18,156.00","19,225.00","18,100.00","18,990.00",6.69,"3,939.00","73,950,386.00"
69,69,2021-03-23,"17,000.00","18,054.00","16,999.00","17,800.00",5.33,"3,327.00","57,800,239.00"
70,70,2021-03-22,"16,904.00","17,000.00","16,700.00","16,900.00",-0.02,"1,941.00","32,670,255.00"
71,71,2021-03-21,"16,299.00","16,950.00","16,299.00","16,904.00",5.75,"2,109.00","35,077,010.00"
72,72,2021-03-18,"16,214.00","16,245.00","15,690.00","15,985.00",0.38,652.00,"10,412,169.00"
73,73,2021-03-17,"15,999.00","15,999.00","15,699.00","15,925.00",1.43,604.00,"9,515,617.00"
74,74,2021-03-16,"16,500.00","16,500.00","15,226.00","15,700.00",-4.03,"1,827.00","28,749,495.00"
75,75,2021-03-15,"16,999.00","17,500.00","16,053.00","16,360.00",-1.86,"2,520.00","42,253,776.00"
76,76,2021-01-31,"17,000.00","17,300.00","16,600.00","16,670.00",-3.76,"1,814.00","30,541,580.00"
77,77,2021-01-28,"17,530.00","17,740.00","17,280.00","17,322.00",-1.24,"1,754.00","30,751,928.00"
78,78,2021-01-27,"17,442.00","17,618.00","17,100.00","17,540.00",2.57,"1,032.00","17,988,312.00"
79,79,2021-01-26,"18,258.00","18,619.00","17,100.00","17,100.00",-4.47,"1,439.00","25,127,840.00"
80,80,2021-01-25,"16,700.00","17,900.00","16,600.00","17,900.00",7.81,"4,769.00","83,335,703.00"
81,81,2021-01-24,"16,300.00","16,728.00","16,206.00","16,604.00",1.74,"3,148.00","51,834,681.00"
82,82,2021-01-21,"16,000.00","16,320.00","15,685.00","16,320.00",3.26,"3,507.00","56,270,120.00"
83,83,2021-01-20,"15,700.00","15,805.00","15,551.00","15,805.00",1.97,589.00,"9,244,294.00"
84,84,2021-01-19,"15,800.00","15,950.00","15,500.00","15,500.00",-2.45,595.00,"9,349,950.00"
85,85,2021-01-18,"16,320.00","16,320.00","15,770.00","15,890.00",-0.69,963.00,"15,342,965.00"
86,86,2021-01-17,"15,725.00","16,000.00","15,723.00","16,000.00",-0.25,752.00,"11,894,437.00"
87,87,2021-01-13,"15,505.00","16,098.00","15,505.00","16,040.00",2.17,"2,636.00","42,115,433.00"
88,88,2021-01-12,"14,999.00","15,750.00","14,792.00","15,700.00",5.42,"1,767.00","27,092,687.00"
89,89,2021-01-11,"14,800.00","14,900.00","14,711.00","14,893.00",1.31,789.00,"11,698,740.00"
90,90,2021-01-10,"14,700.00","14,850.00","14,560.00","14,700.00",0.88,364.00,"5,346,560.00"
91,91,2021-01-07,"14,600.00","14,750.00","14,530.00","14,572.00",-1.21,253.00,"3,705,344.00"
92,92,2021-01-06,"14,750.00","14,901.00","14,621.00","14,750.00",0.00,486.00,"7,193,570.00"
93,93,2021-01-05,"14,549.00","14,815.00","14,520.00","14,750.00",-0.63,495.00,"7,262,795.00"
94,94,2021-01-04,"15,299.00","15,600.00","14,600.00","14,844.00",-1.04,987.00,"14,799,209.00"
95,95,2021-01-03,"14,894.00","15,100.00","14,601.00","15,000.00",2.73,474.00,"7,072,049.00"
96,96,2020-12-31,"15,050.00","15,249.00","14,602.00","14,602.00",-2.90,645.00,"9,590,550.00"
97,97,2020-12-30,"14,100.00","15,100.00","14,100.00","15,038.00",6.46,"1,269.00","18,590,383.00"
98,98,2020-12-29,"14,382.00","14,407.00","14,125.00","14,125.00",0.18,255.00,"3,621,335.00"
99,99,2020-12-28,"14,196.00","14,208.00","14,100.00","14,100.00",1.22,261.00,"3,688,004.00"
