,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,716.00,745.00,716.00,730.00,2.10,"6,853.00","4,977,066.00"
2,2,2021-06-30,735.00,743.00,706.00,715.00,-1.79,"10,494.00","7,491,589.00"
3,3,2021-06-29,730.00,743.00,725.00,728.00,-1.36,"7,982.00","5,832,490.00"
4,4,2021-06-28,730.00,754.00,730.00,738.00,-0.27,"5,876.00","4,357,830.00"
5,5,2021-06-27,740.00,754.00,732.00,740.00,-0.13,"9,114.00","6,735,230.00"
6,6,2021-06-24,748.00,750.00,738.00,741.00,-2.11,"10,995.00","8,163,400.00"
7,7,2021-06-23,775.00,777.00,755.00,757.00,-2.20,"8,291.00","6,337,160.00"
8,8,2021-06-22,744.00,775.00,730.00,774.00,4.03,"10,237.00","7,798,340.00"
9,9,2021-06-21,770.00,775.00,734.00,744.00,-2.49,"17,405.00","13,090,405.00"
10,10,2021-06-20,788.00,795.00,755.00,763.00,-3.17,"17,324.00","13,410,693.00"
11,11,2021-06-17,791.00,807.00,778.00,788.00,-0.13,"17,512.00","13,818,520.00"
12,12,2021-06-16,800.00,810.00,784.00,789.00,-3.43,"30,587.00","24,300,930.00"
13,13,2021-06-15,823.00,845.00,816.00,817.00,-0.73,"25,697.00","21,181,008.00"
14,14,2021-06-14,821.00,835.00,816.00,823.00,0.24,"20,505.00","16,865,625.00"
15,15,2021-06-13,830.00,846.00,820.00,821.00,0.24,"35,884.00","29,623,364.00"
16,16,2021-06-10,840.00,840.00,815.00,819.00,-0.97,"20,415.00","16,801,481.00"
17,17,2021-06-09,850.00,880.00,816.00,827.00,-1.31,"50,253.00","42,714,962.00"
18,18,2021-06-08,789.00,855.00,789.00,838.00,6.35,"51,494.00","42,458,635.00"
19,19,2021-06-07,786.00,797.00,786.00,788.00,-0.13,"12,595.00","9,942,259.00"
20,20,2021-06-06,805.00,814.00,788.00,789.00,-1.00,"20,543.00","16,263,488.00"
21,21,2021-06-03,804.00,818.00,795.00,797.00,-1.12,"20,000.00","16,041,012.00"
22,22,2021-06-02,802.00,818.00,797.00,806.00,0.25,"13,896.00","11,197,490.00"
23,23,2021-06-01,815.00,825.00,798.00,804.00,-1.23,"22,433.00","18,177,324.00"
24,24,2021-05-31,815.00,840.00,810.00,814.00,0.25,"63,191.00","52,215,203.00"
25,25,2021-05-30,800.00,828.00,791.00,812.00,2.53,"54,790.00","44,483,914.00"
26,26,2021-05-27,788.00,800.00,784.00,792.00,-0.88,"19,939.00","15,801,219.00"
27,27,2021-05-25,830.00,830.00,783.00,799.00,0.76,"31,331.00","25,057,367.00"
28,28,2021-05-24,800.00,802.00,786.00,793.00,1.02,"21,015.00","16,683,903.00"
29,29,2021-05-23,790.00,790.00,776.00,785.00,-0.63,"19,443.00","15,247,925.00"
30,30,2021-05-20,845.00,845.00,788.00,790.00,-1.86,"15,369.00","12,190,665.00"
31,31,2021-05-19,787.00,830.00,780.00,805.00,2.29,"49,319.00","39,776,083.00"
32,32,2021-05-18,781.00,796.00,780.00,787.00,-0.38,"33,072.00","26,023,130.00"
33,33,2021-05-17,815.00,816.00,787.00,790.00,-1.25,"18,212.00","14,461,113.00"
34,34,2021-05-16,768.00,809.00,768.00,800.00,2.17,"25,827.00","20,659,073.00"
35,35,2021-05-13,750.00,794.00,750.00,783.00,-0.76,"14,619.00","11,514,572.00"
