,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,990.00","2,015.00","1,950.00","1,985.00",-0.20,"24,585.00","48,913,898.00"
2,2,2021-06-30,"1,992.00","2,005.00","1,981.00","1,989.00",-0.75,"17,414.00","34,676,754.00"
3,3,2021-06-29,"2,039.00","2,039.00","2,001.00","2,004.00",-0.60,"18,232.00","36,645,109.00"
4,4,2021-06-28,"2,043.00","2,044.00","2,010.00","2,016.00",0.05,"15,524.00","31,392,674.00"
5,5,2021-06-27,"2,030.00","2,060.00","1,990.00","2,015.00",-0.20,"18,388.00","37,071,755.00"
6,6,2021-06-24,"2,062.00","2,080.00","2,011.00","2,019.00",-1.03,"27,300.00","55,206,852.00"
7,7,2021-06-23,"2,061.00","2,098.00","2,035.00","2,040.00",-1.83,"31,090.00","63,839,923.00"
8,8,2021-06-22,"2,021.00","2,120.00","2,020.00","2,078.00",2.97,"33,157.00","68,487,148.00"
9,9,2021-06-21,"2,090.00","2,092.00","2,014.00","2,018.00",-3.21,"50,320.00","102,877,914.00"
10,10,2021-06-20,"2,170.00","2,170.00","2,068.00","2,085.00",-2.07,"42,122.00","88,491,910.00"
11,11,2021-06-17,"2,161.00","2,161.00","2,129.00","2,129.00",-1.48,"39,950.00","85,543,862.00"
12,12,2021-06-16,"2,200.00","2,207.00","2,137.00","2,161.00",-1.73,"40,413.00","87,702,124.00"
13,13,2021-06-15,"2,250.00","2,250.00","2,190.00","2,199.00",-1.08,"39,207.00","86,885,824.00"
14,14,2021-06-14,"2,300.00","2,300.00","2,205.00","2,223.00",1.05,"83,124.00","185,910,682.00"
15,15,2021-06-13,"2,114.00","2,255.00","2,114.00","2,200.00",4.07,"128,297.00","279,933,111.00"
16,16,2021-06-10,"2,230.00","2,230.00","2,109.00","2,114.00",-0.52,"26,919.00","57,056,825.00"
17,17,2021-06-09,"2,170.00","2,185.00","2,125.00","2,125.00",-0.93,"29,480.00","63,208,634.00"
18,18,2021-06-08,"2,168.00","2,168.00","2,115.00","2,145.00",0.89,"29,501.00","63,047,384.00"
19,19,2021-06-07,"2,100.00","2,145.00","2,088.00","2,126.00",0.76,"67,327.00","142,811,371.00"
20,20,2021-06-06,"2,261.00","2,261.00","2,110.00","2,110.00",-2.04,"35,966.00","76,350,273.00"
21,21,2021-06-03,"2,160.00","2,200.00","2,150.00","2,154.00",0.28,"63,685.00","138,651,854.00"
22,22,2021-06-02,"2,100.00","2,152.00","2,030.00","2,148.00",6.39,"98,688.00","209,224,607.00"
23,23,2021-06-01,"2,050.00","2,050.00","2,006.00","2,019.00",-1.03,"41,556.00","84,067,562.00"
24,24,2021-05-31,"2,080.00","2,097.00","2,035.00","2,040.00",-1.45,"53,047.00","109,501,344.00"
25,25,2021-05-30,"2,110.00","2,125.00","2,070.00","2,070.00",-0.72,"46,163.00","96,354,973.00"
26,26,2021-05-27,"2,119.00","2,119.00","2,051.00","2,085.00",-1.60,"51,612.00","108,041,951.00"
27,27,2021-05-25,"2,124.00","2,140.00","2,108.00","2,119.00",-0.24,"27,487.00","58,453,069.00"
28,28,2021-05-24,"2,040.00","2,190.00","2,040.00","2,124.00",-0.47,"32,458.00","69,273,397.00"
29,29,2021-05-23,"2,100.00","2,150.00","2,080.00","2,134.00",-0.70,"35,065.00","74,698,596.00"
30,30,2021-05-20,"2,168.00","2,170.00","2,148.00","2,149.00",0.05,"34,188.00","73,591,735.00"
31,31,2021-05-19,"2,200.00","2,200.00","2,132.00","2,148.00",-2.32,"57,923.00","125,129,924.00"
32,32,2021-05-18,"2,250.00","2,250.00","2,160.00","2,199.00",-0.95,"49,183.00","108,292,529.00"
33,33,2021-05-17,"2,234.00","2,340.00","2,181.00","2,220.00",4.32,"141,558.00","317,935,003.00"
34,34,2021-05-16,"2,031.00","2,128.00","2,011.00","2,128.00",9.97,"112,745.00","237,503,814.00"
35,35,2021-05-13,"1,997.00","1,997.00","1,906.00","1,935.00",1.74,"30,959.00","59,945,325.00"
36,36,2021-05-12,"1,947.00","1,947.00","1,893.00","1,902.00",-0.42,"12,888.00","24,511,400.00"
37,37,2021-05-11,"1,880.00","1,943.00","1,880.00","1,910.00",1.33,"14,597.00","27,956,132.00"
38,38,2021-05-10,"1,840.00","1,890.00","1,840.00","1,885.00",1.34,"7,613.00","14,281,570.00"
39,39,2021-05-09,"1,871.00","1,890.00","1,840.00","1,860.00",-1.48,"11,868.00","22,220,207.00"
40,40,2021-05-06,"1,902.00","1,910.00","1,884.00","1,888.00",-1.20,"13,879.00","26,253,751.00"
41,41,2021-05-05,"1,890.00","1,929.00","1,890.00","1,911.00",-0.52,"9,076.00","17,426,325.00"
42,42,2021-05-04,"1,935.00","1,949.00","1,897.00","1,921.00",-0.62,"10,811.00","20,753,273.00"
43,43,2021-05-03,"1,980.00","1,999.00","1,909.00","1,933.00",-0.36,"26,008.00","50,727,504.00"
44,44,2021-05-02,"1,840.00","1,942.00","1,840.00","1,940.00",6.01,"30,493.00","57,868,946.00"
45,45,2021-04-29,"1,828.00","1,850.00","1,821.00","1,830.00",-0.11,"10,546.00","19,313,325.00"
46,46,2021-04-28,"1,820.00","1,858.00","1,791.00","1,832.00",0.71,"10,849.00","19,895,335.00"
47,47,2021-04-27,"1,755.00","1,820.00","1,755.00","1,819.00",3.65,"25,450.00","45,712,400.00"
48,48,2021-04-26,"1,766.00","1,790.00","1,745.00","1,755.00",-2.01,"34,502.00","60,978,283.00"
49,49,2021-04-25,"1,860.00","1,860.00","1,790.00","1,791.00",-2.82,"39,759.00","71,647,646.00"
50,50,2021-04-22,"1,848.00","1,850.00","1,815.00","1,843.00",-0.27,"20,662.00","37,927,943.00"
51,51,2021-04-21,"1,870.00","1,890.00","1,845.00","1,848.00",-1.60,"20,607.00","38,247,003.00"
52,52,2021-04-20,"1,885.00","1,900.00","1,856.00","1,878.00",-0.42,"19,879.00","37,387,671.00"
53,53,2021-04-19,"1,899.00","1,915.00","1,881.00","1,886.00",-0.79,"15,108.00","28,665,348.00"
54,54,2021-04-18,"1,939.00","1,940.00","1,899.00","1,901.00",-0.89,"18,021.00","34,399,811.00"
55,55,2021-04-15,"1,920.00","1,942.00","1,915.00","1,918.00",-0.10,"21,429.00","41,281,991.00"
56,56,2021-04-13,"1,939.00","1,950.00","1,920.00","1,920.00",-0.47,"14,475.00","27,903,792.00"
57,57,2021-04-12,"1,950.00","1,960.00","1,912.00","1,929.00",-0.21,"31,682.00","61,249,198.00"
58,58,2021-04-08,"1,831.00","1,978.00","1,831.00","1,933.00",0.31,"20,929.00","40,618,232.00"
59,59,2021-04-07,"1,990.00","1,996.00","1,920.00","1,927.00",-1.53,"23,736.00","46,117,497.00"
60,60,2021-04-06,"2,008.00","2,008.00","1,952.00","1,957.00",-0.61,"20,822.00","40,819,923.00"
61,61,2021-04-05,"1,999.00","1,999.00","1,961.00","1,969.00",-0.30,"20,698.00","40,823,172.00"
62,62,2021-04-04,"1,986.00","2,000.00","1,960.00","1,975.00",-0.25,"35,933.00","71,259,514.00"
63,63,2021-04-01,"2,083.00","2,083.00","1,955.00","1,980.00",-0.20,"29,645.00","58,609,608.00"
64,64,2021-03-31,"2,063.00","2,063.00","1,965.00","1,984.00",0.97,"26,107.00","51,640,270.00"
65,65,2021-03-30,"1,932.00","2,038.00","1,932.00","1,965.00",1.71,"32,338.00","63,805,135.00"
66,66,2021-03-29,"1,950.00","1,969.00","1,928.00","1,932.00",-0.82,"18,089.00","35,208,392.00"
67,67,2021-03-25,"1,960.00","2,024.00","1,944.00","1,948.00",-2.06,"28,237.00","55,704,949.00"
