,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,"1,094.00","1,095.00","1,069.00","1,075.00",0.09,"9,462.00","10,216,762.00"
2,2,2021-06-30,"1,074.00","1,094.00","1,044.00","1,074.00",1.99,"15,264.00","16,174,079.00"
3,3,2021-06-29,"1,095.00","1,095.00","1,053.00","1,053.00",-2.32,"10,825.00","11,576,753.00"
4,4,2021-06-28,"1,103.00","1,103.00","1,075.00","1,078.00",-0.37,"6,534.00","7,109,840.00"
5,5,2021-06-27,"1,101.00","1,105.00","1,078.00","1,082.00",-1.28,"6,327.00","6,875,767.00"
6,6,2021-06-24,"1,136.00","1,136.00","1,096.00","1,096.00",-1.62,"5,461.00","6,021,365.00"
7,7,2021-06-23,"1,120.00","1,125.00","1,099.00","1,114.00",-0.98,"7,690.00","8,513,743.00"
8,8,2021-06-22,"1,125.00","1,146.00","1,103.00","1,125.00",0.00,"18,834.00","21,070,983.00"
9,9,2021-06-21,"1,159.00","1,159.00","1,100.00","1,125.00",-3.02,"21,546.00","24,049,652.00"
10,10,2021-06-20,"1,183.00","1,183.00","1,123.00","1,160.00",0.00,"14,499.00","16,548,095.00"
11,11,2021-06-17,"1,200.00","1,200.00","1,157.00","1,160.00",0.43,"34,849.00","40,427,863.00"
12,12,2021-06-16,"1,167.00","1,200.00","1,140.00","1,155.00",-1.03,"22,806.00","26,287,680.00"
13,13,2021-06-15,"1,120.00","1,228.00","1,120.00","1,167.00",-0.77,"19,583.00","23,251,149.00"
14,14,2021-06-14,"1,180.00","1,185.00","1,163.00","1,176.00",-0.17,"20,779.00","24,405,947.00"
15,15,2021-06-13,"1,200.00","1,224.00","1,178.00","1,178.00",-0.17,"22,196.00","26,334,035.00"
16,16,2021-06-10,"1,210.00","1,211.00","1,175.00","1,180.00",-2.16,"24,583.00","29,151,238.00"
17,17,2021-06-09,"1,216.00","1,230.00","1,200.00","1,206.00",-0.08,"28,073.00","34,132,849.00"
18,18,2021-06-08,"1,168.00","1,216.00","1,152.00","1,207.00",3.43,"33,467.00","39,641,422.00"
