,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,707.00,722.00,700.00,713.00,0.99,"25,970.00","18,599,811.00"
2,2,2021-06-30,725.00,725.00,698.00,706.00,-0.70,"42,500.00","30,008,874.00"
3,3,2021-06-29,767.00,767.00,710.00,711.00,-2.74,"28,125.00","20,229,179.00"
4,4,2021-06-28,745.00,749.00,730.00,731.00,-0.95,"31,644.00","23,344,484.00"
5,5,2021-06-27,757.00,757.00,730.00,738.00,-0.67,"52,503.00","38,688,444.00"
6,6,2021-06-24,747.00,759.00,740.00,743.00,-2.24,"31,269.00","23,368,554.00"
7,7,2021-06-23,785.00,788.00,751.00,760.00,-2.94,"36,916.00","28,117,426.00"
8,8,2021-06-22,741.00,790.00,737.00,783.00,5.67,"48,846.00","37,232,880.00"
9,9,2021-06-21,767.00,780.00,740.00,741.00,-3.39,"69,436.00","52,229,720.00"
10,10,2021-06-20,805.00,807.00,756.00,767.00,-2.91,"79,098.00","61,488,519.00"
11,11,2021-06-17,800.00,816.00,785.00,790.00,-0.38,"60,168.00","47,848,928.00"
12,12,2021-06-16,784.00,821.00,784.00,793.00,-3.88,"115,357.00","92,292,180.00"
13,13,2021-06-15,833.00,855.00,822.00,825.00,-0.60,"153,901.00","129,226,084.00"
14,14,2021-06-14,815.00,838.00,813.00,830.00,1.59,"105,591.00","87,020,759.00"
15,15,2021-06-13,823.00,830.00,801.00,817.00,-0.73,"137,874.00","112,503,001.00"
16,16,2021-06-10,860.00,868.00,820.00,823.00,-3.18,"138,254.00","115,718,818.00"
17,17,2021-06-09,850.00,890.00,837.00,850.00,2.04,"171,192.00","146,972,390.00"
18,18,2021-06-08,800.00,844.00,765.00,833.00,7.35,"311,391.00","249,971,217.00"
19,19,2021-06-07,795.00,814.00,769.00,776.00,2.37,"130,215.00","102,130,070.00"
20,20,2021-06-06,780.00,786.00,750.00,758.00,-0.92,"56,929.00","43,236,489.00"
21,21,2021-06-03,732.00,793.00,732.00,765.00,-0.65,"67,634.00","52,550,779.00"
22,22,2021-06-02,761.00,782.00,761.00,770.00,0.52,"67,353.00","51,952,793.00"
23,23,2021-06-01,770.00,795.00,748.00,766.00,0.13,"100,463.00","77,147,721.00"
24,24,2021-05-31,790.00,810.00,755.00,765.00,-2.55,"149,525.00","117,697,721.00"
25,25,2021-05-30,800.00,800.00,776.00,785.00,-0.38,"164,733.00","129,885,699.00"
26,26,2021-05-27,790.00,800.00,760.00,788.00,-0.51,"98,184.00","77,289,523.00"
27,27,2021-05-25,765.00,810.00,745.00,792.00,5.18,"312,824.00","244,750,379.00"
28,28,2021-05-24,766.00,766.00,731.00,753.00,3.15,"188,479.00","140,390,811.00"
29,29,2021-05-23,733.00,740.00,716.00,730.00,-0.54,"80,582.00","58,758,357.00"
30,30,2021-05-20,760.00,760.00,730.00,734.00,-1.61,"85,755.00","63,194,071.00"
31,31,2021-05-19,721.00,749.00,721.00,746.00,3.47,"232,835.00","171,404,357.00"
32,32,2021-05-18,720.00,722.00,704.00,721.00,1.84,"70,126.00","50,005,924.00"
33,33,2021-05-17,720.00,734.00,708.00,708.00,-0.98,"55,593.00","39,771,869.00"
34,34,2021-05-16,690.00,719.00,690.00,715.00,3.92,"95,600.00","67,776,336.00"
35,35,2021-05-13,690.00,697.00,685.00,688.00,-0.29,"16,120.00","11,126,972.00"
36,36,2021-05-12,695.00,700.00,686.00,690.00,-0.72,"11,998.00","8,276,052.00"
37,37,2021-05-11,650.00,700.00,650.00,695.00,1.61,"28,352.00","19,748,110.00"
38,38,2021-05-10,681.00,696.00,671.00,684.00,0.44,"30,216.00","20,689,081.00"
39,39,2021-05-09,690.00,695.00,670.00,681.00,0.15,"43,553.00","29,868,381.00"
40,40,2021-05-06,697.00,701.00,680.00,680.00,-1.16,"20,025.00","13,685,394.00"
41,41,2021-05-05,687.00,695.00,687.00,688.00,-0.43,"12,196.00","8,425,377.00"
42,42,2021-05-04,688.00,696.00,685.00,691.00,-0.58,"14,335.00","9,878,592.00"
43,43,2021-05-03,707.00,718.00,685.00,695.00,-0.57,"47,078.00","32,920,339.00"
44,44,2021-05-02,694.00,706.00,690.00,699.00,1.90,"44,423.00","31,035,222.00"
45,45,2021-04-29,680.00,700.00,676.00,686.00,-0.44,"15,893.00","10,962,612.00"
46,46,2021-04-28,711.00,711.00,680.00,689.00,-3.09,"29,512.00","20,453,390.00"
47,47,2021-04-27,647.00,711.00,647.00,711.00,9.89,"40,622.00","27,311,132.00"
48,48,2021-04-26,656.00,674.00,640.00,647.00,-1.82,"42,008.00","27,477,428.00"
49,49,2021-04-25,700.00,700.00,640.00,659.00,-3.80,"55,843.00","36,893,582.00"
50,50,2021-04-22,695.00,695.00,677.00,685.00,0.00,"31,541.00","21,617,352.00"
51,51,2021-04-21,705.00,709.00,681.00,685.00,-1.72,"32,826.00","22,681,278.00"
52,52,2021-04-20,705.00,714.00,693.00,697.00,0.29,"26,094.00","18,252,364.00"
53,53,2021-04-19,714.00,714.00,695.00,695.00,-1.70,"37,984.00","26,645,832.00"
54,54,2021-04-18,729.00,729.00,706.00,707.00,-1.26,"34,697.00","24,736,656.00"
55,55,2021-04-15,730.00,731.00,715.00,716.00,-0.14,"41,184.00","29,609,068.00"
56,56,2021-04-13,738.00,741.00,716.00,717.00,-1.78,"45,610.00","33,043,277.00"
57,57,2021-04-12,712.00,743.00,710.00,730.00,3.11,"70,742.00","51,493,638.00"
58,58,2021-04-08,710.00,715.00,705.00,708.00,0.71,"34,777.00","24,648,351.00"
59,59,2021-04-07,725.00,726.00,703.00,703.00,-3.17,"67,782.00","48,250,953.00"
60,60,2021-04-06,738.00,749.00,724.00,726.00,-2.94,"111,589.00","81,719,752.00"
61,61,2021-04-05,759.00,798.00,735.00,748.00,-1.45,"162,464.00","123,476,663.00"
62,62,2021-04-04,720.00,770.00,719.00,759.00,7.05,"261,002.00","195,628,537.00"
63,63,2021-04-01,753.00,753.00,702.00,709.00,-1.25,"170,415.00","122,791,119.00"
64,64,2021-03-31,691.00,719.00,663.00,718.00,8.95,"172,516.00","120,342,728.00"
65,65,2021-03-30,649.00,665.00,626.00,659.00,3.29,"69,596.00","45,818,641.00"
66,66,2021-03-29,660.00,660.00,634.00,638.00,0.63,"17,539.00","11,194,753.00"
67,67,2021-03-25,656.00,656.00,632.00,634.00,-1.71,"46,524.00","29,763,503.00"
68,68,2021-03-24,654.00,654.00,640.00,645.00,0.31,"23,950.00","15,409,469.00"
69,69,2021-03-23,658.00,658.00,636.00,643.00,-1.08,"18,873.00","12,198,470.00"
70,70,2021-03-22,660.00,665.00,637.00,650.00,-1.07,"30,676.00","19,868,814.00"
71,71,2021-03-21,642.00,666.00,632.00,657.00,2.50,"50,811.00","33,294,696.00"
72,72,2021-03-18,638.00,646.00,634.00,641.00,0.63,"23,120.00","14,790,262.00"
73,73,2021-03-17,635.00,642.00,630.00,637.00,1.11,"12,270.00","7,782,213.00"
74,74,2021-03-16,645.00,645.00,627.00,630.00,-1.25,"19,291.00","12,255,563.00"
75,75,2021-03-15,625.00,657.00,623.00,638.00,0.63,"19,946.00","12,643,776.00"
76,76,2021-03-14,663.00,663.00,622.00,634.00,-2.46,"36,293.00","22,878,239.00"
77,77,2021-03-10,658.00,671.00,641.00,650.00,0.62,"21,092.00","13,701,383.00"
78,78,2021-03-09,689.00,689.00,646.00,646.00,-1.67,"34,239.00","22,351,789.00"
79,79,2021-03-07,676.00,681.00,655.00,657.00,-2.52,"59,541.00","39,876,694.00"
80,80,2021-03-04,656.00,682.00,652.00,674.00,4.50,"100,192.00","66,876,294.00"
81,81,2021-03-03,636.00,655.00,634.00,645.00,-0.31,"65,723.00","42,216,416.00"
82,82,2021-03-02,675.00,680.00,635.00,647.00,-2.27,"86,066.00","56,220,784.00"
83,83,2021-03-01,635.00,672.00,613.00,662.00,5.25,"101,407.00","66,120,250.00"
84,84,2021-02-28,640.00,650.00,618.00,629.00,-1.72,"97,648.00","61,789,725.00"
85,85,2021-02-25,650.00,654.00,636.00,640.00,-1.54,"36,425.00","23,348,051.00"
86,86,2021-02-24,650.00,677.00,642.00,650.00,1.25,"50,140.00","32,921,358.00"
87,87,2021-02-23,634.00,650.00,616.00,642.00,1.26,"45,123.00","28,415,753.00"
88,88,2021-02-22,679.00,679.00,628.00,634.00,-2.01,"47,892.00","30,337,713.00"
89,89,2021-02-21,655.00,660.00,642.00,647.00,-1.22,"39,332.00","25,465,159.00"
90,90,2021-02-18,690.00,690.00,655.00,655.00,-0.46,"49,963.00","32,921,306.00"
91,91,2021-02-17,658.00,664.00,651.00,658.00,-1.79,"50,573.00","33,177,815.00"
92,92,2021-02-16,683.00,685.00,661.00,670.00,-1.76,"50,831.00","34,199,917.00"
93,93,2021-02-15,669.00,694.00,669.00,682.00,3.96,"39,945.00","27,325,165.00"
94,94,2021-02-14,680.00,688.00,648.00,656.00,-1.94,"73,378.00","48,353,982.00"
95,95,2021-02-11,699.00,699.00,665.00,669.00,-2.48,"80,963.00","54,777,536.00"
96,96,2021-02-10,700.00,703.00,680.00,686.00,-1.86,"69,300.00","47,864,550.00"
97,97,2021-02-09,701.00,715.00,690.00,699.00,-1.83,"104,646.00","72,940,355.00"
98,98,2021-02-08,740.00,750.00,703.00,712.00,-2.06,"132,814.00","95,307,038.00"
99,99,2021-02-07,721.00,729.00,685.00,727.00,5.82,"160,419.00","113,083,524.00"
100,100,2021-02-04,674.00,700.00,661.00,687.00,1.93,"116,896.00","80,384,534.00"
101,101,2021-02-03,725.00,726.00,666.00,674.00,-2.74,"185,021.00","129,488,865.00"
102,102,2021-02-02,642.00,693.00,626.00,693.00,10.00,"202,420.00","134,482,845.00"
103,103,2021-02-01,637.00,650.00,630.00,630.00,0.32,"88,778.00","56,782,606.00"
104,104,2021-01-31,650.00,650.00,622.00,628.00,-2.64,"134,200.00","84,732,869.00"
105,105,2021-01-28,656.00,666.00,620.00,645.00,3.20,"216,973.00","141,277,865.00"
106,106,2021-01-27,600.00,641.00,589.00,625.00,5.40,"163,043.00","100,405,476.00"
107,107,2021-01-26,588.00,599.00,574.00,593.00,2.24,"141,489.00","83,289,601.00"
108,108,2021-01-25,609.00,614.00,570.00,580.00,-3.01,"187,396.00","109,489,383.00"
109,109,2021-01-24,639.00,639.00,588.00,598.00,-1.81,"117,691.00","71,755,777.00"
110,110,2021-01-21,550.00,609.00,550.00,609.00,9.93,"190,267.00","111,479,195.00"
111,111,2021-01-20,535.00,560.00,525.00,554.00,5.73,"252,861.00","138,016,510.00"
112,112,2021-01-19,535.00,540.00,515.00,524.00,-1.69,"65,907.00","34,684,463.00"
113,113,2021-01-18,515.00,540.00,515.00,533.00,1.72,"141,143.00","74,945,772.00"
114,114,2021-01-17,540.00,540.00,515.00,524.00,-1.13,"86,932.00","45,366,968.00"
115,115,2021-01-13,530.00,538.00,530.00,530.00,1.92,"82,576.00","43,984,815.00"
116,116,2021-01-12,523.00,533.00,510.00,520.00,1.36,"41,906.00","21,704,082.00"
117,117,2021-01-11,520.00,525.00,511.00,513.00,0.20,"34,562.00","17,815,673.00"
118,118,2021-01-10,519.00,526.00,507.00,512.00,-1.35,"54,121.00","27,863,905.00"
119,119,2021-01-07,550.00,550.00,517.00,519.00,-1.33,"115,584.00","61,211,276.00"
120,120,2021-01-06,511.00,540.00,501.00,526.00,4.37,"234,437.00","122,644,550.00"
121,121,2021-01-05,480.00,511.00,470.00,504.00,5.00,"237,612.00","117,752,439.00"
122,122,2021-01-04,465.00,485.00,462.00,480.00,4.35,"115,684.00","54,791,100.00"
123,123,2021-01-03,453.00,465.00,449.00,460.00,1.55,"39,930.00","18,280,923.00"
124,124,2020-12-31,452.00,460.00,451.00,453.00,-0.88,"15,367.00","6,980,532.00"
125,125,2020-12-30,450.00,467.00,450.00,457.00,-0.44,"17,916.00","8,180,325.00"
126,126,2020-12-29,457.00,470.00,450.00,459.00,0.44,"22,108.00","10,131,901.00"
127,127,2020-12-28,462.00,464.00,450.00,457.00,0.22,"11,136.00","5,069,212.00"
128,128,2020-12-27,463.00,465.00,455.00,456.00,-1.51,"20,960.00","9,589,554.00"
129,129,2020-12-24,489.00,489.00,458.00,463.00,-0.64,"14,524.00","6,695,397.00"
130,130,2020-12-23,485.00,487.00,466.00,466.00,-2.51,"23,386.00","11,068,426.00"
131,131,2020-12-22,461.00,478.00,457.00,478.00,5.75,"44,700.00","20,896,688.00"
132,132,2020-12-21,446.00,465.00,432.00,452.00,-0.66,"35,284.00","15,837,691.00"
133,133,2020-12-20,471.00,472.00,455.00,455.00,-3.40,"52,324.00","24,085,147.00"
134,134,2020-12-17,470.00,486.00,470.00,471.00,0.00,"60,316.00","28,909,373.00"
135,135,2020-12-16,480.00,484.00,470.00,471.00,-1.88,"17,146.00","8,155,415.00"
136,136,2020-12-15,487.00,495.00,480.00,480.00,0.42,"84,576.00","41,095,307.00"
137,137,2020-12-14,471.00,492.00,471.00,478.00,3.46,"99,824.00","48,227,637.00"
138,138,2020-12-13,464.00,465.00,456.00,462.00,0.00,"11,048.00","5,100,976.00"
139,139,2020-12-10,453.00,480.00,449.00,462.00,0.00,"30,554.00","14,086,783.00"
140,140,2020-12-09,478.00,478.00,457.00,462.00,-3.14,"32,688.00","15,120,708.00"
141,141,2020-12-08,495.00,495.00,470.00,477.00,-1.85,"26,987.00","12,925,879.00"
142,142,2020-12-07,448.00,486.00,445.00,486.00,8.48,"72,536.00","34,376,467.00"
143,143,2020-12-06,475.00,475.00,448.00,448.00,-6.67,"45,488.00","20,954,878.00"
144,144,2020-12-03,500.00,502.00,477.00,480.00,-2.83,"49,823.00","24,123,563.00"
145,145,2020-12-02,478.00,495.00,471.00,494.00,4.66,"90,897.00","44,174,810.00"
146,146,2020-12-01,505.00,505.00,472.00,472.00,-1.87,"35,463.00","16,922,840.00"
