,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"1,557.00","1,650.00","1,557.00","1,630.00",-0.49,"66,770.00","109,252,002.00"
2,2,2021-07-04,"1,658.00","1,660.00","1,635.00","1,638.00",-1.21,"53,912.00","88,656,982.00"
3,3,2021-07-01,"1,700.00","1,700.00","1,650.00","1,658.00",-0.72,"98,052.00","164,090,316.00"
4,4,2021-06-30,"1,660.00","1,672.00","1,624.00","1,670.00",1.21,"89,627.00","147,603,312.00"
5,5,2021-06-29,"1,740.00","1,740.00","1,622.00","1,650.00",-3.00,"99,732.00","165,399,607.00"
6,6,2021-06-28,"1,750.00","1,750.00","1,688.00","1,701.00",-0.99,"146,992.00","250,928,219.00"
7,7,2021-06-27,"1,680.00","1,719.00","1,630.00","1,718.00",2.94,"206,531.00","341,838,324.00"
8,8,2021-06-24,"1,740.00","1,740.00","1,668.00","1,669.00",-2.57,"224,579.00","378,395,217.00"
9,9,2021-06-23,"1,810.00","1,810.00","1,710.00","1,713.00",-3.66,"312,451.00","543,036,603.00"
10,10,2021-06-22,"1,840.00","1,876.00","1,745.00","1,778.00",1.43,"829,948.00","1,493,253,712.00"
11,11,2021-06-21,"1,877.00","1,877.00","1,740.00","1,753.00",-6.61,"725,945.00","1,306,115,614.00"
12,12,2021-06-20,"1,970.00","1,971.00","1,856.00","1,877.00",-2.04,"425,381.00","809,999,779.00"
13,13,2021-06-17,"1,860.00","1,926.00","1,846.00","1,916.00",3.12,"408,443.00","773,739,078.00"
14,14,2021-06-16,"1,892.00","1,925.00","1,849.00","1,858.00",-3.73,"324,649.00","609,012,326.00"
15,15,2021-06-15,"1,865.00","1,980.00","1,860.00","1,930.00",3.32,"395,407.00","763,097,221.00"
16,16,2021-06-14,"1,968.00","1,968.00","1,847.00","1,868.00",-0.37,"229,937.00","428,596,344.00"
17,17,2021-06-13,"1,910.00","1,931.00","1,864.00","1,875.00",-0.69,"284,635.00","537,535,830.00"
18,18,2021-06-10,"1,920.00","1,950.00","1,865.00","1,888.00",-1.67,"303,600.00","575,085,424.00"
19,19,2021-06-09,"1,977.00","1,999.00","1,889.00","1,920.00",-2.88,"320,526.00","618,038,393.00"
20,20,2021-06-08,"1,920.00","2,010.00","1,910.00","1,977.00",4.00,"543,928.00","1,066,464,721.00"
21,21,2021-06-07,"1,907.00","1,925.00","1,875.00","1,901.00",1.39,"328,345.00","621,729,043.00"
22,22,2021-06-06,"1,780.00","1,882.00","1,775.00","1,875.00",6.23,"656,845.00","1,211,456,946.00"
23,23,2021-06-03,"1,810.00","1,855.00","1,760.00","1,765.00",-1.40,"571,115.00","1,027,027,287.00"
24,24,2021-06-02,"1,674.00","1,792.00","1,666.00","1,790.00",9.75,"802,873.00","1,378,790,622.00"
25,25,2021-06-01,"1,559.00","1,654.00","1,555.00","1,631.00",4.62,"354,697.00","570,815,782.00"
26,26,2021-05-31,"1,650.00","1,650.00","1,559.00","1,559.00",-2.38,"205,802.00","327,245,011.00"
27,27,2021-05-30,"1,645.00","1,659.00","1,591.00","1,597.00",-1.72,"178,877.00","290,521,265.00"
28,28,2021-05-27,"1,575.00","1,643.00","1,575.00","1,625.00",-0.79,"187,760.00","305,185,774.00"
29,29,2021-05-25,"1,655.00","1,657.00","1,636.00","1,638.00",-1.03,"145,455.00","239,338,038.00"
30,30,2021-05-24,"1,679.00","1,693.00","1,646.00","1,655.00",-1.37,"169,811.00","282,099,902.00"
31,31,2021-05-23,"1,590.00","1,679.00","1,590.00","1,678.00",1.70,"252,545.00","418,644,743.00"
32,32,2021-05-20,"1,680.00","1,680.00","1,640.00","1,650.00",-0.36,"209,684.00","347,041,530.00"
33,33,2021-05-19,"1,710.00","1,710.00","1,650.00","1,656.00",-2.19,"332,674.00","556,918,101.00"
34,34,2021-05-18,"1,673.00","1,707.00","1,644.00","1,693.00",3.04,"405,740.00","679,299,755.00"
35,35,2021-05-17,"1,660.00","1,680.00","1,640.00","1,643.00",0.00,"398,308.00","660,181,687.00"
36,36,2021-05-16,"1,600.00","1,660.00","1,595.00","1,643.00",3.92,"521,788.00","852,003,761.00"
37,37,2021-05-13,"1,550.00","1,610.00","1,545.00","1,581.00",2.00,"310,610.00","490,475,530.00"
38,38,2021-05-12,"1,580.00","1,585.00","1,537.00","1,550.00",-1.15,"225,546.00","351,625,129.00"
39,39,2021-05-11,"1,500.00","1,604.00","1,481.00","1,568.00",4.81,"493,829.00","766,534,418.00"
40,40,2021-05-10,"1,355.00","1,500.00","1,355.00","1,496.00",4.91,"183,137.00","270,427,930.00"
41,41,2021-05-09,"1,450.00","1,452.00","1,420.00","1,426.00",-1.66,"64,514.00","92,683,882.00"
42,42,2021-05-06,"1,458.00","1,470.00","1,433.00","1,450.00",-0.55,"90,104.00","130,286,789.00"
43,43,2021-05-05,"1,520.00","1,520.00","1,451.00","1,458.00",-0.95,"76,258.00","111,693,192.00"
44,44,2021-05-04,"1,471.00","1,500.00","1,471.00","1,472.00",-1.34,"97,043.00","143,739,982.00"
45,45,2021-05-03,"1,515.00","1,537.00","1,483.00","1,492.00",-1.32,"196,890.00","297,439,985.00"
46,46,2021-05-02,"1,513.00","1,513.00","1,433.00","1,512.00",4.93,"270,904.00","403,228,050.00"
47,47,2021-04-29,"1,435.00","1,458.00","1,406.00","1,441.00",2.71,"102,648.00","147,199,401.00"
48,48,2021-04-28,"1,387.00","1,440.00","1,370.00","1,403.00",0.72,"88,253.00","124,688,162.00"
49,49,2021-04-27,"1,332.00","1,400.00","1,320.00","1,393.00",4.42,"106,027.00","145,161,397.00"
50,50,2021-04-26,"1,350.00","1,390.00","1,330.00","1,334.00",-2.41,"149,642.00","202,421,623.00"
51,51,2021-04-25,"1,400.00","1,400.00","1,350.00","1,367.00",-2.57,"126,902.00","173,910,364.00"
52,52,2021-04-22,"1,393.00","1,420.00","1,376.00","1,403.00",0.72,"78,101.00","109,362,916.00"
53,53,2021-04-21,"1,405.00","1,425.00","1,390.00","1,393.00",-1.00,"64,677.00","90,526,652.00"
54,54,2021-04-20,"1,402.00","1,420.00","1,396.00","1,407.00",0.00,"55,941.00","78,770,294.00"
55,55,2021-04-19,"1,401.00","1,440.00","1,401.00","1,407.00",-0.99,"54,300.00","76,708,045.00"
56,56,2021-04-18,"1,497.00","1,497.00","1,415.00","1,421.00",-0.35,"69,591.00","99,091,082.00"
57,57,2021-04-15,"1,430.00","1,453.00","1,424.00","1,426.00",-0.14,"76,116.00","109,160,006.00"
58,58,2021-04-13,"1,441.00","1,465.00","1,422.00","1,428.00",-0.76,"59,562.00","85,654,724.00"
59,59,2021-04-12,"1,448.00","1,460.00","1,421.00","1,439.00",-0.62,"87,882.00","126,832,180.00"
60,60,2021-04-08,"1,525.00","1,525.00","1,430.00","1,448.00",-0.62,"72,533.00","105,493,225.00"
61,61,2021-04-07,"1,481.00","1,503.00","1,456.00","1,457.00",-1.62,"68,072.00","100,448,562.00"
62,62,2021-04-06,"1,528.00","1,538.00","1,480.00","1,481.00",-1.92,"70,694.00","105,334,784.00"
