,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"1,374.00","1,374.00","1,316.00","1,360.00",1.49,"95,704.00","128,931,910.00"
2,2,2021-07-04,"1,320.00","1,356.00","1,308.00","1,340.00",2.29,"145,484.00","194,658,029.00"
3,3,2021-07-01,"1,280.00","1,315.00","1,280.00","1,310.00",3.89,"73,413.00","95,618,660.00"
4,4,2021-06-30,"1,270.00","1,283.00","1,252.00","1,261.00",-0.94,"30,176.00","38,101,240.00"
5,5,2021-06-29,"1,296.00","1,296.00","1,273.00","1,273.00",-1.77,"11,198.00","14,311,991.00"
6,6,2021-06-28,"1,353.00","1,353.00","1,280.00","1,296.00",0.54,"39,834.00","51,243,341.00"
7,7,2021-06-27,"1,312.00","1,312.00","1,286.00","1,289.00",-1.83,"22,277.00","28,846,597.00"
8,8,2021-06-24,"1,317.00","1,331.00","1,302.00","1,313.00",-0.30,"72,440.00","95,640,349.00"
9,9,2021-06-23,"1,290.00","1,325.00","1,271.00","1,317.00",0.08,"102,466.00","134,058,755.00"
10,10,2021-06-22,"1,300.00","1,325.00","1,266.00","1,316.00",1.70,"67,537.00","87,850,151.00"
11,11,2021-06-21,"1,272.00","1,295.00","1,250.00","1,294.00",1.73,"38,927.00","49,186,501.00"
12,12,2021-06-20,"1,300.00","1,300.00","1,266.00","1,272.00",-2.00,"54,919.00","70,045,867.00"
13,13,2021-06-17,"1,300.00","1,302.00","1,282.00","1,298.00",-0.15,"24,875.00","32,104,936.00"
14,14,2021-06-16,"1,310.00","1,335.00","1,281.00","1,300.00",-2.26,"42,148.00","55,093,100.00"
15,15,2021-06-15,"1,276.00","1,358.00","1,274.00","1,330.00",4.64,"134,293.00","176,930,721.00"
16,16,2021-06-14,"1,280.00","1,285.00","1,260.00","1,271.00",-0.70,"55,260.00","70,321,302.00"
17,17,2021-06-13,"1,299.00","1,299.00","1,277.00","1,280.00",-0.08,"38,301.00","49,082,769.00"
18,18,2021-06-10,"1,280.00","1,298.00","1,260.00","1,281.00",1.03,"53,569.00","68,456,553.00"
19,19,2021-06-09,"1,284.00","1,289.00","1,261.00","1,268.00",0.24,"44,753.00","56,937,912.00"
20,20,2021-06-08,"1,265.00","1,273.00","1,256.00","1,265.00",0.00,"47,424.00","60,006,455.00"
21,21,2021-06-07,"1,279.00","1,290.00","1,262.00","1,265.00",-0.94,"35,739.00","45,525,522.00"
22,22,2021-06-06,"1,300.00","1,300.00","1,252.00","1,277.00",0.08,"57,435.00","72,856,693.00"
23,23,2021-06-03,"1,302.00","1,328.00","1,275.00","1,276.00",-0.08,"90,914.00","117,319,854.00"
24,24,2021-06-02,"1,265.00","1,299.00","1,241.00","1,277.00",1.35,"104,517.00","132,940,768.00"
25,25,2021-06-01,"1,280.00","1,280.00","1,245.00","1,260.00",-1.64,"57,951.00","72,951,996.00"
26,26,2021-05-31,"1,300.00","1,309.00","1,280.00","1,281.00",-2.51,"77,944.00","100,673,687.00"
27,27,2021-05-30,"1,356.00","1,370.00","1,311.00","1,314.00",-3.10,"162,715.00","216,586,438.00"
28,28,2021-05-27,"1,370.00","1,370.00","1,348.00","1,356.00",-1.31,"45,804.00","62,129,142.00"
29,29,2021-05-25,"1,381.00","1,384.00","1,370.00","1,374.00",-1.51,"25,079.00","34,454,574.00"
30,30,2021-05-24,"1,371.00","1,395.00","1,371.00","1,395.00",0.36,"46,129.00","63,806,994.00"
31,31,2021-05-23,"1,325.00","1,401.00","1,325.00","1,390.00",-0.29,"68,916.00","95,932,434.00"
32,32,2021-05-20,"1,361.00","1,410.00","1,361.00","1,394.00",0.43,"173,279.00","241,170,291.00"
33,33,2021-05-19,"1,389.00","1,395.00","1,362.00","1,388.00",-0.07,"41,943.00","57,554,867.00"
34,34,2021-05-18,"1,450.00","1,450.00","1,388.00","1,389.00",-1.07,"104,798.00","146,907,383.00"
35,35,2021-05-17,"1,341.00","1,409.00","1,335.00","1,404.00",4.78,"308,880.00","426,990,410.00"
36,36,2021-05-16,"1,334.00","1,342.00","1,320.00","1,340.00",0.68,"26,611.00","35,541,423.00"
37,37,2021-05-13,"1,400.00","1,400.00","1,319.00","1,331.00",-0.45,"35,288.00","47,197,792.00"
38,38,2021-05-12,"1,350.00","1,350.00","1,323.00","1,337.00",-0.74,"24,798.00","33,033,259.00"
39,39,2021-05-11,"1,346.00","1,359.00","1,325.00","1,347.00",0.82,"65,250.00","87,762,843.00"
40,40,2021-05-10,"1,285.00","1,340.00","1,282.00","1,336.00",3.17,"33,239.00","43,768,893.00"
