,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"5,261.00","5,879.00","5,150.00","5,879.00",9.99,"2,602.00","14,410,930.00"
2,2,2021-07-04,"5,500.00","5,500.00","5,299.00","5,345.00",-2.73,"2,129.00","11,445,560.00"
3,3,2021-07-01,"5,500.00","5,600.00","5,400.00","5,495.00",-0.09,637.00,"3,493,175.00"
4,4,2021-06-30,"5,620.00","5,622.00","5,302.00","5,500.00",-0.22,836.00,"4,540,436.00"
5,5,2021-06-29,"5,718.00","5,718.00","5,512.00","5,512.00",-1.68,863.00,"4,799,451.00"
6,6,2021-06-28,"5,670.00","5,900.00","5,606.00","5,606.00",-1.30,"1,050.00","6,028,200.00"
7,7,2021-06-27,"5,914.00","5,916.00","5,587.00","5,680.00",-2.07,760.00,"4,314,954.00"
8,8,2021-06-24,"6,000.00","6,000.00","5,782.00","5,800.00",-1.61,546.00,"3,172,580.00"
9,9,2021-06-23,"5,960.00","6,200.00","5,881.00","5,895.00",-3.04,960.00,"5,770,000.00"
10,10,2021-06-22,"5,900.00","6,242.00","5,782.00","6,080.00",2.18,815.00,"4,878,156.00"
11,11,2021-06-21,"6,000.00","6,120.00","5,900.00","5,950.00",-0.83,"1,324.00","7,864,251.00"
12,12,2021-06-20,"6,200.00","6,324.00","6,000.00","6,000.00",-4.56,"1,981.00","12,157,289.00"
13,13,2021-06-17,"6,376.00","6,400.00","6,287.00","6,287.00",-1.40,416.00,"2,642,596.00"
14,14,2021-06-16,"6,600.00","6,600.00","6,300.00","6,376.00",-3.39,"1,511.00","9,649,745.00"
15,15,2021-06-15,"6,450.00","6,840.00","6,391.00","6,600.00",1.90,"1,572.00","10,320,156.00"
16,16,2021-06-14,"6,500.00","6,620.00","6,460.00","6,477.00",-0.35,721.00,"4,689,297.00"
17,17,2021-06-13,"6,620.00","6,754.00","6,500.00","6,500.00",-1.86,"1,546.00","10,160,514.00"
18,18,2021-06-10,"6,620.00","6,970.00","6,620.00","6,623.00",0.08,"1,383.00","9,292,830.00"
19,19,2021-06-09,"6,550.00","7,019.00","6,550.00","6,618.00",1.82,"1,185.00","8,005,255.00"
20,20,2021-06-08,"6,600.00","6,600.00","6,370.00","6,500.00",-1.52,"3,152.00","20,330,037.00"
21,21,2021-06-07,"6,665.00","6,730.00","6,563.00","6,600.00",-0.98,970.00,"6,445,695.00"
22,22,2021-06-06,"6,783.00","7,315.00","6,653.00","6,665.00",0.23,"1,146.00","7,742,358.00"
23,23,2021-06-03,"7,041.00","7,041.00","6,650.00","6,650.00",-0.84,"2,052.00","13,776,448.00"
24,24,2021-06-02,"6,900.00","6,900.00","6,700.00","6,706.00",-1.67,819.00,"5,546,223.00"
25,25,2021-06-01,"6,780.00","6,920.00","6,752.00","6,820.00",-1.00,"1,468.00","10,008,936.00"
26,26,2021-05-31,"7,099.00","7,099.00","6,810.00","6,889.00",-1.59,"1,385.00","9,568,981.00"
27,27,2021-05-30,"7,140.00","7,140.00","6,855.00","7,000.00",0.00,"2,766.00","19,310,845.00"
28,28,2021-05-27,"6,909.00","7,416.00","6,902.00","7,000.00",-0.71,"3,020.00","21,250,091.00"
29,29,2021-05-25,"7,235.00","7,382.00","6,742.00","7,050.00",-0.66,"3,667.00","25,946,927.00"
30,30,2021-05-24,"7,156.00","7,533.00","6,958.00","7,097.00",-0.04,"2,845.00","20,406,415.00"
31,31,2021-05-23,"7,050.00","7,333.00","6,860.00","7,100.00",-0.17,"4,809.00","33,676,943.00"
32,32,2021-05-20,"7,233.00","7,377.00","7,101.00","7,112.00",-3.63,"2,416.00","17,377,165.00"
33,33,2021-05-19,"7,135.00","7,555.00","6,910.00","7,380.00",5.49,"5,936.00","42,807,289.00"
34,34,2021-05-18,"6,678.00","6,996.00","6,287.00","6,996.00",10.00,"5,657.00","38,376,300.00"
35,35,2021-05-17,"6,608.00","6,628.00","6,127.00","6,360.00",-1.84,"3,642.00","23,301,768.00"
36,36,2021-05-16,"6,220.00","6,516.00","5,739.00","6,479.00",9.37,"7,645.00","48,223,002.00"
37,37,2021-05-13,"5,493.00","5,924.00","5,493.00","5,924.00",9.99,"8,719.00","51,022,922.00"
38,38,2021-05-12,"4,653.00","5,386.00","4,653.00","5,386.00",9.99,"7,181.00","37,539,817.00"
39,39,2021-05-11,"5,169.00","5,169.00","4,897.00","4,897.00",-10.00,"2,671.00","13,097,177.00"
40,40,2021-05-10,"5,743.00","5,743.00","5,441.00","5,441.00",-9.99,676.00,"3,686,224.00"
41,41,2021-05-09,"6,381.00","6,381.00","6,045.00","6,045.00",-9.99,670.00,"4,059,800.00"
42,42,2021-05-06,"7,611.00","8,208.00","6,716.00","6,716.00",-10.00,"7,881.00","61,565,897.00"
43,43,2021-05-05,"6,919.00","7,462.00","6,919.00","7,462.00",9.99,220.00,"1,615,110.00"
44,44,2021-05-04,"6,291.00","6,784.00","6,291.00","6,784.00",9.99,626.00,"4,213,774.00"
45,45,2021-05-03,"5,888.00","6,168.00","5,888.00","6,168.00",9.99,"1,289.00","7,942,892.00"
46,46,2021-05-02,"5,353.00","5,608.00","5,353.00","5,608.00",9.98,600.00,"3,308,600.00"
47,47,2021-04-29,"4,864.00","5,099.00","4,864.00","5,099.00",9.99,"2,678.00","13,649,622.00"
48,48,2021-04-28,"4,425.00","4,636.00","4,425.00","4,636.00",9.99,"3,757.00","17,404,947.00"
49,49,2021-04-27,"4,023.00","4,215.00","4,023.00","4,215.00",9.99,"4,723.00","19,875,525.00"
50,50,2021-04-26,"3,658.00","3,832.00","3,658.00","3,832.00",9.99,"5,221.00","19,935,352.00"
51,51,2021-04-25,"3,326.00","3,484.00","3,326.00","3,484.00",9.97,"1,212.00","4,218,285.00"
52,52,2021-04-22,"3,024.00","3,168.00","3,024.00","3,168.00",10.00,555.00,"1,733,590.00"
53,53,2021-01-31,"2,979.00","3,038.00","2,850.00","2,880.00",-1.40,908.00,"2,623,902.00"
54,54,2021-01-28,"3,000.00","3,039.00","2,900.00","2,921.00",-1.98,"2,183.00","6,454,240.00"
55,55,2021-01-27,"3,050.00","3,050.00","2,940.00","2,980.00",-0.67,"1,273.00","3,808,700.00"
56,56,2021-01-26,"3,119.00","3,120.00","3,000.00","3,000.00",-3.16,"1,018.00","3,093,670.00"
57,57,2021-01-25,"3,000.00","3,139.00","3,000.00","3,098.00",3.27,"2,054.00","6,354,565.00"
58,58,2021-01-24,"3,120.00","3,120.00","2,950.00","3,000.00",-2.94,"1,694.00","5,073,880.00"
59,59,2021-01-21,"3,190.00","3,198.00","3,083.00","3,091.00",-1.43,806.00,"2,529,985.00"
60,60,2021-01-20,"3,275.00","3,275.00","3,135.00","3,136.00",-3.95,"2,150.00","6,881,860.00"
61,61,2021-01-19,"3,239.00","3,393.00","3,185.00","3,265.00",5.83,"4,469.00","14,799,012.00"
62,62,2021-01-18,"2,776.00","3,085.00","2,775.00","3,085.00",9.98,"3,829.00","11,405,945.00"
63,63,2021-01-17,"2,796.00","2,805.00","2,753.00","2,805.00",1.85,550.00,"1,534,875.00"
64,64,2021-01-13,"2,815.00","2,815.00","2,754.00","2,754.00",-0.36,303.00,"843,525.00"
65,65,2021-01-12,"2,795.00","2,800.00","2,750.00","2,764.00",0.47,750.00,"2,085,167.00"
66,66,2021-01-11,"2,815.00","2,830.00","2,750.00","2,751.00",-0.33,360.00,"999,660.00"
67,67,2021-01-10,"2,861.00","2,917.00","2,748.00","2,760.00",-1.60,"1,523.00","4,265,244.00"
68,68,2021-01-07,"2,855.00","2,855.00","2,750.00","2,805.00",0.18,531.00,"1,480,945.00"
69,69,2021-01-06,"2,760.00","2,830.00","2,760.00","2,800.00",0.90,533.00,"1,483,021.00"
70,70,2021-01-05,"2,898.00","2,898.00","2,738.00","2,775.00",-2.63,411.00,"1,155,590.00"
71,71,2021-01-04,"2,895.00","2,953.00","2,850.00","2,850.00",0.35,785.00,"2,258,720.00"
72,72,2021-01-03,"2,720.00","2,900.00","2,720.00","2,840.00",6.37,"3,845.00","10,819,140.00"
73,73,2020-12-31,"2,731.00","2,840.00","2,670.00","2,670.00",-0.30,"1,146.00","3,132,769.00"
74,74,2020-12-30,"2,548.00","2,678.00","2,548.00","2,678.00",5.10,885.00,"2,325,975.00"
75,75,2020-12-29,"2,590.00","2,600.00","2,548.00","2,548.00",-1.62,250.00,"643,340.00"
76,76,2020-12-28,"2,541.00","2,591.00","2,541.00","2,590.00",1.93,162.00,"418,472.00"
77,77,2020-12-27,"2,640.00","2,640.00","2,541.00","2,541.00",-5.54,550.00,"1,420,410.00"
78,78,2020-12-24,"2,701.00","2,702.00","2,690.00","2,690.00",-0.37,70.00,"188,990.00"
79,79,2020-12-23,"2,805.00","2,805.00","2,697.00","2,700.00",-1.82,500.00,"1,373,600.00"
80,80,2020-12-22,"2,700.00","2,860.00","2,700.00","2,750.00",3.66,"1,099.00","3,073,630.00"
81,81,2020-12-21,"2,499.00","2,653.00","2,400.00","2,653.00",4.12,"1,020.00","2,537,430.00"
82,82,2020-12-20,"2,646.00","2,649.00","2,543.00","2,548.00",-5.63,"1,309.00","3,388,790.00"
83,83,2020-12-17,"2,800.00","2,800.00","2,653.00","2,700.00",-3.33,"1,607.00","4,410,490.00"
84,84,2020-12-16,"2,800.00","2,925.00","2,793.00","2,793.00",-0.25,"1,376.00","3,901,551.00"
85,85,2020-12-15,"2,843.00","2,870.00","2,800.00","2,800.00",-3.41,"1,606.00","4,556,727.00"
86,86,2020-12-14,"2,955.00","2,990.00","2,845.00","2,899.00",0.03,"1,826.00","5,245,505.00"
87,87,2020-12-13,"2,958.00","2,958.00","2,852.00","2,898.00",-0.07,250.00,"723,290.00"
88,88,2020-12-10,"2,860.00","2,975.00","2,804.00","2,900.00",1.40,"1,417.00","4,085,250.00"
89,89,2020-12-09,"2,940.00","3,050.00","2,855.00","2,860.00",-4.67,"1,225.00","3,557,590.00"
90,90,2020-12-08,"3,246.00","3,300.00","2,998.00","3,000.00",-5.75,"1,199.00","3,713,434.00"
91,91,2020-12-07,"2,838.00","3,183.00","2,838.00","3,183.00",9.95,"1,087.00","3,323,702.00"
92,92,2020-12-06,"3,127.00","3,127.00","2,880.00","2,895.00",-9.25,"1,566.00","4,600,396.00"
93,93,2020-12-03,"3,489.00","3,489.00","3,137.00","3,190.00",-6.97,"1,353.00","4,368,456.00"
94,94,2020-12-02,"3,180.00","3,429.00","3,053.00","3,429.00",9.97,"2,728.00","8,796,638.00"
95,95,2020-12-01,"3,304.00","3,500.00","3,118.00","3,118.00",-3.77,"2,389.00","7,829,790.00"
96,96,2020-11-30,"3,528.00","3,669.00","3,240.00","3,240.00",-10.00,"7,133.00","23,439,221.00"
97,97,2020-11-29,"3,920.00","3,920.00","3,600.00","3,600.00",-10.00,655.00,"2,374,890.00"
98,98,2020-11-26,"4,000.00","4,345.00","3,800.00","4,000.00",1.27,"2,396.00","9,850,505.00"
99,99,2020-11-25,"3,662.00","3,950.00","3,662.00","3,950.00",10.00,"5,522.00","21,735,790.00"
100,100,2020-11-24,"3,266.00","3,591.00","3,266.00","3,591.00",9.95,"5,535.00","19,428,308.00"
101,101,2020-11-23,"3,167.00","3,553.00","3,041.00","3,266.00",1.11,"4,877.00","15,681,587.00"
102,102,2020-11-22,"3,495.00","3,519.00","3,066.00","3,230.00",-2.97,"4,468.00","14,734,065.00"
103,103,2020-11-19,"3,150.00","3,329.00","3,150.00","3,329.00",9.98,461.00,"1,524,039.00"
104,104,2020-11-18,"2,889.00","3,027.00","2,889.00","3,027.00",9.99,905.00,"2,731,691.00"
105,105,2020-11-12,"2,552.00","2,752.00","2,552.00","2,752.00",9.99,"6,255.00","17,060,272.00"
106,106,2020-11-11,"2,250.00","2,502.00","2,230.00","2,502.00",9.98,"3,074.00","7,554,885.00"
107,107,2020-11-10,"2,395.00","2,400.00","2,259.00","2,275.00",-4.61,"1,000.00","2,308,935.00"
108,108,2020-11-09,"2,392.00","2,392.00","2,299.00","2,385.00",-0.29,"1,042.00","2,448,325.00"
109,109,2020-11-08,"2,309.00","2,392.00","2,132.00","2,392.00",1.53,"2,883.00","6,601,314.00"
110,110,2020-11-05,"2,703.00","2,757.00","2,356.00","2,356.00",-8.50,"3,748.00","9,737,089.00"
111,111,2020-11-04,"2,458.00","2,575.00","2,458.00","2,575.00",10.00,"5,312.00","13,637,870.00"
112,112,2020-11-03,"2,235.00","2,341.00","2,235.00","2,341.00",9.96,"2,446.00","5,719,486.00"
113,113,2020-11-02,"1,940.00","2,129.00","1,940.00","2,129.00",9.97,295.00,"618,725.00"
114,114,2020-11-01,"1,795.00","1,936.00","1,795.00","1,936.00",10.00,601.00,"1,149,112.00"
115,115,2020-10-29,"1,710.00","1,760.00","1,709.00","1,760.00",3.04,820.00,"1,420,460.00"
116,116,2020-10-28,"1,700.00","1,708.00","1,700.00","1,708.00",1.97,118.00,"201,082.00"
117,117,2020-10-22,"1,685.00","1,685.00","1,675.00","1,675.00",1.39,80.00,"134,300.00"
118,118,2020-10-21,"1,655.00","1,655.00","1,648.00","1,652.00",-1.37,350.00,"577,520.00"
119,119,2020-10-20,"1,672.00","1,739.00","1,672.00","1,675.00",2.13,108.00,"182,600.00"
120,120,2020-10-19,"1,670.00","1,670.00","1,640.00","1,640.00",-1.20,70.00,"116,310.00"
121,121,2020-10-15,"1,660.00","1,699.00","1,660.00","1,660.00",-0.36,355.00,"598,160.00"
122,122,2020-10-14,"1,715.00","1,715.00","1,666.00","1,666.00",-0.95,180.00,"302,610.00"
123,123,2020-10-13,"1,682.00","1,682.00","1,682.00","1,682.00",0.12,10.00,"16,820.00"
124,124,2020-10-12,"1,699.00","1,699.00","1,680.00","1,680.00",0.60,75.00,"126,228.00"
125,125,2020-10-11,"1,700.00","1,700.00","1,670.00","1,670.00",-1.76,160.00,"268,300.00"
126,126,2020-10-08,"1,701.00","1,701.00","1,694.00","1,700.00",-1.62,90.00,"152,950.00"
127,127,2020-10-07,"1,695.00","1,728.00","1,662.00","1,728.00",3.97,440.00,"746,410.00"
128,128,2020-10-06,"1,660.00","1,662.00","1,630.00","1,662.00",2.09,130.00,"215,630.00"
129,129,2020-10-05,"1,628.00","1,628.00","1,628.00","1,628.00",1.94,20.00,"32,560.00"
130,130,2020-10-04,"1,629.00","1,629.00","1,597.00","1,597.00",-1.96,150.00,"242,890.00"
131,131,2020-09-30,"1,629.00","1,629.00","1,629.00","1,629.00",0.00,100.00,"162,900.00"
132,132,2020-09-29,"1,602.00","1,629.00","1,599.00","1,629.00",1.18,105.00,"169,265.00"
133,133,2020-09-28,"1,612.00","1,615.00","1,610.00","1,610.00",-0.12,97.00,"156,419.00"
134,134,2020-09-27,"1,635.00","1,635.00","1,603.00","1,612.00",-1.41,270.00,"434,940.00"
135,135,2020-09-24,"1,617.00","1,635.00","1,611.00","1,635.00",-0.30,94.00,"151,828.00"
136,136,2020-09-23,"1,633.00","1,640.00","1,633.00","1,640.00",-1.56,30.00,"49,120.00"
137,137,2020-09-22,"1,690.00","1,700.00","1,666.00","1,666.00",-2.57,495.00,"833,660.00"
138,138,2020-09-21,"1,680.00","1,710.00","1,680.00","1,710.00",-0.12,50.00,"84,300.00"
139,139,2020-09-17,"1,617.00","1,712.00","1,585.00","1,712.00",3.76,926.00,"1,529,041.00"
140,140,2020-09-16,"1,600.00","1,650.00","1,589.00","1,650.00",1.79,674.00,"1,088,920.00"
141,141,2020-09-15,"1,610.00","1,621.00","1,590.00","1,621.00",-1.16,185.00,"297,605.00"
142,142,2020-09-13,"1,656.00","1,656.00","1,640.00","1,640.00",-2.90,100.00,"164,800.00"
143,143,2020-09-10,"1,689.00","1,690.00","1,689.00","1,689.00",1.99,168.00,"283,772.00"
144,144,2020-09-09,"1,600.00","1,656.00","1,600.00","1,656.00",5.41,354.00,"574,634.00"
145,145,2020-09-07,"1,571.00","1,571.00","1,571.00","1,571.00",0.00,121.00,"190,091.00"
