,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-05,"9,735.00","10,194.00","9,670.00","9,999.00",2.71,"1,935.00","19,054,192.00"
2,2,2021-07-04,"9,830.00","9,844.00","9,711.00","9,735.00",-0.15,722.00,"7,046,795.00"
3,3,2021-07-01,"9,880.00","9,883.00","9,655.00","9,750.00",0.62,838.00,"8,188,793.00"
4,4,2021-06-30,"9,710.00","9,847.00","9,600.00","9,690.00",-0.77,"1,426.00","13,771,990.00"
5,5,2021-06-29,"9,860.00","9,950.00","9,750.00","9,765.00",-1.21,838.00,"8,230,210.00"
6,6,2021-06-28,"10,000.00","10,000.00","9,851.00","9,885.00",-0.64,513.00,"5,080,793.00"
7,7,2021-06-27,"9,970.00","10,169.00","9,700.00","9,949.00",1.78,"1,119.00","11,092,365.00"
8,8,2021-06-24,"9,830.00","9,900.00","9,761.00","9,775.00",-0.56,"2,052.00","20,143,344.00"
9,9,2021-06-23,"10,051.00","10,090.00","9,752.00","9,830.00",-1.99,"2,760.00","27,232,135.00"
10,10,2021-06-22,"10,000.00","10,100.00","9,990.00","10,030.00",0.32,"2,349.00","23,523,880.00"
11,11,2021-06-21,"10,100.00","10,200.00","9,901.00","9,998.00",-0.76,"2,235.00","22,360,050.00"
12,12,2021-06-20,"10,300.00","10,350.00","10,000.00","10,075.00",-2.18,"2,576.00","26,103,382.00"
13,13,2021-06-17,"10,400.00","10,435.00","10,210.00","10,300.00",-0.24,"1,402.00","14,454,295.00"
14,14,2021-06-16,"10,369.00","10,600.00","10,100.00","10,325.00",-2.41,"5,781.00","59,469,228.00"
15,15,2021-06-15,"10,670.00","10,799.00","10,500.00","10,580.00",-0.80,"3,175.00","33,805,321.00"
16,16,2021-06-14,"10,710.00","10,780.00","10,652.00","10,665.00",-0.34,"3,858.00","41,250,384.00"
17,17,2021-06-13,"11,007.00","11,007.00","10,650.00","10,701.00",-0.94,"3,276.00","35,119,879.00"
18,18,2021-06-10,"10,544.00","11,215.00","10,544.00","10,802.00",-1.76,"2,823.00","30,775,916.00"
19,19,2021-06-09,"10,850.00","11,499.00","10,750.00","10,995.00",1.94,"3,756.00","41,014,264.00"
20,20,2021-06-08,"10,900.00","11,000.00","10,775.00","10,786.00",0.78,"4,070.00","44,116,139.00"
21,21,2021-06-07,"10,955.00","10,965.00","10,700.00","10,702.00",-2.40,"4,582.00","49,444,735.00"
